time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
39.82,-0.5001,-0.3578,1.5076,79.6545,174.7572,125.0565
39.84,-0.5044,-0.3545,1.4881,79.601,174.8057,125.1154
39.86,-0.504,-0.352,1.4623,79.518,174.864,125.1623
39.88,-0.5155,-0.3454,1.4274,79.4335,175.0185,125.3587
39.9,-0.5184,-0.3431,1.4037,79.3728,175.1041,125.4447
39.92,-0.5247,-0.3405,1.383,79.3137,175.1729,125.5132
39.94,-0.5275,-0.3375,1.3578,79.2454,175.2568,125.5726
39.96,-0.5429,-0.3356,1.3221,79.1471,175.5677,125.8593
39.98,-0.5501,-0.3302,1.3084,79.1168,175.6788,125.9597
40,-0.5533,-0.3259,1.2929,79.0773,175.711,125.9913
40.02,-0.5581,-0.3297,1.2692,79.0008,175.9006,126.1698
40.04,-0.5665,-0.3249,1.2623,78.9912,175.9873,126.2819
40.06,-0.5794,-0.3228,1.2391,78.9227,176.1257,126.438
40.08,-0.5835,-0.3196,1.2316,78.9043,176.1602,126.472
40.1,-0.5916,-0.3216,1.2245,78.8833,176.3524,126.6565
40.12,-0.5955,-0.3202,1.2198,78.8715,176.4276,126.7216
40.14,-0.6028,-0.3191,1.2199,78.876,176.4899,126.7914
40.16,-0.6095,-0.3189,1.2161,78.8628,176.6901,126.9419
40.18,-0.6139,-0.3167,1.2193,78.88,176.7328,126.9845
40.2,-0.6223,-0.3189,1.2249,78.8949,176.8598,127.1148
40.22,-0.6235,-0.3169,1.2302,78.9136,176.8565,127.1111
40.24,-0.6262,-0.3175,1.2374,78.939,176.9099,127.1563
40.26,-0.6295,-0.3174,1.2472,78.9747,176.9905,127.2278
40.28,-0.6338,-0.3216,1.2684,79.0287,177.0512,127.287
40.3,-0.6341,-0.3222,1.2814,79.0701,177.0381,127.265
40.32,-0.6334,-0.3233,1.293,79.1084,177.0364,127.2438
40.34,-0.6345,-0.326,1.3084,79.146,177.0742,127.2829
40.36,-0.6301,-0.3245,1.3377,79.221,176.9381,127.1559
40.38,-0.6275,-0.3272,1.3515,79.2643,176.8922,127.1525
40.4,-0.6243,-0.3307,1.3669,79.3088,176.8631,127.1631
40.42,-0.6188,-0.337,1.3801,79.3453,176.8567,127.1671
40.44,-0.6113,-0.3411,1.395,79.3899,176.7876,127.0747
40.46,-0.5972,-0.3472,1.4252,79.4741,176.6208,126.8368
40.48,-0.5897,-0.3518,1.4416,79.5153,176.5892,126.777
40.5,-0.581,-0.3531,1.456,79.5608,176.4033,126.5694
40.52,-0.5709,-0.3535,1.4675,79.5954,176.2992,126.4514
40.54,-0.5637,-0.3574,1.4795,79.6173,176.182,126.3585
40.56,-0.5463,-0.3571,1.5051,79.6955,175.6324,125.8998
40.58,-0.5338,-0.3609,1.5077,79.7064,175.4764,125.7423
40.6,-0.518,-0.3516,1.5189,79.7425,175.1823,125.44
40.62,-0.5145,-0.3658,1.5153,79.7267,175.2277,125.456
40.64,-0.5048,-0.3677,1.5154,79.7133,175.1369,125.2634
40.66,-0.483,-0.3705,1.5072,79.6968,174.8997,124.9547
40.68,-0.4774,-0.371,1.5003,79.6661,174.866,124.8691
40.7,-0.4692,-0.3697,1.4836,79.6145,174.8384,124.7957
40.72,-0.4574,-0.3536,1.4683,79.5885,174.6649,124.6025
40.74,-0.4553,-0.344,1.4462,79.5264,174.5315,124.5261
40.76,-0.447,-0.3343,1.411,79.4148,174.3563,124.4369
40.78,-0.4385,-0.3028,1.337,79.2393,173.8741,124.2483
40.8,-0.4354,-0.2971,1.2852,79.0867,173.7163,124.2363
40.82,-0.4276,-0.288,1.2256,78.9329,173.5508,124.195
40.84,-0.432,-0.2896,1.1641,78.7445,173.5553,124.3302
40.86,-0.4232,-0.2807,1.0255,78.3253,173.6612,124.4247
40.88,-0.4208,-0.2724,0.9574,78.1242,173.7463,124.4929
40.9,-0.4125,-0.2666,0.8835,77.9075,173.9321,124.5878
40.92,-0.4111,-0.261,0.8213,77.7166,174.0578,124.6292
40.94,-0.404,-0.2572,0.7567,77.5338,174.2608,124.7039
40.96,-0.3927,-0.2466,0.6511,77.227,174.3874,124.7533
40.98,-0.3794,-0.2405,0.6007,77.094,174.4002,124.7757
41,-0.3756,-0.2434,0.5599,76.9768,174.4461,124.9489
41.02,-0.3638,-0.2274,0.5374,76.9084,174.1786,124.8057
41.04,-0.3561,-0.2197,0.5211,76.8518,173.9448,124.7738
41.06,-0.3383,-0.2015,0.5149,76.8146,173.6274,124.9717
41.08,-0.3329,-0.1798,0.5378,76.8937,173.4034,125.2587
41.1,-0.3193,-0.1361,0.5796,77.0135,173.0055,125.4809
41.12,-0.3203,-0.0841,0.6562,77.2747,172.5139,125.903
41.14,-0.3108,-0.0258,0.7477,77.5837,171.9922,126.3764
41.16,-0.2753,0.1147,1.0231,78.4064,170.4841,126.5059
41.18,-0.251,0.1915,1.2224,79.0335,169.3734,126.3685
41.2,-0.2246,0.2523,1.4624,79.7706,168.1488,126.0943
41.22,-0.1701,0.3045,1.7313,80.5689,166.3594,124.9869
41.24,-0.1135,0.3476,2.0572,81.5259,163.8809,123.1608
41.26,0.0396,0.4027,2.8602,83.6964,154.4393,114.5209
41.28,0.1402,0.4321,3.3401,84.8487,144.3858,104.8644
41.3,0.2476,0.4636,3.8743,85.8626,126.8127,87.9459
41.32,0.3789,0.5077,4.4437,86.2371,101.6535,62.8241
41.34,0.5179,0.5572,5.045,85.7796,75.4168,36.6045
41.36,0.8267,0.7216,6.3105,83.048,46.1213,6.8736
41.38,0.9952,0.8606,6.955,81.2625,39.2987,359.6684
41.4,1.1642,1.0257,7.5931,79.3835,34.9841,355.0714
41.42,1.3413,1.2547,8.2251,77.3274,32.1507,352.0963
41.44,1.4967,1.5094,8.8506,75.2664,30.0952,349.9776
41.46,1.8131,2.065,10,71.0469,28.1541,348.0859
41.48,1.9559,2.3393,10.5256,69.1254,27.533,347.6256
41.5,2.0715,2.6024,11.0254,67.2679,26.9406,347.2244
41.52,2.2121,2.8562,11.4583,65.5344,26.8227,347.1864
41.54,2.3278,3.0878,11.8483,63.9539,26.6763,347.1328
41.56,2.5196,3.4739,12.4778,61.3059,26.4266,347.191
41.58,2.6074,3.6361,12.7043,60.2535,26.5125,347.4998
41.6,2.6582,3.7622,12.8944,59.3714,26.5904,348.002
41.62,2.7076,3.833,13.0028,58.8018,26.7537,348.7398
41.64,2.7522,3.8737,13.0515,58.3676,27.0743,349.8603
41.66,2.7543,3.8576,13.0103,58.1379,27.848,352.6894
41.68,2.736,3.7989,12.9144,58.3282,28.3026,354.3061
41.7,2.7078,3.6242,12.7166,58.8496,28.9296,356.1347
41.72,2.6679,3.4787,12.5061,59.417,29.6287,358.0389
41.74,2.6204,3.2753,12.2434,60.2721,30.4418,359.8715
41.76,2.4918,2.7213,11.5523,62.834,32.4259,3.6559
41.78,2.4282,2.4169,11.1245,64.4086,33.697,5.4655
41.8,2.3565,2.1112,10.6416,66.1327,35.3103,7.3018
41.82,2.2581,1.7798,10.1086,68.1313,37.342,9.2005
41.84,2.1602,1.4974,9.5235,70.1366,39.8095,11.7024
41.86,2.0504,1.2175,8.8785,72.1701,43.1805,14.9134
41.88,1.7865,0.8134,7.4889,76.0517,52.8723,24.6206
41.9,1.6443,0.6838,6.7401,77.7294,59.949,32.2629
41.92,1.4795,0.5841,5.9551,79.2172,69.0049,42.126
41.94,1.3222,0.5515,5.1385,80.2706,80.7223,54.5093
41.96,0.9973,0.6472,3.4393,80.4364,110.2237,84.4211
41.98,0.8353,0.7759,2.5642,79.5234,123.1251,97.3845
42,0.6705,0.97,1.6908,78.0295,133.2687,107.3797
42.02,0.4919,1.1924,0.8157,76.4051,141.5453,116.4228
42.04,0.3104,1.4537,-0.0406,74.5793,147.7204,123.1555
42.06,0.1358,1.7393,-0.8844,72.4862,152.9432,128.0311
42.08,-0.1998,2.3769,-2.4868,68.0776,160.6596,134.576
42.1,-0.3585,2.7089,-3.2355,65.8245,163.5752,136.7688
42.12,-0.5148,3.0451,-3.927,63.6724,165.9002,138.4405
