time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
24.82,-24.8123,-18.9326,7.0904,72.2601,144.9503,233.9055
24.84,-24.8073,-18.9361,7.0808,72.2252,144.9283,233.9081
24.86,-24.8065,-18.9287,7.0747,72.2328,144.9385,233.9328
24.88,-24.7937,-18.9342,7.0638,72.1835,144.9238,233.9171
24.9,-24.7934,-18.9303,7.0525,72.1602,144.9435,233.9653
24.92,-24.7824,-18.9257,7.0386,72.1159,144.9326,233.9845
24.94,-24.7695,-18.9248,7.0326,72.0916,144.8943,233.9433
24.96,-24.7697,-18.9216,7.0234,72.0761,144.9131,233.9837
24.98,-24.767,-18.9208,7.0142,72.0511,144.8869,233.9966
25,-24.7616,-18.9227,7.0073,72.0299,144.8926,234.0099
25.02,-24.7629,-18.9226,6.9915,71.9951,144.9398,234.1034
25.04,-24.7583,-18.9242,6.9877,71.9848,144.9613,234.0987
25.06,-24.7587,-18.9247,6.98,71.9668,145.028,234.1542
25.08,-24.7587,-18.9241,6.9731,71.9542,145.1292,234.2354
25.1,-24.7653,-18.9213,6.9647,71.9536,145.2431,234.3481
25.12,-24.7794,-18.9272,6.9403,71.9064,145.5025,234.6088
25.14,-24.7807,-18.9306,6.9313,71.8862,145.6132,234.6888
25.16,-24.7894,-18.9256,6.918,71.8739,145.782,234.8468
25.18,-24.7944,-18.9254,6.9043,71.8612,145.8806,234.8961
25.2,-24.8023,-18.919,6.8923,71.8526,146.0629,234.9858
25.22,-24.8253,-18.9371,6.8724,71.8098,146.167,234.9085
25.24,-24.8401,-18.9315,6.8886,71.8518,145.7894,234.6337
25.26,-24.8642,-18.912,6.9385,71.9738,144.6309,234.1011
25.28,-24.8918,-18.8852,7.0433,72.1698,143.4215,233.2501
25.3,-24.9325,-18.8675,7.2049,72.6171,142.2059,232.209
25.32,-25.0668,-18.9142,7.7037,74.3108,136.9009,228.1723
25.34,-25.1653,-18.9731,8.0318,75.0768,132.9638,225.541
25.36,-25.2705,-19.0586,8.4108,75.8833,128.5748,222.5624
25.38,-25.3906,-19.1588,8.8335,76.8031,123.7105,218.947
25.4,-25.5338,-19.26,9.2749,77.6531,117.741,214.3217
25.42,-25.8014,-19.3987,10.2035,78.7034,105.2089,204.0416
25.44,-25.962,-19.4413,10.6324,79.1894,99.1827,198.8694
25.46,-26.0789,-19.4451,11.0567,79.5619,93.1522,193.2908
25.48,-26.209,-19.431,11.4183,79.9095,88.0891,188.4795
25.5,-26.3075,-19.4142,11.7077,80.0837,85.8122,186.1411
25.52,-26.5013,-19.303,11.9453,81.3924,97.0232,194.8586
25.54,-26.5395,-19.2726,11.8611,82.1598,110.282,206.0279
25.56,-26.5628,-19.2728,11.7071,82.3815,122.7561,216.9899
25.58,-26.558,-19.283,11.3467,82.1098,139.985,232.3551
