time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.34,-0.0003,-0.0011,0.0012,2.0913,359.9463,355.2062
35.36,-0.0008,-0.0011,0.0016,2.0912,359.9432,355.2068
35.38,-0.0007,-0.0015,0.0015,2.0922,359.9442,355.2051
35.4,-0.0006,-0.0014,0.0014,2.0921,359.9449,355.2064
35.42,0.0003,-0.0013,0.0007,2.0926,359.9508,355.2051
35.44,-0.0006,-0.0016,0.0015,2.0927,359.9439,355.2045
35.46,-0.0003,-0.0016,0.0014,2.0927,359.9455,355.2046
35.48,-0.0001,-0.002,0.0012,2.0938,359.9481,355.2021
35.5,-0.0002,-0.0014,0.0013,2.0918,359.9463,355.2049
35.52,-0.0001,-0.0011,0.001,2.0906,359.9478,355.2067
35.54,-0.0001,-0.0011,0.001,2.0902,359.9485,355.2062
35.56,-0.0006,-0.0013,0.0015,2.0909,359.9444,355.2061
35.58,0.0001,-0.001,0.001,2.0903,359.9474,355.2067
35.6,0,-0.0009,0.001,2.0904,359.9488,355.2076
35.62,0,-0.001,0.001,2.0912,359.948,355.2074
35.64,0.0001,-0.001,0.001,2.0896,359.9477,355.2067
35.66,0,-0.0012,0.001,2.0906,359.948,355.2062
35.68,-0.001,-0.0003,0.0017,2.088,359.9425,355.2102
35.7,0,-0.0009,0.0011,2.09,359.9482,355.2071
35.72,-0.0003,-0.0006,0.0012,2.0897,359.9477,355.2083
35.74,0.0002,-0.001,0.0011,2.0907,359.9495,355.2066
35.76,0.0003,-0.0007,0.0011,2.0889,359.9494,355.2071
35.78,0.0008,-0.0005,0.0008,2.0884,359.9514,355.207
35.8,0.0012,-0.0004,0.0005,2.0872,359.9536,355.2065
35.82,0.0022,-0.0016,0.0001,2.0907,359.9574,355.2029
35.84,0.001,-0.0012,0.0007,2.0905,359.9524,355.205
35.86,0.0008,-0.0006,0.0008,2.0885,359.9518,355.2067
35.88,-0.0004,-0.0003,0.0019,2.0885,359.9433,355.2084
35.9,0.0007,-0.0005,0.0009,2.088,359.9464,355.2059
35.92,0.0003,-0.0003,0.0013,2.0877,359.9468,355.2092
35.94,0.0003,-0.0005,0.0011,2.089,359.9471,355.2079
35.96,0.0001,-0.0008,0.0013,2.0897,359.9453,355.2068
35.98,-0.0004,-0.0006,0.0016,2.0893,359.9435,355.2066
36,-0.0006,-0.0009,0.0017,2.0903,359.9428,355.2064
36.02,0,-0.0014,0.0007,2.0914,359.9498,355.2036
36.04,-0.0003,-0.0013,0.0011,2.0913,359.9459,355.2046
36.06,-0.0001,-0.0008,0.0009,2.0893,359.9482,355.2066
36.08,-0.0011,-0.0002,0.0021,2.0883,359.9391,355.2098
36.1,-0.0005,-0.0004,0.0015,2.0893,359.9437,355.2087
36.12,-0.0008,-0.0007,0.0018,2.0888,359.9396,355.2084
36.14,0,-0.0008,0.0014,2.09,359.9434,355.2094
36.16,0,-0.0008,0.0015,2.0907,359.9428,355.209
36.18,-0.0025,-0.0001,0.0033,2.0902,359.9275,355.2132
36.2,-0.0003,-0.0007,0.0014,2.09,359.9449,355.2081
36.22,-0.0029,-0.0008,0.0029,2.0896,359.9339,355.208
36.24,-0.002,-0.0007,0.0022,2.0877,359.9393,355.2068
36.26,-0.0017,-0.0009,0.002,2.0897,359.9431,355.207
36.28,-0.0018,-0.0011,0.0021,2.091,359.9429,355.2058
36.3,-0.0012,-0.001,0.002,2.0902,359.9433,355.2059
36.32,0.0004,0.0002,0.0014,2.0872,359.9501,355.2101
36.34,0.0007,-0.0003,0.0012,2.0894,359.9522,355.2094
36.36,0.0011,-0.0006,0.0008,2.0905,359.9553,355.2058
36.38,-0.0008,0.0007,0.0007,2.0868,359.9477,355.2088
36.4,0.0004,0.001,-0.0012,2.0849,359.9551,355.2054
36.42,-0.0005,0.0012,-0.0002,2.0858,359.9529,355.2073
36.44,-0.0003,0.0013,-0.0005,2.0862,359.9534,355.2073
36.46,0,0.0013,-0.0007,2.0856,359.9531,355.2068
36.48,0.0002,0.0015,-0.0008,2.0839,359.9544,355.2071
36.5,0.0002,0.0017,-0.0007,2.0838,359.9538,355.2095
36.52,0.0006,0.0017,-0.0017,2.0838,359.9554,355.2089
36.54,0.0004,0.0011,-0.0012,2.0852,359.9554,355.2079
36.56,-0.001,0.0009,-0.0002,2.0854,359.9486,355.2091
36.58,-0.0008,0.0015,-0.0006,2.0848,359.9484,355.2093
36.6,-0.0008,0.0013,-0.0007,2.0858,359.949,355.2075
36.62,0.0004,0.0008,-0.0012,2.0862,359.9535,355.205
36.64,0.0001,0.0011,-0.0014,2.0859,359.9549,355.2063
36.66,-0.0016,0.001,-0.0002,2.0859,359.9477,355.207
36.68,-0.0024,0.0002,0.0004,2.0889,359.9434,355.2038
36.7,-0.0029,0.0013,0.0002,2.0848,359.9421,355.2073
36.72,-0.0022,0.0016,0.0002,2.083,359.9412,355.2092
36.74,-0.0007,0.0018,-0.0005,2.0838,359.9462,355.2089
36.76,-0.0003,0.002,-0.0011,2.0844,359.9501,355.2101
36.78,-0.0002,0.0011,-0.0011,2.0862,359.9513,355.2063
36.8,-0.0008,0.0011,-0.0005,2.0847,359.9485,355.2067
36.82,-0.0003,0.0009,-0.001,2.087,359.9518,355.2057
