time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
94.5,-23.7394,-15.945,1.1529,78.0179,214.4952,334.5611
94.52,-23.6868,-16.0961,1.769,79.8803,218.9366,339.2378
94.54,-23.605,-16.2937,2.6295,82.1927,227.9431,348.319
94.56,-23.4605,-16.5972,4.4082,85.2248,265.5546,25.7261
94.57999,-23.4072,-16.714,5.2706,85.2872,294.0577,54.2202
94.6,-23.3593,-16.7862,6.1129,84.1474,315.4685,75.1335
94.62,-23.3559,-16.8052,6.8778,82.8011,320.8159,80.1338
94.64,-23.3361,-16.8136,7.5716,81.8473,325.0095,84.1871
94.66,-23.3492,-16.7346,8.6934,78.8723,334.6108,92.7421
94.68,-23.3877,-16.6717,9.1,77.552,336.765,94.0342
94.7,-23.4357,-16.6244,9.3817,76.636,337.5206,94.6346
94.72,-23.4761,-16.5741,9.5676,75.9812,337.5747,94.4603
94.74,-23.5649,-16.5303,9.6332,75.5563,336.5733,93.3221
94.75999,-23.6748,-16.5484,9.494,75.7376,334.027,90.8125
94.78,-23.747,-16.5877,9.2789,76.1939,331.5288,88.5972
94.8,-23.8057,-16.6478,9.015,76.8597,328.8241,86.3299
94.82,-23.8754,-16.7271,8.6778,77.695,325.1088,83.2451
94.84,-23.9343,-16.8053,8.2984,78.629,320.6268,79.4939
94.86,-24.0414,-16.9728,7.4085,80.589,307.2346,67.3561
94.88,-24.0968,-17.0512,6.904,81.3718,297.6548,57.7138
94.9,-24.1439,-17.1178,6.3589,81.8969,285.984,45.7154
94.92,-24.2031,-17.1681,5.7475,81.9476,271.5264,31.0236
94.93999,-24.2622,-17.1873,5.0862,81.4275,256.957,16.4073
94.96,-24.3603,-17.1213,3.6467,78.8372,234.1573,353.4745
94.98,-24.4014,-17.0111,2.8791,77.0466,226.7316,345.6087
95,-24.4331,-16.8529,2.0898,75.0825,221.0956,339.4789
95.02,-24.4533,-16.6351,1.2864,72.9839,216.7724,334.8367
95.04,-24.4534,-16.3709,0.485,70.7275,213.1898,331.3797
95.06,-24.407,-15.7493,-1.0629,66.1415,207.719,327.6096
95.07999,-24.3704,-15.4119,-1.7632,64.1485,205.7032,326.2575
95.1,-24.3308,-15.047,-2.392,62.3494,204.0548,325.1864
95.12,-24.2805,-14.6786,-2.9344,60.8676,203.0707,325.2358
95.14,-24.2241,-14.3427,-3.3936,59.5136,202.2175,325.8219
95.16,-24.1311,-13.8915,-4.0343,57.2659,200.7262,326.4499
95.18,-24.1035,-13.7885,-4.2043,56.6928,200.2856,326.1477
95.2,-24.086,-13.7652,-4.2796,56.5414,200.0033,325.8369
95.22,-24.0818,-13.7985,-4.259,56.663,199.8072,325.4667
95.24,-24.0841,-13.8797,-4.1534,57.0693,199.841,325.1922
95.25999,-24.1137,-14.2161,-3.6345,59.0884,200.8291,325.168
95.28,-24.1317,-14.4397,-3.2625,60.4602,201.6766,325.4472
95.3,-24.1534,-14.7012,-2.8173,62.0917,202.6276,325.4898
95.32,-24.1695,-14.9789,-2.2893,63.9575,203.7661,325.514
95.34,-24.1781,-15.2673,-1.6996,65.9258,204.8947,325.6582
95.36,-24.1614,-15.8361,-0.3486,70.1739,208.1542,327.6523
95.38,-24.1354,-16.0893,0.407,72.5048,210.9546,329.9782
95.4,-24.0932,-16.3291,1.1976,74.8462,214.4956,333.1619
95.42,-24.0331,-16.5336,2.0228,77.1591,219.4599,337.8792
95.43999,-23.9612,-16.6988,2.8673,79.4349,226.2638,344.5459
95.46,-23.7771,-16.9217,4.564,83.1316,251.947,10.7333
95.48,-23.6683,-16.9728,5.4043,83.9717,274.2228,33.129
95.5,-23.5694,-16.9872,6.2058,83.7232,296.3578,55.0615
95.52,-23.4772,-16.9715,6.9503,82.8641,313.0595,71.5896
95.54,-23.3695,-16.9347,7.6364,81.6827,325.1741,83.3435
95.56,-23.1937,-16.8017,8.7447,79.0091,338.0048,95.4204
95.57999,-23.1342,-16.7313,9.1448,77.8021,341.3762,98.2959
95.6,-23.0553,-16.6574,9.4557,76.8813,343.5203,99.9996
95.62,-22.9928,-16.5938,9.6453,76.2743,344.7879,101.0392
95.64,-22.9568,-16.5716,9.7175,76.048,345.3433,101.5191
95.66,-22.9069,-16.5739,9.5895,76.381,344.9716,101.0301
95.68,-22.8916,-16.6331,9.3608,77.0661,343.9746,99.9352
95.7,-22.8913,-16.7075,9.0642,77.987,342.3016,98.2191
95.72,-22.9114,-16.8092,8.6931,79.1328,339.7306,95.6804
95.74,-22.9399,-16.9235,8.2534,80.4622,335.8382,91.7677
95.75999,-23.0395,-17.1555,7.1486,83.4104,318.6142,74.8945
95.78,-23.1147,-17.2469,6.4858,84.5711,300.1541,56.5724
95.8,-23.2032,-17.3071,5.7544,84.8952,273.8766,30.2058
95.82,-23.3273,-17.3205,4.9418,83.9309,248.2756,4.55
