time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
53.44,4.3265,-1.1561,-2,0,0,40
53.46,-4.3143,-1.1662,-2,0,0,320.1346
53.48,-4.2633,-1.2084,-2,0,0,320.6985
53.5,-4.1716,-1.2822,-2,0,0,321.7
53.52,-4.0381,-1.3849,-2,0,0,323.1344
53.54,-3.861,-1.5132,-2,0,0,324.9956
53.56,-3.6389,-1.6623,-2,0,0,327.2731
53.58,-3.3703,-1.8262,-2,0,0,329.952
53.6,-3.0545,-1.9978,-2,0,0,333.0111
53.62,-2.6919,-2.169,-2,0,0,336.4253
53.64,-2.2844,-2.3312,-2,0,0,340.1595
53.66,-1.8359,-2.4756,-2,0,0,344.1716
53.68,-1.3522,-2.5935,-2,0,0,348.4101
53.7,-0.8412,-2.678,-2,0,0,352.8202
53.72,-0.3127,-2.7235,-2,0,0,357.3376
53.74,0.2224,-2.7271,-2,0,0,1.8937
53.76,0.7529,-2.6885,-2,0,0,6.4226
53.78,1.2676,-2.6103,-2,0,0,10.8554
53.8,1.7566,-2.4975,-2,0,0,15.1281
53.82,2.2114,-2.3571,-2,0,0,19.1811
53.84,2.6262,-2.1973,-2,0,0,22.9654
53.86,2.9966,-2.0269,-2,0,0,26.4363
53.88,3.3203,-1.8548,-2,0,0,29.5573
53.9,3.5968,-1.6891,-2,0,0,32.3022
53.92,3.8267,-1.5371,-2,0,0,34.6486
53.94,4.0113,-1.4049,-2,0,0,36.581
53.96,4.152,-1.2976,-2,0,0,38.0879
53.98,4.2507,-1.2187,-2,0,0,39.1629
54,4.3085,-1.1711,-2,0,0,39.8009
54.02,4.3264,-1.1561,-2,0,0,39.9995
54.04,4.3046,-1.1743,-2,0,0,39.7579
54.06,4.2428,-1.2251,-2,0,0,39.0771
54.08,4.1401,-1.3068,-2,0,0,37.9596
54.1,3.9952,-1.4168,-2,0,0,36.4107
54.12,3.8063,-1.5512,-2,0,0,34.4373
54.14,3.5719,-1.7048,-2,0,0,32.0512
54.16,3.2908,-1.8715,-2,0,0,29.2693
54.18,2.9624,-2.0438,-2,0,0,26.112
54.2,2.5876,-2.2135,-2,0,0,22.6088
54.22,2.1687,-2.3718,-2,0,0,18.796
54.24,1.7102,-2.5099,-2,0,0,14.7192
54.26,1.2183,-2.6196,-2,0,0,10.4282
54.28,0.7016,-2.6941,-2,0,0,5.9831
54.3,0.1703,-2.7286,-2,0,0,1.4497
54.32,-0.3648,-2.7209,-2,0,0,356.8932
54.34,-0.8921,-2.6714,-2,0,0,352.3835
54.36,-1.4009,-2.5834,-2,0,0,347.9873
54.38,-1.8814,-2.4625,-2,0,0,343.7686
54.4,-2.3262,-2.316,-2,0,0,339.7816
54.42,-2.7294,-2.1525,-2,0,0,336.0769
54.44,-3.0874,-1.9809,-2,0,0,332.6968
54.46,-3.3986,-1.8097,-2,0,0,329.673
54.48,-3.6626,-1.647,-2,0,0,327.0325
54.5,-3.8803,-1.4997,-2,0,0,324.7952
54.52,-4.053,-1.3737,-2,0,0,322.9757
54.54,-4.1824,-1.2736,-2,0,0,321.583
54.56,-4.27,-1.2029,-2,0,0,320.6241
54.58,-4.3172,-1.1639,-2,0,0,320.1032
54.6,-4.3245,-1.1577,-2,0,0,320.0219
54.62,-4.2921,-1.1847,-2,0,0,320.3807
54.64,-4.2195,-1.2439,-2,0,0,321.1783
54.66,-4.1057,-1.3335,-2,0,0,322.4112
54.68,-3.9492,-1.4504,-2,0,0,324.0744
54.7,-3.7483,-1.5905,-2,0,0,326.1591
54.72,-3.5016,-1.7482,-2,0,0,328.652
54.74,-3.2078,-1.9172,-2,0,0,331.537
54.76,-2.8669,-2.0897,-2,0,0,334.7896
54.78,-2.48,-2.2572,-2,0,0,338.3792
54.8,-2.0502,-2.4109,-2,0,0,342.2662
54.82,-1.582,-2.5422,-2,0,0,346.4063
54.84,-1.0826,-2.6431,-2,0,0,350.7444
54.86,-0.5609,-2.7074,-2,0,0,355.2199
54.88,-0.0275,-2.7307,-2,0,0,359.7658
54.9,0.5066,-2.7117,-2,0,0,4.3166
54.92,1.03,-2.6515,-2,0,0,8.8024
54.94,1.532,-2.5541,-2,0,0,13.1563
54.96,2.0037,-2.4256,-2,0,0,17.3194
54.98,2.4379,-2.2737,-2,0,0,21.2356
55,2.8294,-2.1072,-2,0,0,24.8577
55.02,3.175,-1.9349,-2,0,0,28.1455
55.04,3.4736,-1.7652,-2,0,0,31.0694
55.06,3.7252,-1.6059,-2,0,0,33.6041
55.08,3.9306,-1.4638,-2,0,0,35.7308
55.1,4.0916,-1.3443,-2,0,0,37.4377
55.12,4.2098,-1.2518,-2,0,0,38.7153
55.14,4.2865,-1.1893,-2,0,0,39.5577
55.16,4.323,-1.159,-2,0,0,39.9615
55.18,4.3197,-1.1617,-2,0,0,39.9254
55.2,4.2767,-1.1974,-2,0,0,39.4494
55.22,4.1933,-1.265,-2,0,0,38.5356
55.24,4.0682,-1.3622,-2,0,0,37.1872
55.26,3.9,-1.4857,-2,0,0,35.4106
55.28,3.687,-1.6311,-2,0,0,33.2154
55.3,3.4279,-1.7925,-2,0,0,30.6162
55.32,3.1215,-1.9632,-2,0,0,27.6307
55.34,2.7682,-2.1352,-2,0,0,24.2849
55.36,2.3696,-2.2999,-2,0,0,20.6126
55.38,1.9288,-2.4485,-2,0,0,16.6525
55.4,1.4515,-2.5724,-2,0,0,12.454
55.42,0.9452,-2.6641,-2,0,0,8.0731
55.44,0.4195,-2.7177,-2,0,0,3.5732
55.46,-0.1153,-2.7298,-2,0,0,359.0184
55.48,-0.6477,-2.6995,-2,0,0,354.4783
55.5,-1.1662,-2.629,-2,0,0,350.0222
55.52,-1.6611,-2.5226,-2,0,0,345.7126
55.54,-2.1234,-2.387,-2,0,0,341.6103
55.56,-2.5466,-2.2304,-2,0,0,337.7682
55.58,-2.926,-2.0615,-2,0,0,334.2324
55.6,-3.2592,-1.889,-2,0,0,331.0381
55.62,-3.5452,-1.7214,-2,0,0,328.2159
55.64,-3.7843,-1.5662,-2,0,0,325.7889
55.66,-3.9778,-1.4296,-2,0,0,323.7726
55.68,-4.1273,-1.3169,-2,0,0,322.1794
55.7,-4.2342,-1.2321,-2,0,0,321.0174
55.72,-4.3001,-1.178,-2,0,0,320.2918
55.74,-4.326,-1.1564,-2,0,0,320.0051
55.76,-4.3122,-1.168,-2,0,0,320.1585
55.78,-4.2585,-1.2124,-2,0,0,320.7514
55.8,-4.1641,-1.2881,-2,0,0,321.7817
55.82,-4.0277,-1.3927,-2,0,0,323.245
55.84,-3.8477,-1.5226,-2,0,0,325.1342
55.86,-3.6226,-1.6728,-2,0,0,327.4382
55.88,-3.3508,-1.8374,-2,0,0,330.143
55.9,-3.0319,-2.0092,-2,0,0,333.2274
55.92,-2.6663,-2.1801,-2,0,0,336.663
55.94,-2.256,-2.3414,-2,0,0,340.417
55.96,-1.8049,-2.4843,-2,0,0,344.4458
55.98,-1.319,-2.6003,-2,0,0,348.6986
56,-0.8067,-2.6823,-2,0,0,353.1166
56.02,-0.2773,-2.7251,-2,0,0,357.6387
56.04,0.258,-2.7258,-2,0,0,2.1964
56.06,0.7877,-2.6845,-2,0,0,6.721
56.08,1.3009,-2.6039,-2,0,0,11.1438
56.1,1.7878,-2.489,-2,0,0,15.4038
56.12,2.2403,-2.347,-2,0,0,19.4416
56.14,2.6521,-2.1862,-2,0,0,23.2053
56.16,3.0194,-2.0155,-2,0,0,26.6541
56.18,3.3401,-1.8435,-2,0,0,29.7518
56.2,3.6135,-1.6785,-2,0,0,32.4707
