time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.04,4.3265,-1.1561,-2,0,0,40
28.06,-3.8348,-1.5315,-2,0,0,325.2676
28.08,-3.6355,-1.6645,-2,0,0,327.307
28.1,-3.3999,-1.8089,-2,0,0,329.66
28.12,-3.1274,-1.9601,-2,0,0,332.3128
28.14,-2.8181,-2.1124,-2,0,0,335.2481
28.16,-2.4731,-2.26,-2,0,0,338.4428
28.18,-2.0944,-2.3966,-2,0,0,341.8704
28.2,-1.6853,-2.5164,-2,0,0,345.4995
28.22,-1.2506,-2.6136,-2,0,0,349.2924
28.24,-0.7959,-2.6835,-2,0,0,353.2089
28.26,-0.3282,-2.7228,-2,0,0,357.2048
28.28,0.145,-2.7292,-2,0,0,1.2342
28.3,0.6157,-2.7025,-2,0,0,5.2485
28.32,1.0763,-2.6442,-2,0,0,9.2011
28.34,1.5195,-2.557,-2,0,0,13.0476
28.36,1.9392,-2.4454,-2,0,0,16.7445
28.38,2.3301,-2.3146,-2,0,0,20.254
28.4,2.6885,-2.1705,-2,0,0,23.5425
28.42,3.0118,-2.0193,-2,0,0,26.5815
28.44,3.2986,-1.8671,-2,0,0,29.346
28.46,3.5485,-1.7194,-2,0,0,31.8171
28.48,3.7618,-1.5814,-2,0,0,33.9798
28.5,3.9393,-1.4576,-2,0,0,35.8218
28.52,4.082,-1.3517,-2,0,0,37.3347
28.54,4.1912,-1.2666,-2,0,0,38.5126
28.56,4.2678,-1.2048,-2,0,0,39.3509
28.58,4.3127,-1.1676,-2,0,0,39.847
28.6,4.3264,-1.1561,-2,0,0,39.9995
28.62,4.3091,-1.1706,-2,0,0,39.8078
28.64,4.2607,-1.2106,-2,0,0,39.2727
28.66,4.1804,-1.2752,-2,0,0,38.3957
28.68,4.0675,-1.3627,-2,0,0,37.1794
28.7,3.9209,-1.4708,-2,0,0,35.6286
28.72,3.7394,-1.5965,-2,0,0,33.7497
28.74,3.522,-1.7358,-2,0,0,31.5516
28.76,3.2679,-1.8843,-2,0,0,29.0459
28.78,2.9768,-2.0367,-2,0,0,26.2491
28.8,2.6495,-2.1874,-2,0,0,23.1808
28.82,2.2872,-2.3303,-2,0,0,19.8652
28.84,1.8928,-2.4592,-2,0,0,16.3325
28.86,1.4702,-2.5682,-2,0,0,12.6167
28.88,1.0247,-2.6523,-2,0,0,8.7565
28.9,0.5625,-2.7072,-2,0,0,4.7939
28.92,0.0911,-2.7302,-2,0,0,0.7756
28.94,-0.3818,-2.7199,-2,0,0,356.7481
28.96,-0.8484,-2.6771,-2,0,0,352.7583
28.98,-1.3012,-2.6038,-2,0,0,348.8537
29,-1.7333,-2.5038,-2,0,0,345.0775
29.02,-2.1391,-2.3818,-2,0,0,341.4695
29.04,-2.5141,-2.2436,-2,0,0,338.067
29.06,-2.8551,-2.0952,-2,0,0,334.9005
