time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.04,-0.3753,-0.6686,-1.7093,69.9708,235.9203,43.3257
28.06,-0.3771,-0.6717,-1.7114,69.9484,235.9301,43.3256
28.08,-0.3782,-0.6719,-1.712,69.9479,235.9249,43.3217
28.1,-0.377,-0.6689,-1.7118,69.9601,235.9214,43.3134
28.12,-0.3791,-0.6732,-1.7194,69.9302,235.8954,43.2635
28.14,-0.3804,-0.6715,-1.7198,69.9296,235.8853,43.2581
28.16,-0.3801,-0.6719,-1.7242,69.9209,235.8613,43.2193
28.18,-0.3792,-0.6705,-1.7269,69.9193,235.8621,43.2136
28.2,-0.3802,-0.6724,-1.7301,69.9059,235.8423,43.1867
28.22,-0.3802,-0.6721,-1.7347,69.8988,235.8004,43.1354
28.24,-0.3743,-0.6696,-1.7401,69.909,235.7607,43.0789
28.26,-0.3766,-0.6713,-1.7416,69.8978,235.7643,43.0795
28.28,-0.3768,-0.6714,-1.7423,69.8982,235.7477,43.0644
28.3,-0.3742,-0.6715,-1.7461,69.8959,235.7069,43.0038
28.32,-0.3761,-0.6724,-1.7462,69.8863,235.7123,43.0156
28.34,-0.374,-0.6732,-1.7494,69.8851,235.6959,42.9799
28.36,-0.3743,-0.6723,-1.748,69.8908,235.6815,42.9717
28.38,-0.3725,-0.6717,-1.7494,69.8927,235.6877,42.9587
28.4,-0.3725,-0.6722,-1.7494,69.8943,235.702,42.9669
28.42,-0.3723,-0.6714,-1.7487,69.8972,235.698,42.9629
28.44,-0.3675,-0.6728,-1.7537,69.8957,235.6631,42.9034
28.46,-0.367,-0.673,-1.7537,69.8947,235.694,42.9222
28.48,-0.3675,-0.6744,-1.7534,69.891,235.6746,42.9054
28.5,-0.3674,-0.6728,-1.7513,69.8996,235.6831,42.9173
28.52,-0.368,-0.6727,-1.749,69.904,235.6896,42.9275
28.54,-0.3664,-0.6737,-1.7501,69.902,235.6879,42.916
28.56,-0.3664,-0.6735,-1.7496,69.9027,235.7162,42.9288
28.58,-0.3663,-0.6745,-1.7503,69.8998,235.7222,42.9134
28.6,-0.3669,-0.6763,-1.7511,69.8826,235.7288,42.8919
28.62,-0.3671,-0.6749,-1.7509,69.8913,235.7606,42.8812
28.64,-0.3666,-0.677,-1.7549,69.8774,235.7435,42.8374
28.66,-0.3672,-0.6783,-1.7579,69.8651,235.7535,42.8218
28.68,-0.3664,-0.6782,-1.7623,69.8671,235.717,42.7408
28.7,-0.3663,-0.6788,-1.7709,69.8491,235.675,42.6666
28.72,-0.3617,-0.6761,-1.8023,69.8061,235.4573,42.3802
28.74,-0.3573,-0.6739,-1.8284,69.7662,235.2788,42.2272
28.76,-0.3475,-0.6646,-1.8607,69.7278,234.9722,41.95
28.78,-0.3378,-0.657,-1.9019,69.6783,234.6574,41.6582
28.8,-0.3209,-0.6456,-1.952,69.6323,234.2352,41.2758
28.82,-0.2897,-0.6033,-2.0404,69.5705,233.6065,40.7095
28.84,-0.2743,-0.5718,-2.0823,69.5363,233.499,40.4336
28.86,-0.2516,-0.5107,-2.1069,69.5512,233.6208,40.2229
28.88,-0.2376,-0.4239,-2.1089,69.5641,234.6196,40.5823
28.9,-0.2287,-0.3018,-2.0729,69.6661,237.6372,42.3136
28.92,-0.2081,0.0298,-1.8282,69.6489,250.632,52.9467
28.94,-0.1902,0.2274,-1.5661,69.5521,254.9173,55.8091
28.96,-0.1435,0.3651,-1.2016,69.5811,257.7215,57.4645
28.98,-0.0492,0.3953,-0.7189,70.1323,260.3843,60.9504
29,0.0534,0.3166,-0.1175,70.8167,266.3994,67.8585
29.02,0.2519,0.1359,1.402,70.2825,285.8483,84.4165
29.04,0.3698,0.1108,2.2579,69.5091,294.5898,92.1197
29.06,0.5081,0.158,3.1375,68.4843,301.4058,98.4944
29.08,0.6534,0.29,4.0242,67.3032,306.4521,103.1021
29.1,0.8154,0.4694,4.8857,66.0534,310.1516,106.3487
29.12,1.145,0.8971,6.5432,63.3707,318.0961,114.2646
