time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.08,-24.227,-16.9163,5.6129,81.1627,192.8424,300.4849
28.1,-24.2253,-16.9138,5.6141,81.1712,192.8458,300.484
28.12,-24.2254,-16.9155,5.612,81.16,192.8114,300.4559
28.14,-24.2275,-16.9122,5.6115,81.1611,192.8939,300.5379
28.16,-24.2277,-16.9137,5.6094,81.1581,192.8833,300.5254
28.18,-24.2275,-16.9131,5.6094,81.1593,192.8989,300.5367
28.2,-24.2328,-16.9144,5.6043,81.1433,192.9065,300.5523
28.22,-24.2337,-16.9129,5.6053,81.1445,192.9515,300.5968
28.24,-24.2339,-16.9127,5.6055,81.1479,192.9558,300.5965
28.26,-24.2361,-16.9126,5.6045,81.1446,192.9699,300.6205
28.28,-24.237,-16.9104,5.6056,81.1484,193.034,300.6865
28.3,-24.2376,-16.9128,5.6059,81.1466,192.996,300.6478
28.32,-24.2385,-16.9142,5.6058,81.1384,193.0227,300.6736
28.34,-24.2391,-16.9144,5.6072,81.1381,193.0826,300.7254
28.36,-24.2397,-16.9148,5.6074,81.1352,193.0818,300.7274
28.38,-24.2426,-16.9157,5.6058,81.1304,193.0946,300.7502
28.4,-24.2428,-16.9192,5.605,81.1199,193.1112,300.7856
28.42,-24.2452,-16.9159,5.6055,81.1263,193.1894,300.8852
28.44,-24.2449,-16.9188,5.6034,81.11,193.1062,300.8162
28.46,-24.2465,-16.9169,5.6026,81.1104,193.152,300.8918
28.48,-24.2482,-16.9205,5.5961,81.0764,193.1317,300.9151
28.5,-24.2484,-16.9226,5.5861,81.0461,193.0104,300.8441
28.52,-24.2475,-16.9257,5.5759,81.0073,192.9048,300.7843
28.54,-24.2475,-16.9238,5.5701,80.9815,192.9116,300.8307
28.56,-24.2492,-16.922,5.5615,80.9461,192.8318,300.8084
28.58,-24.246,-16.9232,5.5488,80.9065,192.775,300.7983
28.6,-24.2487,-16.9173,5.5171,80.8014,192.6634,300.7814
28.62,-24.2515,-16.9142,5.4969,80.7581,192.631,300.7441
28.64,-24.2524,-16.9136,5.4729,80.6746,192.5634,300.6545
28.66,-24.2532,-16.9033,5.4482,80.6187,192.6192,300.6872
28.68,-24.2541,-16.8931,5.4143,80.5092,192.5493,300.653
28.7,-24.2657,-16.8666,5.3213,80.2096,192.467,300.7395
28.72,-24.267,-16.8439,5.2726,80.0583,192.4421,300.8832
28.74,-24.2746,-16.8229,5.2116,79.8492,192.3868,301.0709
28.76,-24.2774,-16.7916,5.1435,79.6602,192.2159,301.1065
28.78,-24.2826,-16.7374,5.0639,79.4037,192.0998,301.3668
28.8,-24.2986,-16.5865,4.8437,78.7337,191.7581,301.9695
28.82,-24.3092,-16.4834,4.6939,78.2743,191.5742,302.2336
28.84,-24.3232,-16.3684,4.5165,77.7601,191.3592,302.222
28.86,-24.3395,-16.253,4.3108,77.1976,191.1678,301.9865
28.88,-24.3634,-16.1451,4.0763,76.5681,191.029,301.698
28.9,-24.4342,-15.9498,3.5388,75.0125,191.1475,301.5469
28.92,-24.4779,-15.8671,3.2565,74.1731,191.2121,301.1169
28.94,-24.5327,-15.7854,2.9766,73.3735,191.4173,300.6421
28.96,-24.5847,-15.6979,2.7134,72.5931,191.6855,300.3549
28.98,-24.6384,-15.6168,2.4679,71.8384,191.8589,300.0252
29,-24.7395,-15.4548,2.0814,70.7433,191.4792,298.3722
29.02,-24.7865,-15.3786,1.9524,70.259,191.4077,298.0484
29.04,-24.8259,-15.3191,1.8773,70.0786,191.0906,297.2722
29.06,-24.8644,-15.2843,1.8507,69.9547,190.9927,297.1186
29.08,-24.8975,-15.2801,1.8809,69.988,190.8935,296.9863
29.1,-24.9617,-15.3516,2.1299,70.7873,190.3067,297.0122
