time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.28,-25.2029,-16.5831,5.4206,70.1441,155.5944,318.1223
40.3,-25.216,-16.6308,5.5084,70.4528,156.4665,318.8123
40.32,-25.2305,-16.6813,5.604,70.9853,157.2689,319.2966
40.34,-25.2379,-16.7479,5.6912,71.304,157.8947,319.4918
40.36,-25.2648,-16.8432,5.8623,71.7177,158.7324,318.3344
40.38,-25.2663,-16.8795,5.9308,71.9566,159.3825,318.1423
40.4,-25.2621,-16.917,5.9803,72.0709,159.8841,317.7794
40.42,-25.2611,-16.9359,6.0166,72.1881,160.3727,317.6425
40.44,-25.2433,-16.9725,6.0295,72.1894,160.7626,317.4467
40.46,-25.2149,-17.0588,5.9796,71.9616,161.5687,317.2067
40.48,-25.1955,-17.0886,5.9235,71.7739,161.9789,317.2112
40.5,-25.1737,-17.1111,5.8388,71.4977,162.4107,317.3
40.52,-25.1478,-17.1161,5.7289,71.1426,162.6959,317.3841
40.54,-25.1171,-17.13,5.5758,70.6214,162.8588,317.5202
40.56,-25.0486,-17.0891,5.2326,69.5304,163.2527,318.0424
40.58,-25.0139,-17.0662,5.0338,68.9006,163.5217,318.3217
40.6,-24.9777,-17.0394,4.8305,68.2584,163.9325,318.5972
40.62,-24.9466,-17.0224,4.6073,67.5536,164.3793,318.8152
40.64,-24.9198,-16.9966,4.3827,66.8721,164.945,319.0771
40.66,-24.87,-16.9437,3.913,65.4299,166.2561,319.6324
40.68,-24.849,-16.9042,3.6746,64.693,167.0217,319.8915
40.7,-24.8283,-16.8509,3.4429,63.9824,167.8014,320.1888
40.72,-24.8123,-16.7979,3.2048,63.2386,168.4425,320.5009
40.74,-24.7932,-16.737,2.9816,62.566,169.0629,320.8531
40.76,-24.7579,-16.6309,2.5637,61.303,170.069,321.4228
40.78,-24.7406,-16.5676,2.3855,60.7689,170.5511,321.6518
40.8,-24.7236,-16.4955,2.2328,60.3154,170.9747,321.8636
40.82,-24.7082,-16.4234,2.0973,59.9215,171.2222,322.0591
40.84,-24.6896,-16.3671,1.9827,59.5622,171.4405,322.1358
40.86,-24.6741,-16.3022,1.8027,59.0182,172.2421,321.8558
40.88,-24.6778,-16.3138,1.7195,58.7289,172.9709,321.2821
40.9,-24.6898,-16.3293,1.6259,58.4261,173.7084,320.7413
40.92,-24.7002,-16.336,1.5178,58.0782,174.3961,320.3347
40.94,-24.7112,-16.3225,1.3776,57.6312,174.9002,320.2605
40.96,-24.7407,-16.2143,1.013,56.4324,175.9206,320.5609
40.98,-24.7684,-16.1175,0.7873,55.6744,176.5487,320.7799
41,-24.7983,-16.0035,0.5329,54.8007,177.1001,321.1014
41.02,-24.8266,-15.8746,0.2645,53.8779,177.617,321.5161
41.04,-24.8543,-15.744,-0.0212,52.8856,177.9981,321.9555
41.06,-24.9041,-15.4714,-0.5878,50.9114,178.4422,323.0733
41.08,-24.9308,-15.3206,-0.8306,50.0742,178.5627,323.658
41.1,-24.9558,-15.1657,-1.0211,49.368,178.6165,324.3097
