time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
23.9,0.8344,0.1267,-0.2821,74.254,207.1939,27.414
23.92,0.825,0.1286,-0.3005,74.1741,206.7514,27.0208
23.94,0.823,0.1409,-0.317,74.1431,206.5176,26.7944
23.96,0.8243,0.1521,-0.3321,74.0818,206.5075,27.015
23.98,0.8276,0.1726,-0.3472,74.0564,205.7401,26.718
24,0.8363,0.1978,-0.3685,74.0362,204.8318,26.2994
24.02,0.8561,0.2507,-0.412,73.8857,204.2216,26.7238
24.04,0.8699,0.2803,-0.436,73.8825,203.5926,26.6157
24.06,0.887,0.311,-0.4647,73.8992,202.9835,26.5489
24.08,0.899,0.3418,-0.4901,73.9299,202.354,26.3761
24.1,0.9146,0.3769,-0.5177,73.9267,201.8937,26.268
24.12,0.9609,0.429,-0.5849,73.8572,200.9034,26.3393
24.14,0.9865,0.4517,-0.6186,73.8078,200.5574,26.5087
24.16,1.0114,0.4698,-0.6609,73.6574,200.233,26.4253
24.18,1.0347,0.4891,-0.7016,73.5059,199.888,26.1492
24.2,1.0614,0.4999,-0.7445,73.4723,199.9859,26.2153
24.22,1.1323,0.4997,-0.8438,73.2555,199.8907,26.3228
24.24,1.1685,0.4938,-0.8917,73.1294,199.5208,26.2679
24.26,1.2068,0.4837,-0.9428,73.002,199.1189,26.0463
24.28,1.247,0.475,-0.9953,72.8695,198.6342,25.5968
24.3,1.2847,0.4696,-1.0414,72.7813,198.0747,25.0663
24.32,1.359,0.4573,-1.1251,72.6397,196.8377,23.9315
24.34,1.3954,0.4574,-1.1543,72.5809,196.2823,23.4091
24.36,1.4274,0.4491,-1.1815,72.4883,195.8614,23.0363
24.38,1.4598,0.4462,-1.1988,72.4458,195.536,22.7795
24.4,1.4922,0.4391,-1.2138,72.4134,195.3074,22.5954
24.42,1.5483,0.4351,-1.2094,72.4604,194.9989,22.2065
24.44,1.5641,0.4274,-1.1888,72.5255,194.9672,22.1254
24.46,1.5792,0.4179,-1.1567,72.6091,194.9634,22.0323
24.48,1.5963,0.4074,-1.117,72.7079,195.0213,22.0274
24.5,1.6095,0.3988,-1.06,72.8666,195.08,22.1285
24.52,1.6231,0.3854,-0.8995,73.2949,195.598,22.6166
24.54,1.6222,0.3769,-0.7929,73.573,196.0654,23.0445
24.56,1.6227,0.3687,-0.6703,73.9171,196.6129,23.5735
24.58,1.6216,0.3571,-0.5311,74.2887,197.2491,24.2574
24.6,1.6171,0.35,-0.3699,74.7203,197.9646,25.0426
24.62,1.6012,0.3318,0.0041,75.6763,199.9066,26.8696
24.64,1.586,0.3166,0.2255,76.2523,201.128,28.1584
24.66,1.577,0.3052,0.4628,76.8779,202.3903,29.6284
24.68,1.5661,0.3004,0.72,77.5364,203.9435,31.3388
24.7,1.5466,0.3047,1.0026,78.2356,205.8232,33.3422
24.72,1.5119,0.3186,1.6226,79.7237,210.8978,38.7088
24.74,1.4986,0.3298,1.9577,80.5396,214.106,42.0953
24.76,1.4788,0.3324,2.3049,81.2897,218.1927,46.3627
24.78,1.4583,0.3538,2.6714,82.056,223.311,51.5722
24.8,1.4371,0.3809,3.049,82.7583,229.6234,57.924
24.82,1.3974,0.456,3.8135,83.8626,246.4311,74.8047
24.84,1.3843,0.5015,4.1934,84.2003,256.668,85.1624
24.86,1.376,0.5532,4.5643,84.3697,267.429,96.0078
24.88,1.3575,0.6072,4.9339,84.2997,278.1263,106.7762
24.9,1.3479,0.6649,5.2819,84.0545,287.9449,116.5783
24.92,1.3277,0.7559,5.9072,83.4906,303.011,131.6162
24.94,1.3234,0.8057,6.183,83.0421,308.4516,137.1732
24.96,1.3282,0.8414,6.4131,82.6209,311.9042,140.788
24.98,1.3274,0.8727,6.612,82.3675,315.3386,144.571
25,1.3395,0.8967,6.7595,82.1446,317.6985,147.2516
25.02,1.3542,0.9163,6.9147,81.9552,320.4766,150.6713
25.04,1.3744,0.9307,6.9169,82.0841,321.6928,152.1744
25.06,1.3897,0.9203,6.873,82.2859,321.755,152.5078
25.08,1.4159,0.8932,6.7715,82.668,321.0006,152.2074
25.1,1.4453,0.8611,6.6106,83.1398,319.5317,151.1536
25.12,1.5017,0.7511,6.1535,84.3333,312.1779,144.2292
25.14,1.5389,0.6726,5.8496,85.0194,305.6346,137.848
25.16,1.5758,0.5982,5.5031,85.6646,295.9121,128.324
25.18,1.6184,0.5278,5.1072,86.1889,280.8893,113.3936
25.2,1.6505,0.4613,4.6707,86.2971,260.6187,93.0838
25.22,1.7195,0.367,3.6635,84.9751,226.8697,58.5967
25.24,1.771,0.3519,3.0944,83.8457,218.0003,49.2567
25.26,1.8203,0.3709,2.5028,82.6474,210.5143,41.6324
25.28,1.8754,0.4198,1.8802,81.2356,204.1927,35.2724
25.3,1.9283,0.484,1.2332,79.8085,199.6943,30.9558
25.32,2.0285,0.6952,-0.1058,76.7566,194.8576,26.1615
25.34,2.0762,0.8489,-0.7854,74.7513,192.0524,23.4956
25.36,2.1281,1.0278,-1.4661,72.909,189.7556,21.3794
25.38,2.1819,1.2192,-2.135,71.1222,187.504,20.135
25.4,2.2304,1.4339,-2.7936,69.3661,186.1174,19.6041
25.42,2.3053,1.9266,-4.0621,65.5733,184.2196,18.4033
25.44,2.3393,2.1906,-4.6593,63.7045,183.3912,18.0307
25.46,2.3698,2.4624,-5.2226,61.9652,182.6199,17.8679
25.48,2.3989,2.74,-5.7516,60.2857,181.9794,17.8374
25.5,2.424,3.0151,-6.2453,58.6446,181.5502,17.9147
25.52,2.4599,3.5355,-7.1131,55.5919,180.944,17.8388
25.54,2.469,3.765,-7.4823,54.2971,180.7269,17.6932
25.56,2.4793,3.9685,-7.8095,53.1422,180.5406,17.6245
25.58,2.4893,4.1434,-8.0902,52.1139,180.3848,17.6254
25.6,2.4958,4.2882,-8.3264,51.2025,180.2997,17.5304
25.62,2.5097,4.4747,-8.6466,49.9988,180.1244,17.7045
25.64,2.515,4.5163,-8.7246,49.6984,180.0057,18.0041
25.66,2.5202,4.5279,-8.7545,49.5591,179.9178,18.2332
25.68,2.5166,4.5033,-8.7341,49.596,179.9038,18.2334
25.7,2.5107,4.4487,-8.6667,49.8667,179.9104,18.2149
25.72,2.4933,4.2146,-8.3442,51.1002,179.8968,18.345
25.74,2.4811,4.0503,-8.1104,51.9388,179.9759,18.5021
25.76,2.4675,3.8579,-7.8264,52.9561,180.0919,18.6258
25.78,2.448,3.6376,-7.4912,54.1554,180.264,18.7426
25.8,2.425,3.3931,-7.1057,55.5165,180.4796,18.899
