time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.62,-23.0247,-17.825,5.472,73.9852,117.0323,346.9096
40.64,-23.0303,-17.8182,5.2573,73.7362,118.9597,348.9675
40.66,-23.0323,-17.8092,5.1347,73.5754,119.9897,350.135
40.68,-23.034,-17.7984,5.003,73.3919,121.0415,351.3326
40.7,-23.0426,-17.7828,4.8605,73.1902,122.1207,352.6136
40.72,-23.052,-17.7634,4.7117,72.9731,123.2215,353.8956
40.74,-23.0775,-17.7226,4.3826,72.4284,125.5692,356.3359
40.76,-23.0952,-17.7061,4.1977,72.1264,126.756,357.6731
40.78,-23.1064,-17.682,4.0105,71.8338,127.8515,359.0934
40.8,-23.1176,-17.6548,3.814,71.5182,128.905,0.4771
40.82,-23.1346,-17.6167,3.608,71.18,130.2387,1.9588
40.84,-23.1567,-17.5799,3.387,70.797,131.6775,3.4888
40.86,-23.2072,-17.4983,2.9224,69.966,134.8162,6.5061
40.88,-23.2348,-17.4549,2.6767,69.5092,136.4915,8.0604
40.9,-23.2649,-17.3996,2.4301,69.0732,138.1658,9.6974
40.92,-23.2951,-17.3362,2.182,68.6257,139.8229,11.3658
40.94,-23.3488,-17.202,1.6928,67.671,142.9297,14.6265
40.96,-23.3757,-17.1303,1.4599,67.1989,144.3523,16.0779
40.98,-23.4012,-17.0553,1.2429,66.7553,145.619,17.4529
41,-23.423,-16.9814,1.0455,66.3636,146.6742,18.7332
41.02,-23.4389,-16.9136,0.8738,66.005,147.566,19.85
41.04,-23.4522,-16.8529,0.7286,65.6863,148.3061,20.7503
41.06,-23.4729,-16.7504,0.5349,65.2708,149.347,22.0451
41.08,-23.4757,-16.7156,0.4957,65.2098,149.5696,22.5362
41.1,-23.4747,-16.6915,0.5005,65.2462,149.603,22.768
41.12,-23.4739,-16.6836,0.5394,65.3279,149.5509,22.7056
41.14,-23.4638,-16.6914,0.6329,65.4874,149.2753,22.2512
41.16,-23.4306,-16.735,0.9719,66.2647,147.8146,20.1513
41.18,-23.4032,-16.7731,1.22,66.8186,146.6798,18.7151
41.2,-23.3656,-16.8283,1.5208,67.4832,145.2025,16.9155
41.22,-23.3208,-16.8976,1.8692,68.2061,143.3494,14.5929
41.24,-23.1996,-17.0457,2.7168,69.799,138.2933,8.1025
41.26,-23.1151,-17.1163,3.221,70.6358,134.709,3.896
41.28,-23.0214,-17.181,3.7748,71.4604,130.4216,359.072
41.3,-22.9152,-17.2453,4.3736,72.2079,125.3216,353.4443
41.32,-22.7978,-17.2995,5.013,72.8284,119.3861,346.9425
41.34,-22.6743,-17.33,5.6884,73.2673,112.6924,339.5808
41.36,-22.4182,-17.2967,7.1214,73.4026,97.845,323.4462
41.38,-22.2853,-17.2048,7.8798,73.0243,89.953,314.9889
41.4,-22.1513,-17.0752,8.6516,72.286,82.3798,306.8781
41.42,-22.0193,-16.9109,9.4285,71.1841,75.3283,299.2891
41.44,-21.749,-16.5183,10.961,68.2936,63.4007,286.6378
41.46,-21.6039,-16.2936,11.6988,66.3881,59.0507,282.4849
41.48,-21.4516,-16.071,12.3963,64.4552,55.5955,279.7324
41.5,-21.2943,-15.8436,13.0502,62.4746,52.9874,277.969
41.52,-21.1718,-15.5912,13.6381,60.7334,50.9057,276.1312
41.54,-20.9668,-15.0801,14.6109,57.6389,48.3531,272.7155
41.56,-20.8794,-14.8319,15.0135,56.1188,47.4009,271.8769
41.58,-20.7985,-14.616,15.3633,54.8374,46.5131,271.2561
41.6,-20.7387,-14.4442,15.6517,53.8404,45.7797,270.6349
41.62,-20.7038,-14.3044,15.8862,53.0311,45.2286,270.1891
41.64,-20.6778,-14.1989,16.0589,52.5129,44.7773,269.7298
41.66,-20.6774,-14.0916,16.2197,52.1106,44.2467,268.988
41.68,-20.6929,-14.0966,16.2124,52.1968,44.2399,268.7483
41.7,-20.7305,-14.1436,16.1468,52.5455,44.2896,268.4465
41.72,-20.791,-14.2285,16.0125,53.1048,44.4507,268.1095
41.74,-20.9644,-14.5472,15.5657,54.9019,45.1145,268.2405
41.76,-21.0538,-14.7429,15.2741,56.0393,45.634,268.7328
41.78,-21.1747,-14.9708,14.9108,57.4415,46.3126,269.4868
41.8,-21.3103,-15.211,14.487,59.0652,47.2836,270.5036
41.82,-21.474,-15.459,13.9849,60.8756,48.5241,271.796
41.84,-21.8043,-15.9594,12.826,64.6154,52.4254,276.3108
41.86,-21.9889,-16.1875,12.1811,66.5065,55.1047,279.4721
41.88,-22.194,-16.4153,11.4808,68.4134,58.6915,283.6846
41.9,-22.4044,-16.6284,10.744,70.4126,63.3911,288.9778
41.92,-22.6455,-16.8184,9.9579,72.214,69.0943,295.1636
41.94,-23.1186,-17.0837,8.3066,75.1238,85.6885,311.8053
41.96,-23.3688,-17.1327,7.4499,75.9892,96.3683,322.1854
41.98,-23.6097,-17.1363,6.593,76.334,107.7137,333.4143
42,-23.8433,-17.0965,5.7375,76.1734,119.2308,344.8555
42.02,-24.0734,-17.0025,4.8892,75.4473,130.3945,355.6972
42.04,-24.2969,-16.863,4.0585,74.2504,139.8906,4.7227
42.06,-24.6983,-16.4691,2.5017,71.0797,153.4541,17.5834
42.08,-24.8684,-16.2445,1.7861,69.4139,157.9851,22.3726
42.1,-25.0156,-16.0123,1.117,67.7624,161.6172,26.5987
42.12,-25.141,-15.7739,0.4973,66.063,164.4791,29.929
42.14,-25.3503,-15.2684,-0.5822,62.6828,168.5333,34.0799
42.16,-25.4283,-15.0208,-1.0329,61.2521,169.7272,35.1964
42.18,-25.485,-14.7879,-1.4198,60.094,170.5111,36.301
42.2,-25.5197,-14.5807,-1.7438,59.1306,171.0338,37.5206
42.22,-25.5389,-14.3987,-2.0048,58.2767,171.4921,38.6427
42.24,-25.5458,-14.2481,-2.2084,57.5157,171.8023,39.4718
42.26,-25.5269,-14.0724,-2.4408,56.9588,173.3142,42.0887
42.28,-25.5064,-14.0426,-2.4642,56.7829,173.707,42.3505
42.3,-25.4748,-14.0582,-2.4272,56.9182,173.8864,42.5284
42.32,-25.4295,-14.1148,-2.3267,57.1405,173.6237,42.4723
42.34,-25.2826,-14.3778,-1.893,58.7646,172.1119,42.0433
42.36,-25.2013,-14.5611,-1.5907,59.7226,170.9462,40.9701
42.38,-25.1125,-14.7714,-1.2203,60.9727,170.0244,39.6356
42.4,-25.014,-15.0081,-0.7881,62.4309,168.6846,37.7551
42.42,-24.8956,-15.2614,-0.2813,64.2105,166.7433,35.7277
42.44,-24.6078,-15.7983,0.9233,68.0698,161.5922,30.6901
42.46,-24.4364,-16.0565,1.622,69.9323,157.8618,26.6692
42.48,-24.2621,-16.2912,2.3672,71.7919,152.9667,21.5038
42.5,-24.0684,-16.5047,3.1611,73.5433,146.5103,14.7093
42.52,-23.8631,-16.6902,3.9959,75.0851,138.1978,6.2092
42.54,-23.4095,-16.9509,5.7624,76.8844,115.7067,344.1893
42.56,-23.1696,-17.0207,6.6667,76.7141,102.5074,331.8251
42.58,-22.9091,-17.0448,7.5798,75.7396,89.8595,320.1987
42.6,-22.6558,-17.0233,8.4879,74.1512,79.4272,311.1502
42.62,-22.4089,-16.9657,9.3803,72.1628,71.8879,305.0152
42.64,-21.9497,-16.7037,11.0799,67.4092,62.6332,297.2299
42.66,-21.7435,-16.5271,11.874,65.0586,58.8414,293.8543
42.68,-21.5735,-16.3321,12.6045,62.7075,56.1952,291.333
42.7,-21.4231,-16.094,13.2926,60.5615,53.504,288.8386
42.72,-21.2966,-15.8353,13.9168,58.5237,51.127,286.595
42.74,-21.2187,-15.5948,14.4635,56.9202,49.2595,284.8731
42.76,-21.1266,-15.0982,15.3826,54.3256,46.3266,281.9102
42.78,-21.1014,-14.8717,15.7489,53.3134,45.2079,280.556
42.8,-21.1071,-14.6786,16.0604,52.4821,44.1764,279.1419
42.82,-21.1121,-14.4952,16.3097,51.7894,43.3257,277.8182
42.84,-21.2158,-14.3204,16.5993,51.1582,41.9836,275.6533
42.86,-21.2545,-14.2628,16.6778,51.1085,41.525,274.6916
42.88,-21.3347,-14.2548,16.6808,51.3235,41.1493,273.9296
42.9,-21.3956,-14.2929,16.6413,51.7074,41.018,273.4167
42.92,-21.5111,-14.3576,16.5276,52.299,40.7993,273.0467
42.94,-21.5979,-14.4943,16.363,53.0318,40.9077,273.0867
42.96,-21.8095,-14.87,15.8698,54.9691,41.5041,273.8126
42.98,-21.9273,-15.0926,15.5383,56.2143,42.1223,274.4213
43,-22.0553,-15.3275,15.1472,57.623,42.9841,275.3682
43.02,-22.1916,-15.6083,14.6829,59.2716,44.1962,276.8782
43.04,-22.3561,-15.844,14.1667,61.0346,45.4743,278.498
43.06,-22.7016,-16.3428,12.948,64.8054,49.9834,283.2471
43.08,-22.8901,-16.5868,12.2657,66.7158,52.9264,286.8335
43.1,-23.0815,-16.8307,11.5449,68.5927,56.6546,291.3134
43.12,-23.3071,-17.071,10.7501,70.5666,62.2905,297.0115
43.14,-23.7597,-17.3884,9.0282,73.6172,77.7546,311.4631
43.16,-23.9728,-17.4015,8.1487,74.639,86.1386,320.187
43.18,-24.1777,-17.3713,7.2436,75.4738,95.4061,330.3961
43.2,-24.3853,-17.2693,6.3366,75.8688,106.0691,341.8943
43.22,-24.5854,-17.1189,5.4208,75.5227,117.6439,353.5491
43.24,-24.9848,-16.6652,3.6235,73.3514,137.9035,12.9651
43.26,-25.1697,-16.3968,2.7667,71.9485,145.0645,19.9217
43.28,-25.3301,-16.1339,1.9406,70.2542,150.9401,25.7639
43.3,-25.472,-15.8408,1.1714,68.3639,155.7677,30.6043
43.32,-25.5961,-15.5271,0.4545,66.4149,159.5493,34.4786
43.34,-25.7002,-15.1871,-0.1947,64.4507,162.4404,37.3623
43.36,-25.844,-14.5317,-1.2964,61.1703,167.345,42.6643
43.38,-25.8924,-14.23,-1.7515,59.6819,169.4672,44.6235
43.4,-25.9246,-13.9553,-2.1413,58.2375,170.8057,45.8556
43.42,-25.9364,-13.7059,-2.45,57.0249,171.8649,46.7916
43.44,-25.9136,-13.3458,-2.8775,55.3662,172.6616,47.5681
43.46,-25.8808,-13.2371,-2.9852,54.9074,172.7046,47.5861
43.48,-25.8371,-13.1821,-3.0268,54.7158,172.7337,47.6686
43.5,-25.7849,-13.1776,-3.0002,54.768,172.6579,47.527
43.52,-25.7279,-13.2216,-2.919,55.0048,172.5256,47.1783
43.54,-25.6511,-13.3276,-2.744,55.5559,172.1885,46.4077
43.56,-25.4886,-13.6756,-2.2151,57.4027,170.8162,44.2183
43.58,-25.3956,-13.9152,-1.8514,58.7462,169.8538,42.8687
43.6,-25.2974,-14.1917,-1.4237,60.1952,168.7481,41.1132
43.62,-25.1879,-14.4963,-0.9218,61.8908,167.3756,39.0228
43.64,-24.9341,-15.1699,0.2909,66.0419,163.4981,34.6076
43.66,-24.7885,-15.5111,1.0012,68.3362,160.576,31.4183
43.68,-24.6265,-15.8387,1.7789,70.6771,156.4851,27.2004
