time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
25.34,4.3265,-1.1561,-2,0,0,40
25.36,4.0476,-1.3777,-2,0,0,36.9673
25.38,3.8734,-1.5046,-2,0,0,35.1326
25.4,3.6541,-1.6525,-2,0,0,32.8808
25.42,3.3884,-1.8157,-2,0,0,30.2268
25.44,3.0756,-1.987,-2,0,0,27.1898
25.46,2.7159,-2.1585,-2,0,0,23.7972
25.48,2.3111,-2.3215,-2,0,0,20.0823
25.5,1.865,-2.4672,-2,0,0,16.0863
25.52,1.3833,-2.5871,-2,0,0,11.8597
25.54,0.8737,-2.6738,-2,0,0,7.4584
25.56,0.346,-2.7219,-2,0,0,2.9465
25.58,-0.1892,-2.7281,-2,0,0,358.3896
25.6,-0.7202,-2.6921,-2,0,0,353.8575
25.62,-1.2361,-2.6163,-2,0,0,349.4174
25.64,-1.727,-2.5055,-2,0,0,345.133
25.66,-2.1842,-2.3665,-2,0,0,341.0642
25.68,-2.6016,-2.2077,-2,0,0,337.2617
25.7,-2.9748,-2.0377,-2,0,0,333.7706
25.72,-3.3015,-1.8654,-2,0,0,330.6261
25.74,-3.581,-1.6991,-2,0,0,327.8574
25.76,-3.8137,-1.5461,-2,0,0,325.4857
25.78,-4.001,-1.4125,-2,0,0,323.5274
25.8,-4.1445,-1.3034,-2,0,0,321.9935
25.82,-4.2457,-1.2227,-2,0,0,320.8913
25.84,-4.3061,-1.1731,-2,0,0,320.2261
25.86,-4.3265,-1.1561,-2,0,0,320
25.88,-4.3072,-1.1722,-2,0,0,320.2142
25.9,-4.2479,-1.221,-2,0,0,320.8677
25.92,-4.1478,-1.3009,-2,0,0,321.9579
25.94,-4.0055,-1.4092,-2,0,0,323.4803
25.96,-3.8194,-1.5422,-2,0,0,325.4275
25.98,-3.5879,-1.6948,-2,0,0,327.788
26,-3.3096,-1.8609,-2,0,0,330.5465
26.02,-2.9842,-2.033,-2,0,0,333.6808
26.04,-2.6122,-2.2032,-2,0,0,337.1635
26.06,-2.196,-2.3624,-2,0,0,340.9576
26.08,-1.7398,-2.502,-2,0,0,345.0198
26.1,-1.2498,-2.6137,-2,0,0,349.2992
26.12,-0.7344,-2.6906,-2,0,0,353.7359
26.14,-0.2036,-2.7277,-2,0,0,358.267
26.16,0.3316,-2.7226,-2,0,0,2.8235
26.18,0.8597,-2.6756,-2,0,0,7.3381
26.2,1.3698,-2.5899,-2,0,0,11.7427
26.22,1.8524,-2.4708,-2,0,0,15.9747
26.24,2.2996,-2.3257,-2,0,0,19.9777
26.26,2.7055,-2.1631,-2,0,0,23.7008
26.28,3.0665,-1.9917,-2,0,0,27.103
26.3,3.3806,-1.8202,-2,0,0,30.1495
26.32,3.6475,-1.6567,-2,0,0,32.8145
26.34,3.868,-1.5083,-2,0,0,35.0772
26.36,4.0435,-1.3808,-2,0,0,36.9235
26.38,4.1755,-1.279,-2,0,0,38.3429
26.4,4.2658,-1.2064,-2,0,0,39.3288
26.42,4.3154,-1.1653,-2,0,0,39.8772
26.44,4.3252,-1.1571,-2,0,0,39.9859
26.46,4.2953,-1.1821,-2,0,0,39.6545
26.48,4.2252,-1.2393,-2,0,0,38.8843
26.5,4.114,-1.3271,-2,0,0,37.6781
26.52,3.9602,-1.4424,-2,0,0,36.0417
26.54,3.7622,-1.5812,-2,0,0,33.9833
26.56,3.5183,-1.738,-2,0,0,31.5147
26.58,3.2275,-1.9065,-2,0,0,28.6539
26.6,2.8895,-2.079,-2,0,0,25.4233
26.62,2.5055,-2.2471,-2,0,0,21.8542
26.64,2.0781,-2.4019,-2,0,0,17.9834
26.66,1.6121,-2.5349,-2,0,0,13.8581
26.68,1.1145,-2.6379,-2,0,0,9.5312
26.7,0.5939,-2.7045,-2,0,0,5.0625
26.72,0.0609,-2.7305,-2,0,0,0.5184
26.74,-0.4735,-2.7141,-2,0,0,355.9659
26.76,-0.9978,-2.6564,-2,0,0,351.4746
26.78,-1.5016,-2.5611,-2,0,0,347.1095
26.8,-1.9754,-2.4344,-2,0,0,342.9334
26.82,-2.412,-2.2838,-2,0,0,339.0009
26.84,-2.8063,-2.1179,-2,0,0,335.3592
26.86,-3.1548,-1.9456,-2,0,0,332.0491
