time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
25.34,0.3372,-0.2308,-0.8356,86.266,288.8536,193.6021
25.36,0.352,-0.2299,-0.8528,86.3213,288.557,193.5338
25.38,0.3617,-0.2275,-0.8559,86.3434,294.8451,200.8065
25.4,0.392,-0.2444,-0.8702,86.2232,298.77,206.4832
25.42,0.4114,-0.2532,-0.8932,86.2821,298.3703,206.1591
25.44,0.4309,-0.2621,-0.9131,86.3375,298.0964,206.019
25.46,0.4469,-0.2676,-0.929,86.3823,298.0429,206.0555
25.48,0.4733,-0.2644,-0.952,86.4596,297.7605,205.7924
25.5,0.5156,-0.2625,-0.992,86.6047,297.1175,205.2072
25.52,0.5372,-0.2631,-1.0116,86.7073,296.8354,204.9028
25.54,0.5603,-0.2691,-1.0385,86.79,296.2851,204.344
25.56,0.5841,-0.2646,-1.0621,86.878,296.0506,204.0887
25.58,0.6063,-0.2601,-1.0879,86.9575,295.5612,203.5872
25.6,0.6411,-0.2652,-1.1501,87.1071,293.1618,201.0965
25.62,0.6654,-0.2607,-1.1867,87.1915,292.29,200.2317
25.64,0.6869,-0.2608,-1.2216,87.2362,290.498,198.611
25.66,0.7023,-0.2526,-1.2473,87.2463,288.9368,197.4473
25.68,0.7169,-0.2456,-1.2703,87.2441,286.7018,195.5832
25.7,0.7496,-0.2399,-1.3194,87.3863,282.8004,191.5896
25.72,0.7624,-0.2439,-1.3274,87.4515,282.3029,190.9132
25.74,0.7764,-0.2555,-1.3316,87.5548,282.6503,190.7802
25.76,0.7817,-0.2738,-1.3193,87.5925,284.2277,191.9651
25.78,0.7877,-0.2936,-1.297,87.5935,286.5298,193.9858
25.8,0.7784,-0.3121,-1.2026,87.4342,291.858,199.539
25.82,0.7686,-0.3045,-1.1502,87.2852,294.1053,202.2393
25.84,0.7583,-0.2918,-1.1008,87.1293,295.1171,203.794
25.86,0.749,-0.2628,-1.0427,86.9942,296.251,205.6972
25.88,0.7398,-0.2332,-0.9782,86.7946,296.3136,206.855
25.9,0.7199,-0.1623,-0.8048,86.4035,298.4368,210.1879
25.92,0.7158,-0.1488,-0.6929,86.1992,301.814,213.5028
25.94,0.7118,-0.1744,-0.552,85.9223,306.1007,217.5163
25.96,0.7013,-0.2173,-0.3765,85.5083,312.4082,223.2997
25.98,0.6968,-0.2787,-0.1833,85.0327,317.3501,227.594
26,0.6709,-0.3342,0.3164,83.715,324.9862,234.8191
26.02,0.6592,-0.3185,0.616,82.9123,328.1779,238.1671
26.04,0.6419,-0.2874,0.9559,82.0081,331.3732,241.6264
26.06,0.6293,-0.2641,1.314,81.0554,334.2904,244.7198
26.08,0.6163,-0.2459,1.706,79.9933,337.1166,247.7758
26.1,0.5795,-0.2091,2.5589,77.556,341.8263,252.0094
26.12,0.5566,-0.1822,3.006,76.2407,343.6557,253.3846
26.14,0.5342,-0.1323,3.4622,74.8455,345.1366,254.4814
26.16,0.5039,-0.0723,3.9135,73.4428,346.2424,255.2127
26.18,0.4672,0.0247,4.3664,71.9818,347.4342,255.7411
26.2,0.4005,0.2215,5.1926,69.1873,349.3751,255.7818
26.22,0.3659,0.3286,5.5636,67.9049,350.0836,255.7331
26.24,0.3246,0.446,5.8981,66.7472,350.425,255.9191
26.26,0.3051,0.597,6.1707,65.7377,350.7957,256.2287
26.28,0.2762,0.7409,6.3659,65.022,350.9376,256.2518
26.3,0.2538,0.9896,6.5112,64.3687,350.9155,256.3592
26.32,0.2525,1.0361,6.4427,64.5555,350.7544,256.2651
26.34,0.2412,1.0425,6.3039,64.9679,350.478,256.1101
26.36,0.2389,0.993,6.0199,65.8789,349.9661,255.6548
26.38,0.2435,0.9169,5.6543,67.0693,349.205,255.127
26.4,0.2723,0.785,4.6502,70.2301,346.6465,254.4023
26.42,0.2903,0.7288,4.0312,72.1765,344.6117,253.7134
26.44,0.3235,0.6768,3.334,74.323,342.0871,252.5403
26.46,0.3833,0.6411,2.5703,76.6569,338.6601,250.6474
26.48,0.4351,0.6331,1.7799,79.0124,333.1566,247.3572
26.5,0.5829,0.756,0.1283,83.4849,310.5888,229.1125
26.52,0.6777,0.8775,-0.6989,85.0388,286.0663,206.1896
26.54,0.7705,1.018,-1.4904,85.3161,252.6748,173.8117
26.56,0.8704,1.1451,-2.2474,84.1691,225.1203,146.3431
26.58,0.9677,1.2601,-2.9398,81.8355,210.25,130.9311
26.6,1.1376,1.4623,-4.0736,78.9072,198.568,118.4825
26.62,1.2035,1.5559,-4.5044,77.754,195.9848,115.1065
26.64,1.2469,1.6382,-4.8281,76.8277,194.7431,113.2609
26.66,1.2739,1.7111,-5.0443,76.1564,194.4246,112.781
26.68,1.2839,1.7806,-5.1485,75.749,194.3372,112.9416
26.7,1.2548,1.8274,-5.056,75.1261,197.7232,116.9667
26.72,1.2161,1.7928,-4.8511,75.6163,198.5806,118.471
26.74,1.1671,1.7083,-4.5526,76.3308,200.3324,120.7864
26.76,1.1063,1.5838,-4.1798,77.1439,203.4675,124.0941
26.78,1.0373,1.4378,-3.7276,78.3477,207.514,128.1326
