time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.24,0.1212,-0.33,-3.2769,81.7644,176.8141,76.3583
35.26,0.0807,-0.3569,-3.0016,82.6285,178.6505,77.9608
35.28,0.0237,-0.4051,-2.6422,83.7183,181.2099,80.1752
35.3,-0.1727,-0.5327,-1.6439,86.5906,195.3321,93.587
35.32,-0.2933,-0.5826,-1.0369,88.0066,221.395,119.3799
35.34,-0.4277,-0.5974,-0.3632,88.2102,286.7005,184.6977
35.36,-0.5672,-0.5836,0.3469,86.6272,321.7723,220.0189
35.38,-0.708,-0.5271,1.0861,84.5323,333.8603,232.4885
35.4,-0.9747,-0.3128,2.5518,80.0729,342.1355,241.2043
35.42,-1.1102,-0.1465,3.2757,77.7656,344.2733,243.5696
35.44,-1.1996,0.0211,3.914,75.7198,345.6422,244.7531
35.46,-1.3121,0.271,4.5812,73.4559,346.8594,245.9706
35.48,-1.4055,0.4951,5.1736,71.4348,347.3759,246.3703
35.5,-1.5286,0.9597,6.2538,67.6267,347.1924,248.5796
35.52,-1.5475,1.1714,6.7291,65.8265,347.6038,251.2278
35.54,-1.564,1.351,7.1471,64.2148,347.8582,253.1549
35.56,-1.5686,1.4891,7.4971,62.924,348.2618,254.5983
35.58,-1.5353,1.5911,7.7623,61.9222,348.8646,255.5513
35.6,-1.4816,1.7246,8.1178,60.8436,349.8157,255.0495
35.62,-1.421,1.7583,8.1901,60.6242,350.4265,255.0386
35.64,-1.3622,1.7389,8.2066,60.6319,350.8266,255.2415
35.66,-1.3068,1.6886,8.1722,60.8119,351.1837,255.5642
35.68,-1.2186,1.5753,8.0503,61.2924,351.5068,255.8136
35.7,-1.0442,1.2542,7.6133,63.0275,351.9932,255.7782
35.72,-0.9443,1.0263,7.2806,64.3185,352.1383,255.1976
35.74,-0.8508,0.7733,6.8901,65.7857,352.2409,254.8643
35.76,-0.7391,0.4965,6.4236,67.4871,352.313,254.5814
35.78,-0.5986,0.2233,5.8812,69.3666,352.6325,254.9174
