time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
20.1,-27.6354,17.9585,-4.0341,356.7784,0.9429,0.1708
20.12,-27.6356,17.9589,-4.0343,356.7763,0.9426,0.1689
20.14,-27.6368,17.959,-4.0351,356.7762,0.9356,0.1698
20.16,-27.6372,17.9579,-4.0354,356.7812,0.9319,0.1751
20.18,-27.6363,17.9588,-4.0349,356.7758,0.9383,0.17
20.2,-27.6347,17.9597,-4.0337,356.773,0.9505,0.1645
20.22,-27.636,17.9582,-4.0345,356.7793,0.9385,0.1742
20.24,-27.6354,17.9585,-4.0341,356.7779,0.9431,0.1703
20.26,-27.6367,17.9586,-4.0351,356.7767,0.9352,0.1713
20.28,-27.6365,17.9584,-4.0349,356.7786,0.9359,0.1714
20.3,-27.6362,17.9587,-4.0349,356.7767,0.9381,0.1698
20.32,-27.6367,17.9588,-4.0352,356.7758,0.9368,0.1704
20.34,-27.6369,17.9587,-4.0352,356.777,0.9347,0.172
20.36,-27.6347,17.9595,-4.0335,356.7733,0.948,0.166
20.38,-27.6348,17.9593,-4.034,356.7752,0.9474,0.1662
20.4,-27.6358,17.9584,-4.0344,356.7785,0.9411,0.1705
20.42,-27.6357,17.959,-4.0344,356.7764,0.9422,0.1665
20.44,-27.6357,17.9592,-4.0345,356.7748,0.9432,0.1683
20.46,-27.6333,17.9581,-4.0328,356.78,0.9511,0.172
20.48,-27.6335,17.9585,-4.0334,356.7774,0.9515,0.1704
20.5,-27.6339,17.9583,-4.0339,356.7779,0.9491,0.1718
20.52,-27.6332,17.9589,-4.0335,356.777,0.951,0.1695
20.54,-27.6323,17.9579,-4.0326,356.7817,0.9548,0.1701
20.56,-27.6315,17.9593,-4.0325,356.775,0.9623,0.1655
20.58,-27.6348,17.9587,-4.034,356.7782,0.9463,0.1691
20.6,-27.6341,17.9588,-4.0332,356.7789,0.9503,0.1686
20.62,-27.6349,17.9585,-4.0335,356.78,0.9477,0.1688
20.64,-27.6349,17.9586,-4.0339,356.778,0.9495,0.168
20.66,-27.6361,17.9586,-4.0343,356.7788,0.9408,0.1718
20.68,-27.6376,17.9584,-4.0352,356.7785,0.9302,0.1731
20.7,-27.6363,17.9591,-4.0345,356.775,0.9384,0.1694
20.72,-27.6367,17.9588,-4.0345,356.7766,0.9368,0.1716
20.74,-27.6375,17.9586,-4.035,356.7764,0.9308,0.1712
20.76,-27.6379,17.959,-4.0353,356.776,0.9305,0.1713
20.78,-27.6381,17.9588,-4.0353,356.7767,0.9301,0.1711
20.8,-27.6374,17.9585,-4.0348,356.777,0.9334,0.1708
20.82,-27.6379,17.959,-4.0355,356.7742,0.9309,0.1705
20.84,-27.6359,17.9591,-4.0343,356.7744,0.9438,0.1678
20.86,-27.637,17.959,-4.035,356.7764,0.9344,0.169
20.88,-27.6357,17.9585,-4.0343,356.7787,0.9432,0.1689
20.9,-27.6349,17.959,-4.0338,356.7754,0.9502,0.1663
20.92,-27.6356,17.9591,-4.0342,356.7752,0.9437,0.166
