time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.2,-0.0027,0.0001,-0.0005,1.1482,1.5686,353.7159
28.22,-0.0019,0.0007,-0.0012,1.1471,1.5705,353.7166
28.24,-0.0018,-0.0001,-0.001,1.1508,1.5722,353.7145
28.26,-0.0019,0,-0.0006,1.1495,1.5702,353.7131
28.28,-0.0026,0.0001,-0.0001,1.1485,1.5669,353.7138
28.3,-0.0027,-0.0002,0,1.1501,1.5649,353.7147
28.32,-0.0026,0,-0.0002,1.1504,1.5652,353.7147
28.34,-0.0052,0.0011,0.0021,1.1452,1.5374,353.721
28.36,-0.0019,-0.0002,0.0001,1.1501,1.5648,353.713
28.38,-0.0025,-0.0001,0.0001,1.1481,1.5621,353.7149
28.4,-0.0023,-0.0003,-0.0001,1.15,1.5623,353.7139
28.42,-0.0032,0.001,0.0004,1.1456,1.5548,353.7188
28.44,-0.0038,0.0003,0.0013,1.1485,1.549,353.7154
28.46,-0.0026,-0.0006,0.0004,1.1504,1.5592,353.7123
28.48,-0.0025,-0.0007,0.0002,1.1493,1.5606,353.7121
28.5,-0.0029,-0.0003,0.0004,1.1498,1.5593,353.7142
28.52,-0.003,-0.0009,0.0008,1.1522,1.558,353.712
28.54,0.0004,-0.0017,-0.0016,1.154,1.5814,353.706
28.56,-0.0023,-0.0006,0.0002,1.1503,1.565,353.7132
28.58,-0.0024,-0.0007,0.0002,1.1509,1.5648,353.7126
28.6,-0.0018,-0.0007,0,1.1508,1.566,353.7116
28.62,-0.0017,-0.001,-0.0002,1.1527,1.5683,353.7096
28.64,-0.0018,-0.0005,-0.0001,1.15,1.5674,353.7132
28.66,-0.0018,-0.0006,0,1.1504,1.5666,353.7127
28.68,-0.0014,-0.0009,-0.0002,1.1519,1.5673,353.7111
28.7,-0.0017,-0.0005,0,1.1522,1.5636,353.7142
28.72,-0.002,-0.0005,0,1.1502,1.5635,353.7143
28.74,-0.002,-0.0004,-0.0001,1.1481,1.5659,353.7143
28.76,-0.0026,-0.0004,0.0001,1.1488,1.5659,353.7146
28.78,-0.004,0.0003,0.0007,1.1473,1.5579,353.7177
28.8,-0.0022,0.0001,0,1.1491,1.5663,353.7161
28.82,-0.0026,-0.0002,0.0003,1.1493,1.5657,353.7156
28.84,-0.003,0.0007,0.0006,1.1457,1.5628,353.7185
28.86,-0.0018,0.0002,-0.0001,1.1476,1.5688,353.7169
28.88,-0.0004,0.0002,-0.0009,1.1504,1.5747,353.7148
28.9,-0.0001,0.0007,-0.0009,1.146,1.5746,353.7165
28.92,0.0001,0.0002,-0.0011,1.1469,1.5791,353.7151
28.94,0.0001,0.0007,-0.0015,1.1449,1.5815,353.7174
28.96,-0.0003,0.0009,-0.0014,1.1449,1.5795,353.7169
28.98,0.0005,0.001,-0.0017,1.1454,1.581,353.7173
29,-0.0003,0.0007,-0.0013,1.1455,1.5762,353.7172
29.02,0,-0.0003,-0.0016,1.1497,1.5806,353.7127
29.04,0.0005,-0.0007,-0.0018,1.1507,1.582,353.7112
29.06,-0.0004,0,-0.0012,1.1481,1.577,353.7134
29.08,-0.0009,0.0008,-0.0009,1.1463,1.5751,353.7168
29.1,-0.0019,0,0,1.1498,1.5695,353.7173
29.12,-0.001,0.0002,-0.0012,1.1488,1.5777,353.7172
29.14,-0.0009,0.0005,-0.0011,1.1469,1.5748,353.7173
29.16,-0.0009,0.0004,-0.0009,1.1471,1.5757,353.7159
29.18,-0.0003,0.0006,-0.0015,1.1466,1.58,353.716
29.2,-0.0013,0.0008,-0.001,1.1455,1.5734,353.7171
29.22,-0.0005,0.0006,-0.0017,1.1462,1.5782,353.7166
29.24,-0.0014,0.0007,-0.0011,1.1461,1.5734,353.7173
29.26,-0.0019,0.0005,-0.0005,1.1479,1.5703,353.7169
29.28,-0.0024,0.0005,-0.0003,1.1472,1.5691,353.7153
29.3,-0.0024,0.0003,-0.0005,1.1469,1.5714,353.7162
29.32,-0.0021,0.0004,-0.0005,1.1469,1.5713,353.7168
29.34,-0.0017,0.0008,-0.0009,1.1453,1.5723,353.7163
29.36,-0.0016,0.0009,-0.0008,1.1467,1.5712,353.7161
29.38,-0.0012,0.0006,-0.001,1.1476,1.5733,353.7151
29.4,-0.0019,0.0001,-0.0007,1.1471,1.5699,353.7146
29.42,-0.0024,0.0004,-0.0004,1.1469,1.5667,353.7165
29.44,-0.0021,0.0007,-0.0005,1.147,1.5657,353.7181
29.46,-0.002,0.0003,-0.0001,1.1494,1.5609,353.715
29.48,-0.0018,0,0,1.1485,1.5617,353.715
29.5,-0.0021,-0.0003,-0.0001,1.1484,1.5612,353.7147
29.52,-0.0029,-0.0001,0.0005,1.1496,1.5557,353.716
29.54,-0.0024,-0.0006,0.0005,1.1517,1.5578,353.7129
29.56,-0.0024,-0.0001,0.0002,1.1489,1.5603,353.7137
29.58,-0.0031,-0.0009,0.0003,1.1513,1.5611,353.7123
29.6,-0.0043,-0.0007,0.0007,1.1505,1.5565,353.7153
29.62,-0.0044,-0.0009,0.0011,1.1521,1.5553,353.7133
29.64,-0.0032,-0.0011,0.0001,1.1546,1.565,353.7094
29.66,-0.0037,-0.0009,0.0005,1.1523,1.5605,353.7134
29.68,-0.003,-0.001,0.0002,1.1514,1.564,353.7133
29.7,-0.0032,-0.0007,0.0002,1.1514,1.5615,353.7132
29.72,-0.0035,-0.0002,0.0007,1.1506,1.5587,353.7158
29.74,-0.0036,0.0005,0.0009,1.1458,1.5553,353.7187
29.76,-0.0031,-0.0002,0.0005,1.1488,1.5611,353.7154
29.78,-0.0031,-0.0003,0.0005,1.1487,1.5606,353.7161
29.8,-0.0018,-0.0004,-0.0001,1.1509,1.5641,353.7151
29.82,-0.0009,0,-0.0006,1.1493,1.5665,353.7151
29.84,-0.0017,0.0003,-0.0001,1.146,1.5617,353.7164
29.86,-0.0035,-0.0007,0.0009,1.1502,1.5578,353.7137
29.88,-0.0053,-0.0007,0.0012,1.1493,1.5578,353.7157
29.9,-0.0033,0.0002,-0.0002,1.1497,1.568,353.7165
29.92,-0.0006,0.0006,-0.0007,1.1475,1.5688,353.7161
29.94,0.0019,0.0008,-0.0015,1.1475,1.5739,353.7153
29.96,0.0008,-0.0001,-0.0006,1.1488,1.5741,353.714
29.98,0,-0.0003,-0.0009,1.1482,1.5778,353.7139
30,-0.0018,0.0008,-0.0006,1.1477,1.5753,353.7175
30.02,-0.0035,0.0014,0.0001,1.1453,1.5702,353.7185
30.04,-0.0042,0.0008,0.0004,1.1454,1.57,353.7176
30.06,-0.0053,0.0005,0.0002,1.1454,1.5722,353.7177
30.08,-0.0059,0.0011,-0.0003,1.1448,1.5754,353.721
30.1,-0.0043,0.0009,-0.0003,1.1473,1.5658,353.7181
30.12,-0.0018,-0.0011,0.0003,1.1516,1.566,353.7147
30.14,-0.002,-0.001,0.0002,1.1508,1.567,353.7151
30.16,-0.0029,-0.0003,0,1.1484,1.5676,353.7162
30.18,-0.0034,0.0001,0.0001,1.1484,1.5675,353.7175
30.2,-0.0021,0.0005,-0.0005,1.1472,1.5707,353.718
30.22,-0.0021,0.0001,-0.0004,1.1486,1.5719,353.7159
30.24,-0.0017,-0.0001,-0.0008,1.1483,1.5768,353.7152
30.26,-0.0024,-0.0001,-0.0004,1.1481,1.5748,353.7148
30.28,-0.0022,0.0005,-0.0012,1.1456,1.5792,353.7174
30.3,-0.0026,0.0013,-0.0007,1.1437,1.5746,353.7198
30.32,-0.0031,0.0013,-0.0005,1.1445,1.5735,353.7202
30.34,-0.0029,0.0014,-0.001,1.1437,1.5743,353.7206
30.36,-0.0035,0.001,-0.0008,1.1457,1.5711,353.7195
30.38,-0.0035,0.0008,-0.0007,1.1463,1.5694,353.7182
30.4,-0.0032,0.0008,-0.0002,1.1462,1.5689,353.7162
30.42,-0.0028,-0.0004,-0.0006,1.1506,1.5719,353.7135
30.44,-0.0027,-0.0009,-0.0005,1.1527,1.5689,353.7124
30.46,-0.0028,-0.0007,-0.0004,1.1523,1.5668,353.7116
30.48,-0.0028,-0.0005,0.0001,1.153,1.563,353.713
30.5,-0.002,-0.0004,-0.0002,1.1508,1.5649,353.712
30.52,-0.0027,-0.0004,0.0003,1.1501,1.5591,353.7142
30.54,-0.0027,-0.0008,0.0001,1.1519,1.5603,353.7137
30.56,-0.0028,-0.0006,0,1.1509,1.56,353.7151
30.58,-0.0029,-0.0007,0.0001,1.1509,1.5593,353.7138
30.6,-0.0035,-0.0012,0.0005,1.1529,1.5579,353.7119
30.62,-0.0037,-0.0012,0.0004,1.1532,1.558,353.7114
30.64,-0.0035,-0.0012,0,1.152,1.5617,353.7104
30.66,-0.004,-0.0013,0.0004,1.1523,1.5584,353.7118
30.68,-0.0038,-0.0016,0.0004,1.1529,1.5596,353.7108
30.7,-0.0034,-0.0004,0.0003,1.1493,1.5603,353.7142
30.72,-0.0035,-0.0006,0.0005,1.1507,1.5593,353.7137
30.74,-0.0042,-0.0005,0.0011,1.15,1.5546,353.7157
30.76,-0.0039,-0.0007,0.0009,1.1509,1.5566,353.7153
30.78,-0.0038,-0.0009,0.001,1.1513,1.5569,353.7145
30.8,-0.0033,-0.0009,0.001,1.1525,1.558,353.7133
30.82,-0.0031,-0.0005,0.0007,1.1516,1.5587,353.7151
30.84,-0.0023,-0.0009,0.0001,1.1525,1.5636,353.7133
30.86,-0.0026,-0.0011,0.0005,1.1527,1.5629,353.7133
30.88,-0.0029,-0.0007,0.0008,1.1512,1.5595,353.7152
30.9,-0.0024,-0.0003,0.0005,1.1506,1.5626,353.7152
30.92,-0.0006,-0.001,-0.0003,1.152,1.5714,353.7113
30.94,0.0006,-0.0007,-0.0011,1.1498,1.5782,353.7122
30.96,-0.0004,0,-0.0006,1.1483,1.5753,353.7146
30.98,-0.0004,0,-0.0007,1.149,1.5779,353.7142
31,-0.0024,0.0002,-0.0002,1.1475,1.5716,353.7158
31.02,-0.0028,0.0004,-0.0002,1.1469,1.5702,353.7159
31.04,-0.0041,0.0009,0.0004,1.1456,1.563,353.7184
31.06,-0.004,0.0002,0.0006,1.1489,1.5634,353.7158
31.08,-0.0028,0,0,1.1493,1.5701,353.7151
31.1,-0.0023,0.0009,-0.0002,1.1467,1.5722,353.7186
31.12,-0.0028,0.0014,-0.0002,1.1441,1.5681,353.7214
31.14,-0.0025,0.0003,-0.0002,1.1481,1.5696,353.7167
31.16,-0.0034,-0.0004,0.0004,1.1503,1.5666,353.7151
31.18,-0.0036,0.0003,0.0004,1.1485,1.5651,353.7175
31.2,-0.0028,0.0003,0.0001,1.1491,1.5679,353.7156
31.22,-0.0031,0.0002,0.0004,1.1488,1.564,353.7162
31.24,-0.0031,0.0004,0.0003,1.1467,1.5647,353.7177
