time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.94,-24.1797,-15.0033,6.2615,78.3881,69.4363,354.278
19.96,-24.1782,-15.0034,6.263,78.3689,69.4066,354.2538
19.98,-24.1806,-15.0039,6.2604,78.3896,69.4578,354.3193
20,-24.1783,-15.0048,6.2615,78.3745,69.4539,354.304
20.02,-24.1785,-15.0042,6.2612,78.3737,69.4472,354.3006
20.04,-24.1766,-15.0036,6.2625,78.3681,69.4271,354.2693
20.06,-24.1735,-15.0026,6.265,78.359,69.4255,354.2672
20.08,-24.1737,-15.0028,6.2644,78.3531,69.4057,354.2598
20.1,-24.1742,-15.0022,6.2641,78.344,69.3949,354.279
20.12,-24.1724,-15.0009,6.266,78.3288,69.3405,354.2314
20.14,-24.1706,-15.0006,6.2673,78.3141,69.3301,354.2368
20.16,-24.1697,-15.0025,6.2663,78.2993,69.3735,354.3411
20.18,-24.1678,-15.0036,6.2668,78.2883,69.3848,354.3847
20.2,-24.1665,-15.0027,6.268,78.2826,69.3593,354.3945
20.22,-24.165,-15.0012,6.2694,78.2665,69.2954,354.3583
20.24,-24.1646,-15.0005,6.2697,78.2491,69.2781,354.3737
20.26,-24.1645,-15.0004,6.2711,78.2188,69.2546,354.5032
20.28,-24.1638,-14.9996,6.2745,78.1942,69.272,354.5124
20.3,-24.1678,-14.9955,6.2783,78.1829,69.282,354.5253
20.32,-24.1758,-14.9867,6.2838,78.1685,69.2161,354.4413
20.34,-24.1864,-14.9746,6.2948,78.155,69.043,354.3152
20.36,-24.2051,-14.9556,6.3313,78.1092,68.4367,353.7399
20.38,-24.2188,-14.9643,6.3497,78.2559,67.8528,353.4111
20.4,-24.2365,-14.9678,6.3635,78.3511,67.6824,352.9356
20.42,-24.2556,-14.9733,6.3675,78.2533,67.6534,352.6138
20.44,-24.2829,-14.974,6.3623,78.325,67.6849,352.6076
20.46,-24.3393,-14.9617,6.2955,78.5122,68.4325,353.1364
20.48,-24.3679,-14.961,6.2268,78.7022,69.2587,353.8152
