time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.02,-20.2142,0.2409,1.0577,357.6218,2.4157,352.7659
72.04,-20.2139,0.241,1.0578,357.6217,2.4167,352.7661
72.06,-20.2142,0.2412,1.0576,357.6208,2.4159,352.7649
72.08,-20.2136,0.2408,1.0579,357.6219,2.4186,352.7667
72.1,-20.2129,0.2418,1.0582,357.6173,2.4231,352.7623
72.12,-20.2137,0.2414,1.0577,357.6184,2.4188,352.7626
72.14,-20.2131,0.2413,1.0581,357.6188,2.4221,352.7627
72.16,-20.2127,0.2413,1.0586,357.6189,2.4258,352.7626
72.18,-20.2131,0.241,1.0585,357.6212,2.4239,352.7638
72.2,-20.213,0.2415,1.0584,357.6183,2.424,352.7632
72.22,-20.2143,0.2408,1.0577,357.6215,2.415,352.7662
72.24,-20.2136,0.241,1.0581,357.6205,2.4206,352.7647
72.26,-20.2133,0.2411,1.0583,357.6203,2.4227,352.7643
72.28,-20.2138,0.2416,1.058,357.6185,2.4199,352.7618
72.3,-20.2136,0.2414,1.0582,357.6194,2.4211,352.7623
72.32,-20.214,0.241,1.058,357.6209,2.419,352.7638
72.34,-20.2137,0.2412,1.0581,357.62,2.4204,352.7632
72.36,-20.2131,0.2418,1.0585,357.6169,2.4248,352.7603
72.38,-20.2132,0.2415,1.0583,357.6193,2.4228,352.7623
72.4,-20.2137,0.2411,1.0581,357.6203,2.4199,352.7638
72.42,-20.213,0.2415,1.0583,357.618,2.4224,352.7623
72.43999,-20.2132,0.2416,1.0582,357.6177,2.4213,352.7628
72.46,-20.2127,0.2415,1.0587,357.618,2.4247,352.7632
72.48,-20.2147,0.2404,1.0576,357.6228,2.4116,352.7676
72.5,-20.2132,0.2416,1.0582,357.6178,2.4202,352.7623
72.52,-20.2122,0.2419,1.0581,357.6173,2.4201,352.7628
72.54,-20.2127,0.2418,1.0579,357.6173,2.4172,352.7629
72.56,-20.2128,0.242,1.0577,357.6183,2.4143,352.7632
72.58,-20.2125,0.2418,1.0581,357.6184,2.4181,352.7637
72.6,-20.2127,0.242,1.058,357.6169,2.4175,352.7622
72.62,-20.2126,0.2419,1.0582,357.6169,2.4193,352.7628
72.64,-20.2131,0.2419,1.0583,357.6173,2.4186,352.7616
72.66,-20.2139,0.2412,1.0579,357.62,2.4145,352.7636
72.68,-20.2138,0.2413,1.0579,357.6199,2.4144,352.765
72.7,-20.2138,0.2414,1.0578,357.619,2.4136,352.7647
72.72,-20.214,0.2419,1.0574,357.6165,2.4106,352.7639
