time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.08,4.3265,-1.1561,-2,0,0,40
28.1,-4.2845,-1.191,-2,0,0,320.4649
28.12,-4.3208,-1.1608,-2,0,0,320.0629
28.14,-4.3235,-1.1585,-2,0,0,320.0326
28.16,-4.2927,-1.1842,-2,0,0,320.3742
28.18,-4.2279,-1.2372,-2,0,0,321.0866
28.2,-4.1284,-1.316,-2,0,0,322.1674
28.22,-3.993,-1.4184,-2,0,0,323.6125
28.24,-3.8205,-1.5414,-2,0,0,325.4161
28.26,-3.6096,-1.681,-2,0,0,327.5691
28.28,-3.3594,-1.8325,-2,0,0,330.0593
28.3,-3.0692,-1.9903,-2,0,0,332.8712
28.32,-2.7394,-2.1481,-2,0,0,335.9836
28.34,-2.3714,-2.2992,-2,0,0,339.3704
28.36,-1.9679,-2.4367,-2,0,0,342.9999
28.38,-1.533,-2.5539,-2,0,0,346.8347
28.4,-1.0724,-2.6448,-2,0,0,350.8319
28.42,-0.5932,-2.7046,-2,0,0,354.9441
28.44,-0.1033,-2.73,-2,0,0,359.1205
28.46,0.3883,-2.7196,-2,0,0,3.3074
28.48,0.8731,-2.6739,-2,0,0,7.4529
28.5,1.3424,-2.5955,-2,0,0,11.5044
28.52,1.7889,-2.4887,-2,0,0,15.4128
28.54,2.2061,-2.3589,-2,0,0,19.1334
28.56,2.5895,-2.2127,-2,0,0,22.6263
28.58,2.9355,-2.0569,-2,0,0,25.8574
28.6,3.2424,-1.8983,-2,0,0,28.7983
28.62,3.5094,-1.7435,-2,0,0,31.426
28.64,3.7367,-1.5982,-2,0,0,33.7223
28.66,3.9252,-1.4678,-2,0,0,35.6735
28.68,4.076,-1.3563,-2,0,0,37.27
28.7,4.1904,-1.2672,-2,0,0,38.5044
28.72,4.2697,-1.2032,-2,0,0,39.3718
28.74,4.3147,-1.1659,-2,0,0,39.8693
28.76,4.326,-1.1564,-2,0,0,39.9951
28.78,4.3038,-1.175,-2,0,0,39.7491
28.8,4.2478,-1.221,-2,0,0,39.1319
28.82,4.1573,-1.2934,-2,0,0,38.1455
28.84,4.0313,-1.39,-2,0,0,36.7937
28.86,3.8685,-1.508,-2,0,0,35.0817
28.88,3.6676,-1.6438,-2,0,0,33.0175
28.9,3.4275,-1.7927,-2,0,0,30.6124
28.92,3.1476,-1.9494,-2,0,0,27.8814
28.94,2.8279,-2.1079,-2,0,0,24.8439
28.96,2.4695,-2.2614,-2,0,0,21.5248
28.98,2.0748,-2.403,-2,0,0,17.9544
29,1.6475,-2.526,-2,0,0,14.1685
29.02,1.193,-2.6242,-2,0,0,10.2093
29.04,0.7178,-2.6924,-2,0,0,6.1219
29.06,0.2299,-2.7268,-2,0,0,1.9571
29.08,-0.2622,-2.7257,-2,0,0,357.7673
29.1,-0.7496,-2.6889,-2,0,0,353.6059
29.12,-1.2237,-2.6186,-2,0,0,349.5254
29.14,-1.6766,-2.5186,-2,0,0,345.5757
29.16,-2.1019,-2.3941,-2,0,0,341.8029
29.18,-2.4944,-2.2515,-2,0,0,338.2479
29.2,-2.8502,-2.0975,-2,0,0,334.9471
29.22,-3.1673,-1.939,-2,0,0,331.9291
29.24,-3.4445,-1.7826,-2,0,0,329.219
29.26,-3.682,-1.6344,-2,0,0,326.8359
29.28,-3.8803,-1.4997,-2,0,0,324.7946
29.3,-4.0407,-1.3829,-2,0,0,323.1061
29.32,-4.1644,-1.2878,-2,0,0,321.7781
29.34,-4.2526,-1.2172,-2,0,0,320.816
29.36,-4.3063,-1.1729,-2,0,0,320.2232
29.38,-4.3263,-1.1562,-2,0,0,320.0017
29.4,-4.3128,-1.1675,-2,0,0,320.1521
29.42,-4.2655,-1.2066,-2,0,0,320.674
29.44,-4.184,-1.2724,-2,0,0,321.5657
29.46,-4.0672,-1.363,-2,0,0,322.8241
29.48,-3.9139,-1.4758,-2,0,0,324.4442
29.5,-3.7229,-1.6074,-2,0,0,326.4188
29.52,-3.493,-1.7535,-2,0,0,328.7375
29.54,-3.2234,-1.9087,-2,0,0,331.3864
29.56,-2.9139,-2.0673,-2,0,0,334.3467
29.58,-2.5653,-2.2227,-2,0,0,337.596
29.6,-2.1797,-2.3681,-2,0,0,341.1051
29.62,-1.7603,-2.4965,-2,0,0,344.8393
29.64,-1.3121,-2.6016,-2,0,0,348.7586
29.66,-0.8415,-2.678,-2,0,0,352.8178
29.68,-0.356,-2.7213,-2,0,0,356.9677
29.7,0.1358,-2.7294,-2,0,0,1.1562
29.72,0.6252,-2.7017,-2,0,0,5.3299
29.74,1.1034,-2.6397,-2,0,0,9.4355
29.76,1.5625,-2.5469,-2,0,0,13.4234
29.78,1.9955,-2.4282,-2,0,0,17.2459
29.8,2.3968,-2.2896,-2,0,0,20.8605
29.82,2.7623,-2.1378,-2,0,0,24.2302
29.84,3.0895,-1.9798,-2,0,0,27.3236
29.86,3.3771,-1.8223,-2,0,0,30.1148
29.88,3.6247,-1.6714,-2,0,0,32.5836
29.9,3.833,-1.5327,-2,0,0,34.7139
29.92,4.003,-1.411,-2,0,0,36.4937
29.94,4.136,-1.3101,-2,0,0,37.9151
29.96,4.2332,-1.2329,-2,0,0,38.9717
29.98,4.2958,-1.1817,-2,0,0,39.6597
30,4.3244,-1.1578,-2,0,0,39.9769
30.02,4.3194,-1.1619,-2,0,0,39.9221
30.04,4.2809,-1.194,-2,0,0,39.4956
30.06,4.2082,-1.253,-2,0,0,38.6987
