time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.72,-28.988,15.7266,-3.0527,356.8126,3.5747,0.9507
10.74,-28.9905,15.7262,-3.0525,356.8146,3.5687,0.9515
10.76,-28.9931,15.7259,-3.0516,356.8164,3.5593,0.9529
10.78,-28.9952,15.7255,-3.05,356.8181,3.5536,0.9524
10.8,-28.9957,15.7257,-3.05,356.8179,3.5516,0.9527
10.82,-28.9967,15.7255,-3.0501,356.8176,3.5497,0.9529
10.84,-28.9984,15.7254,-3.0499,356.8187,3.5458,0.9531
10.86,-28.9999,15.7258,-3.0494,356.8174,3.5419,0.9532
10.88,-29.0018,15.7254,-3.0488,356.8193,3.5399,0.9525
10.9,-29.0027,15.7257,-3.0493,356.8174,3.5383,0.9538
10.92,-29.003,15.7257,-3.0488,356.8177,3.5386,0.9538
10.94,-29.0049,15.725,-3.0484,356.8201,3.5352,0.9559
10.96,-29.0069,15.7255,-3.0481,356.8175,3.53,0.956
10.98,-29.0103,15.7246,-3.0473,356.8213,3.5262,0.9572
11,-29.0105,15.7248,-3.0467,356.8207,3.5268,0.9575
11.02,-29.0118,15.7246,-3.0466,356.8222,3.5234,0.9569
11.04,-29.0124,15.7247,-3.0462,356.8222,3.5232,0.958
11.06,-29.0122,15.7247,-3.0459,356.8221,3.5253,0.9583
11.08,-29.0106,15.7244,-3.0466,356.8225,3.5251,0.96
11.1,-29.0061,15.7244,-3.0464,356.8243,3.5317,0.9596
11.12,-29.0026,15.725,-3.0467,356.821,3.5381,0.9574
11.14,-29.0013,15.7245,-3.047,356.82,3.5368,0.9561
11.16,-29.0018,15.7248,-3.0465,356.8204,3.5361,0.954
11.18,-29.0025,15.7246,-3.0449,356.8224,3.5388,0.9562
11.2,-29.0031,15.7246,-3.0459,356.8228,3.5396,0.9561
11.22,-29.0066,15.7247,-3.0485,356.8214,3.5363,0.9565
11.24,-29.0056,15.7249,-3.0475,356.8208,3.5396,0.9563
11.26,-29.0033,15.7251,-3.0465,356.8206,3.5468,0.9569
11.28,-29.0008,15.7247,-3.0471,356.8214,3.5368,0.9546
11.3,-29.0032,15.7245,-3.0466,356.8239,3.5333,0.9552
11.32,-29.0074,15.7247,-3.0457,356.8232,3.5275,0.9563
11.34,-29.0079,15.7242,-3.0446,356.8238,3.5246,0.957
11.36,-29.0068,15.7241,-3.0443,356.8261,3.5169,0.9561
11.38,-29.0055,15.7244,-3.0447,356.8238,3.5121,0.954
11.4,-29.0058,15.7245,-3.0443,356.8235,3.5139,0.9551
11.42,-29.006,15.7244,-3.0438,356.8243,3.5121,0.9556
11.44,-29.005,15.7244,-3.0437,356.8244,3.5124,0.9545
11.46,-29.0042,15.7245,-3.0444,356.8243,3.512,0.9536
11.48,-29.0065,15.7246,-3.0457,356.823,3.5154,0.9559
11.5,-29.0072,15.7246,-3.0455,356.8229,3.5187,0.9564
11.52,-29.0062,15.7245,-3.0453,356.8239,3.5221,0.9563
11.54,-29.0047,15.7245,-3.0457,356.8245,3.523,0.9567
11.56,-29.0029,15.7247,-3.0461,356.8235,3.5268,0.9553
11.58,-29.0036,15.7249,-3.0462,356.8219,3.5348,0.9553
11.6,-29.0034,15.7247,-3.0461,356.8221,3.5371,0.9555
11.62,-29.0037,15.725,-3.0469,356.8203,3.5363,0.9557
11.64,-29.0042,15.7251,-3.0475,356.8197,3.5368,0.9554
11.66,-29.005,15.7248,-3.0473,356.8217,3.5385,0.9551
11.68,-29.0067,15.7247,-3.0478,356.8212,3.5385,0.9573
11.7,-29.0055,15.7249,-3.0479,356.8206,3.539,0.9566
11.72,-29.0043,15.7251,-3.048,356.8201,3.5414,0.9561
11.74,-29.0043,15.725,-3.0478,356.8202,3.541,0.9556
11.76,-29.005,15.7246,-3.0476,356.8224,3.5382,0.956
11.78,-29.0059,15.7249,-3.0476,356.8209,3.5356,0.9557
11.8,-29.0068,15.7249,-3.0477,356.8202,3.5341,0.9564
11.82,-29.0077,15.7246,-3.0475,356.8223,3.5323,0.9568
11.84,-29.0075,15.7249,-3.0473,356.8214,3.5303,0.9562
11.86,-29.0073,15.7248,-3.0473,356.8218,3.5276,0.9552
11.88,-29.0064,15.7247,-3.0469,356.8214,3.528,0.9554
11.9,-29.0067,15.7246,-3.0468,356.8219,3.5267,0.9565
11.92,-29.0067,15.7247,-3.0465,356.8221,3.5257,0.9564
11.94,-29.0068,15.7243,-3.0462,356.8246,3.5245,0.9559
11.96,-29.0069,15.7248,-3.0464,356.822,3.5233,0.9545
11.98,-29.0067,15.7245,-3.046,356.8231,3.523,0.9554
12,-29.0054,15.7248,-3.0459,356.8223,3.5227,0.9553
12.02,-29.0051,15.7251,-3.0463,356.8215,3.5214,0.9543
12.04,-29.0051,15.7249,-3.0463,356.8215,3.5209,0.9546
12.06,-29.005,15.7246,-3.0459,356.8224,3.5223,0.9553
12.08,-29.0046,15.7249,-3.0464,356.8212,3.524,0.9548
12.1,-29.0047,15.7247,-3.0466,356.8226,3.525,0.9545
12.12,-29.0051,15.7246,-3.0465,356.8224,3.5264,0.9548
12.14,-29.005,15.7245,-3.0463,356.8229,3.5292,0.9541
12.16,-29.0035,15.7247,-3.0463,356.8224,3.5308,0.9526
12.18,-29.0019,15.7254,-3.047,356.8194,3.5344,0.9526
12.2,-29.003,15.7247,-3.0469,356.8217,3.5344,0.9537
12.22,-29.0046,15.7249,-3.0471,356.8215,3.5333,0.9532
12.24,-29.0049,15.7247,-3.0468,356.8218,3.5339,0.9532
12.26,-29.0044,15.7251,-3.0469,356.8206,3.5325,0.9527
12.28,-29.0019,15.7243,-3.0459,356.8224,3.5316,0.9524
12.3,-29.0029,15.7244,-3.0463,356.8229,3.5278,0.9535
12.32,-29.0043,15.7248,-3.0465,356.8223,3.5269,0.9525
12.34,-29.0063,15.7246,-3.0467,356.8211,3.5233,0.9542
12.36,-29.0058,15.7247,-3.0463,356.8214,3.521,0.9541
12.38,-29.0039,15.7246,-3.0458,356.8214,3.5189,0.9538
12.4,-29.0039,15.7246,-3.0462,356.822,3.5186,0.9539
12.42,-29.005,15.7244,-3.0463,356.823,3.5194,0.9541
12.44,-29.006,15.7244,-3.0461,356.823,3.52,0.9544
12.46,-29.0053,15.7245,-3.0456,356.8232,3.5215,0.9536
12.48,-29.0041,15.7242,-3.0464,356.8237,3.5195,0.9544
12.5,-29.0051,15.7245,-3.0468,356.8227,3.5186,0.9535
12.52,-29.0077,15.7247,-3.0466,356.8229,3.518,0.9543
12.54,-29.0084,15.7246,-3.0459,356.8225,3.519,0.9556
12.56,-29.0072,15.7246,-3.0457,356.8227,3.5184,0.9555
12.58,-29.0038,15.7248,-3.0466,356.8221,3.5212,0.9524
12.6,-29.0056,15.7245,-3.0467,356.8225,3.5198,0.9541
12.62,-29.0068,15.7246,-3.046,356.8225,3.5217,0.955
12.64,-29.006,15.7247,-3.0456,356.821,3.5295,0.9558
12.66,-29.0039,15.7248,-3.0464,356.8212,3.5269,0.9543
12.68,-29.0049,15.7247,-3.0479,356.82,3.5254,0.9542
12.7,-29.0078,15.7246,-3.0469,356.8217,3.5275,0.9545
12.72,-29.0089,15.7249,-3.0465,356.8212,3.5284,0.9557
12.74,-29.0076,15.7244,-3.0468,356.8223,3.5305,0.9562
12.76,-29.0067,15.7245,-3.0481,356.8221,3.5295,0.9554
12.78,-29.0111,15.7247,-3.048,356.8205,3.5299,0.9552
12.8,-29.0132,15.7248,-3.0472,356.8213,3.5312,0.9562
12.82,-29.0121,15.7245,-3.0476,356.8219,3.5334,0.9562
12.84,-29.0103,15.7246,-3.0489,356.8206,3.5324,0.956
12.86,-29.0092,15.725,-3.0492,356.8193,3.5316,0.9552
12.88,-29.0122,15.7247,-3.0472,356.8206,3.5373,0.957
12.9,-29.0131,15.7245,-3.0478,356.8218,3.5351,0.9578
12.92,-29.0124,15.7244,-3.0489,356.8212,3.5311,0.9583
12.94,-29.0102,15.7245,-3.049,356.82,3.5335,0.9577
12.96,-29.0095,15.7246,-3.0483,356.8204,3.5375,0.9573
12.98,-29.012,15.7247,-3.0487,356.8196,3.5356,0.9575
13,-29.0118,15.7247,-3.0487,356.8201,3.5358,0.9567
13.02,-29.0109,15.7246,-3.0485,356.8198,3.5372,0.9564
13.04,-29.0098,15.7248,-3.0485,356.8195,3.5389,0.9566
13.06,-29.0106,15.7246,-3.049,356.8199,3.5372,0.9567
13.08,-29.0117,15.7248,-3.0489,356.8199,3.5361,0.9555
13.1,-29.0114,15.7247,-3.0485,356.8202,3.5358,0.9559
13.12,-29.01,15.7245,-3.0483,356.8207,3.5356,0.9566
13.14,-29.009,15.7246,-3.0485,356.8209,3.5358,0.9565
13.16,-29.0091,15.7249,-3.0484,356.8204,3.5352,0.9561
13.18,-29.0104,15.7245,-3.0479,356.8213,3.534,0.9568
13.2,-29.01,15.7247,-3.0479,356.821,3.5343,0.9565
13.22,-29.0095,15.7249,-3.0482,356.8203,3.5329,0.9567
13.24,-29.0086,15.7246,-3.0481,356.8212,3.5348,0.9564
13.26,-29.0091,15.7246,-3.048,356.8212,3.5334,0.9561
13.28,-29.0096,15.7246,-3.0476,356.8213,3.5325,0.9563
13.3,-29.0093,15.7247,-3.0478,356.8203,3.5312,0.956
13.32,-29.0089,15.7248,-3.048,356.8189,3.5307,0.9568
13.34,-29.0085,15.7245,-3.0477,356.8219,3.5307,0.9575
13.36,-29.0084,15.7241,-3.0471,356.8242,3.5317,0.9569
13.38,-29.009,15.7244,-3.0475,356.822,3.5291,0.9567
13.4,-29.009,15.7245,-3.0475,356.8219,3.529,0.9566
13.42,-29.009,15.7245,-3.0473,356.822,3.5289,0.9565
13.44,-29.009,15.7245,-3.0471,356.8216,3.5281,0.9573
13.46,-29.0083,15.7246,-3.0467,356.8214,3.5281,0.9562
13.48,-29.0038,15.725,-3.0461,356.8209,3.5338,0.953
