time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
34.64,-25.7338,-15.3105,4.6144,78.4609,139.7422,77.3516
34.66,-25.7306,-15.3073,4.6132,78.4566,139.7012,77.3222
34.68,-25.7168,-15.3092,4.6088,78.4147,139.5649,77.201
34.7,-25.7087,-15.3078,4.6062,78.3929,139.4764,77.1142
34.72,-25.7063,-15.3078,4.6,78.3567,139.4239,77.0993
34.74,-25.6941,-15.3042,4.6012,78.3405,139.3278,76.9948
34.76,-25.6848,-15.3031,4.5991,78.3139,139.2209,76.8917
34.78,-25.6722,-15.2976,4.5966,78.2872,139.0811,76.7677
34.8,-25.6712,-15.2974,4.5906,78.2728,139.1029,76.8182
34.82,-25.6655,-15.299,4.589,78.25,139.063,76.7837
34.84,-25.6634,-15.2981,4.583,78.2269,139.0988,76.8502
34.86,-25.6626,-15.2954,4.5771,78.2147,139.0431,76.847
34.88,-25.671,-15.2868,4.5458,78.1472,139.4722,77.5006
34.9,-25.6803,-15.2816,4.5167,78.091,139.9018,78.0498
34.92,-25.6963,-15.2742,4.4748,78.0262,140.4567,78.7268
34.94,-25.7098,-15.2675,4.4276,77.941,141.0371,79.4402
34.96,-25.7263,-15.2589,4.3688,77.8279,141.7722,80.3555
34.98,-25.7631,-15.2311,4.1864,77.311,144.4613,83.0112
35,-25.7843,-15.2059,4.039,76.9212,146.458,84.7212
35.02,-25.8128,-15.1705,3.8389,76.4659,148.8786,86.944
35.04,-25.84,-15.1201,3.5984,75.9277,151.453,89.5836
35.06,-25.872,-15.0504,3.316,75.246,154.072,92.494
35.08,-25.9211,-14.8578,2.6724,73.4579,158.6463,97.7991
35.1,-25.9425,-14.7486,2.3095,72.3648,160.6912,99.8499
35.12,-25.9638,-14.6384,1.9253,71.1778,162.6148,101.5858
35.14,-25.9754,-14.5219,1.5428,69.9834,164.3217,103.0298
35.16,-25.991,-14.4003,1.1674,68.8065,165.7323,104.5472
35.18,-26.0164,-14.1466,0.5016,66.5469,167.4925,107.1496
35.2,-26.0281,-14.0202,0.2352,65.6847,167.8011,107.266
35.22,-26.0487,-13.9127,0.027,64.9977,168.1219,107.1043
35.24,-26.0757,-13.8302,-0.0942,64.7227,168.3735,106.8132
35.26,-26.1135,-13.7905,-0.1251,64.9014,168.5956,106.4639
35.28,-26.2216,-13.8669,0.0691,65.8161,168.8364,105.7526
35.3,-26.2942,-13.9736,0.3452,66.7221,168.6254,104.9618
35.32,-26.3677,-14.0913,0.7246,68.132,168.2859,104.0433
35.34,-26.4489,-14.2329,1.2163,70.035,167.7956,103.1605
35.36,-26.54,-14.4006,1.8448,72.4143,166.9541,101.9513
35.38,-26.7024,-14.7509,3.2588,77.2604,163.3318,97.8304
