time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
155.82,4.3265,-1.1561,-2,0,0,40
155.84,4.3265,-1.1561,-2,0,0,40
155.86,4.3265,-1.1561,-2,0,0,40
155.88,4.3265,-1.1561,-2,0,0,40
155.9,4.3265,-1.1561,-2,0,0,40
155.92,4.3265,-1.1561,-2,0,0,40
155.94,4.3265,-1.1561,-2,0,0,40
155.96,4.3265,-1.1561,-2,0,0,40
155.98,4.3265,-1.1561,-2,0,0,40
156,4.3265,-1.1561,-2,0,0,40
156.02,4.3265,-1.1561,-2,0,0,40
156.04,4.3265,-1.1561,-2,0,0,40
156.06,4.3265,-1.1561,-2,0,0,40
156.08,4.3265,-1.1561,-2,0,0,40
156.1,4.3265,-1.1561,-2,0,0,40
156.12,4.3265,-1.1561,-2,0,0,40
156.14,4.3265,-1.1561,-2,0,0,40
156.16,4.3265,-1.1561,-2,0,0,40
156.18,4.3265,-1.1561,-2,0,0,40
156.2,4.3265,-1.1561,-2,0,0,40
156.22,4.3265,-1.1561,-2,0,0,40
156.24,4.3265,-1.1561,-2,0,0,40
156.26,4.3265,-1.1561,-2,0,0,40
156.28,4.3265,-1.1561,-2,0,0,40
156.3,4.3265,-1.1561,-2,0,0,40
156.32,4.3265,-1.1561,-2,0,0,40
156.34,4.3265,-1.1561,-2,0,0,40
156.36,4.3265,-1.1561,-2,0,0,40
156.38,4.3265,-1.1561,-2,0,0,40
156.4,4.3265,-1.1561,-2,0,0,40
156.42,4.3265,-1.1561,-2,0,0,40
156.44,4.3265,-1.1561,-2,0,0,40
156.46,4.3265,-1.1561,-2,0,0,40
156.48,4.3265,-1.1561,-2,0,0,40
156.5,4.3265,-1.1561,-2,0,0,40
156.52,4.3265,-1.1561,-2,0,0,40
156.54,4.3265,-1.1561,-2,0,0,40
156.56,4.3265,-1.1561,-2,0,0,40
156.58,4.3265,-1.1561,-2,0,0,40
156.6,4.3265,-1.1561,-2,0,0,40
156.62,4.3265,-1.1561,-2,0,0,40
156.64,4.3265,-1.1561,-2,0,0,40
156.66,4.3265,-1.1561,-2,0,0,40
156.68,4.3265,-1.1561,-2,0,0,40
156.7,4.3265,-1.1561,-2,0,0,40
156.72,4.3265,-1.1561,-2,0,0,40
156.74,4.3265,-1.1561,-2,0,0,40
156.76,4.3265,-1.1561,-2,0,0,40
156.78,4.3265,-1.1561,-2,0,0,40
156.8,4.3265,-1.1561,-2,0,0,40
156.82,4.3265,-1.1561,-2,0,0,40
156.84,4.3265,-1.1561,-2,0,0,40
156.86,4.3265,-1.1561,-2,0,0,40
