time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
21.46,-1.2368,2.6212,-7.4827,62.4457,186.0166,198.1774
21.48,-1.1509,2.6887,-7.6464,61.8426,185.2351,197.5576
21.5,-1.11,2.7137,-7.716,61.5848,184.8756,197.0956
21.52,-1.0743,2.7328,-7.7751,61.3616,184.5683,196.6735
21.54,-1.0424,2.7485,-7.8227,61.1776,184.3009,196.2379
21.56,-1.0129,2.7592,-7.8603,61.0323,184.1018,195.8444
21.58,-0.9656,2.7604,-7.8918,60.8955,183.8548,195.1931
21.6,-0.9517,2.7476,-7.8852,60.9128,183.8184,195.1635
21.62,-0.9434,2.721,-7.8615,61.0018,183.8436,195.3793
21.64,-0.9406,2.6753,-7.8134,61.186,183.8912,195.7031
21.66,-0.9393,2.6172,-7.7455,61.4486,183.983,195.9963
21.68,-0.9469,2.4795,-7.5127,62.3084,184.3069,196.5912
21.7,-0.9565,2.4011,-7.3423,62.9355,184.5845,197.15
21.72,-0.9674,2.3146,-7.1336,63.7157,184.9595,197.9416
21.74,-0.9804,2.2091,-6.884,64.6166,185.4283,198.886
21.76,-0.9927,2.089,-6.594,65.673,185.9883,199.9787
21.78,-1.0258,1.8051,-5.8901,68.1924,187.7088,203.2709
21.8,-1.0453,1.6517,-5.4745,69.6497,188.9374,205.4172
21.82,-1.0636,1.4983,-5.016,71.2347,190.4646,207.8155
21.84,-1.0866,1.3491,-4.512,72.9322,192.4689,210.6798
21.86,-1.1049,1.2053,-3.9685,74.7243,194.9917,213.7798
21.88,-1.1446,0.9427,-2.775,78.413,203.0263,222.5779
21.9,-1.1744,0.8254,-2.1371,80.1574,209.8596,230.0437
21.92,-1.2005,0.7415,-1.4732,81.7927,219.7612,240.5811
21.94,-1.2302,0.6763,-0.787,83.1119,234.1491,255.3728
21.96,-1.2555,0.6438,-0.0807,83.8751,253.9301,275.3525
21.98,-1.31,0.6284,1.3769,82.777,295.2865,317.1718
22,-1.3373,0.6574,2.0505,81.3773,307.824,330.1433
22.02,-1.3668,0.7016,2.7432,79.5738,316.5561,339.5233
22.04,-1.3952,0.7708,3.4212,77.6473,322.5757,346.1382
22.06,-1.4233,0.8656,4.0755,75.6759,326.7722,350.8678
22.08,-1.4786,1.1087,5.2891,71.808,332.1154,357.6466
22.1,-1.4921,1.2497,5.8319,70.0037,333.8686,0.2374
22.12,-1.5077,1.4022,6.3366,68.3167,335.3937,2.5702
22.14,-1.5184,1.536,6.797,66.8446,336.7495,4.255
22.16,-1.5204,1.6694,7.2185,65.4997,338.023,5.4985
22.18,-1.5073,1.8796,7.9116,63.2737,339.873,7.007
22.2,-1.4918,1.9574,8.1761,62.4312,340.5633,7.4562
22.22,-1.4723,2.0349,8.3878,61.7446,341.1598,7.865
22.24,-1.4624,2.0872,8.5459,61.2437,341.5657,8.2278
22.26,-1.4497,2.1149,8.6487,60.9572,341.8446,8.6641
