time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
26.62,4.3265,-1.1561,-2,0,0,40
26.64,4.3265,-1.1561,-2,0,0,40
26.66,4.3265,-1.1561,-2,0,0,40
26.68,4.3265,-1.1561,-2,0,0,40
26.7,4.3265,-1.1561,-2,0,0,40
26.72,4.3265,-1.1561,-2,0,0,40
26.74,4.3265,-1.1561,-2,0,0,40
26.76,4.3265,-1.1561,-2,0,0,40
26.78,4.3265,-1.1561,-2,0,0,40
26.8,4.3265,-1.1561,-2,0,0,40
26.82,4.3265,-1.1561,-2,0,0,40
26.84,4.3265,-1.1561,-2,0,0,40
26.86,4.3265,-1.1561,-2,0,0,40
26.88,4.3265,-1.1561,-2,0,0,40
26.9,4.3265,-1.1561,-2,0,0,40
26.92,4.3265,-1.1561,-2,0,0,40
26.94,4.3265,-1.1561,-2,0,0,40
26.96,4.3265,-1.1561,-2,0,0,40
26.98,4.3265,-1.1561,-2,0,0,40
27,4.3265,-1.1561,-2,0,0,40
27.02,4.3265,-1.1561,-2,0,0,40
27.04,4.3265,-1.1561,-2,0,0,40
27.06,4.3265,-1.1561,-2,0,0,40
27.08,4.3265,-1.1561,-2,0,0,40
27.1,4.3265,-1.1561,-2,0,0,40
27.12,4.3265,-1.1561,-2,0,0,40
27.14,4.3265,-1.1561,-2,0,0,40
27.16,4.3265,-1.1561,-2,0,0,40
27.18,4.3265,-1.1561,-2,0,0,40
27.2,4.3265,-1.1561,-2,0,0,40
27.22,4.3265,-1.1561,-2,0,0,40
27.24,4.3265,-1.1561,-2,0,0,40
27.26,4.3265,-1.1561,-2,0,0,40
27.28,4.3265,-1.1561,-2,0,0,40
27.3,4.3265,-1.1561,-2,0,0,40
27.32,4.3265,-1.1561,-2,0,0,40
27.34,4.3265,-1.1561,-2,0,0,40
27.36,4.3265,-1.1561,-2,0,0,40
27.38,4.3265,-1.1561,-2,0,0,40
27.4,4.3265,-1.1561,-2,0,0,40
27.42,4.3265,-1.1561,-2,0,0,40
27.44,4.3265,-1.1561,-2,0,0,40
27.46,4.3265,-1.1561,-2,0,0,40
27.48,4.3265,-1.1561,-2,0,0,40
27.5,4.3265,-1.1561,-2,0,0,40
27.52,4.3265,-1.1561,-2,0,0,40
27.54,4.3265,-1.1561,-2,0,0,40
27.56,4.3265,-1.1561,-2,0,0,40
27.58,4.3265,-1.1561,-2,0,0,40
27.6,4.3265,-1.1561,-2,0,0,40
27.62,4.3265,-1.1561,-2,0,0,40
27.64,4.3265,-1.1561,-2,0,0,40
27.66,4.3265,-1.1561,-2,0,0,40
27.68,4.3265,-1.1561,-2,0,0,40
27.7,4.3265,-1.1561,-2,0,0,40
27.72,4.3265,-1.1561,-2,0,0,40
27.74,4.3265,-1.1561,-2,0,0,40
27.76,4.3265,-1.1561,-2,0,0,40
27.78,4.3265,-1.1561,-2,0,0,40
27.8,4.3265,-1.1561,-2,0,0,40
27.82,4.3265,-1.1561,-2,0,0,40
27.84,4.3265,-1.1561,-2,0,0,40
27.86,4.3265,-1.1561,-2,0,0,40
27.88,4.3265,-1.1561,-2,0,0,40
27.9,4.3265,-1.1561,-2,0,0,40
27.92,4.3265,-1.1561,-2,0,0,40
27.94,4.3265,-1.1561,-2,0,0,40
27.96,4.3265,-1.1561,-2,0,0,40
27.98,4.3265,-1.1561,-2,0,0,40
28,4.3265,-1.1561,-2,0,0,40
28.02,4.3265,-1.1561,-2,0,0,40
28.04,4.3265,-1.1561,-2,0,0,40
28.06,4.3265,-1.1561,-2,0,0,40
28.08,4.3265,-1.1561,-2,0,0,40
28.1,4.3265,-1.1561,-2,0,0,40
28.12,4.3265,-1.1561,-2,0,0,40
28.14,4.3265,-1.1561,-2,0,0,40
28.16,4.3265,-1.1561,-2,0,0,40
28.18,4.3265,-1.1561,-2,0,0,40
28.2,4.3265,-1.1561,-2,0,0,40
28.22,4.3265,-1.1561,-2,0,0,40
28.24,4.3265,-1.1561,-2,0,0,40
28.26,4.3265,-1.1561,-2,0,0,40
28.28,4.3265,-1.1561,-2,0,0,40
28.3,4.3265,-1.1561,-2,0,0,40
28.32,4.3265,-1.1561,-2,0,0,40
28.34,4.3265,-1.1561,-2,0,0,40
28.36,4.3265,-1.1561,-2,0,0,40
28.38,4.3265,-1.1561,-2,0,0,40
28.4,4.3265,-1.1561,-2,0,0,40
28.42,4.3265,-1.1561,-2,0,0,40
