time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.54,-0.0762,1.3597,1.079,83.4177,221.1387,31.2304
44.56,-0.0094,1.358,1.2114,83.8583,222.8617,32.5626
44.58,0.0721,1.3516,1.3469,84.3121,224.7069,33.9683
44.6,0.1638,1.339,1.493,84.7949,226.8142,35.743
44.62,0.2716,1.3207,1.638,85.3004,228.4993,37.1814
44.64,0.5201,1.2703,1.9214,86.3593,232.6064,40.86
44.66,0.6509,1.2371,2.0501,86.8611,234.5297,42.591
44.68,0.7756,1.2111,2.1721,87.3614,236.6312,44.4887
44.7,0.9012,1.1752,2.268,87.7773,237.8959,45.5292
44.72,1.0196,1.1543,2.3468,88.1826,239.5695,46.9636
44.74,1.2157,1.1033,2.4183,88.7273,233.8679,40.9383
44.76,1.2917,1.0942,2.402,88.8436,225.4222,32.4393
44.78,1.3462,1.0783,2.3457,88.776,213.0685,20.1176
44.8,1.3743,1.0682,2.2499,88.515,201.8783,8.9899
44.82,1.3701,1.0557,2.1068,88.0722,196.1962,3.326
44.84,1.2893,1.0501,1.6817,86.7191,191.7884,358.8538
44.86,1.1954,1.0532,1.4065,85.8201,192.3526,359.4505
44.88,1.0832,1.0816,1.09,84.8098,192.5995,359.7027
44.9,0.9444,1.1278,0.7419,83.7068,193.1418,0.222
44.92,0.7761,1.191,0.373,82.5176,193.9274,0.9971
44.94,0.3933,1.3621,-0.4094,79.9493,195.3937,2.4078
44.96,0.1809,1.4613,-0.8058,78.6221,196.2115,3.2804
44.98,-0.0373,1.5797,-1.1905,77.3261,197.0281,4.1455
45,-0.2626,1.7046,-1.5589,76.0503,197.7853,4.8962
45.02,-0.4828,1.8315,-1.9099,74.7954,198.4943,5.5649
45.04,-0.9093,2.0762,-2.5206,72.5605,199.9784,6.9282
45.06,-1.103,2.1879,-2.7743,71.6226,200.8149,7.6577
45.08,-1.277,2.2889,-2.9899,70.7549,201.3828,8.1758
45.1,-1.4379,2.3792,-3.1541,70.086,202.0784,8.7668
45.12,-1.5728,2.4493,-3.2786,69.5268,202.6258,9.1715
45.14,-1.7685,2.5189,-3.3899,68.9346,203.8083,10.078
45.16,-1.826,2.5151,-3.3772,68.887,204.3499,10.5827
45.18,-1.854,2.4921,-3.3237,69.0035,204.7978,11.0602
45.2,-1.8578,2.4443,-3.2224,69.2938,205.2682,11.6413
45.22,-1.8354,2.3732,-3.0776,69.7589,205.745,12.2974
45.24,-1.7209,2.1858,-2.6973,71.0322,206.6121,13.7867
45.26,-1.6376,2.0785,-2.4571,71.8429,207.0645,14.586
45.28,-1.5408,1.9666,-2.1884,72.7528,207.7262,15.5347
45.3,-1.4255,1.8577,-1.8974,73.7686,208.5952,16.59
45.32,-1.3114,1.7526,-1.5774,74.8182,209.6293,17.7862
45.34,-1.05,1.5816,-0.8844,77.0564,212.1487,20.2243
45.36,-0.9188,1.497,-0.5188,78.1937,213.9444,21.8481
45.38,-0.7741,1.4159,-0.1512,79.3407,216.2074,23.9216
45.4,-0.6148,1.3405,0.2104,80.4846,218.8556,26.4263
45.42,-0.456,1.276,0.5724,81.6044,222.0277,29.5521
45.44,-0.1394,1.1711,1.2683,83.6562,230.7904,38.311
45.46,0.0105,1.1382,1.5966,84.5631,236.8261,44.3631
45.48,0.1666,1.1136,1.8941,85.3485,244.3316,51.8255
45.5,0.3014,1.1035,2.1796,86.0004,253.8251,61.3708
45.52,0.4277,1.0864,2.4276,86.435,264.2341,71.8531
45.54,0.6484,1.0778,2.8323,86.879,286.4848,94.4107
45.56,0.7472,1.084,2.976,86.9592,296.2295,104.3244
45.58,0.8124,1.0858,3.0922,86.9767,303.4755,111.8255
45.6,0.8871,1.1082,3.1616,87.0039,309.7629,118.3244
45.62,0.9398,1.1244,3.1993,87.0916,313.8168,122.6374
45.64,1.0163,1.1568,3.1673,87.3881,317.2951,126.5284
45.66,1.0399,1.1654,3.103,87.6255,315.9814,125.3913
45.68,1.0464,1.1688,3.0077,87.8909,312.0111,121.5562
45.7,1.0403,1.16,2.8814,88.1643,302.9741,112.5864
45.72,1.0238,1.1555,2.7295,88.3721,288.4815,98.1116
45.74,0.954,1.162,2.3448,88.2154,246.836,56.3921
45.76,0.9024,1.1813,2.145,87.8263,232.0907,41.5745
45.78,0.8428,1.194,1.9108,87.2344,221.2472,30.597
45.8,0.7846,1.2177,1.6587,86.5666,213.7896,22.9642
45.82,0.7146,1.2302,1.3858,85.7587,208.735,17.7656
45.84,0.5652,1.2711,0.8068,83.9801,202.8272,11.5874
45.86,0.481,1.2898,0.5016,83.0169,201.3332,9.8743
45.88,0.3894,1.3218,0.1959,82.0452,200.2221,8.5255
45.9,0.2931,1.3555,-0.1149,81.0319,199.3074,7.2492
45.92,0.1904,1.3947,-0.4207,80.0536,198.8904,6.3354
45.94,-0.0081,1.4848,-1.0305,78.1011,198.5896,5.1515
45.96,-0.1104,1.5523,-1.3115,77.1744,198.4797,4.7502
45.98,-0.2055,1.6282,-1.5821,76.2932,198.4214,4.3304
46,-0.3027,1.7106,-1.8269,75.4612,198.3932,4.0034
46.02,-0.3846,1.7975,-2.0506,74.7166,198.2354,3.5751
46.04,-0.5208,1.9435,-2.4161,73.4852,197.9621,2.911
46.06,-0.5653,1.9985,-2.5598,73.0254,197.791,2.6516
46.08,-0.602,2.037,-2.6686,72.6709,197.6907,2.5891
46.1,-0.6267,2.0621,-2.7444,72.4177,197.628,2.6248
46.12,-0.6381,2.0822,-2.7847,72.2955,197.5658,2.6268
46.14,-0.6374,2.0835,-2.7576,72.373,197.6321,2.7369
46.16,-0.6225,2.0681,-2.6852,72.6127,197.7523,2.8903
46.18,-0.5942,2.0289,-2.5817,72.9393,197.9206,3.1178
46.2,-0.5571,1.9784,-2.4508,73.3631,198.1429,3.4658
46.22,-0.5094,1.9124,-2.2918,73.8694,198.4318,3.894
46.24,-0.3891,1.7659,-1.891,75.1684,199.0475,4.9722
46.26,-0.3142,1.6901,-1.6583,75.9275,199.4153,5.7014
46.28,-0.2329,1.6237,-1.4009,76.765,199.7775,6.4731
46.3,-0.1434,1.5558,-1.1335,77.6292,200.0549,7.1075
46.32,-0.056,1.4824,-0.8523,78.5237,200.5173,7.9194
46.34,0.1342,1.3527,-0.2677,80.3972,201.6707,9.8611
46.36,0.224,1.2868,0.028,81.3035,202.6365,11.1823
46.38,0.3214,1.2389,0.3209,82.2386,203.6662,12.4795
46.4,0.4086,1.1948,0.6126,83.1304,205.0366,14.0659
46.42,0.4967,1.1624,0.8945,84.0101,206.678,15.8663
46.44,0.668,1.0979,1.4093,85.5727,211.5133,20.924
46.46,0.7419,1.0745,1.6438,86.2615,214.8601,24.402
46.48,0.8237,1.0552,1.8473,86.8917,218.4304,28.0325
46.5,0.9009,1.0294,2.0175,87.3927,222.6579,32.3252
46.52,0.9683,1.0146,2.1644,87.8304,227.1524,36.9185
46.54,1.0795,0.9931,2.3563,88.4234,234.5609,44.5532
46.56,1.1288,0.991,2.4001,88.6209,235.1065,45.1633
46.58,1.1637,0.9801,2.4053,88.7052,232.9647,43.0955
46.6,1.1844,0.9731,2.3855,88.7152,228.0378,38.2648
46.62,1.1987,0.9648,2.3305,88.618,219.5755,29.8685
46.64,1.19,0.9263,2.0967,87.9768,204.7474,14.9188
46.66,1.1589,0.9085,1.9416,87.4775,201.3331,11.5374
46.68,1.116,0.9065,1.7621,86.9182,198.6807,8.9908
46.7,1.0641,0.9117,1.5545,86.2682,197.1,7.4452
46.72,0.9908,0.9254,1.3304,85.552,196.4493,6.7788
46.74,0.8137,0.995,0.8233,83.9224,195.0304,5.3404
46.76,0.7181,1.0319,0.5704,83.1204,194.7946,5.0472
46.78,0.6089,1.0767,0.2997,82.2529,194.8003,4.9602
46.8,0.501,1.1269,0.0175,81.3512,194.7057,4.7569
46.82,0.3892,1.1876,-0.2676,80.4544,194.7792,4.7323
46.84,0.1528,1.3393,-0.8197,78.6746,195.0255,4.6332
46.86,0.0365,1.417,-1.0876,77.8036,195.2133,4.5616
46.88,-0.0717,1.499,-1.3423,76.9802,195.3891,4.524
46.9,-0.1787,1.5726,-1.5782,76.1854,195.6207,4.6818
46.92,-0.2691,1.6533,-1.796,75.4829,195.7146,4.7236
46.94,-0.4245,1.7856,-2.1678,74.2333,195.8382,4.7103
46.96,-0.4829,1.8434,-2.3117,73.7562,195.797,4.6705
46.98,-0.527,1.8935,-2.425,73.3765,195.6739,4.6405
47,-0.5539,1.9298,-2.5142,73.0853,195.572,4.654
47.02,-0.5755,1.9518,-2.5659,72.897,195.4909,4.748
47.04,-0.5656,1.9589,-2.5789,72.8748,195.3706,5.1796
47.06,-0.5397,1.9363,-2.5463,72.9924,195.3596,5.6872
47.08,-0.4922,1.8997,-2.4655,73.2275,195.3277,6.2802
47.1,-0.4362,1.8548,-2.3621,73.5756,195.245,6.6308
47.12,-0.3724,1.8006,-2.2284,74.0255,195.2127,6.9088
47.14,-0.2156,1.6856,-1.8762,75.1992,194.9845,7.3005
47.16,-0.1193,1.6262,-1.6677,75.8894,194.7886,7.4323
47.18,-0.0227,1.5702,-1.4334,76.6761,194.6104,7.5797
47.2,0.0759,1.5062,-1.1838,77.4878,194.5179,7.6818
47.22,0.1792,1.4454,-0.922,78.3701,194.5175,7.7053
47.24,0.3736,1.3327,-0.3486,80.26,195.1646,8.2721
47.26,0.4781,1.2951,-0.0501,81.252,195.6436,8.7007
47.28,0.5705,1.2673,0.2628,82.2648,196.418,9.3217
47.3,0.6616,1.241,0.5744,83.2807,197.5523,10.0636
47.32,0.7475,1.2168,0.8885,84.2892,199.3207,11.3164
47.34,0.9213,1.173,1.507,86.2791,205.1425,16.2922
47.36,1.0185,1.1541,1.7966,87.2234,210.0165,21.0376
47.38,1.11,1.1303,2.066,88.0468,218.0883,29.0776
47.4,1.1965,1.1137,2.3143,88.7434,233.9102,44.8156
47.42,1.2814,1.1077,2.539,89.2008,267.3749,78.2373
47.44,1.421,1.0932,2.9006,88.8601,340.4106,151.442
47.46,1.4833,1.0974,3.0323,88.4947,353.4456,164.6315
47.48,1.5261,1.0956,3.135,88.1966,359.1844,170.4899
47.5,1.5622,1.0984,3.1988,88.0034,3.364,174.7082
47.52,1.5769,1.0817,3.2226,87.9677,4.5461,175.9106
47.54,1.5799,1.0639,3.1842,88.1094,5.8237,177.3087
47.56,1.562,1.0522,3.0957,88.3987,4.4738,176.0576
47.58,1.5286,1.0519,2.9809,88.7581,2.2594,173.9307
47.6,1.4755,1.0529,2.84,89.2132,355.8754,167.6526
47.62,1.4283,1.0591,2.6609,89.7216,325.4811,137.3445
47.64,1.2905,1.0921,2.2448,88.8552,198.152,10.5419
47.66,1.216,1.1158,2.0054,88.1082,194.0549,6.8872
47.68,1.1399,1.1459,1.7481,87.3185,191.7566,5.0746
47.7,1.0419,1.1794,1.4849,86.4811,190.9819,4.8074
47.72,0.9394,1.2194,1.2078,85.607,190.5834,4.8258
47.74,0.687,1.3433,0.6192,83.766,191.2541,6.1354
47.76,0.5591,1.4227,0.341,82.9151,191.9456,6.9574
47.78,0.4127,1.5128,0.0512,82.0079,192.6896,7.7016
47.8,0.2515,1.6078,-0.2285,81.1144,193.6786,8.5331
47.82,0.0861,1.6992,-0.5024,80.2185,194.748,9.294
47.84,-0.2374,1.8749,-1.0186,78.4829,196.888,10.753
47.86,-0.3864,1.9619,-1.25,77.6899,197.8317,11.3699
47.88,-0.5244,2.0416,-1.4611,76.9474,198.5716,11.7951
47.9,-0.646,2.116,-1.648,76.2848,199.109,12.0717
47.92,-0.7468,2.1793,-1.8096,75.7054,199.5536,12.3235
47.94,-0.89,2.2694,-2.0412,75.015,200.3454,12.8129
47.96,-0.9275,2.2909,-2.1116,74.744,199.8117,12.2949
47.98,-0.9451,2.2913,-2.1512,74.6151,200.3405,12.7234
48,-0.9453,2.2766,-2.1561,74.5732,200.2744,12.7203
48.02,-0.929,2.2466,-2.1361,74.6089,200.2062,12.734
48.04,-0.8503,2.1511,-1.9912,75.1082,200.2939,13.1391
48.06,-0.7951,2.0931,-1.8763,75.4825,200.3809,13.3926
48.08,-0.7213,2.0326,-1.7386,75.9561,200.4023,13.5729
48.1,-0.6469,1.9681,-1.568,76.5197,200.5014,13.8823
48.12,-0.5639,1.8976,-1.379,77.1457,200.665,14.1945
48.14,-0.3913,1.7372,-0.9458,78.5311,201.3419,15.1605
48.16,-0.2974,1.6605,-0.7094,79.3025,201.8223,15.7264
48.18,-0.2114,1.5857,-0.4577,80.0848,202.5988,16.5962
48.2,-0.1242,1.5169,-0.1992,80.8979,203.6994,17.713
48.22,-0.0453,1.4571,0.0703,81.7112,205.1447,19.0883
48.24,0.1183,1.3679,0.6097,83.3727,209.1628,22.8106
48.26,0.1944,1.32,0.8732,84.1345,212.0472,25.5531
