time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
26.54,-25.0492,-16.2942,3.9537,76.8851,123.9356,20.4537
26.56,-24.9784,-16.2627,3.8092,76.4212,125.0487,21.399
26.58,-24.947,-16.2546,3.74,76.1917,125.6856,21.9403
26.6,-24.9293,-16.241,3.6714,76.0117,126.2086,22.3843
26.62,-24.9116,-16.2335,3.6082,75.818,126.7356,22.8411
26.64,-24.9115,-16.218,3.546,75.7008,127.285,23.4069
26.66,-24.9157,-16.2011,3.4453,75.5193,128.4436,24.6975
26.68,-24.9333,-16.1874,3.4016,75.4977,129.0408,25.1763
26.7,-24.952,-16.1885,3.3633,75.4631,129.7741,25.8126
26.72,-24.9751,-16.1913,3.3353,75.4746,130.3346,26.3487
26.74,-25.0084,-16.2029,3.3066,75.4923,130.9633,26.963
26.76,-25.0807,-16.2167,3.2853,75.62,131.9236,27.8171
26.78,-25.1231,-16.2283,3.2827,75.7108,132.3603,28.1824
26.8,-25.1609,-16.2393,3.2942,75.8149,132.6989,28.4436
26.82,-25.1999,-16.2532,3.3108,75.9273,133.0161,28.6878
26.84,-25.2387,-16.2658,3.3376,76.0667,133.262,28.7871
26.86,-25.3147,-16.2855,3.4202,76.4087,133.421,28.509
26.88,-25.3384,-16.2937,3.492,76.6121,133.2754,27.9567
26.9,-25.3675,-16.2897,3.5853,76.8853,132.7672,27.0375
26.92,-25.3941,-16.278,3.7123,77.2192,131.7506,25.7542
26.94,-25.4157,-16.2689,3.8757,77.6202,130.1268,23.792
26.96,-25.4746,-16.2931,4.317,78.623,125.0087,18.3837
26.98,-25.5044,-16.3187,4.5972,79.1688,120.9354,14.3833
27,-25.5225,-16.3596,4.9165,79.6668,116.1373,9.7965
27.02,-25.5414,-16.3946,5.273,80.122,110.0087,4.0034
27.04,-25.5559,-16.4202,5.5991,80.4234,104.2248,358.6852
27.06,-25.5582,-16.4449,6.2286,80.5879,91.9218,347.247
27.08,-25.5472,-16.4387,6.4657,80.4788,87.3227,343.156
27.1,-25.5127,-16.4156,6.63,80.2926,84.3348,340.4852
27.12,-25.4642,-16.3806,6.7051,80.0872,83.1909,339.5071
27.14,-25.4054,-16.3442,6.6781,79.8968,84.1698,340.2788
27.16,-25.2516,-16.2958,6.3445,79.5245,91.5412,347.158
27.18,-25.1679,-16.2893,6.059,79.2389,96.9387,352.3756
27.2,-25.0729,-16.2954,5.7101,78.8305,103.1879,358.3551
27.22,-24.9925,-16.2841,5.3017,78.2998,109.4089,4.3023
27.24,-24.906,-16.2678,4.8452,77.5508,115.6691,10.2757
