time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.38,-26.0313,-16.2228,4.3728,79.3436,168.1485,324.3505
15.4,-26.0313,-16.2223,4.3711,79.3386,168.143,324.3532
15.42,-26.0306,-16.2227,4.3699,79.3312,168.1355,324.3499
15.44,-26.0313,-16.22,4.3695,79.3375,168.1386,324.3574
15.46,-26.0305,-16.2217,4.3669,79.3226,168.1302,324.3577
15.48,-26.0291,-16.2211,4.3666,79.321,168.1109,324.3391
15.5,-26.031,-16.2217,4.3636,79.3098,168.1169,324.3677
15.52,-26.0296,-16.2203,4.3646,79.3159,168.1076,324.3515
15.54,-26.0281,-16.2222,4.3643,79.3048,168.0892,324.3239
15.56,-26.0344,-16.2202,4.3601,79.3066,168.147,324.3915
15.58,-26.0298,-16.2224,4.3623,79.3031,168.1538,324.3868
15.6,-26.0339,-16.2207,4.3607,79.3052,168.1817,324.421
15.62,-26.0333,-16.2215,4.3611,79.3049,168.1842,324.4207
15.64,-26.0345,-16.2209,4.3612,79.3089,168.1853,324.4265
15.66,-26.0341,-16.2217,4.3621,79.3105,168.1804,324.4196
15.68,-26.035,-16.2209,4.3625,79.3144,168.2079,324.4483
15.7,-26.0349,-16.2204,4.3637,79.3219,168.2036,324.4374
15.72,-26.035,-16.222,4.3639,79.3153,168.1993,324.4388
15.74,-26.0353,-16.2238,4.3633,79.3104,168.1885,324.4306
15.76,-26.0384,-16.2223,4.3638,79.3205,168.2129,324.4846
15.78,-26.0385,-16.2195,4.3662,79.3329,168.2428,324.5161
15.8,-26.0386,-16.2228,4.3652,79.3193,168.1885,324.4732
15.82,-26.0402,-16.225,4.3648,79.3258,168.208,324.4751
15.84,-26.0358,-16.2354,4.363,79.3098,168.2401,324.4016
15.86,-26.0333,-16.2472,4.3183,79.228,168.3937,324.5172
15.88,-26.0253,-16.2286,4.2798,79.1249,168.5231,324.5722
15.9,-26.0178,-16.212,4.2148,78.9165,168.714,324.7098
15.92,-26.0095,-16.1852,4.1321,78.6666,169.0659,325.0265
15.94,-25.9961,-16.1618,4.0283,78.3414,169.4926,325.2914
15.96,-25.9687,-16.1014,3.7508,77.4843,170.5002,326.0627
15.98,-25.9574,-16.0655,3.5713,76.9336,171.0963,326.5301
16,-25.9455,-16.022,3.3703,76.3111,171.733,327.0076
16.02,-25.9223,-15.9777,3.1524,75.6131,172.3852,327.4156
16.04,-25.9028,-15.9296,2.9086,74.8218,172.9857,327.796
16.06,-25.8631,-15.8047,2.3613,73.05,174.131,328.7138
16.08,-25.8405,-15.7329,2.0637,72.0669,174.6065,329.1148
16.1,-25.8191,-15.6543,1.7535,71.0412,175.012,329.4346
16.12,-25.8008,-15.5739,1.4347,69.9628,175.4022,329.7517
16.14,-25.7837,-15.4827,1.1187,68.9034,175.7854,330.0022
16.16,-25.7626,-15.2748,0.5211,66.8538,176.8039,330.1038
16.18,-25.7569,-15.1478,0.2568,65.9301,177.2602,330.2011
16.2,-25.7563,-15.0129,0.0258,65.1131,177.6521,330.3912
16.22,-25.7582,-14.8932,-0.1656,64.4256,178.0186,330.5147
16.24,-25.7703,-14.7962,-0.3064,63.914,178.5585,330.5073
16.26,-25.8183,-14.7153,-0.4412,63.4669,179.7282,330.7392
16.28,-25.8546,-14.725,-0.4263,63.5573,180.3423,330.7592
16.3,-25.8974,-14.7483,-0.3552,63.8839,180.8987,330.7853
16.32,-25.9505,-14.7934,-0.2007,64.4099,181.3478,330.9781
16.34,-26.0056,-14.8462,0.0058,65.1804,181.7468,331.3199
16.36,-26.1332,-15.0063,0.6078,67.3818,182.5636,332.2239
16.38,-26.2108,-15.1125,0.9982,68.7891,183.1734,332.6424
16.4,-26.2915,-15.2225,1.4454,70.3718,183.9559,333.1756
16.42,-26.3766,-15.3273,1.9416,72.1131,184.8958,333.9954
16.44,-26.4628,-15.4223,2.4864,73.9859,186.0988,335.1182
16.46,-26.646,-15.5679,3.6925,78.0902,189.6741,338.9815
16.48,-26.7389,-15.6184,4.3416,80.2548,192.5024,342.2514
16.5,-26.8295,-15.6552,5.0111,82.4546,196.5874,347.0648
16.52,-26.9327,-15.6746,5.6837,84.6108,203.4736,354.7821
16.54,-27.039,-15.6722,6.3644,86.5898,218.7602,10.8683
16.56,-27.2602,-15.6371,7.728,87.1661,310.3373,104.4414
16.58,-27.371,-15.6071,8.3316,85.6233,330.1613,125.2593
16.6,-27.4845,-15.5699,8.9451,83.8048,338.6942,134.6975
16.62,-27.6163,-15.5023,9.5157,81.9953,342.3625,139.0174
16.64,-27.7433,-15.4194,10.0498,80.2815,344.1231,141.1067
16.66,-28.0283,-15.1932,10.9598,77.1306,344.2769,141.1688
16.68,-28.1703,-15.0826,11.3337,75.7878,343.7308,140.3712
16.7,-28.3044,-14.9841,11.6503,74.6371,342.9195,139.1989
16.72,-28.4388,-14.8995,11.9029,73.6579,341.9171,137.7647
16.74,-28.5689,-14.8165,12.1002,72.8378,340.8538,136.292
16.76,-28.796,-14.7402,12.2899,71.9175,338.4426,133.0502
16.78,-28.8881,-14.7572,12.2807,71.8729,337.267,131.7655
16.8,-28.969,-14.7688,12.2169,71.9437,336.1355,130.7461
16.82,-29.0519,-14.833,12.0657,72.3259,334.8078,129.754
16.84,-29.1049,-14.9312,11.8591,73.0117,333.4072,128.8432
16.86,-29.1735,-15.1992,11.2545,74.9479,329.7518,126.1165
16.88,-29.1791,-15.3823,10.8465,76.2867,327.2703,124.1889
16.9,-29.1681,-15.5619,10.3661,77.805,323.7151,121.3103
16.92,-29.139,-15.7513,9.8015,79.5072,318.5232,116.8944
16.94,-29.0847,-15.9217,9.1679,81.238,310.7256,109.8945
16.96,-28.9233,-16.1985,7.6824,84.0412,277.4982,78.3376
16.98,-28.8115,-16.2927,6.8464,84.172,250.2907,52.0997
17,-28.6931,-16.3417,5.9578,83.0093,226.4412,29.0552
17.02,-28.5485,-16.3504,5.0361,80.9004,210.9732,13.75
17.04,-28.3985,-16.2924,4.0801,78.275,201.8234,4.4151
17.06,-28.0243,-15.9658,2.1374,72.4423,191.9082,354.4342
17.08,-27.8107,-15.7053,1.1771,69.3849,189.0684,351.3947
17.1,-27.5836,-15.3842,0.2478,66.3339,186.9491,349.0176
17.12,-27.3346,-15.0281,-0.638,63.3091,185.1932,346.9417
17.14,-27.0811,-14.6313,-1.4694,60.3867,183.7252,345.1042
17.16,-26.5397,-13.8059,-2.9345,54.9072,180.8998,342.6717
17.18,-26.28,-13.4108,-3.5515,52.4527,179.7643,341.4217
17.2,-26.0298,-13.0531,-4.0822,50.2317,178.797,340.2483
17.22,-25.8005,-12.7398,-4.5247,48.3566,178.02,339.1526
17.24,-25.5907,-12.483,-4.8689,46.8204,177.2927,338.0249
17.26,-25.2515,-12.1483,-5.2278,45.0753,176.1249,335.696
17.28,-25.122,-12.1004,-5.2428,44.9304,175.6803,334.6533
17.3,-25.0267,-12.1352,-5.1576,45.2926,175.3359,333.8485
17.32,-24.9524,-12.254,-4.958,46.2112,175.0291,333.0491
17.34,-24.9033,-12.4709,-4.6179,47.6673,174.7705,332.2512
17.36,-24.8945,-13.0906,-3.6291,51.9255,174.3125,330.4951
17.38,-24.9292,-13.467,-2.9659,54.661,174.1871,329.3871
17.4,-24.9871,-13.862,-2.1962,57.7386,174.1499,328.0427
17.42,-25.0625,-14.2497,-1.3288,61.088,174.1035,326.7265
17.44,-25.1488,-14.6172,-0.374,64.6447,173.9995,325.4555
17.46,-25.3479,-15.2413,1.7351,72.1576,173.4064,323.1933
17.48,-25.4592,-15.4831,2.8559,75.9852,172.7534,322.0729
17.5,-25.5784,-15.6721,3.9972,79.7465,170.9321,320.0164
17.52,-25.705,-15.8027,5.1421,83.3631,166.2485,315.4731
17.54,-25.8393,-15.875,6.2737,86.8257,152.5923,302.2071
17.56,-26.1553,-15.8423,8.5056,85.6533,14.12,164.0892
17.58,-26.3292,-15.7176,9.4573,82.6674,6.1352,156.2491
17.6,-26.5083,-15.5395,10.392,79.6791,2.7425,153.149
17.62,-26.6887,-15.3116,11.2502,76.8305,0.8889,151.8893
17.64,-26.865,-15.0586,12.029,74.1888,359.4572,150.9425
17.66,-27.2125,-14.5168,13.3278,69.5021,357.1197,149.2345
17.68,-27.3601,-14.2481,13.8459,67.5748,356.1671,148.4494
17.7,-27.5015,-13.9599,14.2709,65.8328,355.1858,147.5493
17.72,-27.637,-13.7271,14.5838,64.509,354.2187,146.5524
17.74,-27.7408,-13.5157,14.8211,63.4617,353.3827,145.5486
17.76,-27.9075,-13.2794,15.0243,62.4943,351.9241,143.7224
17.78,-27.9691,-13.2589,15.008,62.505,351.3011,142.9956
17.8,-28.0051,-13.3122,14.9305,62.8166,350.8592,142.5609
17.82,-28.0346,-13.454,14.7626,63.5027,350.4536,142.2327
17.84,-28.0489,-13.674,14.5136,64.5592,350.0686,141.9194
17.86,-28.0009,-14.2692,13.7999,67.6253,349.6617,141.8558
17.88,-27.9608,-14.6133,13.3124,69.6207,349.4282,141.9828
17.9,-27.9055,-14.9882,12.73,71.9503,349.0467,141.8769
17.92,-27.8364,-15.3345,12.0721,74.4528,348.4378,141.3866
17.94,-27.757,-15.6751,11.3225,77.2291,347.303,140.4086
17.96,-27.5817,-16.2372,9.573,83.2734,340.4634,134.2699
17.98,-27.4985,-16.4381,8.588,86.3102,325.7414,119.7075
18,-27.4108,-16.5636,7.5492,87.9727,260.6312,54.2094
18.02,-27.3278,-16.5946,6.4621,85.6984,208.3429,1.3645
18.04,-27.2353,-16.5365,5.3376,82.3515,196.0452,348.6772
18.06,-27.0461,-16.1265,3.0518,75.3408,189.1683,341.251
18.08,-26.9393,-15.7955,1.9278,71.7664,187.6295,339.3173
18.1,-26.8229,-15.3958,0.8377,68.2318,186.3192,338.1255
18.12,-26.6917,-14.9687,-0.206,64.7165,185.0513,337.5218
18.14,-26.5647,-14.5315,-1.182,61.3355,184.188,337.0064
18.16,-26.3236,-13.6751,-2.8701,55.13,183.1113,335.8428
18.18,-26.2174,-13.2697,-3.5512,52.4564,182.6519,335.1454
18.2,-26.1238,-12.8919,-4.106,50.1578,182.1852,334.6987
18.22,-26.0519,-12.5677,-4.5281,48.3406,181.9121,334.4291
18.24,-25.9997,-12.3298,-4.8183,47.0651,181.8175,334.4445
18.26,-25.9836,-12.1557,-4.9953,46.28,181.8495,334.8354
18.28,-26.0185,-12.2216,-4.8864,46.7766,181.942,335.1626
18.3,-26.0859,-12.3911,-4.6364,47.9465,182.21,335.4712
18.32,-26.1838,-12.6679,-4.2255,49.7519,182.612,335.7639
18.34,-26.3014,-12.9937,-3.6952,52.0113,183.199,336.0128
18.36,-26.5738,-13.7616,-2.254,57.815,185.2838,336.7925
18.38,-26.7073,-14.1616,-1.3615,61.2258,186.6569,337.6158
18.4,-26.8353,-14.5416,-0.3724,64.8312,188.3095,338.8504
18.42,-26.9467,-14.8951,0.6934,68.5778,190.2457,340.7715
18.44,-27.0418,-15.2081,1.8192,72.381,192.7144,343.3676
18.46,-27.1966,-15.6818,4.1628,79.8145,200.7799,352.2275
18.48,-27.2532,-15.8337,5.3371,83.3679,208.5035,1.1634
18.5,-27.2971,-15.931,6.4943,86.596,231.2186,25.5811
18.52,-27.3529,-15.9692,7.6189,87.2509,299.9738,94.9715
18.54,-27.4086,-15.9191,8.6893,84.8537,335.8488,131.2638
18.56,-27.5049,-15.5953,10.6489,78.8717,352.0026,149.15
18.58,-27.5551,-15.3627,11.4264,76.2496,354.2781,152.3348
18.6,-27.6021,-15.0996,12.1564,73.6904,355.5912,154.4382
18.62,-27.658,-14.8152,12.7927,71.3969,356.0997,155.3137
