time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.22,-23.9294,16.4625,-6.2669,357.9256,3.4452,4.6253
10.24,-23.9295,16.4625,-6.2668,357.9258,3.4451,4.6253
10.26,-23.9297,16.4626,-6.2668,357.9259,3.4454,4.6244
10.28,-23.93,16.4627,-6.267,357.9246,3.4438,4.6253
10.3,-23.9297,16.4629,-6.267,357.9237,3.4434,4.6248
10.32,-23.9299,16.4628,-6.2667,357.9243,3.442,4.6243
10.34,-23.93,16.4625,-6.2665,357.9263,3.4422,4.6245
10.36,-23.9301,16.4629,-6.2666,357.9246,3.4417,4.6246
10.38,-23.9303,16.4627,-6.2666,357.9251,3.4397,4.6239
10.4,-23.9303,16.4627,-6.2665,357.9251,3.4396,4.6243
10.42,-23.9307,16.4626,-6.2665,357.9252,3.4405,4.6237
10.44,-23.9316,16.4627,-6.2669,357.9248,3.4391,4.6245
10.46,-23.9321,16.4622,-6.267,357.9255,3.437,4.6262
10.48,-23.9318,16.4629,-6.2671,357.9245,3.4379,4.6248
10.5,-23.9319,16.4631,-6.2673,357.9231,3.4373,4.6249
10.52,-23.9316,16.4629,-6.2672,357.9242,3.4395,4.6237
10.54,-23.9313,16.4627,-6.2671,357.9246,3.4404,4.6249
10.56,-23.9313,16.4627,-6.2671,357.9256,3.4396,4.625
10.58,-23.9312,16.4626,-6.2671,357.9251,3.4404,4.6253
10.6,-23.9314,16.4626,-6.2672,357.924,3.4389,4.6264
10.62,-23.9313,16.4626,-6.2672,357.9244,3.4397,4.6256
10.64,-23.9315,16.4624,-6.2675,357.9249,3.4391,4.6258
10.66,-23.9316,16.4625,-6.2676,357.9251,3.441,4.6252
10.68,-23.9322,16.4625,-6.2677,357.9252,3.4407,4.6266
10.7,-23.9318,16.4627,-6.2672,357.9251,3.4437,4.6254
10.72,-23.9293,16.4628,-6.2669,357.9247,3.4439,4.6241
10.74,-23.9293,16.4628,-6.2674,357.9239,3.4442,4.6235
10.76,-23.9304,16.4627,-6.2678,357.9232,3.4421,4.6244
10.78,-23.9309,16.4627,-6.2675,357.9237,3.4434,4.6261
10.8,-23.9309,16.4626,-6.2673,357.9242,3.4435,4.6274
10.82,-23.9288,16.4626,-6.2675,357.9247,3.4456,4.6243
10.84,-23.9294,16.4629,-6.268,357.9221,3.4473,4.6241
10.86,-23.9306,16.4631,-6.268,357.9222,3.4468,4.6233
10.88,-23.9321,16.4628,-6.2679,357.9224,3.4444,4.627
10.9,-23.9314,16.4626,-6.2678,357.9235,3.4451,4.6269
10.92,-23.9283,16.4625,-6.2676,357.9234,3.4504,4.6235
10.94,-23.9288,16.4625,-6.2677,357.9234,3.4486,4.6243
10.96,-23.9296,16.4626,-6.2677,357.9247,3.4477,4.6248
10.98,-23.9302,16.4624,-6.2675,357.9249,3.4484,4.6266
11,-23.9298,16.4626,-6.2675,357.9241,3.4488,4.6259
11.02,-23.9293,16.4624,-6.2681,357.9244,3.4468,4.6254
11.04,-23.9292,16.4626,-6.2678,357.9247,3.4489,4.6245
11.06,-23.9294,16.4626,-6.2676,357.9243,3.4497,4.6252
11.08,-23.9298,16.4628,-6.2677,357.9232,3.4476,4.625
11.1,-23.9295,16.4627,-6.2678,357.9229,3.4477,4.6247
11.12,-23.9292,16.4625,-6.2677,357.9244,3.4478,4.6244
11.14,-23.9294,16.4626,-6.2675,357.9246,3.4473,4.6248
11.16,-23.9296,16.4627,-6.2674,357.9239,3.4487,4.6253
11.18,-23.9297,16.4629,-6.2676,357.9221,3.4483,4.6238
11.2,-23.9297,16.4629,-6.2679,357.9221,3.446,4.6243
11.22,-23.9295,16.4627,-6.2675,357.9239,3.4483,4.6235
11.24,-23.9302,16.4625,-6.2675,357.9241,3.4474,4.6247
11.26,-23.9316,16.4627,-6.2679,357.9221,3.4437,4.6261
11.28,-23.9306,16.4626,-6.2677,357.9226,3.4471,4.6252
11.3,-23.9298,16.4629,-6.2678,357.9225,3.4474,4.6254
11.32,-23.929,16.4625,-6.2672,357.9243,3.4476,4.6251
11.34,-23.9297,16.4627,-6.2674,357.923,3.4464,4.6251
11.36,-23.9299,16.4627,-6.2673,357.9235,3.4469,4.6254
11.38,-23.9301,16.4627,-6.2674,357.9236,3.4433,4.6251
11.4,-23.9293,16.4627,-6.2671,357.9241,3.4448,4.6249
11.42,-23.9292,16.4627,-6.2669,357.9229,3.4446,4.6239
11.44,-23.9296,16.4623,-6.2668,357.9247,3.4426,4.6255
11.46,-23.9297,16.4627,-6.2667,357.9235,3.4429,4.6251
11.48,-23.9298,16.4625,-6.2667,357.9245,3.4415,4.6244
11.5,-23.9297,16.4627,-6.2668,357.9229,3.442,4.625
11.52,-23.9305,16.4628,-6.2672,357.9216,3.4397,4.625
11.54,-23.9302,16.4628,-6.267,357.9226,3.4403,4.6246
11.56,-23.93,16.4629,-6.2669,357.9223,3.4409,4.6238
11.58,-23.9301,16.4628,-6.2669,357.9227,3.4411,4.6233
11.6,-23.9305,16.4626,-6.267,357.9239,3.4406,4.6241
11.62,-23.9313,16.4629,-6.2672,357.9223,3.4402,4.6242
11.64,-23.931,16.4627,-6.267,357.9232,3.4404,4.6241
11.66,-23.9305,16.4629,-6.2672,357.9224,3.4411,4.6236
11.68,-23.9307,16.4626,-6.2672,357.9237,3.4402,4.6245
11.7,-23.9307,16.4625,-6.2671,357.9238,3.4415,4.6245
11.72,-23.9309,16.463,-6.2671,357.9221,3.4406,4.6242
11.74,-23.9305,16.4629,-6.267,357.922,3.4412,4.6239
11.76,-23.9301,16.4632,-6.2671,357.9212,3.4424,4.623
11.78,-23.9311,16.4627,-6.2674,357.9223,3.4396,4.624
11.8,-23.9317,16.463,-6.2676,357.9215,3.4378,4.6251
11.82,-23.9312,16.4626,-6.267,357.9242,3.4407,4.6259
11.84,-23.9296,16.4629,-6.2668,357.9227,3.4419,4.6248
11.86,-23.929,16.4627,-6.267,357.9232,3.4434,4.6235
11.88,-23.9298,16.463,-6.2675,357.9221,3.4443,4.6223
11.9,-23.9309,16.4633,-6.2677,357.9206,3.4443,4.6231
11.92,-23.9309,16.4628,-6.267,357.9232,3.4449,4.6256
11.94,-23.9295,16.4629,-6.2672,357.9225,3.4445,4.6248
11.96,-23.929,16.4626,-6.2679,357.9225,3.4457,4.6229
11.98,-23.93,16.4629,-6.2683,357.9219,3.4454,4.6221
12,-23.9313,16.4628,-6.2682,357.9225,3.4457,4.6243
12.02,-23.9301,16.4628,-6.2673,357.9225,3.4479,4.6256
12.04,-23.9284,16.4628,-6.2676,357.9228,3.4478,4.6241
12.06,-23.9284,16.4627,-6.2682,357.9218,3.4487,4.622
12.08,-23.9296,16.4629,-6.2684,357.9207,3.449,4.6227
12.1,-23.9317,16.4623,-6.2679,357.9234,3.4471,4.6268
12.12,-23.9293,16.4632,-6.2679,357.9206,3.4492,4.6237
12.14,-23.9281,16.4633,-6.2685,357.9193,3.4506,4.6204
12.16,-23.9285,16.4629,-6.2685,357.9203,3.4505,4.6211
12.18,-23.9297,16.4627,-6.2682,357.9217,3.449,4.6237
12.2,-23.9304,16.4627,-6.2678,357.9222,3.449,4.6256
12.22,-23.9292,16.4627,-6.2683,357.9223,3.4499,4.6234
12.24,-23.929,16.4628,-6.2687,357.9211,3.4487,4.6232
12.26,-23.9293,16.4629,-6.2685,357.9208,3.4483,4.6239
12.28,-23.9296,16.463,-6.2679,357.9215,3.4492,4.6241
12.3,-23.9297,16.4628,-6.2677,357.9214,3.4494,4.6242
12.32,-23.9288,16.4628,-6.2684,357.9208,3.4496,4.622
12.34,-23.9289,16.4628,-6.2681,357.9219,3.45,4.6234
12.36,-23.9293,16.4629,-6.2677,357.9223,3.4501,4.6238
12.38,-23.9299,16.4627,-6.2676,357.9228,3.4494,4.6242
12.4,-23.9296,16.4631,-6.268,357.9203,3.4497,4.6236
12.42,-23.9293,16.4627,-6.268,357.9218,3.45,4.6242
12.44,-23.929,16.4629,-6.2676,357.9208,3.4513,4.6239
12.46,-23.9292,16.463,-6.2675,357.9209,3.4508,4.6235
12.48,-23.9296,16.4628,-6.2678,357.922,3.4491,4.6229
12.5,-23.9297,16.4629,-6.2681,357.9212,3.4489,4.6219
12.52,-23.9297,16.4627,-6.2676,357.9218,3.4484,4.6244
12.54,-23.9293,16.4628,-6.2674,357.9221,3.4498,4.6236
12.56,-23.9294,16.463,-6.2677,357.92,3.449,4.6231
12.58,-23.9292,16.4632,-6.2677,357.9193,3.4507,4.6208
12.6,-23.9294,16.4627,-6.2675,357.9228,3.449,4.6226
12.62,-23.9292,16.463,-6.2671,357.9212,3.4476,4.6233
12.64,-23.9289,16.4629,-6.267,357.9216,3.4482,4.6225
12.66,-23.9292,16.4627,-6.2671,357.9218,3.4463,4.6226
12.68,-23.9294,16.4628,-6.2671,357.9215,3.4459,4.6225
12.7,-23.9299,16.4628,-6.267,357.9219,3.4448,4.6232
12.72,-23.93,16.4628,-6.267,357.9217,3.4438,4.623
12.74,-23.93,16.463,-6.2672,357.92,3.4425,4.6217
12.76,-23.9299,16.4628,-6.2669,357.9214,3.4431,4.6226
12.78,-23.93,16.4628,-6.2669,357.9219,3.4427,4.623
12.8,-23.9303,16.4628,-6.2669,357.922,3.4414,4.6234
12.82,-23.9306,16.4629,-6.2672,357.9206,3.4432,4.6229
12.84,-23.9306,16.4627,-6.2671,357.9213,3.4435,4.6228
12.86,-23.9305,16.4626,-6.2669,357.922,3.4437,4.623
12.88,-23.9304,16.4626,-6.2669,357.9225,3.4435,4.6233
12.9,-23.9303,16.4627,-6.267,357.9223,3.443,4.6225
12.92,-23.9309,16.4629,-6.2673,357.9211,3.4424,4.6238
12.94,-23.9309,16.4629,-6.2671,357.9212,3.4422,4.6235
12.96,-23.9308,16.4627,-6.2671,357.9219,3.4418,4.6237
12.98,-23.9301,16.4624,-6.2668,357.9229,3.4428,4.6239
13,-23.9298,16.4629,-6.2671,357.9217,3.443,4.6227
13.02,-23.9306,16.4626,-6.2672,357.9227,3.4432,4.623
