time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.4,0.4952,-3.8097,5.6318,65.7829,168.9017,330.0598
8.42,0.1451,-4.0561,6.1927,67.7171,171.1646,331.7926
8.44,-0.3439,-4.364,6.9887,70.3172,174.9882,335.0423
8.46,-1.3809,-4.846,8.7195,75.4907,187.319,345.8711
8.48,-1.9142,-4.9963,9.6301,77.6512,196.9817,354.6715
8.5,-2.4393,-5.0777,10.5543,79.3312,209.8557,6.8527
8.52,-2.9547,-5.0904,11.4842,80.3416,226.4953,23.0311
8.54,-3.4482,-5.0369,12.4002,80.4799,244.7501,40.899
8.559999,-4.3535,-4.7473,14.1576,78.345,275.2045,70.4208
8.58,-4.7646,-4.5295,14.9844,76.5134,285.4783,80.1557
8.599999,-5.2323,-4.2153,15.9493,73.9971,294.2401,88.3702
8.62,-5.4769,-4.0103,16.4832,72.4594,298.0529,91.7979
8.639999,-5.7785,-3.7214,17.1437,70.4371,302.0663,95.3036
8.66,-6.2837,-3.1381,18.266,66.7316,307.2492,99.5944
8.679999,-6.4638,-2.8539,18.7088,65.1738,309.0413,101.0503
8.7,-6.5861,-2.5931,19.0654,63.8848,310.4402,102.0949
8.72,-6.7091,-2.3521,19.3601,62.7106,311.4948,102.9283
8.74,-6.788,-2.1645,19.5717,61.8563,312.2147,103.5177
8.76,-6.8105,-1.9415,19.7719,60.987,313.186,104.2823
8.78,-6.7823,-1.9246,19.771,60.9944,313.3217,104.4396
8.8,-6.7373,-1.9594,19.7199,61.2239,313.2828,104.5151
8.82,-6.6075,-2.0726,19.5725,61.876,313.1725,104.3983
8.84,-6.4723,-2.2615,19.3661,62.7851,312.6722,104.0178
8.86,-6.0722,-2.7624,18.747,65.4125,311.1328,103.0746
8.88,-5.8114,-3.0707,18.3269,67.1104,309.9138,102.4588
8.9,-5.5086,-3.409,17.8291,69.0848,308.1756,101.5498
8.92,-5.1554,-3.7633,17.247,71.3319,305.7175,99.9832
8.94,-4.7683,-4.1272,16.5916,73.7205,302.1754,97.3235
8.96,-3.8758,-4.7834,15.067,78.7148,289.7716,86.8736
8.98,-3.3654,-5.027,14.2015,81.0879,277.7754,76.1402
9,-2.8388,-5.1924,13.2961,82.868,258.4234,58.1706
9.02,-2.2512,-5.2772,12.3232,83.5214,229.7914,30.6836
9.04,-1.6437,-5.2782,11.295,82.382,201.3176,3.5227
