time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
23.58,4.3265,-1.1561,-2,0,0,40
23.6,3.8353,-1.5312,-2,0,0,34.7373
23.62,3.6249,-1.6713,-2,0,0,32.5856
23.64,3.3743,-1.8238,-2,0,0,30.0879
23.66,3.0829,-1.9832,-2,0,0,27.2605
23.68,2.7511,-2.1429,-2,0,0,24.125
23.7,2.38,-2.2959,-2,0,0,20.708
23.72,1.9726,-2.4352,-2,0,0,17.0421
23.74,1.5331,-2.5539,-2,0,0,13.1657
23.76,1.0672,-2.6456,-2,0,0,9.1234
23.78,0.5824,-2.7055,-2,0,0,4.9642
23.8,0.087,-2.7302,-2,0,0,0.7406
23.82,-0.4101,-2.7183,-2,0,0,356.507
23.84,-0.8996,-2.6704,-2,0,0,352.3191
23.86,-1.3729,-2.5893,-2,0,0,348.2302
23.88,-1.8224,-2.4794,-2,0,0,344.2904
23.9,-2.2416,-2.3465,-2,0,0,340.5464
23.92,-2.6258,-2.1975,-2,0,0,337.0384
23.94,-2.9715,-2.0393,-2,0,0,333.8012
23.96,-3.2772,-1.8791,-2,0,0,330.8634
23.98,-3.542,-1.7234,-2,0,0,328.2485
24,-3.7663,-1.5784,-2,0,0,325.9744
24.02,-3.9511,-1.4491,-2,0,0,324.0544
24.04,-4.0975,-1.3398,-2,0,0,322.4988
24.06,-4.207,-1.254,-2,0,0,321.3144
24.08,-4.2808,-1.1941,-2,0,0,320.5058
24.1,-4.3196,-1.1618,-2,0,0,320.0758
24.12,-4.3241,-1.158,-2,0,0,320.0258
24.14,-4.2943,-1.1829,-2,0,0,320.356
24.16,-4.2298,-1.2356,-2,0,0,321.0654
24.18,-4.1298,-1.3149,-2,0,0,322.1515
24.2,-3.9932,-1.4183,-2,0,0,323.6101
24.22,-3.8186,-1.5427,-2,0,0,325.435
24.24,-3.6048,-1.6841,-2,0,0,327.6174
24.26,-3.3507,-1.8375,-2,0,0,330.1443
24.28,-3.0558,-1.9971,-2,0,0,332.9991
24.3,-2.7205,-2.1565,-2,0,0,336.1601
24.32,-2.3461,-2.3086,-2,0,0,339.6003
24.34,-1.9357,-2.4464,-2,0,0,343.286
24.36,-1.4937,-2.5629,-2,0,0,347.1784
24.38,-1.0259,-2.6521,-2,0,0,351.2331
24.4,-0.5398,-2.7091,-2,0,0,355.4
24.42,-0.0439,-2.7306,-2,0,0,359.6266
24.44,0.4529,-2.7155,-2,0,0,3.8582
24.46,0.9414,-2.6646,-2,0,0,8.0399
24.48,1.4129,-2.5808,-2,0,0,12.1178
24.5,1.86,-2.4687,-2,0,0,16.0421
24.52,2.2763,-2.3342,-2,0,0,19.7672
24.54,2.6573,-2.184,-2,0,0,23.2532
24.56,2.9996,-2.0254,-2,0,0,26.4656
24.58,3.3017,-1.8653,-2,0,0,29.376
24.6,3.563,-1.7104,-2,0,0,31.9623
24.62,3.7839,-1.5665,-2,0,0,34.2062
24.64,3.9652,-1.4388,-2,0,0,36.0948
24.66,4.1085,-1.3314,-2,0,0,37.6185
24.68,4.2148,-1.2477,-2,0,0,38.7706
24.7,4.2855,-1.1902,-2,0,0,39.5465
24.72,4.3214,-1.1603,-2,0,0,39.9436
24.74,4.3229,-1.159,-2,0,0,39.9606
24.76,4.2901,-1.1863,-2,0,0,39.5975
24.78,4.2226,-1.2415,-2,0,0,38.8554
24.8,4.1195,-1.3229,-2,0,0,37.7369
24.82,3.9796,-1.4283,-2,0,0,36.2462
24.84,3.8017,-1.5543,-2,0,0,34.3899
24.86,3.5844,-1.697,-2,0,0,32.1773
24.88,3.3268,-1.8511,-2,0,0,29.6213
24.9,3.0284,-2.011,-2,0,0,26.739
24.92,2.6895,-2.1701,-2,0,0,23.5522
24.94,2.3119,-2.3212,-2,0,0,20.0895
24.96,1.8986,-2.4574,-2,0,0,16.3843
24.98,1.4541,-2.5718,-2,0,0,12.476
25,0.9844,-2.6584,-2,0,0,8.4099
25.02,0.4971,-2.7124,-2,0,0,4.2357
25.04,0.0008,-2.7308,-2,0,0,0.0064
25.06,-0.4956,-2.7125,-2,0,0,355.7771
25.08,-0.983,-2.6586,-2,0,0,351.602
25.1,-1.4527,-2.5721,-2,0,0,347.5354
25.12,-1.8974,-2.4578,-2,0,0,343.6267
25.14,-2.3108,-2.3217,-2,0,0,339.9208
25.16,-2.6885,-2.1705,-2,0,0,336.4574
25.18,-3.0274,-2.0115,-2,0,0,333.2702
25.2,-3.3259,-1.8516,-2,0,0,330.387
25.22,-3.5837,-1.6974,-2,0,0,327.8296
25.24,-3.8011,-1.5547,-2,0,0,325.616
25.26,-3.9792,-1.4286,-2,0,0,323.7586
25.28,-4.1191,-1.3232,-2,0,0,322.2669
25.3,-4.2223,-1.2417,-2,0,0,321.1473
25.32,-4.29,-1.1865,-2,0,0,320.4042
25.34,-4.3229,-1.1591,-2,0,0,320.0399
25.36,-4.3214,-1.1603,-2,0,0,320.0558
25.38,-4.2857,-1.19,-2,0,0,320.4519
25.4,-4.2151,-1.2475,-2,0,0,321.2267
25.42,-4.1088,-1.3311,-2,0,0,322.3776
25.44,-3.9657,-1.4384,-2,0,0,323.9002
25.46,-3.7844,-1.5661,-2,0,0,325.7877
25.48,-3.5637,-1.7099,-2,0,0,328.0306
25.5,-3.3025,-1.8649,-2,0,0,330.6161
25.52,-3.0006,-2.0249,-2,0,0,333.5257
25.54,-2.6583,-2.1836,-2,0,0,336.7371
25.56,-2.2775,-2.3337,-2,0,0,340.2222
25.58,-1.8613,-2.4683,-2,0,0,343.9467
25.6,-1.4143,-2.5805,-2,0,0,347.8704
25.62,-0.9428,-2.6644,-2,0,0,351.9479
25.64,-0.4543,-2.7154,-2,0,0,356.1297
25.66,0.0424,-2.7306,-2,0,0,0.3612
25.68,0.5384,-2.7092,-2,0,0,4.5879
25.7,1.0245,-2.6523,-2,0,0,8.7551
25.72,1.4923,-2.5632,-2,0,0,12.8099
25.74,1.9345,-2.4468,-2,0,0,16.7028
25.76,2.345,-2.3091,-2,0,0,20.3892
25.78,2.7194,-2.157,-2,0,0,23.8299
25.8,3.0549,-1.9976,-2,0,0,26.9923
25.82,3.3499,-1.8379,-2,0,0,29.848
25.84,3.6041,-1.6845,-2,0,0,32.3759
25.86,3.8181,-1.5431,-2,0,0,34.5591
25.88,3.9928,-1.4186,-2,0,0,36.3851
25.9,4.1295,-1.3151,-2,0,0,37.8448
25.92,4.2296,-1.2358,-2,0,0,38.9319
25.94,4.2942,-1.183,-2,0,0,39.6425
25.96,4.3241,-1.1581,-2,0,0,39.9738
25.98,4.3197,-1.1617,-2,0,0,39.9249
26,4.2809,-1.1939,-2,0,0,39.496
26.02,4.2073,-1.2537,-2,0,0,38.6885
26.04,4.0979,-1.3395,-2,0,0,37.5052
26.06,3.9516,-1.4487,-2,0,0,35.9507
26.08,3.7669,-1.578,-2,0,0,34.0317
26.1,3.5427,-1.723,-2,0,0,31.7585
26.12,3.278,-1.8786,-2,0,0,29.1446
26.14,2.9725,-2.0388,-2,0,0,26.2079
26.16,2.6268,-2.197,-2,0,0,22.9715
26.18,2.2428,-2.3461,-2,0,0,19.4643
26.2,1.8237,-2.479,-2,0,0,15.7209
26.22,1.3743,-2.589,-2,0,0,11.7814
26.24,0.901,-2.6702,-2,0,0,7.6928
26.26,0.4115,-2.7182,-2,0,0,3.5051
26.28,-0.0855,-2.7302,-2,0,0,359.2719
26.3,-0.581,-2.7056,-2,0,0,355.0482
26.32,-1.0658,-2.6458,-2,0,0,350.8887
26.34,-1.5317,-2.5542,-2,0,0,346.846
26.36,-1.9714,-2.4356,-2,0,0,342.9688
26.38,-2.3789,-2.2963,-2,0,0,339.3022
26.4,-2.75,-2.1433,-2,0,0,335.8844
26.42,-3.082,-1.9837,-2,0,0,332.748
26.44,-3.3735,-1.8243,-2,0,0,329.9199
26.46,-3.6242,-1.6717,-2,0,0,327.4213
26.48,-3.8347,-1.5316,-2,0,0,325.2686
26.5,-4.0061,-1.4087,-2,0,0,323.4737
26.52,-4.1396,-1.3073,-2,0,0,322.0461
26.54,-4.2366,-1.2302,-2,0,0,320.9915
26.56,-4.2981,-1.1797,-2,0,0,320.3138
26.58,-4.3251,-1.1572,-2,0,0,320.0154
26.6,-4.3177,-1.1634,-2,0,0,320.0972
26.62,-4.2759,-1.198,-2,0,0,320.559
26.64,-4.1993,-1.2602,-2,0,0,321.3991
26.66,-4.0867,-1.3481,-2,0,0,322.615
26.68,-3.9371,-1.4592,-2,0,0,324.2014
26.7,-3.7491,-1.59,-2,0,0,326.1513
26.72,-3.5214,-1.7361,-2,0,0,328.4545
26.74,-3.2532,-1.8924,-2,0,0,331.0972
26.76,-2.9442,-2.0527,-2,0,0,334.0608
26.78,-2.5951,-2.2104,-2,0,0,337.3219
26.8,-2.2078,-2.3584,-2,0,0,340.8515
26.82,-1.7859,-2.4895,-2,0,0,344.6136
26.84,-1.3341,-2.5972,-2,0,0,348.5674
26.86,-0.8591,-2.6757,-2,0,0,352.6666
26.88,-0.3686,-2.7207,-2,0,0,356.8603
26.9,0.1286,-2.7295,-2,0,0,1.0949
26.92,0.6235,-2.7018,-2,0,0,5.3152
26.94,1.1071,-2.6391,-2,0,0,9.4673
26.96,1.571,-2.5449,-2,0,0,13.4974
26.98,2.008,-2.4243,-2,0,0,17.3576
27,2.4125,-2.2835,-2,0,0,21.004
27.02,2.7804,-2.1297,-2,0,0,24.3987
27.04,3.1089,-1.9698,-2,0,0,27.5093
27.06,3.3968,-1.8107,-2,0,0,30.3097
27.08,3.6441,-1.659,-2,0,0,32.7793
27.1,3.8511,-1.5202,-2,0,0,34.9014
27.12,4.0191,-1.3991,-2,0,0,36.6645
27.14,4.1494,-1.2996,-2,0,0,38.06
27.16,4.2433,-1.2247,-2,0,0,39.0821
27.18,4.3018,-1.1766,-2,0,0,39.727
27.2,4.3258,-1.1566,-2,0,0,39.9925
27.22,4.3154,-1.1653,-2,0,0,39.8778
27.24,4.2707,-1.2023,-2,0,0,39.3831
27.26,4.1909,-1.2668,-2,0,0,38.5103
27.28,4.0752,-1.3568,-2,0,0,37.2622
27.3,3.9223,-1.4698,-2,0,0,35.644
27.32,3.7309,-1.6021,-2,0,0,33.6631
27.34,3.4998,-1.7493,-2,0,0,31.3299
27.36,3.228,-1.9062,-2,0,0,28.6586
27.38,2.9154,-2.0666,-2,0,0,25.6678
27.4,2.563,-2.2237,-2,0,0,22.3822
27.42,2.1726,-2.3705,-2,0,0,18.8314
27.44,1.7478,-2.4999,-2,0,0,15.0511
27.46,1.2938,-2.6052,-2,0,0,11.0828
27.48,0.8172,-2.681,-2,0,0,6.9734
27.5,0.3257,-2.7229,-2,0,0,2.7739
27.52,-0.1718,-2.7286,-2,0,0,358.5377
27.54,-0.666,-2.6977,-2,0,0,354.3212
27.56,-1.1482,-2.6321,-2,0,0,350.1783
27.58,-1.61,-2.5354,-2,0,0,346.161
27.6,-2.0444,-2.4128,-2,0,0,342.3177
27.62,-2.4459,-2.2706,-2,0,0,338.6916
27.64,-2.8104,-2.116,-2,0,0,335.3204
27.66,-3.1355,-1.9558,-2,0,0,332.2352
27.68,-3.4199,-1.7972,-2,0,0,329.4628
27.7,-3.6636,-1.6464,-2,0,0,327.0231
27.72,-3.8672,-1.5089,-2,0,0,324.9316
27.74,-4.0319,-1.3895,-2,0,0,323.2001
27.76,-4.159,-1.2921,-2,0,0,321.8367
27.78,-4.2498,-1.2195,-2,0,0,320.8471
27.8,-4.3053,-1.1738,-2,0,0,320.2349
27.82,-4.3262,-1.1562,-2,0,0,320.0024
27.84,-4.3129,-1.1674,-2,0,0,320.1501
