time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
13.22,-27.5661,16.3772,-4.3052,356.4253,1.9573,355.5615
13.24,-27.5666,16.3769,-4.3054,356.4266,1.9536,355.5626
13.26,-27.5663,16.3772,-4.3052,356.4252,1.9561,355.5616
13.28,-27.5661,16.3771,-4.3051,356.4256,1.9574,355.5616
13.3,-27.5661,16.3773,-4.3051,356.4245,1.9571,355.5611
13.32,-27.5663,16.3773,-4.3053,356.424,1.9559,355.5606
13.34,-27.5661,16.3776,-4.3052,356.4236,1.9573,355.5592
13.36,-27.5663,16.3773,-4.3051,356.4249,1.9562,355.5599
13.38,-27.5664,16.3774,-4.3051,356.4244,1.9558,355.56
13.4,-27.5663,16.3774,-4.3052,356.4238,1.9562,355.5616
13.42,-27.5665,16.3773,-4.3053,356.4245,1.9534,355.562
13.44,-27.5659,16.3776,-4.3051,356.424,1.9554,355.5589
13.46,-27.566,16.3773,-4.3051,356.425,1.9541,355.5607
13.48,-27.5657,16.3772,-4.3048,356.4257,1.9562,355.5608
13.5,-27.5659,16.3775,-4.3049,356.424,1.9557,355.5605
13.52,-27.5661,16.3775,-4.3049,356.4236,1.9541,355.5605
13.54,-27.5662,16.3774,-4.3048,356.4258,1.954,355.5596
13.56,-27.5664,16.3774,-4.3049,356.4251,1.9531,355.5597
13.58,-27.567,16.3768,-4.3049,356.4274,1.9509,355.562
13.6,-27.5668,16.3768,-4.3047,356.4282,1.9518,355.5622
13.62,-27.5664,16.3773,-4.3048,356.4257,1.9536,355.5603
13.64,-27.5668,16.3772,-4.3049,356.4258,1.9519,355.5606
13.66,-27.5671,16.377,-4.3049,356.427,1.9516,355.5609
13.68,-27.5671,16.3773,-4.3049,356.4259,1.9515,355.5611
13.7,-27.5668,16.3771,-4.3047,356.4265,1.9533,355.5607
13.72,-27.567,16.3775,-4.305,356.4239,1.9525,355.5592
13.74,-27.5667,16.3772,-4.3049,356.4254,1.9532,355.5595
13.76,-27.566,16.3768,-4.3046,356.427,1.9537,355.5605
13.78,-27.5657,16.3772,-4.3047,356.4261,1.9538,355.5605
13.8,-27.5658,16.377,-4.3046,356.4257,1.9536,355.5614
13.82,-27.5661,16.3772,-4.3044,356.4252,1.9537,355.5602
13.84,-27.566,16.3774,-4.3045,356.4246,1.9519,355.5595
13.86,-27.5658,16.3771,-4.3043,356.4258,1.9521,355.5599
13.88,-27.5657,16.3772,-4.3042,356.4256,1.9528,355.5588
13.9,-27.5661,16.3772,-4.3042,356.4263,1.9513,355.5594
13.92,-27.5661,16.3773,-4.3038,356.4258,1.9507,355.5581
13.94,-27.5659,16.3774,-4.3041,356.4236,1.947,355.5593
13.96,-27.5651,16.3776,-4.3041,356.4233,1.9479,355.5587
13.98,-27.5648,16.3768,-4.3035,356.4267,1.9488,355.5599
14,-27.5655,16.3773,-4.3037,356.4248,1.9465,355.5591
14.02,-27.5661,16.3775,-4.3039,356.4233,1.9455,355.5586
14.04,-27.5669,16.3774,-4.3043,356.4244,1.9429,355.5585
14.06,-27.5669,16.3771,-4.3041,356.4252,1.9436,355.5595
14.08,-27.5672,16.3771,-4.3039,356.4261,1.9437,355.558
14.1,-27.5674,16.377,-4.3038,356.4261,1.9445,355.5588
14.12,-27.5673,16.3773,-4.3043,356.424,1.9442,355.5597
14.14,-27.5669,16.3777,-4.3045,356.4218,1.9452,355.5589
14.16,-27.5667,16.3773,-4.3044,356.4234,1.9463,355.5591
14.18,-27.5666,16.3772,-4.3042,356.4255,1.9491,355.5593
14.2,-27.5668,16.3773,-4.3044,356.4249,1.9475,355.5602
14.22,-27.5654,16.3771,-4.3041,356.426,1.9495,355.5584
14.24,-27.5656,16.3774,-4.3044,356.4251,1.9476,355.5594
14.26,-27.5659,16.3774,-4.3043,356.4247,1.9475,355.5596
14.28,-27.5658,16.3773,-4.304,356.4254,1.9473,355.56
14.3,-27.5655,16.3774,-4.3038,356.426,1.947,355.5598
14.32,-27.565,16.3775,-4.3039,356.424,1.9473,355.5601
14.34,-27.5658,16.3773,-4.3039,356.4249,1.9469,355.56
14.36,-27.5668,16.3774,-4.3042,356.4243,1.9467,355.5601
14.38,-27.5668,16.377,-4.3041,356.4252,1.9473,355.5607
14.4,-27.566,16.3773,-4.3041,356.4253,1.949,355.5603
14.42,-27.5663,16.3773,-4.3048,356.4236,1.9511,355.5607
14.44,-27.5676,16.3775,-4.3052,356.4224,1.9511,355.5598
14.46,-27.5674,16.3776,-4.3048,356.4227,1.952,355.5599
14.48,-27.5669,16.3771,-4.3044,356.4258,1.9534,355.5592
14.5,-27.5666,16.3772,-4.3047,356.4258,1.953,355.5593
14.52,-27.5666,16.3773,-4.3047,356.4247,1.9545,355.5595
14.54,-27.5671,16.3773,-4.3046,356.4243,1.9518,355.5597
14.56,-27.5671,16.3774,-4.3046,356.4245,1.9511,355.5588
14.58,-27.5668,16.3776,-4.3048,356.4227,1.9515,355.5576
14.6,-27.5667,16.3774,-4.3049,356.424,1.9508,355.5582
14.62,-27.5666,16.3774,-4.3046,356.4247,1.9536,355.5576
14.64,-27.567,16.3771,-4.3045,356.4255,1.9504,355.559
14.66,-27.5669,16.3774,-4.3047,356.4238,1.9494,355.5595
14.68,-27.566,16.3774,-4.3046,356.424,1.9526,355.5578
14.7,-27.566,16.3773,-4.3046,356.4246,1.9522,355.5583
14.72,-27.5661,16.3772,-4.3044,356.4256,1.9502,355.5591
