time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
24.64,-0.0005,-0.0001,0.0004,354.2117,2.7443,3.7508
24.66,-0.0005,-0.0002,0.0004,354.2126,2.7444,3.7515
24.68,-0.0005,-0.0003,0.0004,354.2134,2.7441,3.751
24.7,-0.0005,-0.0001,0.0004,354.2121,2.7447,3.7514
24.72,-0.0011,-0.0002,0.0007,354.2133,2.741,3.7513
24.74,-0.0008,-0.0002,0.0005,354.2127,2.7429,3.7508
24.76,-0.0009,-0.0003,0.0005,354.2122,2.7424,3.7507
24.78,-0.0008,-0.0002,0.0004,354.2122,2.7427,3.7509
24.8,-0.0003,-0.0002,0.0001,354.2119,2.7458,3.7505
24.82,-0.0003,-0.0001,0.0002,354.2114,2.7462,3.7496
24.84,-0.0006,-0.0001,0.0003,354.2119,2.7443,3.7506
24.86,-0.0008,-0.0001,0.0004,354.2119,2.7437,3.7513
24.88,-0.0007,-0.0002,0.0004,354.2126,2.7436,3.7505
24.9,-0.0005,-0.0001,0.0003,354.2116,2.7449,3.7505
24.92,-0.0012,-0.0002,0.0006,354.2126,2.741,3.7511
24.94,-0.0008,-0.0003,0.0005,354.2135,2.7424,3.7504
24.96,-0.0007,-0.0002,0.0004,354.2122,2.743,3.7511
24.98,-0.0006,0,0.0003,354.2117,2.7435,3.751
25,-0.0005,-0.0002,0.0003,354.2119,2.7443,3.75
25.02,-0.0005,-0.0004,0.0004,354.2137,2.7445,3.7502
25.04,-0.0008,-0.0002,0.0004,354.2127,2.7432,3.7512
25.06,-0.0007,-0.0003,0.0004,354.2136,2.7434,3.7503
25.08,-0.0008,-0.0005,0.0005,354.215,2.7425,3.7508
25.1,-0.001,-0.0002,0.0006,354.2131,2.742,3.7507
25.12,-0.001,-0.0002,0.0007,354.213,2.7413,3.7505
25.14,-0.0012,-0.0001,0.0007,354.212,2.741,3.751
25.16,-0.0006,-0.0002,0.0005,354.2126,2.7452,3.7503
25.18,-0.0009,-0.0003,0.0007,354.2132,2.7427,3.7508
25.2,-0.0007,-0.0003,0.0006,354.2128,2.7434,3.7505
25.22,-0.0002,-0.0001,0.0004,354.2119,2.7442,3.7509
25.24,-0.0003,-0.0002,0.0005,354.2124,2.7431,3.7504
25.26,-0.0006,-0.0006,0.0007,354.2144,2.7418,3.7499
25.28,-0.0003,-0.0007,0.0005,354.2148,2.7434,3.7492
25.3,-0.0004,-0.0003,0.0005,354.2134,2.7435,3.7501
25.32,-0.0008,-0.0004,0.0005,354.2137,2.7421,3.7502
25.34,-0.0009,0,0.0004,354.2121,2.7428,3.7507
25.36,-0.0013,-0.0003,0.0005,354.2133,2.7409,3.7511
25.38,-0.0014,-0.0002,0.0007,354.213,2.7397,3.7506
25.4,-0.0006,-0.0004,0.0004,354.2137,2.743,3.7491
25.42,-0.0009,-0.0003,0.0004,354.2132,2.7416,3.7512
25.44,-0.001,-0.0003,0.0004,354.2137,2.7406,3.7509
25.46,-0.0008,-0.0003,0.0003,354.213,2.742,3.7513
25.48,-0.001,-0.0002,0.0003,354.2127,2.7414,3.7509
