time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.28,-25.0033,-16.347,0.544,69.6803,184.7196,1.629
12.3,-25.0073,-16.3216,0.6751,70.2427,184.6688,1.8267
12.32,-25.0244,-16.3046,1.0742,71.6575,184.1107,2.1786
12.34,-25.0432,-16.314,1.348,72.5842,184.0206,2.3042
12.36,-25.0634,-16.3383,1.6691,73.7084,183.8933,2.4533
12.38,-25.0869,-16.357,2.0356,74.9421,183.6343,2.7221
12.4,-25.1101,-16.361,2.449,76.313,183.3318,3.0498
12.42,-25.1786,-16.3442,3.396,79.4073,182.9131,3.647
12.44,-25.227,-16.3278,3.9183,81.1335,183.1111,4.0479
12.46,-25.2856,-16.3006,4.4619,82.9989,184.0571,5.1403
12.48,-25.3425,-16.2629,5.0162,84.8293,184.7032,6.1852
12.5,-25.4043,-16.2079,5.5764,86.8043,185.8231,7.8729
12.52,-25.5378,-16.0699,6.6762,89.5975,335.2878,158.5893
12.54,-25.6134,-15.999,7.2047,87.9047,356.1436,179.8268
12.56,-25.6967,-15.9288,7.7043,86.3359,357.7126,181.7295
12.58,-25.7752,-15.8497,8.1777,84.8642,358.7117,183.2002
12.6,-25.8533,-15.7825,8.6093,83.5441,359.2256,184.172
12.62,-25.9918,-15.6363,9.3608,81.3985,0.2785,186.2171
12.64,-26.048,-15.572,9.6731,80.6313,1.828,188.7484
12.66,-26.1022,-15.5344,9.942,79.9644,1.9569,189.339
12.68,-26.1522,-15.4984,10.1726,79.1245,1.4648,189.0821
12.7,-26.1998,-15.481,10.3434,78.8104,1.3036,189.3252
12.72,-26.2491,-15.4959,10.5612,78.3434,1.6995,190.2435
12.74,-26.2655,-15.531,10.5956,78.3604,2.0533,190.6682
12.76,-26.2592,-15.5913,10.5884,78.487,2.3729,190.9334
12.78,-26.2591,-15.6611,10.5224,78.7321,2.5291,191.1016
12.8,-26.2393,-15.7489,10.3911,79.3085,2.907,191.5242
12.82,-26.1608,-15.9569,9.9761,80.8227,3.976,192.5242
12.84,-26.1196,-16.0764,9.681,81.8353,4.5771,192.9475
12.86,-26.0679,-16.2112,9.3323,83.0239,5.543,193.7224
12.88,-25.9926,-16.3627,8.938,84.4034,7.7175,195.7526
12.9,-25.9203,-16.5197,8.4863,85.9219,12.5835,200.7478
12.92,-25.7381,-16.8337,7.4442,88.5998,75.6665,264.3135
12.94,-25.6495,-16.9698,6.852,87.6982,135.5963,324.577
12.96,-25.5515,-17.0864,6.2155,85.7991,153.8608,343.0732
12.98,-25.4587,-17.1671,5.5375,83.6281,161.2803,350.6571
13,-25.3654,-17.2053,4.8328,81.3675,165.5647,354.9257
13.02,-25.1953,-17.1639,3.365,76.6326,170.2794,359.3971
13.04,-25.1129,-17.0793,2.6209,74.1911,171.3791,0.7741
13.06,-25.0295,-16.959,1.8834,71.7555,171.9899,1.8176
13.08,-24.9477,-16.8157,1.16,69.3439,172.3367,2.6872
13.1,-24.8764,-16.6526,0.457,67.0022,172.5404,3.6443
13.12,-24.7495,-16.3277,-0.8727,62.5261,172.6981,5.2824
13.14,-24.696,-16.1538,-1.4838,60.4509,172.7953,5.9551
13.16,-24.6528,-15.9697,-2.0569,58.4812,172.9479,6.5325
13.18,-24.6185,-15.7691,-2.5816,56.6368,173.227,6.9521
13.2,-24.5923,-15.5602,-3.058,54.9115,173.5992,7.2073
13.22,-24.5644,-15.1474,-3.8498,51.9743,174.4579,7.3623
13.24,-24.5598,-14.9655,-4.1677,50.783,174.8675,7.2485
13.26,-24.5584,-14.806,-4.4282,49.7935,175.2419,7.0675
13.28,-24.5606,-14.6724,-4.6355,48.9954,175.5059,6.9906
13.3,-24.559,-14.5665,-4.78,48.4156,175.6439,7.0546
13.32,-24.5666,-14.4539,-4.9011,47.9303,175.6585,7.3515
13.34,-24.5796,-14.4499,-4.8786,48.0068,175.7221,7.3727
13.36,-24.5986,-14.4804,-4.8086,48.293,175.8527,7.267
13.38,-24.6309,-14.5581,-4.6662,48.8683,176.0659,7.111
13.4,-24.6652,-14.6678,-4.4799,49.6147,176.2408,6.9387
13.42,-24.7436,-14.9587,-3.9328,51.6948,176.4785,6.658
13.44,-24.7894,-15.1345,-3.5752,53.0107,176.5934,6.427
13.46,-24.842,-15.3235,-3.1621,54.5211,176.8067,6.0808
13.48,-24.9023,-15.5184,-2.6959,56.2334,177.089,5.735
13.5,-24.9605,-15.7199,-2.1788,58.0931,177.2937,5.4485
13.52,-25.0745,-16.0967,-0.987,62.2453,177.4852,5.0707
13.54,-25.1333,-16.2679,-0.3258,64.4907,177.4518,4.8746
13.56,-25.1926,-16.421,0.3735,66.8658,177.4064,4.6327
13.58,-25.2524,-16.5625,1.1041,69.3516,177.3874,4.3135
13.6,-25.3131,-16.6749,1.8582,71.8522,177.0836,3.8991
