time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
66.04,-7.9416,16.8967,-5.3626,357.027,9.9504,358.5762
66.06,-7.9417,16.8967,-5.3628,357.0265,9.9506,358.5767
66.08,-7.9422,16.8968,-5.3631,357.0263,9.9487,358.5759
66.1,-7.9431,16.897,-5.363,357.0249,9.9468,358.5755
66.12,-7.9432,16.8969,-5.3633,357.0252,9.9472,358.5758
66.14,-7.9448,16.8969,-5.3631,357.0263,9.9434,358.577
66.16,-7.9448,16.8966,-5.3633,357.0271,9.9458,358.5757
66.18,-7.9465,16.8967,-5.3632,357.0265,9.9463,358.5774
66.2,-7.9474,16.897,-5.3631,357.0257,9.9466,358.5775
66.22,-7.9485,16.8973,-5.3632,357.0241,9.9438,358.5785
66.24,-7.9491,16.897,-5.3631,357.025,9.9434,358.5776
66.26,-7.9495,16.8969,-5.3633,357.0259,9.9431,358.5775
66.28,-7.953,16.8967,-5.3637,357.025,9.941,358.578
66.3,-7.9544,16.8967,-5.364,357.0255,9.9381,358.5786
66.32,-7.9554,16.8972,-5.364,357.0239,9.937,358.5798
66.34,-7.9555,16.8968,-5.3638,357.0248,9.9362,358.5796
66.36,-7.9564,16.8973,-5.3638,357.0232,9.9312,358.5817
66.38,-7.9581,16.8975,-5.3642,357.0226,9.9296,358.5813
66.4,-7.9586,16.8971,-5.3644,357.0237,9.9292,358.5813
66.42,-7.9594,16.8971,-5.3643,357.024,9.9269,358.5816
66.43999,-7.9591,16.8973,-5.3645,357.0235,9.9277,358.5807
66.46,-7.9593,16.8971,-5.3643,357.0246,9.9268,358.58
66.48,-7.9602,16.8975,-5.3645,357.0234,9.9268,358.5804
66.5,-7.9611,16.8978,-5.3642,357.0218,9.9269,358.581
66.52,-7.9607,16.8972,-5.3639,357.024,9.9306,358.5802
66.54,-7.9611,16.8974,-5.3635,357.0239,9.9304,358.5804
66.56,-7.9608,16.8971,-5.3632,357.0254,9.9363,358.581
66.58,-7.9603,16.8972,-5.3624,357.0251,9.9464,358.5811
66.6,-7.9619,16.8971,-5.3608,357.0286,9.9431,358.5825
66.62,-7.964,16.897,-5.3602,357.0287,9.938,358.5822
66.64,-7.9641,16.8966,-5.3608,357.0304,9.9406,358.5818
66.66,-7.964,16.8973,-5.3612,357.0276,9.9419,358.5833
66.68,-7.9642,16.897,-5.3611,357.0291,9.9301,358.5829
66.7,-7.9638,16.8971,-5.3632,357.0272,9.9339,358.583
66.72,-7.9639,16.897,-5.3637,357.0258,9.9323,358.5825
66.74,-7.9642,16.8971,-5.3629,357.0265,9.9255,358.5834
66.76,-7.9636,16.8971,-5.3626,357.0282,9.9252,358.582
66.78,-7.9623,16.8975,-5.3642,357.0249,9.93,358.5815
66.8,-7.9623,16.8973,-5.3637,357.0252,9.9295,358.5812
66.82,-7.9621,16.8974,-5.3628,357.0254,9.9296,358.5816
66.84,-7.9612,16.8971,-5.362,357.027,9.9341,358.5824
66.86,-7.9601,16.8969,-5.362,357.028,9.9399,358.5807
66.88,-7.96,16.8972,-5.3623,357.0259,9.9417,358.5824
66.9,-7.9605,16.8971,-5.362,357.0268,9.9418,358.5836
66.92,-7.9609,16.8974,-5.3615,357.025,9.94,358.5842
66.93999,-7.9606,16.8971,-5.3615,357.0265,9.9395,358.5832
66.96,-7.9607,16.897,-5.3618,357.0278,9.9381,358.5823
66.98,-7.961,16.8969,-5.3623,357.0274,9.9357,358.5813
67,-7.9613,16.8972,-5.3618,357.0262,9.9345,358.582
67.02,-7.9608,16.8971,-5.3618,357.0268,9.9379,358.5812
67.04,-7.9606,16.8972,-5.362,357.026,9.9383,358.5816
67.06,-7.9606,16.8973,-5.3621,357.0254,9.9383,358.5817
67.08,-7.9604,16.8972,-5.3618,357.0263,9.9399,358.5811
67.1,-7.9606,16.897,-5.3615,357.0273,9.9392,358.5821
67.12,-7.9606,16.8971,-5.3614,357.0273,9.9398,358.5829
67.14,-7.9603,16.8972,-5.3615,357.0262,9.9419,358.5826
67.16,-7.9609,16.8973,-5.3612,357.0255,9.9404,358.5828
67.18,-7.9608,16.8972,-5.3613,357.0262,9.9411,358.5834
67.2,-7.9606,16.8973,-5.3615,357.025,9.9419,358.5836
67.22,-7.9605,16.8972,-5.3615,357.0262,9.9421,358.5833
67.24,-7.9602,16.897,-5.3614,357.0271,9.9431,358.5826
67.26,-7.9603,16.897,-5.3612,357.0272,9.9436,358.5834
67.28,-7.9588,16.8975,-5.3612,357.0237,9.95,358.5825
67.3,-7.9588,16.8972,-5.3609,357.0265,9.9468,358.5825
67.32,-7.9579,16.8971,-5.3612,357.0267,9.9483,358.5828
67.34,-7.958,16.8973,-5.3615,357.0254,9.9479,358.5826
67.36,-7.9583,16.8974,-5.3617,357.0247,9.9477,358.5825
67.38,-7.9589,16.8971,-5.3618,357.0261,9.9432,358.5811
67.4,-7.9588,16.8972,-5.362,357.0253,9.9424,358.581
67.42,-7.9591,16.8974,-5.362,357.0244,9.9397,358.5809
67.43999,-7.9594,16.8976,-5.362,357.0245,9.9397,358.5817
67.46,-7.9602,16.8976,-5.3618,357.0246,9.9383,358.5815
67.48,-7.96,16.8973,-5.3619,357.0266,9.9371,358.5808
