time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
98.32,-7.0226,16.1796,-8.0363,1.3293,353.6281,356.7924
98.34,-7.0228,16.1793,-8.036,1.3318,353.6262,356.7907
98.36,-7.0227,16.1792,-8.0361,1.3325,353.6263,356.7916
98.38,-7.0229,16.1793,-8.0359,1.332,353.6248,356.7922
98.4,-7.0227,16.1793,-8.0361,1.3318,353.6262,356.7908
98.42,-7.0228,16.1793,-8.0361,1.3316,353.6253,356.7906
98.43999,-7.0226,16.1793,-8.036,1.3316,353.6259,356.791
98.46,-7.0223,16.1788,-8.0361,1.3344,353.6268,356.7906
98.48,-7.0223,16.1791,-8.0362,1.3325,353.6277,356.7911
98.5,-7.0225,16.1796,-8.0362,1.3301,353.627,356.7921
98.52,-7.0226,16.1793,-8.0361,1.3311,353.6255,356.7907
98.54,-7.0225,16.1795,-8.0361,1.3302,353.6265,356.7911
98.56,-7.0227,16.1796,-8.036,1.3293,353.6248,356.7922
98.57999,-7.0226,16.1793,-8.0361,1.3311,353.6265,356.7912
98.6,-7.0226,16.1794,-8.0363,1.3305,353.6266,356.791
98.62,-7.0225,16.1793,-8.0362,1.3313,353.627,356.7908
98.64,-7.0229,16.1793,-8.036,1.332,353.6245,356.7914
98.66,-7.0231,16.1792,-8.0359,1.3317,353.6248,356.7903
98.68,-7.0228,16.1794,-8.0362,1.3304,353.6259,356.7908
98.7,-7.0225,16.1793,-8.0362,1.3299,353.627,356.7911
98.72,-7.0227,16.1792,-8.0361,1.3313,353.6259,356.7908
98.74,-7.0226,16.179,-8.036,1.3331,353.6255,356.7909
98.75999,-7.0222,16.1788,-8.0362,1.3336,353.6277,356.7886
98.78,-7.0225,16.1791,-8.0362,1.3315,353.6259,356.789
98.8,-7.0229,16.1792,-8.036,1.3313,353.6243,356.7901
98.82,-7.0227,16.1793,-8.036,1.3308,353.6254,356.7896
98.84,-7.0227,16.1793,-8.0359,1.3314,353.6254,356.7896
98.86,-7.0217,16.1791,-8.0365,1.3315,353.6304,356.788
98.88,-7.0226,16.1794,-8.0361,1.3303,353.626,356.79
98.9,-7.0219,16.1794,-8.0364,1.3305,353.6288,356.7896
98.92,-7.0222,16.1792,-8.0362,1.3313,353.6278,356.7896
98.93999,-7.0226,16.1796,-8.0361,1.3293,353.6273,356.7906
98.96,-7.0221,16.1797,-8.0366,1.328,353.6298,356.7912
98.98,-7.0227,16.1793,-8.0363,1.3296,353.6264,356.7898
99,-7.0235,16.1791,-8.0357,1.3321,353.6219,356.7906
99.02,-7.0234,16.1791,-8.0359,1.3314,353.6217,356.7902
99.04,-7.023,16.179,-8.0361,1.3314,353.624,356.7893
99.06,-7.0233,16.1792,-8.036,1.331,353.6234,356.79
99.07999,-7.0241,16.179,-8.0356,1.3318,353.619,356.7911
99.1,-7.0237,16.1791,-8.0359,1.3317,353.6208,356.7914
99.12,-7.0236,16.1788,-8.0358,1.3333,353.6214,356.7904
99.14,-7.024,16.179,-8.0356,1.3319,353.62,356.7907
99.16,-7.0252,16.1791,-8.0352,1.3315,353.6144,356.7908
99.18,-7.024,16.179,-8.0357,1.3314,353.6197,356.7904
99.2,-7.024,16.1792,-8.0358,1.3305,353.6196,356.7911
99.22,-7.0239,16.1789,-8.0358,1.332,353.6205,356.7905
99.24,-7.0238,16.1787,-8.0357,1.3334,353.6204,356.7897
99.25999,-7.0243,16.1789,-8.0356,1.3318,353.6184,356.7892
99.28,-7.024,16.1789,-8.0358,1.332,353.6201,356.79
99.3,-7.0236,16.1788,-8.0358,1.3327,353.6215,356.7903
99.32,-7.0242,16.1788,-8.0356,1.3329,353.6181,356.7903
99.34,-7.024,16.1789,-8.0357,1.3322,353.6197,356.7902
99.36,-7.0244,16.179,-8.0355,1.3315,353.618,356.7905
99.38,-7.0239,16.1791,-8.0357,1.3307,353.6196,356.7909
99.4,-7.0238,16.1788,-8.0357,1.3323,353.6197,356.7898
99.42,-7.0237,16.1789,-8.0357,1.3319,353.6201,356.79
99.43999,-7.0234,16.1793,-8.0361,1.3306,353.622,356.7904
99.46,-7.0241,16.1788,-8.0355,1.3318,353.6189,356.7898
99.48,-7.023,16.179,-8.0359,1.3311,353.6232,356.7896
99.5,-7.0235,16.1796,-8.0357,1.329,353.6215,356.7913
99.52,-7.0232,16.1792,-8.0358,1.3303,353.6225,356.7906
99.54,-7.0229,16.1792,-8.0359,1.3302,353.6246,356.7906
99.56,-7.0235,16.179,-8.0357,1.3315,353.6211,356.7907
99.57999,-7.0231,16.1792,-8.036,1.3296,353.6237,356.7903
99.6,-7.0236,16.1792,-8.0356,1.3293,353.6206,356.7896
99.62,-7.0231,16.1793,-8.0359,1.3292,353.6237,356.7899
99.64,-7.0235,16.179,-8.0356,1.3309,353.6212,356.7891
99.66,-7.023,16.179,-8.0359,1.3311,353.6241,356.7885
99.68,-7.0229,16.1791,-8.0361,1.3294,353.6253,356.7885
99.7,-7.0239,16.1795,-8.0358,1.3275,353.6208,356.79
99.72,-7.0236,16.1791,-8.0359,1.3289,353.6213,356.7882
99.74,-7.0233,16.179,-8.036,1.3284,353.6236,356.7875
99.75999,-7.0226,16.1794,-8.0364,1.3261,353.6278,356.7884
99.78,-7.0225,16.1793,-8.0365,1.3278,353.6276,356.7875
99.8,-7.0237,16.1793,-8.0357,1.3278,353.6244,356.7878
99.82,-7.0231,16.1788,-8.0359,1.33,353.6251,356.7871
99.84,-7.0228,16.179,-8.0362,1.3293,353.6263,356.7872
99.86,-7.0225,16.1792,-8.0363,1.3283,353.6273,356.7885
99.88,-7.0231,16.1792,-8.0361,1.3289,353.6253,356.7891
99.9,-7.0231,16.1795,-8.0362,1.3273,353.627,356.7892
99.92,-7.0232,16.1794,-8.0364,1.3275,353.6278,356.7888
99.93999,-7.0233,16.1793,-8.0364,1.328,353.6271,356.7882
99.96,-7.0233,16.1796,-8.0365,1.3261,353.6277,356.7886
99.98,-7.0234,16.1795,-8.0363,1.3274,353.6277,356.7891
100,-7.0233,16.1795,-8.0365,1.3277,353.628,356.7892
100.02,-7.0236,16.1797,-8.0364,1.3267,353.6262,356.7896
100.04,-7.0238,16.1798,-8.0363,1.3253,353.6256,356.7908
100.06,-7.0237,16.1792,-8.0362,1.3292,353.6259,356.7892
100.08,-7.0239,16.1795,-8.0361,1.328,353.6232,356.7895
100.1,-7.0236,16.1788,-8.0362,1.331,353.6236,356.7878
100.12,-7.0233,16.179,-8.0362,1.3296,353.6257,356.7876
100.14,-7.0237,16.1791,-8.036,1.3295,353.6231,356.7886
100.16,-7.0235,16.1794,-8.0362,1.3281,353.6259,356.7892
100.18,-7.0232,16.1793,-8.0363,1.3291,353.6264,356.7892
100.2,-7.0234,16.1794,-8.0361,1.3276,353.6253,356.789
100.22,-7.0233,16.1792,-8.0361,1.3286,353.6259,356.7888
100.24,-7.0232,16.1794,-8.0363,1.3278,353.627,356.7887
100.26,-7.0228,16.1794,-8.0365,1.3277,353.6295,356.7878
100.28,-7.0235,16.1796,-8.0363,1.3267,353.6259,356.7892
100.3,-7.023,16.1797,-8.0366,1.3259,353.6285,356.7891
100.32,-7.0237,16.1794,-8.0362,1.328,353.6241,356.7893
100.34,-7.0239,16.1791,-8.0361,1.329,353.6232,356.7884
100.36,-7.0243,16.1792,-8.036,1.3286,353.6223,356.7888
100.38,-7.0246,16.1796,-8.0359,1.3262,353.6202,356.7897
100.4,-7.025,16.1791,-8.0356,1.3299,353.6183,356.7894
100.42,-7.0246,16.179,-8.0359,1.3296,353.6205,356.7886
100.44,-7.0243,16.1791,-8.0361,1.3278,353.6219,356.7885
100.46,-7.0268,16.1802,-8.0349,1.324,353.6116,356.7927
100.48,-7.0245,16.1794,-8.0359,1.3271,353.6204,356.79
100.5,-7.0254,16.179,-8.0353,1.3297,353.616,356.7898
100.52,-7.0249,16.1792,-8.0357,1.3281,353.6186,356.7903
100.54,-7.025,16.1791,-8.0357,1.3286,353.6187,356.7898
100.56,-7.0248,16.179,-8.0358,1.3281,353.6194,356.7881
100.58,-7.0246,16.1791,-8.0359,1.3285,353.62,356.7899
100.6,-7.0243,16.1791,-8.0359,1.3277,353.6208,356.7893
100.62,-7.0244,16.1792,-8.0359,1.3277,353.62,356.7896
100.64,-7.0244,16.1794,-8.036,1.327,353.6212,356.7903
100.66,-7.025,16.1791,-8.0356,1.3276,353.6183,356.7897
100.68,-7.0241,16.179,-8.0359,1.3289,353.6213,356.7885
100.7,-7.0243,16.1796,-8.036,1.3271,353.6212,356.79
100.72,-7.024,16.179,-8.0359,1.3291,353.6219,356.7891
100.74,-7.0242,16.1791,-8.0359,1.3276,353.6215,356.7892
100.76,-7.0233,16.1794,-8.0363,1.3261,353.6265,356.7886
100.78,-7.0235,16.1789,-8.0361,1.3289,353.6245,356.7878
100.8,-7.0235,16.1789,-8.0362,1.3296,353.6244,356.7881
100.82,-7.0236,16.1791,-8.0361,1.328,353.624,356.7888
100.84,-7.0236,16.1794,-8.0361,1.3258,353.6245,356.7889
100.86,-7.0236,16.179,-8.0361,1.3277,353.6234,356.7872
100.88,-7.0237,16.1798,-8.0359,1.3244,353.6238,356.7897
100.9,-7.0231,16.1793,-8.0362,1.3272,353.6255,356.7887
100.92,-7.0232,16.1793,-8.0362,1.327,353.6258,356.789
100.94,-7.0238,16.1792,-8.036,1.3269,353.623,356.7882
100.96,-7.0236,16.1791,-8.036,1.3283,353.6239,356.7879
100.98,-7.0243,16.1792,-8.0356,1.3266,353.6215,356.7874
101,-7.0239,16.1791,-8.0358,1.3268,353.6227,356.7877
101.02,-7.0236,16.1792,-8.036,1.3267,353.6244,356.7873
101.04,-7.0236,16.1794,-8.0361,1.3257,353.6245,356.7881
101.06,-7.0231,16.1796,-8.0365,1.324,353.6272,356.7879
101.08,-7.0237,16.1793,-8.0362,1.3252,353.6246,356.7865
101.1,-7.0244,16.1798,-8.0358,1.3237,353.6228,356.7888
101.12,-7.0236,16.1798,-8.0363,1.3232,353.6248,356.7885
101.14,-7.0233,16.1798,-8.0365,1.3236,353.6268,356.7897
101.16,-7.0233,16.1797,-8.0363,1.3232,353.6262,356.7893
101.18,-7.0235,16.1796,-8.0364,1.3239,353.6254,356.7898
101.2,-7.0231,16.1796,-8.0367,1.3231,353.6272,356.7886
101.22,-7.0235,16.1796,-8.0365,1.3232,353.6249,356.7892
101.24,-7.0235,16.1796,-8.0364,1.3238,353.6253,356.7891
101.26,-7.0235,16.1791,-8.0363,1.327,353.6246,356.7881
101.28,-7.024,16.1789,-8.0361,1.3278,353.6231,356.788
101.3,-7.0239,16.1794,-8.0361,1.3253,353.6241,356.7881
101.32,-7.0238,16.1792,-8.0361,1.3255,353.6237,356.7875
101.34,-7.0238,16.1795,-8.0361,1.3243,353.624,356.7891
101.36,-7.0236,16.1793,-8.0362,1.3255,353.6242,356.7888
101.38,-7.0237,16.1792,-8.0362,1.3256,353.6242,356.7883
101.4,-7.0221,16.1796,-8.037,1.3236,353.632,356.7882
101.42,-7.0236,16.1795,-8.0363,1.3238,353.6244,356.7884
101.44,-7.0234,16.1795,-8.0361,1.325,353.6252,356.7886
101.46,-7.0235,16.1795,-8.0361,1.3246,353.6247,356.7882
101.48,-7.0234,16.1792,-8.0363,1.3255,353.625,356.7872
101.5,-7.0227,16.179,-8.0367,1.326,353.6272,356.7866
101.52,-7.023,16.1796,-8.0365,1.3244,353.6263,356.7888
101.54,-7.0234,16.1797,-8.0361,1.3239,353.6246,356.7891
101.56,-7.0242,16.1797,-8.0358,1.3237,353.6211,356.7894
101.58,-7.0238,16.1791,-8.0361,1.3257,353.6223,356.786
101.6,-7.0244,16.1788,-8.0358,1.3271,353.619,356.7859
101.62,-7.0242,16.1792,-8.036,1.3262,353.6208,356.7877
101.64,-7.0246,16.1795,-8.0358,1.3247,353.6193,356.7895
101.66,-7.0251,16.1789,-8.0356,1.3276,353.6164,356.7878
101.68,-7.0248,16.1796,-8.0359,1.3247,353.6187,356.7897
101.7,-7.0252,16.1788,-8.0357,1.3284,353.6155,356.7877
101.72,-7.0251,16.1787,-8.0356,1.3279,353.6158,356.7874
101.74,-7.0251,16.179,-8.0356,1.3264,353.6167,356.7885
101.76,-7.0249,16.1786,-8.0356,1.3285,353.6173,356.7877
101.78,-7.0244,16.1788,-8.036,1.3272,353.6201,356.7871
101.8,-7.0247,16.1786,-8.0358,1.3282,353.6183,356.7863
101.82,-7.025,16.1786,-8.0355,1.3281,353.6169,356.7874
101.84,-7.0248,16.1785,-8.0356,1.3288,353.6177,356.7878
101.86,-7.0251,16.1785,-8.0355,1.3285,353.6164,356.787
101.88,-7.025,16.179,-8.0355,1.3266,353.6174,356.7878
101.9,-7.0252,16.1789,-8.0356,1.3266,353.6165,356.7883
101.92,-7.0249,16.1789,-8.0358,1.3266,353.6185,356.7878
101.94,-7.025,16.1788,-8.0356,1.3273,353.6176,356.7886
