time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.08,0.0008,0.0007,0.0007,353.4819,351.0408,358.6967
12.1,0.0001,0.0007,0.0009,353.4819,351.0389,358.6973
12.12,-0.0006,0.0007,0.0011,353.4837,351.0375,358.6975
12.14,0.0003,0.0007,0.0007,353.4819,351.0406,358.6955
12.16,0.0012,0.0013,0.0005,353.4793,351.0437,358.6962
12.18,0.0005,0.001,0.0011,353.4807,351.0399,358.6966
12.2,-0.0001,0.0008,0.0012,353.4813,351.0402,358.697
12.22,-0.0004,0.0012,0.0008,353.4803,351.0408,358.6973
12.24,0,0.001,0.0007,353.4807,351.0408,358.6972
12.26,0.0009,0.0003,0.0009,353.4825,351.0392,358.6942
12.28,0.0002,0.0002,0.0015,353.4851,351.034,358.6941
12.3,-0.0006,0.0008,0.0011,353.4819,351.037,358.6957
12.32,-0.0007,0.0005,0.0011,353.4826,351.0381,358.6949
12.34,-0.0006,0.0006,0.0014,353.4824,351.0361,358.6953
12.36,0.0011,0.0006,0.0009,353.4815,351.0367,358.6942
12.38,0.0007,0.0007,0.0009,353.4814,351.0358,358.6948
12.4,-0.0004,0.0007,0.0007,353.4822,351.0355,358.6954
12.42,0.0005,0.0008,0,353.4823,351.0385,358.6969
12.44,0.0014,0.0005,0.0002,353.4831,351.034,358.695
12.46,0.0029,0.0006,0,353.4809,351.0317,358.693
12.48,0.0027,0.0012,-0.0012,353.4778,351.0334,358.6928
12.5,0.0011,0.0008,-0.0009,353.4792,351.0319,358.6937
12.52,0.0006,0.0006,-0.0009,353.4796,351.0318,358.6938
12.54,-0.0003,0.0004,0.0001,353.482,351.027,358.6941
12.56,0.0001,0.0006,0.0002,353.482,351.0313,358.695
12.58,-0.0018,0.0005,0.001,353.4825,351.0409,358.6934
12.6,-0.0057,0.0006,0.0018,353.4838,351.0379,358.6958
12.62,-0.0063,0.0007,0.0021,353.4846,351.04,358.6971
12.64,-0.0046,0.0009,0.0025,353.4857,351.0482,358.697
12.66,-0.0004,0.0009,0.0035,353.4829,351.0588,358.6974
12.68,0.0005,0.0005,0.0046,353.4868,351.0547,358.6959
12.7,-0.0023,0.0011,0.0027,353.4832,351.0495,358.6985
12.72,-0.0039,0.0012,0.0003,353.482,351.0488,358.7007
12.74,-0.0031,0.0007,-0.0004,353.4822,351.0476,358.6998
12.76,-0.002,0.0011,0.0005,353.4804,351.0428,358.7001
12.78,-0.0016,0.0006,0.0013,353.4837,351.0346,358.695
12.8,-0.003,0.0008,0.0001,353.4817,351.0323,358.6962
12.82,-0.0037,0.0013,-0.0011,353.479,351.0362,358.6953
12.84,-0.0041,0.0008,-0.0005,353.4821,351.033,358.6938
12.86,-0.0031,0.0008,0.0007,353.4832,351.0317,358.6925
12.88,-0.0027,0.0007,0.0009,353.483,351.0273,358.6944
12.9,-0.0041,0.001,-0.0006,353.4811,351.0261,358.6968
12.92,-0.0032,0.0013,-0.0019,353.4782,351.0322,358.6966
12.94,-0.0025,0.0011,-0.0007,353.4788,351.0287,358.695
12.96,-0.0008,0.0008,0.0005,353.4813,351.0219,358.6945
12.98,-0.0011,0.0013,-0.0019,353.4787,351.0237,358.6955
13,-0.0031,0.0006,-0.0022,353.4807,351.0194,358.695
13.02,-0.0024,0.0011,-0.0016,353.4798,351.0176,358.6952
13.04,-0.0019,0.0009,-0.0009,353.4804,351.0106,358.6938
13.06,-0.0008,0.0007,-0.0016,353.4801,351.0139,358.6931
13.08,-0.0035,0.0008,-0.0031,353.4786,351.0138,358.6945
13.1,-0.0065,0.0006,-0.0013,353.4814,351.0075,358.6941
