time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.72,-0.0382,-0.043,0.0073,72.6113,206.5353,41.6691
8.74,-0.0373,-0.043,0.0088,72.6167,206.5187,41.6487
8.76,-0.0355,-0.0433,0.0091,72.6177,206.5083,41.636
8.78,-0.0308,-0.0437,0.0075,72.6169,206.4471,41.567
8.8,-0.0317,-0.0453,0.0091,72.6163,206.4429,41.5678
8.82,-0.0297,-0.0453,0.0094,72.6068,206.4026,41.486
8.84,-0.0254,-0.0433,0.0087,72.62,206.3792,41.4374
8.86,-0.0265,-0.0454,0.0105,72.6151,206.348,41.4337
8.88,-0.0265,-0.0457,0.0126,72.6258,206.3114,41.4255
8.9,-0.0258,-0.0449,0.0145,72.6392,206.2681,41.4109
8.92,-0.0221,-0.0446,0.0173,72.6552,206.2209,41.3846
8.94,-0.0216,-0.0463,0.0187,72.6629,206.1782,41.3838
8.96,-0.018,-0.0457,0.0202,72.6857,206.101,41.359
8.98,-0.0191,-0.0477,0.0247,72.7138,206.0598,41.4212
9,-0.0158,-0.0504,0.0253,72.7083,205.9843,41.3832
9.02,-0.0015,-0.0488,0.0261,72.772,205.8412,41.3194
9.04,0.0005,-0.0513,0.0253,72.7759,205.7786,41.3038
9.059999,0.0059,-0.0518,0.0238,72.787,205.6861,41.2619
9.08,0.0071,-0.052,0.0239,72.8061,205.6043,41.2515
9.099999,0.0099,-0.0515,0.0231,72.8255,205.5557,41.2634
9.12,0.0167,-0.05,0.0161,72.8435,205.4699,41.2744
9.139999,0.0149,-0.0508,0.0121,72.8325,205.4181,41.2797
9.16,0.0151,-0.0465,0.0079,72.8388,205.389,41.2733
9.179999,0.0171,-0.0435,-0.0018,72.8185,205.3419,41.2429
9.2,0.019,-0.0404,-0.0137,72.8021,205.3021,41.2207
9.22,0.0178,-0.0327,-0.0373,72.7477,205.1791,41.1202
9.24,0.0158,-0.0292,-0.0517,72.7059,205.1374,41.0565
9.26,0.0167,-0.019,-0.0664,72.6709,205.1047,40.9497
9.28,0.012,-0.0196,-0.0785,72.6103,205.112,40.9152
9.3,0.0108,-0.0108,-0.0981,72.5463,205.0761,40.7612
9.32,0.0076,-0.0021,-0.1268,72.4453,205.111,40.5931
9.34,0.0021,-0.0013,-0.137,72.3941,205.1763,40.571
9.36,-0.0044,-0.0005,-0.1443,72.3416,205.2338,40.5766
9.38,0.004,0.004,-0.1583,72.3123,205.2578,40.4938
9.4,-0.0048,0.0046,-0.1599,72.2831,205.3294,40.5232
9.42,-0.0104,0.005,-0.1678,72.2325,205.366,40.4961
9.44,-0.0072,0.0064,-0.1719,72.2304,205.396,40.5033
9.46,-0.0032,0.0063,-0.1749,72.2266,205.3717,40.4624
9.48,-0.0072,0.004,-0.1727,72.2271,205.3478,40.4655
9.5,-0.0037,-0.0018,-0.1759,72.208,205.2867,40.4492
9.52,0.0042,-0.0079,-0.1805,72.1984,205.1231,40.3794
9.54,0.0021,-0.0086,-0.1804,72.1945,205.0923,40.3607
9.559999,0.0025,-0.0062,-0.1825,72.1867,205.0604,40.3141
9.58,0.0023,-0.0035,-0.1857,72.1786,205.0293,40.2791
9.599999,0.0016,-0.004,-0.1889,72.1555,204.994,40.2611
9.62,0.0005,-0.0066,-0.2006,72.1015,204.8163,40.273
9.639999,0.0132,0.0062,-0.2105,72.0682,204.6159,40.2034
9.66,0.0335,0.0344,-0.2431,71.835,204.5686,40.0418
9.679999,0.0484,0.0899,-0.2964,71.6102,204.7948,39.7791
9.7,0.066,0.1866,-0.398,71.3081,205.1355,39.4051
9.719999,0.1232,0.5042,-0.825,70.2256,204.9883,36.8614
9.74,0.171,0.7126,-1.163,69.42,204.1706,34.8569
9.76,0.2405,0.9363,-1.5936,68.3862,202.9049,32.416
9.78,0.3208,1.1728,-2.1003,67.166,201.295,29.6431
9.8,0.4274,1.4122,-2.6952,65.6157,199.408,26.4427
