time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
25.76,-23.5991,-16.9529,3.2111,77.5972,119.9857,35.6827
25.78,-23.5471,-16.8862,2.7355,76.6973,125.2839,41.5219
25.8,-23.5179,-16.847,2.4414,76.0973,128.2489,44.8435
25.82,-23.488,-16.8036,2.135,75.433,131.0948,48.0508
25.84,-23.4591,-16.7575,1.8182,74.7073,134.0925,51.5505
25.86,-23.4276,-16.7107,1.4927,73.9237,136.851,54.86
25.88,-23.3919,-16.6546,1.1677,73.0538,139.3286,57.8673
25.9,-23.3164,-16.5271,0.5143,71.2429,143.1137,62.5513
25.92,-23.2733,-16.4519,0.1995,70.3298,144.5683,64.4887
25.94,-23.2259,-16.3712,-0.1015,69.433,145.8295,66.3134
25.96,-23.1793,-16.2887,-0.3886,68.5525,146.934,67.985
25.98,-23.0836,-16.1259,-0.8949,66.9058,148.734,70.7004
26,-23.0379,-16.0536,-1.1066,66.1634,149.4708,71.6971
26.02,-22.9974,-15.9894,-1.2849,65.493,150.1214,72.4612
26.04,-22.9608,-15.9326,-1.4175,64.95,150.6345,72.8402
26.06,-22.9309,-15.8882,-1.4995,64.5329,151.0677,72.9823
26.08,-22.9081,-15.8593,-1.522,64.3265,151.3717,72.9282
26.1,-22.8845,-15.8618,-1.3953,64.4921,151.4661,71.5656
26.12,-22.885,-15.9009,-1.2115,64.9332,151.2254,70.4552
26.14,-22.8917,-15.9629,-0.9673,65.6097,150.7626,69.0492
26.16,-22.9042,-16.0526,-0.6528,66.524,149.9717,67.2832
26.18,-22.9524,-16.2945,0.179,68.9019,147.1674,62.2918
26.2,-22.9888,-16.4259,0.7056,70.3838,144.8776,58.9558
26.22,-23.0354,-16.562,1.2948,71.9722,141.877,54.8642
26.24,-23.095,-16.691,1.9468,73.6523,137.8817,49.815
26.26,-23.1644,-16.8117,2.6555,75.3699,132.558,43.4975
26.28,-23.3403,-17.0093,4.2049,78.4498,115.9356,25.2252
26.3,-23.433,-17.0624,5.0357,79.4676,103.5609,12.2253
26.32,-23.5424,-17.0776,5.8833,79.8912,88.8159,357.2505
26.34,-23.6546,-17.0542,6.7404,79.5618,73.6818,342.2894
26.36,-23.7723,-16.9867,7.5966,78.5292,60.2887,329.2801
26.38,-23.8943,-16.8965,8.4335,76.985,49.7566,319.3425
26.4,-24.1571,-16.6397,10.0222,73.1736,35.7433,307.4726
26.42,-24.2946,-16.4898,10.7457,71.1845,31.2809,304.2124
26.44,-24.4266,-16.3203,11.4196,69.2104,27.9575,301.9349
