time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.22,0.0021,0.0002,-0.0002,354.915,2.3831,354.3427
15.24,0.002,0.0007,-0.0004,354.9122,2.3826,354.3434
15.26,0.0023,0.0005,-0.0003,354.9138,2.384,354.3434
15.28,0.0026,0.0007,-0.0005,354.9124,2.3856,354.3418
15.3,0.0023,0.0002,-0.0003,354.9156,2.3843,354.3415
15.32,0.002,0.0007,-0.0004,354.9131,2.3836,354.3434
15.34,0.0022,0.0013,-0.0007,354.9107,2.3839,354.3433
15.36,0.0023,0.0006,-0.0006,354.9137,2.3846,354.3426
15.38,0.0018,0.0006,-0.0003,354.913,2.3824,354.3429
15.4,0.002,0.0008,-0.0004,354.9118,2.3835,354.3428
15.42,0.0023,0.0006,-0.0005,354.9118,2.3852,354.3427
15.44,0.002,0.0007,-0.0004,354.9111,2.3833,354.3423
15.46,0.002,0.0005,-0.0003,354.9129,2.3845,354.3423
15.48,0.0018,0.0007,-0.0002,354.9122,2.3832,354.3427
15.5,0.0016,0.0007,-0.0002,354.9123,2.3817,354.3425
15.52,0.002,0.0006,-0.0004,354.9134,2.3835,354.3425
15.54,0.0024,0.0005,-0.0005,354.9138,2.3858,354.3425
15.56,0.0023,0.0003,-0.0005,354.9145,2.3852,354.3434
15.58,0.0022,0.0001,-0.0004,354.9149,2.3843,354.3423
15.6,0.0013,0.0005,0,354.9138,2.3808,354.345
15.62,0.0023,0.0003,-0.0005,354.9147,2.3838,354.3425
15.64,0.0018,0.0008,-0.0001,354.9133,2.3811,354.3436
15.66,0.0026,0.0003,-0.0004,354.9142,2.3845,354.3414
15.68,0.0024,0.0001,-0.0001,354.9158,2.3844,354.3419
15.7,0.0025,0.0002,-0.0002,354.9149,2.386,354.3427
15.72,0.0024,0,-0.0001,354.9163,2.3848,354.3414
15.74,0.0026,0.0001,-0.0001,354.9163,2.3848,354.3422
15.76,0.0028,0.0003,-0.0003,354.9153,2.3853,354.3428
15.78,0.0028,0.0003,-0.0005,354.9136,2.3862,354.3411
15.8,0.0022,0.0001,-0.0003,354.916,2.3841,354.3427
15.82,0.0021,0.0009,-0.0005,354.9121,2.3839,354.3434
15.84,0.0029,0.0004,-0.0006,354.9129,2.3856,354.3409
15.86,0.0032,0.0004,-0.0003,354.9135,2.3856,354.3409
15.88,0.0034,0.0008,-0.0003,354.9123,2.3883,354.3423
15.9,0.0038,0.0004,-0.0002,354.9132,2.3904,354.3416
15.92,0.0036,0.0004,0.0002,354.9149,2.3892,354.3428
15.94,0.0038,0.0004,0.0003,354.9145,2.3917,354.3416
15.96,0.0035,0.0007,0.0001,354.9121,2.3938,354.3424
15.98,0.0019,0.0004,0.0006,354.9156,2.3877,354.342
16,0.0019,0.0004,0.0008,354.916,2.3853,354.3397
16.02,0.0026,0.0001,0.0005,354.9174,2.3872,354.3395
16.04,0.0033,-0.0001,0.0001,354.9166,2.3847,354.3398
16.06,0.0038,0,-0.0004,354.916,2.3827,354.3409
16.08,0.0056,-0.0001,-0.001,354.9152,2.3821,354.338
16.1,0.0051,-0.0008,-0.0009,354.9185,2.3793,354.3375
16.12,0.0046,-0.0001,-0.0012,354.9157,2.3781,354.3387
16.14,0.003,-0.0001,-0.0007,354.9157,2.3752,354.3399
16.16,0.0017,-0.0003,-0.0002,354.9156,2.3765,354.3403
16.18,-0.0007,0,0.0006,354.9162,2.3784,354.3418
16.2,-0.0017,-0.0002,0.0008,354.917,2.3778,354.3433
16.22,-0.0018,-0.0002,0.0009,354.9169,2.3783,354.3433
16.24,-0.0016,-0.0001,0.0013,354.9171,2.3812,354.3441
16.26,-0.0017,-0.0003,0.0021,354.9197,2.3841,354.3444
16.28,-0.0006,0.0008,0.0011,354.9122,2.3889,354.3468
16.3,0,-0.0003,0.0009,354.9166,2.3898,354.3455
16.32,0.0007,0,0.0009,354.9158,2.3902,354.3457
16.34,0.0017,-0.0004,0.001,354.9167,2.39,354.3451
16.36,0.0022,-0.0005,0.0009,354.9174,2.3905,354.3445
16.38,0.002,-0.0006,0.0007,354.9177,2.3892,354.3424
16.4,0.0015,-0.0003,0.0008,354.9171,2.3878,354.3446
16.42,0.0017,-0.0005,0.001,354.9176,2.3915,354.3442
16.44,0.0019,-0.0002,0.0008,354.9151,2.3934,354.3438
16.46,0.0017,-0.0003,0.0007,354.9165,2.3927,354.3446
16.48,0.0012,0.0002,0.0001,354.9138,2.3894,354.3459
16.5,0.0013,0.0002,0.0002,354.9137,2.3874,354.3446
16.52,0.0011,0.0002,0.0002,354.9155,2.3833,354.3427
16.54,0.0012,0.0006,-0.0003,354.9117,2.3845,354.3423
