time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
66.48,4.3265,-1.1561,-2,0,0,40
66.5,4.3265,-1.1561,-2,0,0,40
66.52,4.3265,-1.1561,-2,0,0,40
66.54,4.3265,-1.1561,-2,0,0,40
66.56,4.3265,-1.1561,-2,0,0,40
66.58,4.3265,-1.1561,-2,0,0,40
66.6,4.3265,-1.1561,-2,0,0,40
66.62,4.3265,-1.1561,-2,0,0,40
66.64,4.3265,-1.1561,-2,0,0,40
66.66,4.3265,-1.1561,-2,0,0,40
66.68,4.3265,-1.1561,-2,0,0,40
66.7,4.3265,-1.1561,-2,0,0,40
66.72,4.3265,-1.1561,-2,0,0,40
66.74,4.3265,-1.1561,-2,0,0,40
66.76,4.3265,-1.1561,-2,0,0,40
66.78,4.3265,-1.1561,-2,0,0,40
66.8,4.3265,-1.1561,-2,0,0,40
66.82,4.3265,-1.1561,-2,0,0,40
66.84,4.3265,-1.1561,-2,0,0,40
66.86,4.3265,-1.1561,-2,0,0,40
66.88,4.3265,-1.1561,-2,0,0,40
66.9,4.3265,-1.1561,-2,0,0,40
66.92,4.3265,-1.1561,-2,0,0,40
66.93999,4.3265,-1.1561,-2,0,0,40
66.96,4.3265,-1.1561,-2,0,0,40
66.98,4.3265,-1.1561,-2,0,0,40
67,4.3265,-1.1561,-2,0,0,40
67.02,4.3265,-1.1561,-2,0,0,40
67.04,4.3265,-1.1561,-2,0,0,40
67.06,4.3265,-1.1561,-2,0,0,40
67.08,4.3265,-1.1561,-2,0,0,40
67.1,4.3265,-1.1561,-2,0,0,40
67.12,4.3265,-1.1561,-2,0,0,40
67.14,4.3265,-1.1561,-2,0,0,40
67.16,4.3265,-1.1561,-2,0,0,40
67.18,4.3265,-1.1561,-2,0,0,40
67.2,4.3265,-1.1561,-2,0,0,40
67.22,4.3265,-1.1561,-2,0,0,40
67.24,4.3265,-1.1561,-2,0,0,40
67.26,4.3265,-1.1561,-2,0,0,40
67.28,4.3265,-1.1561,-2,0,0,40
67.3,4.3265,-1.1561,-2,0,0,40
67.32,4.3265,-1.1561,-2,0,0,40
67.34,4.3265,-1.1561,-2,0,0,40
67.36,4.3265,-1.1561,-2,0,0,40
67.38,4.3265,-1.1561,-2,0,0,40
67.4,4.3265,-1.1561,-2,0,0,40
67.42,4.3265,-1.1561,-2,0,0,40
67.43999,4.3265,-1.1561,-2,0,0,40
67.46,4.3265,-1.1561,-2,0,0,40
67.48,4.3265,-1.1561,-2,0,0,40
67.5,4.3265,-1.1561,-2,0,0,40
67.52,4.3265,-1.1561,-2,0,0,40
67.54,4.3265,-1.1561,-2,0,0,40
67.56,4.3265,-1.1561,-2,0,0,40
67.58,4.3265,-1.1561,-2,0,0,40
67.6,4.3265,-1.1561,-2,0,0,40
67.62,4.3265,-1.1561,-2,0,0,40
67.64,4.3265,-1.1561,-2,0,0,40
67.66,4.3265,-1.1561,-2,0,0,40
67.68,4.3265,-1.1561,-2,0,0,40
67.7,4.3265,-1.1561,-2,0,0,40
67.72,4.3265,-1.1561,-2,0,0,40
67.74,4.3265,-1.1561,-2,0,0,40
67.76,4.3265,-1.1561,-2,0,0,40
67.78,4.3265,-1.1561,-2,0,0,40
67.8,4.3265,-1.1561,-2,0,0,40
67.82,4.3265,-1.1561,-2,0,0,40
67.84,4.3265,-1.1561,-2,0,0,40
67.86,4.3265,-1.1561,-2,0,0,40
67.88,4.3265,-1.1561,-2,0,0,40
67.9,4.3265,-1.1561,-2,0,0,40
67.92,4.3265,-1.1561,-2,0,0,40
67.93999,4.3265,-1.1561,-2,0,0,40
67.96,4.3265,-1.1561,-2,0,0,40
67.98,4.3265,-1.1561,-2,0,0,40
68,4.3265,-1.1561,-2,0,0,40
68.02,4.3265,-1.1561,-2,0,0,40
68.04,4.3265,-1.1561,-2,0,0,40
68.06,4.3265,-1.1561,-2,0,0,40
68.08,4.3265,-1.1561,-2,0,0,40
68.1,4.3265,-1.1561,-2,0,0,40
68.12,4.3265,-1.1561,-2,0,0,40
68.14,4.3265,-1.1561,-2,0,0,40
68.16,4.3265,-1.1561,-2,0,0,40
68.18,4.3265,-1.1561,-2,0,0,40
68.2,4.3265,-1.1561,-2,0,0,40
68.22,4.3265,-1.1561,-2,0,0,40
68.24,4.3265,-1.1561,-2,0,0,40
68.26,4.3265,-1.1561,-2,0,0,40
68.28,4.3265,-1.1561,-2,0,0,40
68.3,4.3265,-1.1561,-2,0,0,40
68.32,4.3265,-1.1561,-2,0,0,40
68.34,4.3265,-1.1561,-2,0,0,40
68.36,4.3265,-1.1561,-2,0,0,40
68.38,4.3265,-1.1561,-2,0,0,40
68.4,4.3265,-1.1561,-2,0,0,40
68.42,4.3265,-1.1561,-2,0,0,40
68.43999,4.3265,-1.1561,-2,0,0,40
68.46,4.3265,-1.1561,-2,0,0,40
68.48,4.3265,-1.1561,-2,0,0,40
68.5,4.3265,-1.1561,-2,0,0,40
68.52,4.3265,-1.1561,-2,0,0,40
68.54,4.3265,-1.1561,-2,0,0,40
68.56,4.3265,-1.1561,-2,0,0,40
68.58,4.3265,-1.1561,-2,0,0,40
68.6,4.3265,-1.1561,-2,0,0,40
68.62,4.3265,-1.1561,-2,0,0,40
68.64,4.3265,-1.1561,-2,0,0,40
68.66,4.3265,-1.1561,-2,0,0,40
68.68,4.3265,-1.1561,-2,0,0,40
68.7,4.3265,-1.1561,-2,0,0,40
68.72,4.3265,-1.1561,-2,0,0,40
68.74,4.3265,-1.1561,-2,0,0,40
68.76,4.3265,-1.1561,-2,0,0,40
68.78,4.3265,-1.1561,-2,0,0,40
68.8,4.3265,-1.1561,-2,0,0,40
68.82,4.3265,-1.1561,-2,0,0,40
68.84,4.3265,-1.1561,-2,0,0,40
68.86,4.3265,-1.1561,-2,0,0,40
68.88,4.3265,-1.1561,-2,0,0,40
68.9,4.3265,-1.1561,-2,0,0,40
68.92,4.3265,-1.1561,-2,0,0,40
68.93999,4.3265,-1.1561,-2,0,0,40
68.96,4.3265,-1.1561,-2,0,0,40
68.98,4.3265,-1.1561,-2,0,0,40
69,4.3265,-1.1561,-2,0,0,40
69.02,4.3265,-1.1561,-2,0,0,40
69.04,4.3265,-1.1561,-2,0,0,40
69.06,4.3265,-1.1561,-2,0,0,40
69.08,4.3265,-1.1561,-2,0,0,40
69.1,4.3265,-1.1561,-2,0,0,40
69.12,4.3265,-1.1561,-2,0,0,40
69.14,4.3265,-1.1561,-2,0,0,40
69.16,4.3265,-1.1561,-2,0,0,40
69.18,4.3265,-1.1561,-2,0,0,40
69.2,4.3265,-1.1561,-2,0,0,40
69.22,4.3265,-1.1561,-2,0,0,40
69.24,4.3265,-1.1561,-2,0,0,40
69.26,4.3265,-1.1561,-2,0,0,40
69.28,4.3265,-1.1561,-2,0,0,40
69.3,4.3265,-1.1561,-2,0,0,40
69.32,4.3265,-1.1561,-2,0,0,40
69.34,4.3265,-1.1561,-2,0,0,40
69.36,4.3265,-1.1561,-2,0,0,40
69.38,4.3265,-1.1561,-2,0,0,40
69.4,4.3265,-1.1561,-2,0,0,40
69.42,4.3265,-1.1561,-2,0,0,40
69.43999,4.3265,-1.1561,-2,0,0,40
69.46,4.3265,-1.1561,-2,0,0,40
69.48,4.3265,-1.1561,-2,0,0,40
69.5,4.3265,-1.1561,-2,0,0,40
69.52,4.3265,-1.1561,-2,0,0,40
69.54,4.3265,-1.1561,-2,0,0,40
69.56,4.3265,-1.1561,-2,0,0,40
69.58,4.3265,-1.1561,-2,0,0,40
69.6,4.3265,-1.1561,-2,0,0,40
69.62,4.3265,-1.1561,-2,0,0,40
69.64,4.3265,-1.1561,-2,0,0,40
69.66,4.3265,-1.1561,-2,0,0,40
69.68,4.3265,-1.1561,-2,0,0,40
69.7,4.3265,-1.1561,-2,0,0,40
69.72,4.3265,-1.1561,-2,0,0,40
69.74,4.3265,-1.1561,-2,0,0,40
69.76,4.3265,-1.1561,-2,0,0,40
69.78,4.3265,-1.1561,-2,0,0,40
69.8,4.3265,-1.1561,-2,0,0,40
69.82,4.3265,-1.1561,-2,0,0,40
69.84,4.3265,-1.1561,-2,0,0,40
69.86,4.3265,-1.1561,-2,0,0,40
69.88,4.3265,-1.1561,-2,0,0,40
69.9,4.3265,-1.1561,-2,0,0,40
69.92,4.3265,-1.1561,-2,0,0,40
69.93999,4.3265,-1.1561,-2,0,0,40
69.96,4.3265,-1.1561,-2,0,0,40
69.98,4.3265,-1.1561,-2,0,0,40
70,4.3265,-1.1561,-2,0,0,40
70.02,4.3265,-1.1561,-2,0,0,40
70.04,4.3265,-1.1561,-2,0,0,40
70.06,4.3265,-1.1561,-2,0,0,40
70.08,4.3265,-1.1561,-2,0,0,40
70.1,4.3265,-1.1561,-2,0,0,40
70.12,4.3265,-1.1561,-2,0,0,40
70.14,4.3265,-1.1561,-2,0,0,40
70.16,4.3265,-1.1561,-2,0,0,40
70.18,4.3265,-1.1561,-2,0,0,40
70.2,4.3265,-1.1561,-2,0,0,40
70.22,4.3265,-1.1561,-2,0,0,40
70.24,4.3265,-1.1561,-2,0,0,40
70.26,4.3265,-1.1561,-2,0,0,40
70.28,4.3265,-1.1561,-2,0,0,40
70.3,4.3265,-1.1561,-2,0,0,40
70.32,4.3265,-1.1561,-2,0,0,40
70.34,4.3265,-1.1561,-2,0,0,40
70.36,4.3265,-1.1561,-2,0,0,40
70.38,4.3265,-1.1561,-2,0,0,40
70.4,4.3265,-1.1561,-2,0,0,40
70.42,4.3265,-1.1561,-2,0,0,40
70.43999,4.3265,-1.1561,-2,0,0,40
70.46,4.3265,-1.1561,-2,0,0,40
70.48,4.3265,-1.1561,-2,0,0,40
70.5,4.3265,-1.1561,-2,0,0,40
70.52,4.3265,-1.1561,-2,0,0,40
