time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.74,-26.4832,-17.6001,-0.5401,68.7977,170.5383,235.1832
35.76,-26.4793,-17.4914,-0.8327,67.8587,171.2275,235.4124
35.78,-26.477,-17.3653,-1.1954,66.6887,172.0369,235.6872
35.8,-26.4789,-17.2505,-1.5139,65.5971,172.665,235.9239
35.82,-26.4832,-17.0923,-1.9978,63.8885,173.4754,236.5731
35.84,-26.4876,-17.045,-2.1514,63.308,173.7113,237.5526
35.86,-26.4863,-17.0249,-2.2245,62.9861,173.7863,238.3804
35.88,-26.4811,-17.0243,-2.2079,62.949,173.6827,238.8181
35.9,-26.4748,-17.042,-2.1095,63.2273,173.5249,239.3719
35.92,-26.4422,-17.183,-1.5859,64.6734,172.7724,239.7999
35.94,-26.423,-17.2988,-1.1883,65.8738,172.2135,239.6611
35.96,-26.3932,-17.4532,-0.6925,67.3972,171.4291,239.0262
35.98,-26.3594,-17.6411,-0.1108,69.1799,170.3377,238.0149
36,-26.3214,-17.8525,0.5548,71.2046,168.7754,236.624
36.02,-26.2312,-18.2798,2.1256,75.8331,162.7401,231.9252
36.04,-26.1866,-18.4823,3.0131,78.2755,157.1833,227.1199
36.06,-26.1377,-18.6747,3.9559,80.6218,148.5869,219.187
36.08,-26.0978,-18.8252,4.9487,82.7618,134.2843,205.573
36.1,-26.0783,-18.9263,5.9631,84.4132,110.1242,182.3234
36.12,-26.0622,-18.9834,8.0214,83.3503,51.6853,126.0706
36.14,-26.0863,-18.9308,9.0249,81.1089,36.2767,112.2958
36.16,-26.1255,-18.8377,9.9959,78.6399,27.6807,105.6977
36.18,-26.1804,-18.6959,10.921,76.1025,22.7384,102.7845
36.2,-26.2608,-18.49,11.7986,73.5969,18.1866,100.3005
36.22,-26.478,-17.9979,13.3387,68.9574,12.8255,98.7748
36.24,-26.6121,-17.6917,14.0092,66.7731,10.0779,98.0554
36.26,-26.7374,-17.3941,14.6111,64.7732,8.3169,97.6011
36.28,-26.89,-17.083,15.1578,62.826,6.9284,97.9672
36.3,-26.9939,-16.8305,15.5849,61.331,6.169,98.9769
36.32,-27.2258,-16.4034,16.2824,58.1181,7.5909,102.2344
36.34,-27.3308,-16.2235,16.5306,56.8407,6.9853,101.9972
36.36,-27.4334,-16.0901,16.6974,55.889,5.5847,101.344
36.38,-27.5113,-16.0358,16.7913,55.2146,3.8758,99.9847
36.4,-27.5776,-16.0207,16.8075,55.0648,2.4636,98.4773
36.42,-27.6374,-16.1588,16.628,55.7743,2.3697,96.5123
36.44,-27.6334,-16.333,16.405,56.625,3.0915,95.9661
36.46,-27.6154,-16.5536,16.1137,57.6774,3.9363,95.7825
36.48,-27.5893,-16.8082,15.7571,58.9222,4.869,95.8309
36.5,-27.5383,-17.1148,15.3242,60.3925,6.1412,96.1227
36.52,-27.4154,-17.7934,14.2109,63.9404,10.226,97.1403
36.54,-27.3392,-18.1119,13.5278,66.0272,13.3324,97.9749
36.56,-27.2713,-18.395,12.744,68.1829,17.5998,99.5472
36.58,-27.1977,-18.6538,11.8515,70.6425,22.671,102.2716
36.6,-27.1187,-18.8514,10.8925,73.2298,28.2513,105.6311
36.62,-27.0152,-19.1174,8.7722,78.274,47.0271,118.7168
36.64,-26.9758,-19.1627,7.644,80.0703,64.2228,132.4322
36.66,-26.9449,-19.1362,6.4702,80.5532,87.3171,152.1868
36.68,-26.9073,-19.018,5.2805,79.6317,109.1965,171.7368
36.7,-26.8906,-18.8046,4.0785,77.8888,125.9401,187.2448
36.72,-26.8573,-18.1602,1.7659,72.7891,145.804,204.9684
36.74,-26.8359,-17.7575,0.6905,69.8658,151.3942,209.4338
36.76,-26.8083,-17.3174,-0.3128,66.9253,155.281,212.2892
36.78,-26.7926,-16.8498,-1.2495,64.0759,158.2388,214.4692
36.8,-26.7876,-16.3706,-2.1132,61.3412,160.7087,216.6469
36.82,-26.7933,-15.4583,-3.5755,56.6386,164.1539,220.3547
36.84,-26.7967,-15.0559,-4.1527,54.661,165.2108,221.1047
36.86,-26.8047,-14.6945,-4.6345,52.8553,166.1729,221.5978
36.88,-26.8241,-14.382,-5.0336,51.384,167.1831,222.4607
36.9,-26.8473,-14.1416,-5.35,50.2644,168.0316,223.3284
36.92,-26.9008,-13.9026,-5.711,48.7602,168.908,223.5749
36.94,-26.9273,-13.9137,-5.7476,48.5274,169.1628,223.255
36.96,-26.9549,-13.9932,-5.6912,48.7385,169.3155,222.9977
36.98,-26.9841,-14.1578,-5.529,49.3367,169.3529,222.9348
37,-27.0094,-14.4066,-5.2461,50.5107,169.2383,222.8041
37.02,-27.0341,-15.063,-4.371,53.8613,168.4152,221.5753
37.04,-27.0323,-15.466,-3.7707,56.0552,167.6384,220.527
37.06,-27.0217,-15.9027,-3.0632,58.5508,166.5325,219.3262
37.08,-26.9927,-16.3683,-2.2458,61.3129,164.8469,217.6775
37.1,-26.9488,-16.8333,-1.3198,64.2411,162.6688,215.61
37.12,-26.8112,-17.6925,0.8349,70.4498,153.1601,207.6613
37.14,-26.7177,-18.068,2.0421,73.5127,145.3338,201.1301
37.16,-26.6242,-18.3805,3.314,76.1826,133.584,190.7518
37.18,-26.5325,-18.6193,4.6374,77.9829,116.8339,175.3738
37.2,-26.4484,-18.7917,5.9741,78.4936,96.3944,156.543
37.22,-26.3621,-18.8622,8.6195,75.8473,59.562,124.0621
37.24,-26.3667,-18.7565,9.881,73.3889,47.0657,114.3307
37.26,-26.4021,-18.5779,11.0774,70.6066,37.8985,108.2281
37.28,-26.4713,-18.3174,12.2533,67.5015,29.9176,103.6643
37.3,-26.5664,-18.0086,13.2331,64.7505,24.2706,100.7348
37.32,-26.8581,-17.1948,14.9851,59.4866,12.7905,96.0217
37.34,-27.0263,-16.7548,15.7031,57.3621,7.6883,94.0337
37.36,-27.1892,-16.2935,16.3288,55.5551,3.3591,92.1466
37.38,-27.3541,-15.8545,16.8644,53.1785,1.3578,91.5923
37.4,-27.5204,-15.4412,17.3117,51.4264,359.8545,90.9872
37.42,-27.8188,-14.8053,17.9585,48.7235,357.5969,89.8268
37.44,-27.9402,-14.5871,18.173,48.0057,357.3523,89.323
37.46,-28.0729,-14.4477,18.307,47.995,357.81,89.2336
37.48,-28.1589,-14.4109,18.3711,48.2821,358.6102,89.6077
37.5,-28.2523,-14.4349,18.3584,48.3912,358.9651,89.4759
37.52,-28.3373,-14.7404,18.1223,49.7544,359.0627,88.1447
37.54,-28.3517,-14.988,17.8854,50.7909,359.0841,87.2003
37.56,-28.3638,-15.3246,17.5658,51.944,359.4492,86.5493
37.58,-28.3285,-15.7014,17.1819,53.4335,359.9029,85.976
37.6,-28.2743,-16.1268,16.7189,55.2252,0.7847,85.6999
37.62,-28.1418,-17.0379,15.5414,59.5351,3.2765,83.6885
37.64,-28.0497,-17.4919,14.8348,62.0206,5.4762,82.8002
37.66,-27.9653,-17.9346,14.0213,64.677,8.3668,82.7394
