time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.32,-24.7205,-16.1112,3.5808,71.8583,162.0868,287.6985
12.34,-24.7232,-16.1122,3.5782,71.8494,162.1379,287.7445
12.36,-24.7258,-16.1113,3.577,71.8524,162.1648,287.7637
12.38,-24.7343,-16.1119,3.572,71.8481,162.2569,287.8833
12.4,-24.7359,-16.1123,3.5726,71.8514,162.2907,287.908
12.42,-24.7398,-16.1128,3.5709,71.8473,162.3409,287.9507
12.44,-24.7434,-16.1111,3.571,71.8569,162.3786,287.9714
12.46,-24.7537,-16.1125,3.5646,71.8418,162.4707,288.0742
12.48,-24.7631,-16.115,3.5624,71.8401,162.6439,288.2378
12.5,-24.7693,-16.1154,3.5606,71.8372,162.723,288.2952
12.52,-24.7766,-16.1138,3.5587,71.8429,162.7913,288.3553
12.54,-24.7817,-16.1128,3.5583,71.8514,162.85,288.4078
12.56,-24.7893,-16.1145,3.5554,71.844,162.9312,288.5111
12.58,-24.8029,-16.1153,3.5524,71.8524,163.0788,288.6707
12.6,-24.8064,-16.1181,3.5512,71.843,163.1004,288.704
12.62,-24.8128,-16.1159,3.5487,71.8461,163.1435,288.7793
12.64,-24.8196,-16.1188,3.5434,71.8334,163.1814,288.8774
12.66,-24.8222,-16.1189,3.5424,71.8362,163.1908,288.9396
12.68,-24.8254,-16.125,3.5313,71.7814,163.1176,289.0826
12.7,-24.8301,-16.1257,3.5193,71.7578,163.1201,289.1906
12.72,-24.8327,-16.1337,3.5041,71.695,163.1693,289.2963
12.74,-24.8357,-16.1381,3.4821,71.6282,163.2614,289.4449
12.76,-24.835,-16.1448,3.4505,71.5167,163.2791,289.648
12.78,-24.8355,-16.1463,3.3472,71.1803,163.304,290.1862
12.8,-24.8402,-16.1268,3.2766,70.9749,163.423,290.5137
12.82,-24.8405,-16.1032,3.196,70.7263,163.5834,290.8718
12.84,-24.8442,-16.0806,3.1027,70.4445,163.7958,291.2418
12.86,-24.8467,-16.0633,3.0006,70.1272,164.0542,291.6454
12.88,-24.8511,-16.0309,2.7723,69.4045,164.7097,292.4246
12.9,-24.8549,-16.0024,2.6491,69.0197,165.0889,292.8301
12.92,-24.8595,-15.972,2.5202,68.6088,165.5057,293.2626
12.94,-24.8613,-15.9442,2.3896,68.1779,165.9528,293.6666
12.96,-24.8654,-15.917,2.2526,67.7374,166.3873,294.0808
12.98,-24.8671,-15.8697,1.9642,66.7703,167.0422,295.0081
13,-24.8674,-15.841,1.8168,66.2826,167.3389,295.4507
13.02,-24.8697,-15.8072,1.6689,65.7939,167.6833,295.7199
13.04,-24.8733,-15.7642,1.5213,65.3084,168.077,295.977
13.06,-24.8724,-15.7173,1.376,64.824,168.4575,296.2932
13.08,-24.8679,-15.6422,1.0803,63.821,169.0947,297.0189
13.1,-24.8667,-15.6084,0.9257,63.3,169.3842,297.3408
13.12,-24.8639,-15.5694,0.7969,62.8682,169.6872,297.4641
13.14,-24.8609,-15.5213,0.6655,62.4141,169.9147,297.6065
13.16,-24.8581,-15.4678,0.5451,62.0061,170.1208,297.8356
13.18,-24.8557,-15.3802,0.3511,61.3411,170.5854,297.9669
13.2,-24.8602,-15.3352,0.2904,61.1535,170.9128,297.8672
13.22,-24.8685,-15.2903,0.2585,61.0694,171.2641,297.7147
13.24,-24.8792,-15.2498,0.2615,61.1152,171.6083,297.5547
13.26,-24.8964,-15.226,0.2899,61.2739,171.9053,297.4218
13.28,-24.9542,-15.2353,0.4759,62.0436,172.4481,296.8697
13.3,-24.9935,-15.2689,0.6279,62.646,172.689,296.4798
13.32,-25.0421,-15.3156,0.824,63.4094,172.913,296.0319
13.34,-25.0953,-15.3701,1.0635,64.3305,173.0825,295.7432
13.36,-25.1555,-15.4352,1.342,65.3771,173.1783,295.6363
13.38,-25.2878,-15.6085,2.0241,67.8385,173.4245,295.3432
13.4,-25.3605,-15.6972,2.4229,69.2398,173.5951,295.2404
13.42,-25.4356,-15.7877,2.8484,70.6941,173.6484,295.193
13.44,-25.5061,-15.8703,3.3033,72.2469,173.649,295.2094
13.46,-25.5813,-15.947,3.7736,73.8417,173.4523,295.1872
13.48,-25.721,-16.0729,4.7515,77.093,172.1736,294.6835
13.5,-25.7899,-16.1099,5.2512,78.7576,171.0546,294.0161
13.52,-25.8659,-16.1414,5.74,80.3555,169.4364,292.8183
13.54,-25.9304,-16.1597,6.2309,81.9316,167.3481,290.938
13.56,-26.001,-16.1559,6.7125,83.4921,164.8156,288.429
13.58,-26.1327,-16.1313,7.6181,86.3334,155.4743,278.9437
13.6,-26.1974,-16.0985,8.0341,87.5967,145.24,268.6165
13.62,-26.2523,-16.064,8.4276,88.5776,120.1158,243.2461
13.64,-26.308,-16.0198,8.7873,88.8691,65.7665,188.3907
13.66,-26.3581,-15.9744,9.1155,88.2598,28.7769,150.8506
13.68,-26.4404,-15.8758,9.6605,86.6586,8.745,130.0055
13.7,-26.4696,-15.8436,9.8726,85.9938,5.7823,126.7991
13.72,-26.5074,-15.8201,10.0279,85.4887,4.1211,125.0831
13.74,-26.506,-15.797,10.1684,85.0663,3.5408,124.3211
13.76,-26.5175,-15.7866,10.2486,84.8135,3.129,123.7683
13.78,-26.5121,-15.7993,10.2637,84.7763,3.6034,124.2989
13.8,-26.4943,-15.8203,10.2123,84.9803,4.2296,125.0458
13.82,-26.4572,-15.8462,10.1054,85.3512,5.7116,126.6535
13.84,-26.4224,-15.8969,9.9405,85.9285,8.1157,129.2614
13.86,-26.3814,-15.9516,9.7367,86.6103,12.3978,133.8463
13.88,-26.2754,-16.1104,9.1884,88.24,40.5693,162.8391
13.9,-26.2131,-16.1891,8.8539,88.6746,82.961,205.4518
13.92,-26.148,-16.2668,8.4693,88.1275,128.772,251.2541
13.94,-26.0843,-16.3221,8.0385,86.9064,149.1853,271.6868
13.96,-26.0089,-16.3732,7.5685,85.3898,157.7019,280.3683
13.98,-25.8536,-16.4386,6.5373,82.0149,165.9777,288.6521
14,-25.775,-16.4486,5.9839,80.1918,168.6263,290.8375
14.02,-25.6907,-16.4237,5.4137,78.3154,170.61,292.3344
14.04,-25.6134,-16.3833,4.8107,76.3223,171.8717,293.507
14.06,-25.5232,-16.3238,4.2062,74.3202,172.7834,294.3099
14.08,-25.3641,-16.1099,3.004,70.3905,174.9061,294.7562
14.1,-25.2709,-15.9549,2.3837,68.3334,175.5778,294.8277
14.12,-25.187,-15.8065,1.8243,66.4498,175.7673,295.0923
14.14,-25.1055,-15.6638,1.2439,64.5034,175.928,295.3458
14.16,-25.0319,-15.5154,0.7049,62.6894,176.4008,294.8253
14.18,-24.8884,-15.1329,-0.297,59.2389,176.6906,294.6907
14.2,-24.8171,-14.9331,-0.7543,57.5904,176.4759,295.1724
14.22,-24.7576,-14.7571,-1.1717,56.0853,176.3777,295.3249
14.24,-24.7097,-14.5966,-1.5376,54.7606,176.4576,294.9915
14.26,-24.6715,-14.4369,-1.8551,53.6032,176.5281,294.748
14.28,-24.6116,-14.146,-2.3458,51.7367,176.41,295.1076
