time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
25.4,-27.1623,17.8733,-4.7892,353.9125,7.264,358.4869
25.42,-27.1619,17.8731,-4.7886,353.9131,7.2682,358.4867
25.44,-27.1618,17.8734,-4.7886,353.9122,7.268,358.4858
25.46,-27.1625,17.8731,-4.7891,353.9126,7.2638,358.4865
25.48,-27.162,17.8738,-4.7889,353.9091,7.2679,358.4855
25.5,-27.1618,17.874,-4.7889,353.9088,7.2675,358.4837
25.52,-27.1615,17.8752,-4.7892,353.9076,7.2675,358.4808
25.54,-27.1615,17.874,-4.7888,353.9101,7.2676,358.4833
25.56,-27.1615,17.8738,-4.7889,353.9097,7.2679,358.4851
25.58,-27.1611,17.8743,-4.7888,353.909,7.2706,358.483
25.6,-27.1603,17.8739,-4.7882,353.9096,7.2764,358.4843
25.62,-27.1604,17.8736,-4.788,353.9123,7.2749,358.4849
25.64,-27.161,17.8737,-4.7885,353.9115,7.2707,358.485
25.66,-27.1616,17.8731,-4.7888,353.9126,7.268,358.4869
25.68,-27.1612,17.8733,-4.7885,353.913,7.2705,358.486
25.7,-27.1623,17.8734,-4.7894,353.9111,7.2632,358.4864
25.72,-27.1612,17.874,-4.7888,353.9099,7.27,358.4846
25.74,-27.1613,17.8739,-4.7889,353.9102,7.2694,358.4848
25.76,-27.1611,17.8736,-4.7886,353.9115,7.2728,358.4844
25.78,-27.1606,17.8736,-4.7885,353.912,7.2727,358.484
25.8,-27.1598,17.8735,-4.7879,353.912,7.2782,358.4843
25.82,-27.1605,17.8724,-4.788,353.915,7.2762,358.4879
25.84,-27.1607,17.8729,-4.7884,353.9146,7.273,358.4868
25.86,-27.1609,17.8737,-4.7889,353.9119,7.2707,358.4842
25.88,-27.1608,17.8736,-4.7889,353.9111,7.2709,358.4861
25.9,-27.1606,17.8739,-4.7889,353.9106,7.2713,358.4843
25.92,-27.1607,17.8739,-4.7888,353.9113,7.2706,358.4836
25.94,-27.1605,17.8738,-4.7887,353.9112,7.2718,358.4843
