time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
49.48,4.3265,-1.1561,-2,0,0,40
49.5,4.0179,-1.4,-2,0,0,36.651
49.52,3.8587,-1.5149,-2,0,0,34.9797
49.54,3.6642,-1.646,-2,0,0,32.9833
49.56,3.4335,-1.7891,-2,0,0,30.6722
49.58,3.166,-1.9397,-2,0,0,28.059
49.6,2.8617,-2.0921,-2,0,0,25.1616
49.62,2.5215,-2.2406,-2,0,0,22.0009
49.64,2.1473,-2.3791,-2,0,0,18.604
49.66,1.7422,-2.5014,-2,0,0,15.0011
49.68,1.3107,-2.6019,-2,0,0,11.2293
49.7,0.8585,-2.6758,-2,0,0,7.3277
49.72,0.3923,-2.7193,-2,0,0,3.3411
49.74,-0.0805,-2.7303,-2,0,0,359.3146
49.76,-0.5519,-2.7081,-2,0,0,355.2963
49.78,-1.0142,-2.6539,-2,0,0,351.3337
49.8,-1.4601,-2.5705,-2,0,0,347.4713
49.82,-1.8832,-2.462,-2,0,0,343.7528
49.84,-2.2782,-2.3335,-2,0,0,340.216
49.86,-2.6411,-2.1909,-2,0,0,336.8963
49.88,-2.9693,-2.0404,-2,0,0,333.8223
49.9,-3.2611,-1.888,-2,0,0,331.0195
49.92,-3.5161,-1.7394,-2,0,0,328.5071
49.94,-3.7343,-1.5998,-2,0,0,326.3018
49.96,-3.9167,-1.4738,-2,0,0,324.415
49.98,-4.0641,-1.3653,-2,0,0,322.8563
50,-4.1779,-1.2772,-2,0,0,321.6317
50.02,-4.259,-1.212,-2,0,0,320.7459
50.04,-4.3083,-1.1713,-2,0,0,320.2019
50.06,-4.3263,-1.1562,-2,0,0,320.0012
50.08,-4.3135,-1.167,-2,0,0,320.1443
50.1,-4.2694,-1.2034,-2,0,0,320.631
50.12,-4.1937,-1.2646,-2,0,0,321.4597
50.14,-4.0855,-1.349,-2,0,0,322.6278
50.16,-3.9438,-1.4543,-2,0,0,324.131
50.18,-3.7674,-1.5777,-2,0,0,325.9634
50.2,-3.5552,-1.7152,-2,0,0,328.1161
