time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30.98,-0.0034,0,-0.0002,355.1331,356.2308,359.0705
31,-0.0034,0,-0.0001,355.1335,356.2309,359.0707
31.02,-0.0034,0,-0.0001,355.1335,356.2309,359.0707
31.04,-0.0034,0,-0.0001,355.1335,356.2309,359.0707
31.06,-0.0034,0,-0.0001,355.1335,356.2309,359.0707
31.08,-0.0034,0,-0.0001,355.1335,356.2309,359.0707
31.1,-0.0026,0.0004,-0.0003,355.1315,356.2331,359.0704
31.12,-0.0024,-0.0001,0.0003,355.1333,356.2322,359.0701
31.14,-0.0016,-0.0003,0.0002,355.1333,356.2358,359.0679
31.16,-0.0019,-0.0001,0.0003,355.1333,356.2356,359.0685
31.18,-0.0018,-0.0002,0.0005,355.1339,356.2354,359.0686
31.2,-0.0011,-0.0004,0.0003,355.1343,356.2373,359.0682
31.22,-0.0004,0.0002,0,355.1315,356.2395,359.0691
31.24,-0.0012,0.0002,0.0004,355.1317,356.2355,359.0691
31.26,-0.0009,0.0001,0.0005,355.1328,356.2372,359.0695
31.28,-0.001,0,0.0005,355.1325,356.235,359.0689
31.3,-0.0009,0.0003,0.0005,355.1316,356.2365,359.0698
31.32,-0.0006,0.0001,0.0005,355.1324,356.2363,359.0699
31.34,-0.0009,0.0004,0.0007,355.1316,356.2332,359.0706
31.36,-0.0006,0.0001,0.0005,355.1319,356.2339,359.0693
31.38,-0.0004,-0.0002,0.0004,355.1335,356.2346,359.0691
31.4,-0.0006,0.0001,0.0004,355.1326,356.2345,359.0701
31.42,-0.0002,0.0004,0.0002,355.1314,356.2356,359.0694
31.44,-0.0003,0.0004,0.0002,355.1319,356.2354,359.069
31.46,-0.0002,0.0002,0.0001,355.1324,356.2366,359.0679
31.48,-0.0006,0.0004,0.0001,355.1314,356.2353,359.0692
31.5,-0.0011,0.0003,0.0004,355.132,356.2331,359.0707
31.52,-0.0004,0.0003,0.0002,355.1322,356.2339,359.07
31.54,-0.0008,0.0003,0.0003,355.1322,356.2319,359.0709
31.56,-0.0005,0.0004,0,355.131,356.2323,359.0701
31.58,-0.0005,0.0004,-0.0003,355.1303,356.232,359.0698
31.6,-0.0001,0.0001,-0.0004,355.132,356.2334,359.07
31.62,0.0001,-0.0002,-0.0001,355.1332,356.2336,359.0677
31.64,-0.0004,0.0001,0,355.1323,356.2315,359.068
31.66,-0.0005,0,-0.0001,355.1327,356.2325,359.0682
31.68,-0.0007,0.0001,-0.0002,355.1323,356.2318,359.0694
31.7,-0.001,0.0002,0.0001,355.1324,356.2308,359.07
31.72,0.0001,-0.0002,0.0001,355.1328,356.234,359.0673
31.74,-0.0008,-0.0002,0.0006,355.1343,356.2301,359.0691
31.76,-0.0005,0.0001,0.0002,355.1324,356.2328,359.0696
31.78,-0.0003,0.0003,0.0001,355.1311,356.2342,359.0698
31.8,0,0.0005,0.0003,355.1317,356.2348,359.0709
31.82,0.0001,0.0002,0.0005,355.133,356.2362,359.0702
31.84,0.0004,-0.0001,0.0004,355.1335,356.239,359.0697
31.86,0.0001,-0.0002,0.0005,355.1333,356.2375,359.0695
31.88,0.0005,-0.0001,0.0006,355.133,356.2393,359.0696
31.9,0.0008,-0.0001,0.0008,355.1336,356.2382,359.0686
31.92,0.0005,0,0.0005,355.1332,356.2374,359.0685
31.94,-0.0001,0,0.0006,355.1332,356.2356,359.0696
31.96,0.001,0.0002,0.0004,355.132,356.2402,359.0696
31.98,0.0013,-0.0001,0.001,355.1339,356.239,359.0692
32,0.0014,-0.0002,0.0008,355.1339,356.2405,359.0681
32.02,0.0001,0.0001,0.0007,355.1323,356.2411,359.0691
32.04,0.0002,-0.0004,0.001,355.1341,356.2408,359.0685
32.06,0.0009,-0.0002,0.0008,355.1337,356.2433,359.0683
32.08,0.0012,0,0.0003,355.132,356.2438,359.0685
32.1,0.0015,0,-0.0001,355.132,356.245,359.0686
32.12,0.0007,0.0001,0.0001,355.1318,356.2425,359.0692
