time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.4,-23.6138,-17.8574,3.6165,80.2736,152.0867,335.911
12.42,-23.609,-17.8575,3.6114,80.2507,152.0389,335.8816
12.44,-23.5968,-17.8552,3.6124,80.2328,151.8727,335.699
12.46,-23.5883,-17.8533,3.6118,80.2228,151.725,335.5533
12.48,-23.5736,-17.8538,3.6069,80.1922,151.531,335.3741
12.5,-23.5665,-17.8519,3.6073,80.1864,151.4063,335.2582
12.52,-23.5541,-17.8544,3.607,80.1664,151.2533,335.1021
12.54,-23.5488,-17.8541,3.6077,80.1562,151.141,335.002
12.56,-23.5375,-17.8559,3.6103,80.1425,151.019,334.8659
12.58,-23.525,-17.854,3.6152,80.1377,150.6881,334.545
12.6,-23.521,-17.8562,3.6153,80.1314,150.6319,334.4928
12.62,-23.517,-17.8565,3.6176,80.1276,150.5471,334.4146
12.64,-23.5087,-17.8566,3.6225,80.1267,150.4216,334.2738
12.66,-23.5068,-17.852,3.6262,80.145,150.3006,334.1587
12.68,-23.4998,-17.856,3.6288,80.1381,150.2248,334.075
12.7,-23.4999,-17.8533,3.63,80.1456,150.1303,333.9892
12.72,-23.4981,-17.8541,3.6297,80.1371,150.1125,333.9679
12.74,-23.4989,-17.8523,3.6269,80.1387,150.0867,333.9483
12.76,-23.4988,-17.8493,3.6177,80.1281,150.1091,333.955
12.78,-23.5063,-17.8335,3.5801,80.0709,150.5849,334.2304
12.8,-23.5115,-17.826,3.5425,79.982,151.0065,334.493
12.82,-23.5171,-17.8093,3.4934,79.8686,151.522,334.9015
12.84,-23.5143,-17.7902,3.4291,79.6932,152.128,335.4193
12.86,-23.5214,-17.7259,3.2407,79.2284,153.5323,337.0063
12.88,-23.5286,-17.6917,3.1129,78.8969,154.381,337.9689
12.9,-23.5289,-17.6605,2.9699,78.5086,155.423,339.1494
12.92,-23.5236,-17.6319,2.8131,78.0752,156.4442,340.2249
12.94,-23.5253,-17.5885,2.6519,77.6408,157.3399,341.0751
12.96,-23.5226,-17.5316,2.4907,77.1749,157.8168,341.4622
12.98,-23.5034,-17.341,2.2068,76.2874,156.2993,340.2415
13,-23.4846,-17.2494,2.0935,76.7507,151.209,335.4559
13.02,-23.4693,-17.1492,2.0175,77.3148,148.4825,332.3122
13.04,-23.4375,-17.0686,1.9734,77.3454,146.2393,329.4533
13.06,-23.3969,-17.0085,1.9657,77.4142,143.4632,326.3912
13.08,-23.2782,-16.961,2.0882,77.3968,138.7348,321.8962
13.1,-23.201,-16.9662,2.2408,77.7927,134.7465,318.1759
13.12,-23.1246,-16.9848,2.4536,78.2077,130.0072,313.5743
13.14,-23.0432,-17.0256,2.7254,78.5371,125.1968,308.9403
13.16,-22.9633,-17.0718,3.0654,79.0086,120.1828,304.0004
13.18,-22.7883,-17.2026,3.9079,79.6636,106.548,290.3988
13.2,-22.7015,-17.2733,4.3879,79.6076,98.2244,282.1263
13.22,-22.6198,-17.3361,4.891,79.3576,89.735,273.7358
13.24,-22.5277,-17.4038,5.404,78.8122,82.0993,266.1941
13.26,-22.4493,-17.455,5.905,78.121,75.5494,259.763
13.28,-22.3171,-17.5031,6.8324,76.6259,65.682,250.1126
13.3,-22.2682,-17.5252,7.2238,75.9198,61.9975,246.1792
13.32,-22.2344,-17.5331,7.5552,75.5065,59.3287,243.5344
13.34,-22.198,-17.5412,7.8097,76.0655,60.0434,244.218
13.36,-22.1531,-17.5338,7.9827,76.8699,63.605,247.1769
13.38,-22.12,-17.528,8.0523,78.8201,71.7611,256.2693
13.4,-22.1292,-17.5415,7.9618,79.6045,73.9724,257.4101
13.42,-22.1397,-17.5665,7.7481,80.1709,79.3733,262.3711
13.44,-22.168,-17.5911,7.4338,80.3397,86.0382,269.6644
13.46,-22.1967,-17.6242,7.0361,80.4238,93.8728,278.1129
13.48,-22.3034,-17.6436,6.0071,80.0073,110.094,295.4405
13.5,-22.3802,-17.6185,5.3955,79.5188,118.1657,304.1652
13.52,-22.4687,-17.569,4.7397,79.031,125.9457,312.7357
13.54,-22.577,-17.4865,4.0508,78.4408,133.7815,321.7307
13.56,-22.6941,-17.3786,3.3404,77.6738,141.5602,330.5893
13.58,-22.9594,-17.0508,1.934,75.6729,156.3868,347.1048
13.6,-23.1089,-16.8392,1.2553,74.2765,162.7116,353.9521
13.62,-23.2535,-16.5999,0.6117,72.6343,167.2924,359.1226
13.64,-23.4015,-16.3519,0.0111,71.0473,170.8259,3.3206
13.66,-23.5485,-16.1152,-0.5385,69.396,173.3405,5.773
13.68,-23.8317,-15.7005,-1.4818,66.3774,176.4072,8.9897
13.7,-23.9609,-15.5274,-1.8647,65.0837,177.0352,9.6704
13.72,-24.0766,-15.3676,-2.1802,63.9692,177.4398,10.2567
13.74,-24.1865,-15.2259,-2.4291,63.087,178.0555,11.0104
13.76,-24.2815,-15.1179,-2.6137,62.4477,178.8165,12.0251
13.78,-24.4434,-15.0186,-2.7989,61.9035,180.3411,13.8024
13.8,-24.5063,-15.0177,-2.7935,61.9662,181.0722,14.5422
13.82,-24.553,-15.047,-2.727,62.226,181.7138,15.1158
13.84,-24.5971,-15.1184,-2.5898,62.6984,182.1498,15.4378
13.86,-24.6244,-15.2286,-2.3888,63.3927,182.1812,15.3047
13.88,-24.641,-15.5315,-1.8137,65.3365,181.6105,14.2187
13.9,-24.6275,-15.7132,-1.4359,66.5644,181.0357,13.3506
13.92,-24.595,-15.9055,-0.9963,67.9468,180.2508,12.3136
13.94,-24.5527,-16.1075,-0.5027,69.504,179.3625,11.0924
13.96,-24.4931,-16.3165,0.0458,71.1991,178.1749,9.5875
13.98,-24.3315,-16.7021,1.3118,75.1046,174.4816,5.5373
14,-24.2313,-16.8988,2.0086,77.1827,171.7156,2.7139
14.02,-24.1253,-17.082,2.7439,79.2803,167.6545,358.6339
14.04,-24.0162,-17.2473,3.5071,81.3357,161.3022,352.2314
14.06,-23.8981,-17.3867,4.293,83.1779,150.4299,341.3905
14.08,-23.6497,-17.5859,5.8867,85.2118,107.4253,298.4072
14.1,-23.5358,-17.6348,6.6786,84.7975,80.6861,271.7427
14.12,-23.4183,-17.6679,7.4522,83.5687,62.598,253.5782
14.14,-23.3108,-17.6573,8.1997,82.0352,50.4615,241.3335
14.16,-23.2162,-17.6238,8.9089,80.4122,42.0734,232.7326
14.18,-23.0691,-17.4207,10.1889,77.075,31.5591,221.5739
14.2,-23.0202,-17.3116,10.7339,75.5791,28.7993,218.272
14.22,-22.952,-17.1868,11.2253,74.1404,27.0536,215.9978
14.24,-22.9118,-17.0571,11.6498,72.7586,26.1154,214.5288
14.26,-22.8669,-16.9347,12.0043,71.6138,25.9464,213.8374
14.28,-22.7503,-16.7476,12.5177,69.8943,25.8742,213.8655
14.3,-22.6951,-16.6928,12.6575,69.3955,26.1764,214.577
14.32,-22.627,-16.6413,12.7537,69.0012,26.2651,215.2727
14.34,-22.5685,-16.6198,12.7791,68.8104,26.3968,216.0214
14.36,-22.5137,-16.6242,12.7484,68.805,26.5551,216.9339
14.38,-22.3662,-16.6816,12.5149,69.2807,27.8325,220.1042
14.4,-22.2756,-16.7303,12.3204,69.5938,29.6491,223.8664
14.42,-22.1772,-16.8069,12.0839,69.8214,31.1602,228.1168
14.44,-22.1354,-16.8885,11.809,70.7168,32.8344,229.0411
14.46,-22.0785,-16.9784,11.4922,71.2959,34.5199,232.4582
14.48,-21.9745,-17.1926,10.78,73.0406,39.6556,238.7677
14.5,-21.9441,-17.2928,10.369,73.8878,43.0241,242.6249
14.52,-21.9326,-17.3863,9.9125,74.8019,46.7361,246.9373
14.54,-21.9004,-17.4448,9.4385,75.7774,51.1064,251.6155
14.56,-21.9017,-17.492,8.928,76.8276,55.7663,256.5037
14.58,-21.9238,-17.61,7.8385,78.6245,68.6131,270.1976
14.6,-21.9413,-17.6782,7.2626,79.2803,77.2067,279.7588
