time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
29.22,1.8184,2.446,-5.4719,64.3194,166.8166,21.1245
29.24,1.422,1.7351,-3.7774,70.2053,168.397,24.2094
29.26,1.2053,1.4182,-2.854,73.2682,169.4979,25.9544
29.28,0.9837,1.1443,-1.8913,76.4749,171.5619,28.6061
29.3,0.7514,0.9155,-0.894,79.6895,174.9036,32.5953
29.32,0.28,0.6215,1.1622,85.7614,194.5527,53.5201
29.34,0.0491,0.5486,2.1904,88.1409,223.3215,83.1015
29.36,-0.1771,0.5246,3.2076,87.83,309.8077,170.4758
29.38,-0.4113,0.54,4.2056,84.9806,329.4992,190.9197
29.4,-0.6329,0.6299,5.1714,82.183,335.6475,197.552
29.42,-1.0428,0.9556,6.969,76.6215,341.1085,203.0654
29.44,-1.2434,1.1767,7.8042,74.0296,342.6472,204.5634
29.46,-1.4157,1.4259,8.5802,71.6058,343.8073,205.5978
29.48,-1.5687,1.705,9.2987,69.2849,344.741,206.4707
29.5,-1.7182,2.0169,9.9596,67.0353,345.307,207.0604
29.52,-1.9477,2.686,11.0769,63.0131,346.0941,207.8942
29.54,-2.0466,3.0225,11.5338,61.2761,346.3011,208.0912
29.56,-2.1161,3.3483,11.9153,59.7416,346.5078,208.226
29.58,-2.187,3.6574,12.2372,58.3893,346.5729,208.2044
29.6,-2.2376,3.9316,12.4929,57.287,346.6118,208.0763
29.62,-2.3317,4.333,12.8341,55.7936,346.4463,207.3621
29.64,-2.3479,4.4479,12.9153,55.4065,346.3896,206.8964
29.66,-2.3752,4.5204,12.9524,55.2024,346.3101,206.5891
29.68,-2.3788,4.5193,12.9321,55.2553,346.2797,206.449
29.7,-2.3575,4.473,12.8644,55.5023,346.3267,206.4158
29.72,-2.3029,4.1659,12.5366,56.8812,345.9862,205.8587
29.74,-2.2594,3.9365,12.2909,57.9207,345.6421,205.3333
29.76,-2.1986,3.6629,11.9886,59.1958,345.2939,204.8582
29.78,-2.1255,3.361,11.6227,60.6685,344.9304,204.4434
29.8,-2.0222,3.0331,11.1879,62.3772,344.6385,204.0432
29.82,-1.7741,2.3049,10.1339,66.4179,344.0846,203.6054
29.84,-1.6169,1.9196,9.5117,68.7354,343.7119,203.5359
29.86,-1.4332,1.55,8.8248,71.198,343.2459,203.4591
29.88,-1.2457,1.1873,8.0833,73.8053,342.5309,203.1807
29.9,-1.0229,0.8473,7.2767,76.5559,341.8145,202.9817
29.92,-0.5515,0.276,5.5293,82.3856,340.5945,203.0349
29.94,-0.2948,0.0707,4.5908,85.3787,339.7132,203.0633
29.96,-0.0074,-0.0506,3.6041,88.4859,341.8909,206.2305
29.98,0.2781,-0.0727,2.5863,88.4117,157.8667,22.7513
30,0.5643,-0.0015,1.537,85.2123,159.4716,24.1969
30.02,1.1359,0.3841,-0.5534,78.9862,159.1999,24.9288
30.04,1.4172,0.717,-1.5784,75.9481,159.1592,25.6537
30.06,1.6737,1.1293,-2.5816,72.9041,159.375,26.0669
30.08,1.9147,1.5973,-3.5451,69.9154,159.3059,26.3198
30.1,2.1483,2.097,-4.476,66.9243,159.5375,26.9034
30.12,2.5435,3.1323,-6.1897,61.06,159.8346,27.1733
30.14,2.7103,3.6351,-6.9639,58.2314,160.1821,27.3605
30.16,2.8669,4.121,-7.6781,55.5717,160.4758,27.7389
30.18,3.0042,4.5906,-8.3155,53.0863,160.7473,28.3442
