time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1021.6,4.3265,-1.1561,-2,0,0,40
1021.62,4.3265,-1.1561,-2,0,0,40
1021.64,4.3265,-1.1561,-2,0,0,40
1021.66,4.3265,-1.1561,-2,0,0,40
1021.68,4.3265,-1.1561,-2,0,0,40
1021.7,4.3265,-1.1561,-2,0,0,40
1021.72,4.3265,-1.1561,-2,0,0,40
1021.74,4.3265,-1.1561,-2,0,0,40
1021.76,4.3265,-1.1561,-2,0,0,40
1021.78,4.3265,-1.1561,-2,0,0,40
1021.8,4.3265,-1.1561,-2,0,0,40
1021.82,4.3265,-1.1561,-2,0,0,40
1021.84,4.3265,-1.1561,-2,0,0,40
1021.86,4.3265,-1.1561,-2,0,0,40
1021.88,4.3265,-1.1561,-2,0,0,40
1021.9,4.3265,-1.1561,-2,0,0,40
1021.92,4.3265,-1.1561,-2,0,0,40
1021.94,4.3265,-1.1561,-2,0,0,40
1021.96,4.3265,-1.1561,-2,0,0,40
1021.98,4.3265,-1.1561,-2,0,0,40
1022,4.3265,-1.1561,-2,0,0,40
1022.02,4.3265,-1.1561,-2,0,0,40
1022.04,4.3265,-1.1561,-2,0,0,40
1022.06,4.3265,-1.1561,-2,0,0,40
1022.08,4.3265,-1.1561,-2,0,0,40
1022.1,4.3265,-1.1561,-2,0,0,40
1022.12,4.3265,-1.1561,-2,0,0,40
1022.14,4.3265,-1.1561,-2,0,0,40
1022.16,4.3265,-1.1561,-2,0,0,40
1022.18,4.3265,-1.1561,-2,0,0,40
1022.2,4.3265,-1.1561,-2,0,0,40
1022.22,4.3265,-1.1561,-2,0,0,40
1022.24,4.3265,-1.1561,-2,0,0,40
1022.26,4.3265,-1.1561,-2,0,0,40
1022.28,4.3265,-1.1561,-2,0,0,40
1022.3,4.3265,-1.1561,-2,0,0,40
1022.32,4.3265,-1.1561,-2,0,0,40
1022.34,4.3265,-1.1561,-2,0,0,40
1022.36,4.3265,-1.1561,-2,0,0,40
1022.38,4.3265,-1.1561,-2,0,0,40
1022.4,4.3265,-1.1561,-2,0,0,40
1022.42,4.3265,-1.1561,-2,0,0,40
1022.44,4.3265,-1.1561,-2,0,0,40
1022.46,4.3265,-1.1561,-2,0,0,40
