time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.08,-0.6674,0.0561,0.3039,85.9526,219.4044,70.8096
19.1,-0.6674,0.0573,0.3039,85.9609,219.3782,70.7749
19.12,-0.6665,0.0564,0.3031,85.9608,219.2866,70.6709
19.14,-0.663,0.0537,0.3003,85.9582,219.2257,70.5989
19.16,-0.6612,0.0564,0.303,85.9681,219.2214,70.6005
19.18,-0.6583,0.0543,0.305,85.9752,219.1617,70.5492
19.2,-0.6554,0.0534,0.3059,85.9815,219.0999,70.4779
19.22,-0.6529,0.0546,0.3091,86.0016,219.1296,70.505
19.24,-0.6504,0.056,0.3116,86.022,219.1004,70.4765
19.26,-0.6475,0.0545,0.3115,86.0214,219.0154,70.3851
19.28,-0.6439,0.0519,0.3146,86.0302,219.0368,70.4043
19.3,-0.6423,0.0516,0.3153,86.0359,218.9967,70.3553
19.32,-0.6405,0.0523,0.3155,86.0467,218.9368,70.2823
19.34,-0.6401,0.0504,0.3149,86.0319,218.8874,70.22
19.36,-0.6398,0.0517,0.3156,86.0418,218.8868,70.2179
19.38,-0.6401,0.0502,0.3122,86.0212,218.8006,70.1129
19.4,-0.6417,0.0511,0.3111,86.0249,218.8797,70.1955
19.42,-0.6423,0.0515,0.3074,86.0175,218.8034,70.1143
19.44,-0.6448,0.0557,0.3084,86.0253,218.8584,70.1749
19.46,-0.6455,0.0549,0.3054,86.0163,218.8337,70.1457
19.48,-0.6497,0.0617,0.3056,86.0128,218.9117,70.1873
19.5,-0.6514,0.0659,0.3102,86.005,219.229,70.4847
19.52,-0.6509,0.0754,0.3215,86.0505,219.6734,70.7274
19.54,-0.652,0.0829,0.3437,86.0858,220.6195,71.6096
19.56,-0.6461,0.0911,0.3733,86.1556,221.4683,72.4211
19.58,-0.6285,0.0889,0.4681,86.374,224.8531,75.8627
19.6,-0.6141,0.0805,0.5308,86.5081,226.5841,77.6863
19.62,-0.5969,0.0637,0.6025,86.6712,228.7705,79.9968
19.64,-0.5797,0.0451,0.6839,86.8361,231.4863,82.8692
19.66,-0.5583,0.0291,0.7666,87.0371,234.4574,85.9578
19.68,-0.5149,-0.0009,0.933,87.4081,241.4392,93.0348
19.7,-0.4971,-0.0146,1.0146,87.5568,245.9539,97.5387
19.72,-0.4815,-0.034,1.0851,87.6651,250.0894,101.6431
19.74,-0.4691,-0.0448,1.1493,87.7639,254.5386,106.0433
19.76,-0.4545,-0.0538,1.1971,87.829,258.1113,109.5648
19.78,-0.4449,-0.0631,1.2449,87.872,262.0574,113.2526
19.8,-0.4437,-0.0621,1.2333,87.8627,261.5434,112.4574
19.82,-0.4474,-0.0481,1.2087,87.8544,259.9057,110.5977
19.84,-0.4494,-0.0273,1.1432,87.8345,256.0795,106.5074
19.86,-0.4609,-0.0034,1.0666,87.7762,251.5424,101.7482
