time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.24,4.3265,-1.1561,-2,0,0,40
12.26,3.967,-1.4375,-2,0,0,36.1134
12.28,3.8029,-1.5535,-2,0,0,34.4026
12.3,3.6059,-1.6834,-2,0,0,32.3933
12.32,3.3751,-1.8234,-2,0,0,30.0951
12.34,3.1101,-1.9691,-2,0,0,27.5208
12.36,2.8111,-2.1156,-2,0,0,24.6866
12.38,2.4791,-2.2576,-2,0,0,21.6123
12.4,2.1159,-2.3896,-2,0,0,18.322
12.42,1.7243,-2.5061,-2,0,0,14.844
12.44,1.3085,-2.6023,-2,0,0,11.2104
12.46,0.8736,-2.6738,-2,0,0,7.4573
12.48,0.4254,-2.7173,-2,0,0,3.6236
12.5,-0.0293,-2.7307,-2,0,0,359.7505
12.52,-0.4836,-2.7134,-2,0,0,355.8801
12.54,-0.9304,-2.6662,-2,0,0,352.0545
12.56,-1.3632,-2.5913,-2,0,0,348.3146
12.58,-1.7762,-2.4922,-2,0,0,344.6991
12.6,-2.1643,-2.3733,-2,0,0,341.2434
12.62,-2.5236,-2.2398,-2,0,0,337.9794
12.64,-2.8515,-2.0969,-2,0,0,334.9347
12.66,-3.1461,-1.9502,-2,0,0,332.1329
12.68,-3.4067,-1.805,-2,0,0,329.5933
12.7,-3.6331,-1.666,-2,0,0,327.3317
12.72,-3.8259,-1.5377,-2,0,0,325.3603
12.74,-3.9858,-1.4237,-2,0,0,323.6885
12.76,-4.1139,-1.3272,-2,0,0,322.3232
12.78,-4.2112,-1.2506,-2,0,0,321.2693
12.8,-4.2785,-1.1959,-2,0,0,320.5304
12.82,-4.3167,-1.1643,-2,0,0,320.1086
12.84,-4.326,-1.1564,-2,0,0,320.0049
12.86,-4.3067,-1.1726,-2,0,0,320.2196
12.88,-4.2584,-1.2124,-2,0,0,320.7523
12.9,-4.1807,-1.275,-2,0,0,321.6014
12.92,-4.0728,-1.3587,-2,0,0,322.7643
12.94,-3.9337,-1.4616,-2,0,0,324.2373
12.96,-3.7624,-1.581,-2,0,0,326.0145
12.98,-3.558,-1.7135,-2,0,0,328.0884
13,-3.3197,-1.8552,-2,0,0,330.4485
13.02,-3.0472,-2.0015,-2,0,0,333.0815
13.04,-2.7408,-2.1475,-2,0,0,335.9705
13.06,-2.4017,-2.2877,-2,0,0,339.0946
13.08,-2.032,-2.4167,-2,0,0,342.4288
13.1,-1.6347,-2.5292,-2,0,0,345.9441
13.12,-1.2142,-2.6203,-2,0,0,349.6072
13.14,-0.7758,-2.6859,-2,0,0,353.3815
13.16,-0.3256,-2.7229,-2,0,0,357.2275
13.18,0.1296,-2.7295,-2,0,0,1.1036
13.2,0.5829,-2.7055,-2,0,0,4.9678
13.22,1.0271,-2.6519,-2,0,0,8.7778
13.24,1.4561,-2.5714,-2,0,0,12.4935
13.26,1.8639,-2.4675,-2,0,0,16.0767
13.28,2.246,-2.345,-2,0,0,19.4928
13.3,2.5986,-2.2089,-2,0,0,22.7107
13.32,2.9193,-2.0647,-2,0,0,25.7038
13.34,3.2064,-1.9179,-2,0,0,28.4494
13.36,3.4595,-1.7737,-2,0,0,30.929
13.38,3.6784,-1.6367,-2,0,0,33.1277
13.4,3.8639,-1.5112,-2,0,0,35.0338
13.42,4.0167,-1.4009,-2,0,0,36.6387
13.44,4.1379,-1.3086,-2,0,0,37.9358
13.46,4.2285,-1.2367,-2,0,0,38.9205
13.48,4.2894,-1.1869,-2,0,0,39.5898
13.5,4.3212,-1.1605,-2,0,0,39.9416
13.52,4.3242,-1.1579,-2,0,0,39.9752
13.54,4.2985,-1.1794,-2,0,0,39.6903
13.56,4.2438,-1.2243,-2,0,0,39.0878
13.58,4.1595,-1.2916,-2,0,0,38.1693
13.6,4.0448,-1.3798,-2,0,0,36.9377
13.62,3.8987,-1.4866,-2,0,0,35.3972
13.64,3.7202,-1.6092,-2,0,0,33.5539
13.66,3.5084,-1.7441,-2,0,0,31.416
13.68,3.2626,-1.8872,-2,0,0,28.9945
13.7,2.9826,-2.0339,-2,0,0,26.3035
13.72,2.6689,-2.179,-2,0,0,23.3608
13.74,2.3228,-2.3173,-2,0,0,20.1882
13.76,1.9467,-2.4431,-2,0,0,16.8114
13.78,1.5439,-2.5513,-2,0,0,13.2606
13.8,1.119,-2.6371,-2,0,0,9.5698
13.82,0.6774,-2.6966,-2,0,0,5.7765
13.84,0.2255,-2.727,-2,0,0,1.9203
13.86,-0.2298,-2.7268,-2,0,0,358.0432
13.88,-0.6817,-2.6962,-2,0,0,354.1873
13.9,-1.1231,-2.6364,-2,0,0,350.3946
13.92,-1.5479,-2.5504,-2,0,0,346.7049
13.94,-1.9504,-2.442,-2,0,0,343.1556
13.96,-2.3263,-2.316,-2,0,0,339.7806
13.98,-2.672,-2.1777,-2,0,0,336.61
14,-2.9854,-2.0325,-2,0,0,333.6696
14.02,-3.2651,-1.8858,-2,0,0,330.9812
14.04,-3.5106,-1.7427,-2,0,0,328.5623
14.06,-3.7221,-1.608,-2,0,0,326.4272
14.08,-3.9003,-1.4855,-2,0,0,324.5867
14.1,-4.0461,-1.3789,-2,0,0,323.0491
14.12,-4.1605,-1.2909,-2,0,0,321.8205
14.14,-4.2445,-1.2238,-2,0,0,320.905
14.16,-4.2989,-1.1791,-2,0,0,320.3055
14.18,-4.3243,-1.1579,-2,0,0,320.0236
14.2,-4.321,-1.1606,-2,0,0,320.0602
14.22,-4.289,-1.1873,-2,0,0,320.4151
14.24,-4.2278,-1.2372,-2,0,0,321.0874
14.26,-4.1369,-1.3093,-2,0,0,322.0751
14.28,-4.0154,-1.4018,-2,0,0,323.3752
14.3,-3.8623,-1.5124,-2,0,0,324.9829
14.32,-3.6765,-1.638,-2,0,0,326.8919
14.34,-3.4572,-1.775,-2,0,0,329.0933
14.36,-3.2039,-1.9193,-2,0,0,331.5755
14.38,-2.9164,-2.0661,-2,0,0,334.3235
14.4,-2.5954,-2.2102,-2,0,0,337.3189
14.42,-2.2425,-2.3462,-2,0,0,340.5388
14.44,-1.8601,-2.4686,-2,0,0,343.9566
14.46,-1.4521,-2.5723,-2,0,0,347.5413
14.48,-1.023,-2.6526,-2,0,0,351.2581
14.5,-0.5786,-2.7059,-2,0,0,355.069
14.52,-0.1253,-2.7296,-2,0,0,358.9334
14.54,0.3299,-2.7227,-2,0,0,2.8095
14.56,0.78,-2.6854,-2,0,0,6.655
14.58,1.2183,-2.6196,-2,0,0,10.4284
14.6,1.6386,-2.5283,-2,0,0,14.0903
14.62,2.0356,-2.4156,-2,0,0,17.6037
14.64,2.4051,-2.2864,-2,0,0,20.936
14.66,2.7439,-2.1461,-2,0,0,24.058
14.68,3.0499,-2.0001,-2,0,0,26.9446
14.7,3.3221,-1.8538,-2,0,0,29.5752
14.72,3.5601,-1.7122,-2,0,0,31.9326
