time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.12,4.3265,-1.1561,-2,0,0,40
12.14,-0.6923,-2.6951,-2,0,0,354.0962
12.16,-1.1954,-2.6238,-2,0,0,349.7698
12.18,-1.6755,-2.5189,-2,0,0,345.5861
12.2,-2.1245,-2.3867,-2,0,0,341.6002
12.22,-2.5365,-2.2345,-2,0,0,337.8608
12.24,-2.9073,-2.0705,-2,0,0,334.409
12.26,-3.2344,-1.9027,-2,0,0,331.2795
12.28,-3.5168,-1.7389,-2,0,0,328.5002
12.3,-3.7548,-1.5861,-2,0,0,326.0918
12.32,-3.9495,-1.4502,-2,0,0,324.0709
12.34,-4.1022,-1.3362,-2,0,0,322.4485
12.36,-4.2145,-1.2479,-2,0,0,321.2326
12.38,-4.2878,-1.1883,-2,0,0,320.4286
12.4,-4.3229,-1.159,-2,0,0,320.0394
12.42,-4.3205,-1.1611,-2,0,0,320.0664
12.44,-4.2804,-1.1943,-2,0,0,320.5095
12.46,-4.2022,-1.2578,-2,0,0,321.3671
12.48,-4.0848,-1.3496,-2,0,0,322.6359
12.5,-3.9267,-1.4667,-2,0,0,324.3104
12.52,-3.7265,-1.6051,-2,0,0,326.3824
12.54,-3.4827,-1.7597,-2,0,0,328.8396
12.56,-3.1945,-1.9244,-2,0,0,331.6658
12.58,-2.8617,-2.0921,-2,0,0,334.8388
12.6,-2.4854,-2.2551,-2,0,0,338.3297
12.62,-2.0683,-2.4051,-2,0,0,342.1038
12.64,-1.6148,-2.5342,-2,0,0,346.1182
12.66,-1.1314,-2.635,-2,0,0,350.3233
12.68,-0.6259,-2.7016,-2,0,0,354.6643
12.7,-0.108,-2.7299,-2,0,0,359.081
12.72,0.4121,-2.7181,-2,0,0,3.5105
12.74,0.924,-2.667,-2,0,0,7.8904
12.76,1.4177,-2.5798,-2,0,0,12.159
12.78,1.8844,-2.4616,-2,0,0,16.2586
12.8,2.3173,-2.3193,-2,0,0,20.1379
12.82,2.7109,-2.1607,-2,0,0,23.7508
12.84,3.0619,-1.994,-2,0,0,27.0595
12.86,3.3687,-1.8271,-2,0,0,30.0325
12.88,3.6308,-1.6675,-2,0,0,32.6449
12.9,3.8489,-1.5217,-2,0,0,34.8784
12.92,4.0243,-1.3952,-2,0,0,36.7189
12.94,4.1584,-1.2926,-2,0,0,38.1566
12.96,4.2527,-1.2171,-2,0,0,39.1852
12.98,4.3085,-1.1711,-2,0,0,39.8004
13,4.3264,-1.1561,-2,0,0,39.9999
13.02,4.3069,-1.1724,-2,0,0,39.7831
13.04,4.2496,-1.2196,-2,0,0,39.1508
13.06,4.1536,-1.2963,-2,0,0,38.1052
13.08,4.0178,-1.4,-2,0,0,36.6506
13.1,3.8407,-1.5274,-2,0,0,34.7937
13.12,3.6208,-1.6739,-2,0,0,32.5442
13.14,3.3569,-1.8339,-2,0,0,29.9163
13.16,3.0483,-2.0009,-2,0,0,26.9291
13.18,2.6954,-2.1675,-2,0,0,23.6071
13.2,2.3001,-2.3256,-2,0,0,19.9821
13.22,1.8658,-2.467,-2,0,0,16.0931
13.24,1.3977,-2.5841,-2,0,0,11.9851
13.26,0.9031,-2.6699,-2,0,0,7.7107
13.28,0.3907,-2.7194,-2,0,0,3.3278
13.3,-0.1295,-2.7295,-2,0,0,358.8973
13.32,-0.6472,-2.6996,-2,0,0,354.4825
13.34,-1.1519,-2.6315,-2,0,0,350.1463
13.36,-1.6343,-2.5293,-2,0,0,345.9477
13.38,-2.0863,-2.3993,-2,0,0,341.9426
13.4,-2.5018,-2.2485,-2,0,0,338.1794
13.42,-2.8764,-2.0852,-2,0,0,334.7008
13.44,-3.2073,-1.9175,-2,0,0,331.5419
13.46,-3.4937,-1.753,-2,0,0,328.7305
13.48,-3.7356,-1.599,-2,0,0,326.2888
13.5,-3.9341,-1.4614,-2,0,0,324.2332
13.52,-4.0904,-1.3453,-2,0,0,322.5752
13.54,-4.2062,-1.2546,-2,0,0,321.3233
13.56,-4.2828,-1.1923,-2,0,0,320.4829
13.58,-4.3213,-1.1604,-2,0,0,320.057
13.6,-4.3222,-1.1596,-2,0,0,320.0473
