time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
20.12,0.0002,-0.0003,-0.0002,355.451,354.1513,358.6302
20.14,0.0002,-0.0003,-0.0003,355.4507,354.1515,358.6303
20.16,0.0002,-0.0003,-0.0003,355.4507,354.1515,358.6303
20.18,0.0002,-0.0003,-0.0003,355.4507,354.1515,358.6303
20.2,0.0002,-0.0003,-0.0003,355.4507,354.1515,358.6303
20.22,0.0001,-0.0003,-0.0001,355.4518,354.1513,358.6303
20.24,0.0003,-0.0002,-0.0002,355.4501,354.1516,358.6298
20.26,0.0003,-0.0004,-0.0002,355.4512,354.1517,358.6292
20.28,0,-0.0002,-0.0002,355.4502,354.1505,358.6299
20.3,0.0004,-0.0003,-0.0004,355.4503,354.1524,358.6291
20.32,0.0001,-0.0006,-0.0001,355.4529,354.1508,358.6293
20.34,0.0004,-0.0005,-0.0003,355.452,354.1528,358.6289
20.36,0.0002,-0.0003,-0.0002,355.4516,354.1519,358.6299
20.38,0.0002,-0.0001,-0.0003,355.451,354.1521,358.6306
20.4,0.0005,-0.0002,-0.0004,355.4513,354.1538,358.6306
20.42,0.0008,-0.0004,-0.0006,355.4514,354.1558,358.6293
20.44,0.0002,0.0001,-0.0004,355.4496,354.152,358.6312
20.46,0.001,-0.0009,-0.0006,355.453,354.1547,358.6279
20.48,0.0002,-0.0007,-0.0001,355.4525,354.152,358.6286
20.5,0.0004,-0.0002,-0.0004,355.4507,354.1531,358.6302
20.52,0,-0.0003,-0.0002,355.4516,354.1499,358.6305
20.54,0.0002,-0.0004,-0.0003,355.4511,354.1517,358.6295
20.56,0.0001,0.0001,-0.0004,355.449,354.1519,358.6314
20.58,0.0003,-0.0002,-0.0004,355.4512,354.1522,358.6308
20.6,0.0004,-0.0004,-0.0004,355.4521,354.153,358.6304
20.62,0.0006,-0.0002,-0.0005,355.4514,354.154,358.6305
20.64,0.0003,-0.0001,-0.0003,355.45,354.1515,358.6304
20.66,0.0003,-0.0001,-0.0004,355.4502,354.1521,358.6302
20.68,0.0004,-0.0001,-0.0004,355.4503,354.1522,358.6303
20.7,0.0006,-0.0002,-0.0005,355.4511,354.1538,358.6301
20.72,0.0007,-0.0002,-0.0005,355.4514,354.1553,358.63
20.74,0.0006,-0.0001,-0.0005,355.4512,354.1548,358.6303
20.76,0.0006,0,-0.0006,355.4506,354.1551,358.6315
20.78,0.0002,0.0003,-0.0004,355.4472,354.1521,358.632
20.8,-0.0003,0.0004,-0.0001,355.4471,354.15,358.6321
20.82,0.0002,0.0002,-0.0003,355.4489,354.1529,358.6314
20.84,0.0004,0,-0.0004,355.4495,354.1535,358.6309
20.86,0.0007,0.0001,-0.0007,355.4485,354.1544,358.6308
20.88,0.0008,-0.0002,-0.0007,355.4503,354.1551,358.6301
20.9,0.0007,-0.0002,-0.0006,355.4494,354.1537,358.6303
20.92,0.0001,-0.0001,-0.0003,355.4499,354.1508,358.6312
20.94,0.0001,0.0001,-0.0003,355.4497,354.1508,358.6317
20.96,0.0005,0.0001,-0.0005,355.4487,354.1537,358.6304
20.98,0.0012,0.0001,-0.0009,355.449,354.1567,358.6308
21,0.0003,-0.0003,-0.0003,355.4517,354.1523,358.6303
21.02,0.0001,-0.0001,-0.0002,355.4503,354.1504,358.631
21.04,0.0002,-0.0001,-0.0003,355.4501,354.1513,358.6312
21.06,0.0003,0.0001,-0.0005,355.4494,354.1524,358.6319
21.08,0.001,0.0002,-0.0008,355.4461,354.1566,358.6316
21.1,0.0003,-0.0001,-0.0003,355.4498,354.1516,358.6302
21.12,0.0004,0,-0.0004,355.4488,354.1519,358.6298
21.14,0.0004,0.0001,-0.0004,355.4486,354.1522,358.631
21.16,-0.0002,0.0002,-0.0001,355.4485,354.1499,358.6318
21.18,0.0005,-0.0001,-0.0005,355.4495,354.1529,358.6306
21.2,0.0005,-0.0003,-0.0003,355.4509,354.1537,358.6296
21.22,0.0004,-0.0001,-0.0003,355.4503,354.1531,358.6303
21.24,0.0006,-0.0001,-0.0005,355.4503,354.154,358.6303
21.26,0.0002,-0.0001,-0.0002,355.4503,354.1518,358.6311
21.28,0.0004,0.0002,-0.0004,355.4487,354.1532,358.6317
21.3,0.0006,0.0001,-0.0006,355.448,354.1535,358.6305
21.32,0.0012,-0.0006,-0.0007,355.4549,354.1584,358.6279
21.34,0.0005,-0.0002,-0.0004,355.4512,354.1534,358.6313
21.36,-0.0002,0,0,355.4498,354.1496,358.6309
21.38,0.0004,0.0003,-0.0004,355.4484,354.1515,358.6314
21.4,0.0002,-0.0006,-0.0002,355.4521,354.1511,358.6285
21.42,0.0002,-0.0007,-0.0001,355.4529,354.1513,358.629
21.44,0.0002,-0.0005,-0.0002,355.4521,354.1514,358.6287
21.46,-0.0002,-0.0002,0,355.4512,354.1501,358.6309
21.48,-0.0004,-0.0003,0.0001,355.4521,354.1487,358.6308
21.5,0,0,-0.0002,355.4508,354.151,358.6311
21.52,-0.0008,-0.0001,0.0003,355.4502,354.1456,358.6321
21.54,0,-0.0004,-0.0001,355.4515,354.1503,358.6297
21.56,0.0001,-0.0001,-0.0003,355.4495,354.1511,358.6304
21.58,-0.0002,0,-0.0002,355.4495,354.1495,358.631
21.6,-0.0001,-0.0003,-0.0001,355.4515,354.1499,358.6301
21.62,0,-0.0001,-0.0003,355.4504,354.1508,358.6309
21.64,0,-0.0001,-0.0002,355.4507,354.1503,358.6312
21.66,0.0001,-0.0003,-0.0002,355.4527,354.1503,358.6316
21.68,0,0,-0.0003,355.4507,354.1504,358.6317
21.7,0.0001,-0.0001,-0.0002,355.45,354.1502,358.6304
21.72,-0.0002,0,-0.0001,355.4495,354.1488,358.6308
21.74,-0.0001,-0.0002,-0.0001,355.4513,354.1495,358.631
21.76,0.0004,0.0001,-0.0007,355.4498,354.1522,358.6306
21.78,-0.0001,0.0001,-0.0003,355.4498,354.1501,358.6313
21.8,-0.0003,-0.0003,0,355.4525,354.149,358.6306
21.82,0,-0.0002,-0.0002,355.4513,354.1502,358.6306
21.84,-0.0002,-0.0005,-0.0001,355.4528,354.1495,358.6302
21.86,-0.0003,-0.0001,0,355.4514,354.1497,358.6312
21.88,0.0002,-0.0004,-0.0003,355.4525,354.1523,358.6304
21.9,0.0003,0,-0.0005,355.4506,354.1523,358.631
21.92,0.0004,-0.0004,-0.0003,355.4531,354.1535,358.6303
21.94,0.0002,-0.0004,-0.0002,355.4525,354.152,358.6297
21.96,0.0004,-0.0006,-0.0003,355.4524,354.1525,358.6293
21.98,0.0003,-0.0004,-0.0004,355.4502,354.1513,358.6297
22,0.0001,-0.0005,-0.0001,355.4516,354.1507,358.6292
22.02,0.0001,-0.0002,-0.0003,355.4503,354.1507,358.6301
22.04,0,-0.0002,-0.0002,355.4511,354.1508,358.6313
22.06,0.0002,-0.0005,-0.0002,355.4526,354.1513,358.6294
22.08,-0.0004,-0.0003,0.0002,355.4517,354.1485,358.6308
22.1,0.001,-0.0007,-0.0008,355.4531,354.1556,358.6287
22.12,0.0003,-0.0004,-0.0004,355.4529,354.1519,358.6297
22.14,0.0003,-0.0003,-0.0003,355.4517,354.1519,358.6302
22.16,0.0004,-0.0008,-0.0004,355.4542,354.1526,358.6293
22.18,-0.0004,-0.0007,0.0002,355.4538,354.1493,358.6306
22.2,-0.0005,0,0,355.4493,354.1485,358.6318
22.22,-0.0001,-0.0002,-0.0002,355.4519,354.1504,358.6306
22.24,-0.0001,0.0001,-0.0002,355.4499,354.1501,358.6315
22.26,-0.0002,0,-0.0002,355.4503,354.1497,358.6316
22.28,0.0001,-0.0003,-0.0001,355.4511,354.1508,358.6296
22.3,-0.0003,-0.0003,0,355.4521,354.1485,358.6301
22.32,-0.0002,-0.0003,0,355.4518,354.149,358.6304
22.34,-0.0001,-0.0003,0,355.4512,354.1498,358.6301
22.36,0.0003,-0.0002,-0.0003,355.4504,354.1522,358.6297
22.38,0.0009,-0.0002,-0.0006,355.4495,354.1559,358.6284
22.4,0.0007,-0.0005,-0.0005,355.4513,354.1544,358.6284
22.42,0,-0.0003,-0.0003,355.4504,354.1512,358.6305
22.44,0.0004,-0.0003,-0.0005,355.4504,354.1527,358.6297
22.46,0.0008,-0.0005,-0.0006,355.4518,354.1549,358.6284
22.48,0.0004,-0.0006,-0.0004,355.4526,354.1529,358.6284
22.5,0.0001,-0.0005,-0.0002,355.4522,354.152,358.6295
22.52,0.0014,-0.0004,-0.0009,355.4528,354.1589,358.6303
22.54,0.0006,-0.0004,-0.0004,355.4519,354.1541,358.6299
22.56,0.0005,-0.0002,-0.0006,355.451,354.1534,358.6306
22.58,-0.0001,-0.0007,-0.0001,355.4531,354.1511,358.6299
22.6,0.0005,-0.0004,-0.0005,355.4525,354.1536,358.6295
22.62,0.0008,-0.0003,-0.0006,355.451,354.155,358.6289
22.64,0.0007,-0.0002,-0.0007,355.4504,354.1547,358.6297
22.66,0.0005,-0.0003,-0.0005,355.4518,354.1529,358.6299
22.68,0.0005,-0.0004,-0.0005,355.4525,354.1534,358.6298
22.7,0.0003,-0.0005,-0.0004,355.4525,354.1526,358.6291
22.72,0.0006,-0.0004,-0.0005,355.4513,354.1544,358.6287
22.74,0.0005,-0.0002,-0.0006,355.4503,354.1543,358.6299
22.76,0.0007,-0.0006,-0.0006,355.4523,354.1547,358.6282
22.78,0.0003,-0.0003,-0.0004,355.4513,354.1531,358.631
22.8,0.0006,-0.0005,-0.0004,355.451,354.1535,358.6285
22.82,0.0008,-0.0005,-0.0005,355.4515,354.1549,358.6282
22.84,0.0008,-0.0004,-0.0007,355.4514,354.1559,358.6287
22.86,0.0007,-0.0007,-0.0005,355.4544,354.1562,358.6286
22.88,0.0005,-0.0005,-0.0004,355.4521,354.1539,358.6289
22.9,0.0005,-0.0007,-0.0004,355.4526,354.153,358.6285
22.92,0.0004,-0.0005,-0.0004,355.4511,354.1524,358.6287
22.94,0.0004,-0.0002,-0.0005,355.4497,354.153,358.6293
22.96,0.0005,-0.0005,-0.0004,355.4515,354.1531,358.6289
22.98,0.0008,0.0001,-0.0007,355.4481,354.1556,358.6306
23,0.0006,-0.0005,-0.0005,355.4521,354.1547,358.6286
23.02,0.0009,-0.0003,-0.0007,355.4502,354.1558,358.6292
23.04,0.0007,-0.0004,-0.0006,355.4513,354.1546,358.6293
23.06,0.0013,-0.0009,-0.0008,355.4551,354.1576,358.6278
23.08,0.0004,-0.0003,-0.0005,355.4501,354.1532,358.6289
23.1,0.0005,-0.0006,-0.0004,355.452,354.1538,358.6291
23.12,0.0003,-0.0006,-0.0003,355.4522,354.1523,358.6292
23.14,0.0004,-0.0004,-0.0004,355.4512,354.1529,358.6298
23.16,0.0003,-0.0003,-0.0004,355.4506,354.1525,358.6294
23.18,0.0004,-0.0002,-0.0004,355.4498,354.153,358.6298
23.2,0.0003,-0.0004,-0.0003,355.452,354.1523,358.6303
23.22,0.0001,-0.0001,-0.0003,355.4503,354.1528,358.6308
23.24,0.0003,-0.0002,-0.0003,355.4512,354.1527,358.6302
23.26,0.0004,-0.0003,-0.0004,355.4501,354.1531,358.63
23.28,0.0006,-0.0002,-0.0006,355.4501,354.1535,358.63
23.3,0.0007,-0.0005,-0.0005,355.4514,354.1548,358.6288
23.32,0.0008,-0.0004,-0.0006,355.4518,354.1552,358.6293
23.34,0.0005,-0.0004,-0.0005,355.4508,354.1536,358.6296
23.36,-0.0001,-0.0005,-0.0001,355.4524,354.1502,358.6295
23.38,0.0004,-0.0006,-0.0004,355.452,354.1528,358.6293
23.4,0.0005,-0.0001,-0.0006,355.4514,354.1544,358.6302
23.42,0.0006,-0.0002,-0.0006,355.4507,354.1541,358.6302
23.44,0.0005,-0.0001,-0.0007,355.4497,354.1541,358.6303
23.46,-0.0006,0.0001,0.0001,355.4493,354.1485,358.6311
23.48,0.0006,-0.0002,-0.0006,355.4501,354.154,358.6291
23.5,0.0003,0,-0.0005,355.4496,354.1531,358.6304
23.52,0.0003,0,-0.0004,355.4498,354.1528,358.6303
23.54,0.0003,0,-0.0005,355.4492,354.1535,358.6303
23.56,0.0008,-0.0003,-0.0007,355.4507,354.155,358.6297
23.58,0.0011,0.0004,-0.001,355.4449,354.1569,358.6311
23.6,0.0007,-0.0002,-0.0006,355.4502,354.1545,358.6296
23.62,-0.0005,-0.0002,0,355.4519,354.1495,358.632
23.64,0.0006,0.0002,-0.0008,355.4481,354.154,358.6314
23.66,0.0003,0.0002,-0.0005,355.4478,354.1536,358.631
23.68,0.0005,0.0002,-0.0006,355.4484,354.1539,358.631
23.7,0.0003,0.0003,-0.0005,355.4479,354.1527,358.6314
23.72,0.0003,0,-0.0005,355.4487,354.1523,358.6306
23.74,0.0004,-0.0002,-0.0004,355.45,354.1526,358.6294
23.76,0.0005,-0.0001,-0.0005,355.4496,354.1538,358.6297
23.78,0.0005,-0.0002,-0.0005,355.4496,354.1538,358.6292
23.8,0.0005,-0.0001,-0.0007,355.45,354.1535,358.6307
23.82,0.0002,0,-0.0004,355.4484,354.152,358.6306
23.84,0.0003,0.0001,-0.0005,355.4479,354.1525,358.63
23.86,0.0004,-0.0001,-0.0006,355.4494,354.1534,358.6301
23.88,0.0007,0.0001,-0.0007,355.4491,354.1547,358.6303
23.9,0.0003,-0.0001,-0.0004,355.4489,354.1527,358.6302
23.92,0.0006,-0.0002,-0.0005,355.45,354.1533,358.6303
23.94,0.0004,-0.0002,-0.0004,355.4503,354.1524,358.6301
23.96,0.0003,-0.0002,-0.0004,355.4503,354.1516,358.6309
23.98,0.0004,0.0002,-0.0006,355.4483,354.153,358.6308
24,0.0006,-0.0003,-0.0006,355.4503,354.1532,358.6299
24.02,0.0006,-0.0003,-0.0006,355.4502,354.1547,358.6298
24.04,0.0006,-0.0002,-0.0006,355.4507,354.155,358.6305
24.06,-0.0005,0.0002,-0.0001,355.4488,354.1487,358.6311
24.08,0.0001,-0.0004,-0.0004,355.4511,354.1512,358.6298
24.1,0.001,0,-0.001,355.448,354.1555,358.6302
24.12,0.0004,-0.0003,-0.0005,355.451,354.1533,358.6295
24.14,0.0003,-0.0002,-0.0004,355.4501,354.1527,358.6298
24.16,0.0006,0,-0.0006,355.4495,354.1541,358.6308
24.18,0.001,0,-0.0009,355.4489,354.1544,358.6306
24.2,0.0005,0.0003,-0.0007,355.447,354.1537,358.6309
24.22,0.0001,0.0001,-0.0004,355.4486,354.1517,358.6306
24.24,0.0004,0.0001,-0.0006,355.449,354.153,358.6306
24.26,0.0004,-0.0001,-0.0005,355.4501,354.1535,358.6299
24.28,0.0003,-0.0001,-0.0004,355.4505,354.1528,358.63
24.3,0.0001,0.0002,-0.0003,355.4485,354.1523,358.631
24.32,0.0002,0,-0.0003,355.4495,354.1518,358.6306
24.34,0.0003,-0.0001,-0.0005,355.45,354.1526,358.6303
24.36,0.0001,0.0003,-0.0004,355.4485,354.152,358.631
24.38,0.0002,0.0002,-0.0004,355.4487,354.1521,358.6304
24.4,0.0004,-0.0003,-0.0005,355.4524,354.1524,358.6292
24.42,0.0003,-0.0002,-0.0005,355.4506,354.1521,358.63
24.44,0.0002,-0.0005,-0.0003,355.4518,354.1516,358.6294
24.46,0.0003,-0.0006,-0.0004,355.4524,354.1524,358.629
24.48,0,-0.0004,-0.0003,355.4517,354.1506,358.6292
24.5,0.0003,-0.0004,-0.0004,355.4514,354.1527,358.6294
24.52,0.0001,-0.0002,-0.0003,355.451,354.1512,358.6302
24.54,0.0007,-0.0005,-0.0006,355.4518,354.1541,358.6293
24.56,0,-0.0003,-0.0003,355.4517,354.1516,358.6299
24.58,-0.0001,-0.0004,-0.0002,355.4522,354.1506,358.63
24.6,0,-0.0002,-0.0003,355.4501,354.1508,358.6306
24.62,-0.0001,0,-0.0004,355.4498,354.1506,358.631
24.64,-0.0001,0,-0.0003,355.4495,354.1501,358.6313
24.66,0.0002,-0.0004,-0.0005,355.4514,354.152,358.6304
24.68,0,-0.0002,-0.0003,355.4502,354.1509,358.6306
24.7,-0.0005,-0.0005,0.0001,355.4512,354.1483,358.6288
24.72,0.0002,0.0001,-0.0004,355.4489,354.1526,358.6301
24.74,0.0004,-0.0001,-0.0006,355.4489,354.154,358.6301
24.76,0,0.0002,-0.0004,355.4487,354.1508,358.6322
24.78,-0.0003,-0.0003,-0.0001,355.4523,354.1487,358.6308
24.8,-0.0005,-0.0004,0.0001,355.4524,354.1476,358.6305
24.82,-0.0002,-0.0004,-0.0001,355.452,354.1494,358.6303
24.84,-0.0001,-0.0002,-0.0002,355.4502,354.1498,358.6304
24.86,0.0001,-0.0004,-0.0003,355.4529,354.151,358.63
24.88,0.0001,-0.0002,-0.0003,355.4515,354.1515,358.6302
24.9,-0.0001,-0.0005,-0.0001,355.4536,354.15,358.6292
24.92,0.001,-0.0001,-0.0009,355.4514,354.1555,358.6303
24.94,0.0001,0.0003,-0.0004,355.4489,354.1519,358.6318
24.96,-0.0004,-0.0001,0,355.4509,354.1485,358.6317
24.98,0.0002,-0.0001,-0.0004,355.4498,354.1519,358.6308
25,0.0001,0,-0.0004,355.4499,354.1513,358.631
25.02,-0.0011,-0.0002,0.0003,355.4507,354.1453,358.6313
25.04,-0.0003,-0.0003,0,355.4516,354.1485,358.6313
25.06,0,-0.0004,-0.0002,355.4531,354.1507,358.6308
25.08,0.0002,-0.0002,-0.0004,355.4515,354.1519,358.6315
25.1,0,-0.0002,-0.0003,355.45,354.1509,358.631
25.12,-0.0005,-0.0004,0.0001,355.4513,354.1482,358.6306
25.14,-0.0001,-0.0004,-0.0001,355.451,354.1491,358.6297
25.16,-0.0001,-0.0001,-0.0002,355.45,354.1494,358.6307
25.18,-0.0001,-0.0001,-0.0002,355.45,354.15,358.6306
25.2,0.0001,-0.0004,-0.0003,355.4506,354.1515,358.6295
