time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
358.64,4.3265,-1.1561,-2,0,0,40
358.66,-2.2672,-2.3374,-2,0,0,340.3153
358.68,-2.699,-2.1659,-2,0,0,336.36
358.7,-3.0804,-1.9845,-2,0,0,332.7638
358.72,-3.4087,-1.8038,-2,0,0,329.5733
358.74,-3.6849,-1.6324,-2,0,0,326.8058
358.76,-3.9094,-1.479,-2,0,0,324.4916
358.78,-4.0837,-1.3504,-2,0,0,322.6468
358.8,-4.21,-1.2516,-2,0,0,321.2823
358.82,-4.2899,-1.1865,-2,0,0,320.4053
358.84,-4.3247,-1.1576,-2,0,0,320.0197
358.86,-4.3151,-1.1656,-2,0,0,320.1262
358.88,-4.2609,-1.2104,-2,0,0,320.725
358.9,-4.1611,-1.2904,-2,0,0,321.8137
358.92,-4.0143,-1.4027,-2,0,0,323.3873
358.94,-3.8184,-1.5428,-2,0,0,325.437
358.96,-3.5718,-1.7049,-2,0,0,327.9499
358.98,-3.2727,-1.8816,-2,0,0,330.907
359,-2.9216,-2.0636,-2,0,0,334.2744
359.02,-2.518,-2.242,-2,0,0,338.0316
359.04,-2.0657,-2.406,-2,0,0,342.1274
359.06,-1.5704,-2.545,-2,0,0,346.5074
359.08,-1.0404,-2.6499,-2,0,0,351.1076
359.1,-0.4864,-2.7132,-2,0,0,355.8558
359.12,0.0779,-2.7303,-2,0,0,0.6634
359.14,0.6416,-2.7001,-2,0,0,5.47
359.16,1.1902,-2.6247,-2,0,0,10.1848
359.18,1.7115,-2.5095,-2,0,0,14.7309
359.2,2.1956,-2.3626,-2,0,0,19.0383
359.22,2.6348,-2.1936,-2,0,0,23.0453
359.24,3.0243,-2.0131,-2,0,0,26.7004
359.26,3.3608,-1.8316,-2,0,0,29.9554
359.28,3.6453,-1.6582,-2,0,0,32.7917
359.3,3.8777,-1.5015,-2,0,0,35.1779
359.32,4.0598,-1.3686,-2,0,0,37.0968
359.34,4.1934,-1.2649,-2,0,0,38.5367
359.36,4.2804,-1.1944,-2,0,0,39.4901
359.38,4.3222,-1.1596,-2,0,0,39.9526
359.4,4.3195,-1.1619,-2,0,0,39.9228
359.42,4.2723,-1.201,-2,0,0,39.4008
359.44,4.1797,-1.2757,-2,0,0,38.3882
359.46,4.0403,-1.3832,-2,0,0,36.8899
359.48,3.8523,-1.5193,-2,0,0,34.9137
359.5,3.6137,-1.6784,-2,0,0,32.472
359.52,3.3235,-1.853,-2,0,0,29.5893
359.54,2.9799,-2.0352,-2,0,0,26.2784
359.56,2.5842,-2.2149,-2,0,0,22.5783
359.58,2.1393,-2.3818,-2,0,0,18.5319
359.6,1.6502,-2.5253,-2,0,0,14.1923
359.62,1.125,-2.6361,-2,0,0,9.6218
359.64,0.574,-2.7063,-2,0,0,4.8918
359.66,0.0105,-2.7308,-2,0,0,0.0897
359.68,-0.5543,-2.7079,-2,0,0,355.276
359.7,-1.1061,-2.6393,-2,0,0,350.5417
359.72,-1.6324,-2.5298,-2,0,0,345.9644
359.74,-2.1228,-2.3872,-2,0,0,341.6155
359.76,-2.5695,-2.221,-2,0,0,337.558
359.78,-2.9669,-2.0416,-2,0,0,333.845
359.8,-3.3117,-1.8597,-2,0,0,330.5264
359.82,-3.6044,-1.6843,-2,0,0,327.6218
359.84,-3.8448,-1.5246,-2,0,0,325.1641
359.86,-4.0346,-1.3875,-2,0,0,323.1714
359.88,-4.1756,-1.279,-2,0,0,321.6561
359.9,-4.2698,-1.2031,-2,0,0,320.6264
359.92,-4.3186,-1.1626,-2,0,0,320.0872
359.94,-4.3228,-1.1591,-2,0,0,320.0401
359.96,-4.2826,-1.1925,-2,0,0,320.4854
359.98,-4.1972,-1.2618,-2,0,0,321.4216
360,-4.0652,-1.3644,-2,0,0,322.8446
360.02,-3.8849,-1.4964,-2,0,0,324.7469
360.04,-3.6543,-1.6524,-2,0,0,327.117
360.06,-3.3724,-1.825,-2,0,0,329.9315
360.08,-3.037,-2.0066,-2,0,0,333.1784
360.1,-2.6493,-2.1874,-2,0,0,336.8204
360.12,-2.2118,-2.357,-2,0,0,340.8159
360.14,-1.7291,-2.5049,-2,0,0,345.1137
360.16,-1.209,-2.6213,-2,0,0,349.6526
360.18,-0.6612,-2.6982,-2,0,0,354.3627
360.2,-0.099,-2.73,-2,0,0,359.1573
360.22,0.4667,-2.7146,-2,0,0,3.9761
360.24,1.0214,-2.6528,-2,0,0,8.728
360.26,1.5524,-2.5493,-2,0,0,13.3347
360.28,2.049,-2.4113,-2,0,0,17.7235
360.3,2.5029,-2.2481,-2,0,0,21.8303
360.32,2.9083,-2.07,-2,0,0,25.6002
360.34,3.2613,-1.8879,-2,0,0,28.9817
360.36,3.5622,-1.7109,-2,0,0,31.9538
360.38,3.8107,-1.5482,-2,0,0,34.4827
360.4,4.0082,-1.4072,-2,0,0,36.5489
360.42,4.1568,-1.2938,-2,0,0,38.1393
360.44,4.2581,-1.2126,-2,0,0,39.2451
360.46,4.3139,-1.1666,-2,0,0,39.8603
360.48,4.3251,-1.1572,-2,0,0,39.9849
360.5,4.2918,-1.1849,-2,0,0,39.6165
360.52,4.2136,-1.2487,-2,0,0,38.7567
360.54,4.089,-1.3464,-2,0,0,37.4092
