time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
23.92,0.0005,-0.0002,-0.0002,357.8504,359.7944,359.5172
23.94,0.0002,-0.0001,-0.0001,357.8508,359.7926,359.5182
23.96,0.0004,-0.0004,-0.0002,357.8523,359.7942,359.5176
23.98,-0.0002,0.0001,0.0002,357.8503,359.7891,359.5193
24,0.0001,0.0001,-0.0001,357.8489,359.7915,359.5183
24.02,0.0013,-0.0004,-0.0009,357.8503,359.7986,359.5141
24.04,-0.0001,-0.0001,0,357.8515,359.7909,359.5187
24.06,0.0011,-0.0004,-0.0007,357.8517,359.7971,359.5169
24.08,-0.0001,-0.0001,0.0002,357.8507,359.7901,359.5186
24.1,0.0002,0,-0.0001,357.85,359.7923,359.5181
24.12,-0.0001,-0.0001,0.0002,357.8504,359.7906,359.5178
24.14,0.0001,0.0002,-0.0001,357.8494,359.7922,359.5186
24.16,0,0.0003,-0.0001,357.849,359.7914,359.5185
24.18,0.0004,-0.0004,-0.0001,357.8524,359.7917,359.5176
24.2,0.0002,0,0,357.8514,359.7908,359.5193
24.22,-0.0001,-0.0002,0.0002,357.8524,359.7895,359.5187
24.24,0,-0.0002,0.0001,357.8509,359.7905,359.518
24.26,-0.0005,0,0.0003,357.8504,359.7882,359.5189
24.28,-0.0005,0.0003,0.0002,357.8492,359.7879,359.5195
24.3,0.0013,-0.0003,-0.0009,357.85,359.7987,359.5161
24.32,-0.0013,0.0009,0.0006,357.8466,359.7844,359.5229
24.34,-0.0004,0.0001,0.0002,357.8498,359.789,359.5186
24.36,-0.0002,0,0.0001,357.8504,359.7898,359.5191
24.38,-0.0006,-0.0002,0.0004,357.8518,359.7861,359.5193
24.4,-0.0002,0.0001,0.0001,357.8502,359.7895,359.5194
24.42,0.0006,-0.0001,-0.0004,357.8496,359.794,359.5169
24.44,0,-0.0002,0,357.8501,359.7909,359.5164
24.46,0,0,0,357.8499,359.7908,359.5174
24.48,0.0017,-0.0004,-0.0013,357.851,359.8001,359.5157
24.5,-0.0008,0.0002,0.0004,357.8496,359.7847,359.5205
24.52,0,0.0002,0,357.8487,359.7905,359.5179
24.54,0.0001,0.0001,-0.0001,357.8497,359.7913,359.5185
24.56,-0.0001,-0.0002,0,357.8511,359.7899,359.5183
24.58,0.0002,-0.0002,0,357.8518,359.7918,359.5177
24.6,-0.0002,0.0001,0.0001,357.8498,359.79,359.5189
24.62,-0.0016,0.001,0.0012,357.847,359.7817,359.5229
24.64,-0.0004,0.0004,0.0001,357.8485,359.7889,359.5205
24.66,-0.0002,0,0.0001,357.8502,359.7896,359.5186
24.68,-0.0003,0.0001,0.0003,357.8501,359.7891,359.5183
24.7,0.0001,0.0001,-0.0001,357.85,359.7917,359.5182
24.72,0.0003,-0.0001,-0.0002,357.8511,359.7939,359.5164
24.74,0.0002,0.0001,-0.0002,357.8494,359.7931,359.5181
24.76,-0.0007,0.0003,0.0004,357.8491,359.7867,359.5198
24.78,0.0001,0.0001,-0.0001,357.8498,359.7912,359.5187
24.8,0.0002,0.0001,-0.0002,357.8498,359.7919,359.5184
24.82,0.0006,0.0002,-0.0006,357.8491,359.7939,359.5186
24.84,-0.0002,0.0003,0,357.8492,359.7892,359.5201
24.86,-0.0001,-0.0001,0,357.8505,359.7893,359.5185
24.88,0.0001,0.0002,-0.0001,357.8499,359.7918,359.5192
24.9,0.0002,0.0001,-0.0001,357.851,359.7912,359.5191
24.92,0.0005,-0.0005,-0.0002,357.8531,359.7934,359.5164
24.94,0.0004,-0.0003,-0.0002,357.8518,359.7929,359.5166
24.96,-0.0005,-0.0002,0.0003,357.8516,359.787,359.5185
24.98,0.0002,-0.0002,-0.0002,357.8511,359.7918,359.5173
25,0.0003,-0.0001,-0.0003,357.8506,359.793,359.5179
25.02,0.0002,-0.0001,-0.0002,357.8505,359.7926,359.5182
25.04,0.0001,0,-0.0001,357.8504,359.7917,359.5185
25.06,0.0004,0,-0.0002,357.8512,359.7929,359.5183
25.08,0.0003,0.0003,-0.0003,357.8487,359.7938,359.5186
25.1,0.0001,0.0003,-0.0002,357.8488,359.7919,359.5195
25.12,-0.0001,0.0002,0,357.8492,359.7901,359.5191
25.14,0.0002,-0.0002,-0.0001,357.8513,359.792,359.5176
25.16,0,0,-0.0001,357.8495,359.791,359.5179
25.18,0.0001,0,-0.0001,357.8496,359.7902,359.5184
25.2,-0.0004,0.0002,0.0003,357.8497,359.7887,359.5188
25.22,0.0001,0.0003,-0.0001,357.8493,359.7907,359.5202
25.24,0.0001,-0.0002,-0.0001,357.8508,359.7909,359.5182
25.26,0.0006,-0.0001,-0.0005,357.8504,359.7955,359.5183
25.28,0.0004,-0.0002,-0.0004,357.8502,359.7936,359.5173
25.3,0.0002,-0.0002,-0.0002,357.8509,359.7922,359.5181
25.32,0.0003,0.0002,-0.0002,357.8497,359.793,359.518
25.34,0,0.0003,-0.0001,357.8493,359.7914,359.5192
25.36,-0.0008,0.0004,0.0004,357.8482,359.7868,359.5199
25.38,0.0002,0,-0.0002,357.8498,359.7919,359.5183
25.4,-0.0003,0,0.0001,357.8504,359.7894,359.519
25.42,-0.0007,0.0003,0.0003,357.8504,359.7866,359.5215
25.44,-0.0004,0.0005,0.0001,357.8483,359.7883,359.521
25.46,0.0006,0.0001,-0.0005,357.8501,359.7939,359.5193
25.48,0.0006,-0.0001,-0.0003,357.8507,359.7935,359.5173
25.5,0.0005,0.0001,-0.0003,357.8499,359.7936,359.5183
25.52,-0.0015,0.0006,0.0011,357.8475,359.7833,359.5198
25.54,0.0001,-0.0001,0,357.8504,359.7899,359.5184
25.56,0.0001,-0.0001,-0.0001,357.851,359.7914,359.518
25.58,-0.0001,0.0001,0.0001,357.8506,359.7895,359.519
25.6,0.0005,0.0002,-0.0005,357.8492,359.7954,359.518
25.62,0.0009,-0.0003,-0.0006,357.8518,359.7963,359.5175
25.64,0.0007,-0.0002,-0.0005,357.8512,359.7959,359.5167
25.66,0.0003,0,-0.0003,357.8499,359.7938,359.5181
25.68,0.0009,-0.0004,-0.0006,357.8515,359.7974,359.5167
25.7,0.0011,-0.0006,-0.0007,357.8533,359.7982,359.5164
25.72,0.0003,-0.0003,-0.0001,357.8528,359.7918,359.5177
25.74,0.0004,-0.0003,-0.0002,357.8519,359.7938,359.5171
25.76,-0.0007,0.0002,0.0005,357.8501,359.7872,359.5206
25.78,-0.0005,0,0.0004,357.8513,359.7874,359.5198
25.8,-0.0013,0.0002,0.001,357.8509,359.7831,359.5207
25.82,0,0,0,357.8517,359.7904,359.5207
25.84,0,0.0001,0.0001,357.8501,359.7905,359.5195
25.86,0,0.0002,0,357.8497,359.7917,359.5197
25.88,0.0004,-0.0004,-0.0002,357.8515,359.7931,359.5176
25.9,0.0009,-0.0006,-0.0005,357.8526,359.7952,359.5164
25.92,0.0003,-0.0003,-0.0001,357.852,359.7931,359.517
25.94,0.0002,0,-0.0001,357.8505,359.7919,359.5182
25.96,0.0001,-0.0002,-0.0002,357.8506,359.7909,359.5178
25.98,0.0001,-0.0002,-0.0001,357.8506,359.7909,359.5185
26,-0.0002,-0.0004,0.0002,357.8526,359.7892,359.5186
26.02,0.0003,-0.0002,-0.0002,357.851,359.7919,359.5186
26.04,0.0003,-0.0002,-0.0001,357.8515,359.7913,359.5183
26.06,-0.0001,0,0.0001,357.8508,359.7905,359.5197
26.08,-0.0002,0.0003,0,357.8492,359.7889,359.5202
26.1,0.0007,-0.0005,-0.0005,357.8518,359.7945,359.5165
26.12,0.0036,-0.0009,-0.0024,357.8523,359.8117,359.5136
26.14,0.0008,-0.0004,-0.0004,357.8517,359.7959,359.5161
26.16,0.0008,-0.0004,-0.0004,357.8519,359.7951,359.5165
26.18,0.0003,-0.0003,0,357.8515,359.7914,359.5171
26.2,-0.0005,0.0002,0.0005,357.8497,359.7875,359.5195
26.22,-0.0005,0.0001,0.0005,357.8499,359.788,359.5194
26.24,0.0001,-0.0001,0,357.851,359.7914,359.5186
26.26,0.0004,-0.0001,-0.0002,357.85,359.7949,359.5161
26.28,0.0001,0,0,357.8495,359.7909,359.519
26.3,0.0006,-0.0002,-0.0004,357.8504,359.7949,359.5171
26.32,0.0006,0.0002,-0.0005,357.8484,359.7956,359.5186
26.34,0.0005,0.0002,-0.0005,357.8486,359.795,359.5191
26.36,0.0003,0.0002,-0.0004,357.8491,359.7936,359.519
26.38,0.0002,0.0001,-0.0002,357.8494,359.7924,359.5178
26.4,-0.0014,0.0001,0.0012,357.8499,359.7809,359.5202
26.42,-0.0007,0.0002,0.0004,357.8502,359.7865,359.5197
26.44,-0.0002,-0.0001,0.0001,357.8515,359.7897,359.5189
26.46,0.0004,-0.0003,-0.0002,357.8516,359.7935,359.5172
26.48,0.0005,0.0002,-0.0003,357.8493,359.7934,359.5184
26.5,0.0004,0.0003,-0.0003,357.8486,359.7937,359.5186
26.52,0.0002,0,-0.0001,357.85,359.7922,359.5181
26.54,0.0003,-0.0002,-0.0002,357.8512,359.793,359.5176
26.56,0.0001,-0.0001,-0.0001,357.8506,359.7916,359.5183
26.58,0.0006,-0.0003,-0.0004,357.8518,359.7956,359.5172
26.6,-0.0001,0.0004,0,357.8481,359.7894,359.5202
26.62,0.0003,-0.0001,-0.0003,357.8501,359.7931,359.5174
26.64,-0.0001,-0.0001,0.0001,357.8506,359.7899,359.5179
26.66,-0.0004,-0.0002,0.0003,357.8516,359.7882,359.5193
26.68,-0.0004,0.0001,0.0003,357.8503,359.7881,359.5197
26.7,0.0004,0,-0.0002,357.8497,359.7927,359.5181
26.72,0.0004,0,-0.0002,357.8506,359.793,359.5196
26.74,0.0004,-0.0001,-0.0002,357.8516,359.7929,359.5181
26.76,0.0008,-0.0002,-0.0006,357.8505,359.7971,359.5175
26.78,-0.0003,0.0002,0.0002,357.8497,359.7894,359.5194
26.8,-0.0008,0.0001,0.0006,357.8499,359.785,359.5195
26.82,-0.0002,0.0002,0.0002,357.8499,359.7885,359.5194
26.84,0.0002,-0.0001,-0.0001,357.8506,359.7922,359.5181
