time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
86.62,4.3265,-1.1561,-2,0,0,40
86.64,-3.314,-1.8584,-2,0,0,330.5037
86.66,-3.5915,-1.6925,-2,0,0,327.7515
86.68,-3.8223,-1.5402,-2,0,0,325.3971
86.7,-4.0077,-1.4075,-2,0,0,323.4563
86.72,-4.1494,-1.2996,-2,0,0,321.9401
86.74,-4.249,-1.2201,-2,0,0,320.8559
86.75999,-4.3077,-1.1718,-2,0,0,320.2084
86.78,-4.3264,-1.1561,-2,0,0,320.0002
86.8,-4.3056,-1.1735,-2,0,0,320.2318
86.82,-4.2447,-1.2236,-2,0,0,320.9026
86.84,-4.143,-1.3046,-2,0,0,322.0099
86.86,-3.999,-1.414,-2,0,0,323.5489
86.88,-3.8112,-1.5478,-2,0,0,325.512
86.9,-3.5779,-1.701,-2,0,0,327.888
86.92,-3.2979,-1.8674,-2,0,0,330.6608
86.93999,-2.9708,-2.0397,-2,0,0,333.8087
86.96,-2.5971,-2.2095,-2,0,0,337.303
86.98,-2.1794,-2.3682,-2,0,0,341.1077
87,-1.7218,-2.5068,-2,0,0,345.1786
87.02,-1.2308,-2.6173,-2,0,0,349.4639
87.04,-0.7147,-2.6927,-2,0,0,353.9046
87.06,-0.1836,-2.7283,-2,0,0,358.4366
87.08,0.3513,-2.7216,-2,0,0,2.9922
87.1,0.879,-2.6731,-2,0,0,7.504
87.12,1.3882,-2.5861,-2,0,0,11.9026
87.14,1.8695,-2.4659,-2,0,0,16.1265
87.16,2.3152,-2.3201,-2,0,0,20.119
87.18,2.7194,-2.1569,-2,0,0,23.8305
87.2,3.0787,-1.9854,-2,0,0,27.2195
87.22,3.391,-1.8141,-2,0,0,30.2522
87.24,3.6562,-1.6511,-2,0,0,32.9023
87.25999,3.875,-1.5034,-2,0,0,35.15
87.28,4.0489,-1.3768,-2,0,0,36.9809
87.3,4.1794,-1.276,-2,0,0,38.3849
87.32,4.2682,-1.2044,-2,0,0,39.3554
87.34,4.3164,-1.1645,-2,0,0,39.8884
87.36,4.3248,-1.1574,-2,0,0,39.9818
87.38,4.2935,-1.1835,-2,0,0,39.6353
87.4,4.2221,-1.2418,-2,0,0,38.8502
87.42,4.1095,-1.3306,-2,0,0,37.6297
87.43999,3.9543,-1.4468,-2,0,0,35.9791
87.46,3.7547,-1.5862,-2,0,0,33.9069
87.48,3.5094,-1.7435,-2,0,0,31.4255
87.5,3.2171,-1.9122,-2,0,0,28.5524
87.52,2.8776,-2.0846,-2,0,0,25.311
87.54,2.4922,-2.2524,-2,0,0,21.7319
87.56,2.0635,-2.4067,-2,0,0,17.8531
87.58,1.5965,-2.5387,-2,0,0,13.7209
87.6,1.098,-2.6406,-2,0,0,9.3891
87.62,0.577,-2.706,-2,0,0,4.9181
87.64,0.0439,-2.7306,-2,0,0,0.3734
87.66,-0.4903,-2.7129,-2,0,0,355.823
87.68,-1.014,-2.654,-2,0,0,351.3353
87.7,-1.5169,-2.5576,-2,0,0,346.9753
87.72,-1.9896,-2.43,-2,0,0,342.8065
87.74,-2.4249,-2.2788,-2,0,0,338.883
87.75999,-2.8177,-2.1126,-2,0,0,335.252
87.78,-3.1648,-1.9403,-2,0,0,331.9531
87.8,-3.4648,-1.7705,-2,0,0,329.018
87.82,-3.7178,-1.6108,-2,0,0,326.4713
87.84,-3.9247,-1.4681,-2,0,0,324.3312
87.86,-4.0871,-1.3478,-2,0,0,322.611
87.88,-4.2066,-1.2543,-2,0,0,321.3197
87.9,-4.2846,-1.1909,-2,0,0,320.4631
87.92,-4.3224,-1.1594,-2,0,0,320.0448
87.93999,-4.3205,-1.1611,-2,0,0,320.0663
87.96,-4.2788,-1.1957,-2,0,0,320.5275
87.98,-4.1967,-1.2622,-2,0,0,321.4266
88,-4.0731,-1.3584,-2,0,0,322.7601
88.02,-3.9065,-1.4811,-2,0,0,324.5218
88.04,-3.6951,-1.6258,-2,0,0,326.7022
88.06,-3.4376,-1.7867,-2,0,0,329.2877
88.08,-3.133,-1.9572,-2,0,0,332.2595
88.1,-2.7813,-2.1292,-2,0,0,335.5923
88.12,-2.3842,-2.2943,-2,0,0,339.2538
88.14,-1.945,-2.4436,-2,0,0,343.2035
88.16,-1.469,-2.5685,-2,0,0,347.3933
88.18,-0.9638,-2.6614,-2,0,0,351.7675
88.2,-0.4386,-2.7165,-2,0,0,356.2642
88.22,0.096,-2.7301,-2,0,0,0.817
88.24,0.6285,-2.7014,-2,0,0,5.3576
88.25999,1.1477,-2.6322,-2,0,0,9.8178
88.28,1.6434,-2.527,-2,0,0,14.1328
88.3,2.1071,-2.3924,-2,0,0,18.2436
88.32,2.5317,-2.2365,-2,0,0,22.0951
88.34,2.9128,-2.0679,-2,0,0,25.6428
88.36,3.2477,-1.8954,-2,0,0,28.8495
88.38,3.5354,-1.7275,-2,0,0,31.6853
88.4,3.7762,-1.5717,-2,0,0,34.1274
88.42,3.9713,-1.4343,-2,0,0,36.1589
88.43999,4.1224,-1.3207,-2,0,0,37.7678
88.46,4.2309,-1.2348,-2,0,0,38.9461
88.48,4.2984,-1.1795,-2,0,0,39.6885
88.5,4.3257,-1.1567,-2,0,0,39.9921
88.52,4.3135,-1.1669,-2,0,0,39.8557
88.54,4.2613,-1.21,-2,0,0,39.2799
88.56,4.1685,-1.2846,-2,0,0,38.2669
88.58,4.0339,-1.3881,-2,0,0,36.8209
88.6,3.8557,-1.517,-2,0,0,34.9488
88.62,3.6324,-1.6665,-2,0,0,32.6611
88.64,3.3626,-1.8306,-2,0,0,29.9727
88.66,3.0456,-2.0023,-2,0,0,26.9039
88.68,2.6819,-2.1734,-2,0,0,23.4818
88.7,2.2734,-2.3352,-2,0,0,19.7409
88.72,1.824,-2.4789,-2,0,0,15.7236
88.74,1.3396,-2.5961,-2,0,0,11.48
88.75999,0.8282,-2.6796,-2,0,0,7.0676
88.78,0.2994,-2.7241,-2,0,0,2.5497
88.8,-0.2357,-2.7266,-2,0,0,357.9934
88.82,-0.7658,-2.6871,-2,0,0,353.4674
88.84,-1.2798,-2.608,-2,0,0,349.039
88.86,-1.7679,-2.4944,-2,0,0,344.7721
88.88,-2.2219,-2.3535,-2,0,0,340.7249
88.9,-2.6356,-2.1933,-2,0,0,336.9476
88.92,-3.0048,-2.0228,-2,0,0,333.4856
88.93999,-3.3273,-1.8508,-2,0,0,330.3732
88.96,-3.6027,-1.6854,-2,0,0,327.6383
88.98,-3.8315,-1.5338,-2,0,0,325.302
89,-4.015,-1.4022,-2,0,0,323.3799
89.02,-4.1547,-1.2954,-2,0,0,321.8827
89.04,-4.2524,-1.2173,-2,0,0,320.8179
89.06,-4.3093,-1.1704,-2,0,0,320.1898
89.07999,-4.3264,-1.1562,-2,0,0,320.0011
89.1,-4.3037,-1.1751,-2,0,0,320.2523
89.12,-4.2411,-1.2265,-2,0,0,320.9426
89.14,-4.1375,-1.3089,-2,0,0,322.0692
89.16,-3.9916,-1.4194,-2,0,0,323.6272
89.18,-3.8018,-1.5542,-2,0,0,325.6089
89.2,-3.5665,-1.7082,-2,0,0,328.0029
89.22,-3.2844,-1.875,-2,0,0,330.7929
89.24,-2.9551,-2.0473,-2,0,0,333.9568
89.25999,-2.5795,-2.2169,-2,0,0,337.4658
89.28,-2.1598,-2.3748,-2,0,0,341.2833
89.3,-1.7006,-2.5124,-2,0,0,345.3649
89.32,-1.2083,-2.6214,-2,0,0,349.6584
89.34,-0.6913,-2.6952,-2,0,0,354.1046
89.36,-0.1599,-2.7289,-2,0,0,358.6391
89.38,0.375,-2.7203,-2,0,0,3.1941
89.4,0.9019,-2.6701,-2,0,0,7.701
89.42,1.4101,-2.5814,-2,0,0,12.0932
89.43999,1.89,-2.46,-2,0,0,16.3081
89.46,2.3339,-2.3132,-2,0,0,20.2891
89.48,2.7363,-2.1495,-2,0,0,23.9872
89.5,3.0935,-1.9777,-2,0,0,27.362
89.52,3.4038,-1.8067,-2,0,0,30.3783
89.54,3.6669,-1.6442,-2,0,0,33.0109
89.56,3.8837,-1.4973,-2,0,0,35.2403
89.57999,4.0556,-1.3717,-2,0,0,37.0524
89.6,4.1842,-1.2721,-2,0,0,38.4373
89.62,4.2712,-1.202,-2,0,0,39.3884
89.64,4.3176,-1.1635,-2,0,0,39.9019
89.66,4.3243,-1.1579,-2,0,0,39.9757
89.68,4.2912,-1.1854,-2,0,0,39.6097
89.7,4.218,-1.2452,-2,0,0,38.8052
89.72,4.1035,-1.3352,-2,0,0,37.5654
89.74,3.9463,-1.4525,-2,0,0,35.8958
89.75999,3.7448,-1.5928,-2,0,0,33.8052
89.78,3.4974,-1.7508,-2,0,0,31.306
89.8,3.203,-1.9198,-2,0,0,28.416
89.82,2.8615,-2.0922,-2,0,0,25.1589
89.84,2.474,-2.2596,-2,0,0,21.5656
89.86,2.0435,-2.4131,-2,0,0,17.6745
89.88,1.5749,-2.5439,-2,0,0,13.5322
89.9,1.0753,-2.6443,-2,0,0,9.1929
89.92,0.5535,-2.708,-2,0,0,4.7172
89.93999,0.0201,-2.7307,-2,0,0,0.1708
