time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
86.62,7.7109,-16.008,3.0628,85.3009,165.9234,22.197
86.64,7.7097,-16.0087,3.0606,85.2954,165.9279,22.1938
86.66,7.7106,-16.0094,3.0577,85.2894,165.9842,22.2369
86.68,7.7114,-16.006,3.0568,85.2897,165.8483,22.1017
86.7,7.7115,-16.0066,3.0542,85.2867,165.8885,22.1396
86.72,7.7126,-16.0049,3.0522,85.2823,165.8318,22.0807
86.74,7.7125,-16.0051,3.0492,85.272,165.8556,22.1069
86.75999,7.712,-16.0059,3.0477,85.262,165.9218,22.1688
86.78,7.712,-16.0059,3.0459,85.2605,165.9559,22.1999
86.8,7.7104,-16.0077,3.0457,85.2555,166.0756,22.3268
86.82,7.7104,-16.0067,3.0463,85.2568,166.0558,22.308
86.84,7.7093,-16.0042,3.0488,85.2683,165.9427,22.1975
86.86,7.7096,-16.0068,3.047,85.2596,166.0471,22.2943
86.88,7.7093,-16.0071,3.0475,85.2593,166.0703,22.3176
86.9,7.7071,-16.0081,3.0493,85.266,166.1444,22.3958
86.92,7.7049,-16.0085,3.0506,85.266,166.1818,22.4332
86.93999,7.7035,-16.0089,3.0502,85.2675,166.2703,22.5188
86.96,7.7033,-16.0082,3.0493,85.2663,166.2501,22.505
86.98,7.7024,-16.0086,3.0466,85.2586,166.3429,22.6002
87,7.7002,-16.008,3.0452,85.2596,166.406,22.6621
87.02,7.6981,-16.0074,3.0414,85.2476,166.5294,22.774
87.04,7.6956,-16.0091,3.0306,85.2123,166.8807,23.0977
87.06,7.6934,-16.0072,3.0254,85.1896,166.8723,23.0945
87.08,7.6924,-16.0065,3.0174,85.1673,166.9963,23.1866
87.1,7.6915,-16.0075,3.0059,85.1249,167.2501,23.3873
87.12,7.689,-16.0055,2.9988,85.0963,167.2415,23.3707
87.14,7.6859,-16.004,2.9804,85.0392,167.5137,23.6431
87.16,7.6824,-16.0051,2.974,85.0131,167.7063,23.845
87.18,7.685,-16.0018,2.9656,84.9931,167.6028,23.7198
87.2,7.6824,-16.0011,2.961,84.9859,167.697,23.8084
87.22,7.6811,-16.0009,2.9566,84.9733,167.8164,23.9304
87.24,7.6786,-15.9983,2.959,84.9824,167.6674,23.8334
87.25999,7.6784,-15.9978,2.9612,84.9906,167.6368,23.8074
87.28,7.6784,-15.9975,2.9662,85.0006,167.6032,23.7763
87.3,7.6774,-15.9944,2.9787,85.0512,167.4253,23.6041
87.32,7.6763,-15.9914,2.9954,85.1024,167.3106,23.4771
87.34,7.6764,-15.9832,3.049,85.2945,167.1053,23.1502
87.36,7.6663,-15.9767,3.1043,85.5098,166.5457,22.5718
87.38,7.6714,-15.9769,3.1619,85.7144,166.024,22.052
87.4,7.6692,-15.9683,3.2446,86.0218,165.0038,21.0573
87.42,7.6641,-15.9683,3.3406,86.3493,164.1983,20.1269
87.43999,7.6511,-15.9817,3.5929,87.1912,161.2058,16.8728
87.46,7.6466,-15.9903,3.7409,87.6705,157.8386,13.3954
87.48,7.6364,-16.0044,3.8959,88.1416,153.7147,9.1064
87.5,7.623,-16.0254,4.0439,88.5792,149.8256,4.9119
87.52,7.614,-16.0428,4.1711,88.9266,143.7313,358.4234
87.54,7.583,-16.0694,4.3549,89.4294,133.7739,347.6581
87.56,7.5661,-16.0736,4.3814,89.5416,142.0354,355.3657
87.58,7.5465,-16.0672,4.3628,89.5082,162.7312,15.582
87.6,7.5285,-16.0501,4.2956,89.263,177.3788,29.9264
87.62,7.507,-16.0233,4.1572,88.8608,184.0034,36.3439
87.64,7.4543,-15.9704,3.7541,87.5692,185.8671,37.7998
87.66,7.4289,-15.9428,3.4821,86.7254,185.4389,37.1258
87.68,7.3944,-15.9254,3.1742,85.7296,185.0451,36.5853
87.7,7.3629,-15.8977,2.8352,84.6621,184.3782,35.8268
87.72,7.333,-15.8638,2.4677,83.4912,183.5741,35.0445
87.74,7.2676,-15.7589,1.6742,80.9013,182.8013,34.3823
87.75999,7.2354,-15.6803,1.2698,79.55,182.5214,34.25
87.78,7.206,-15.5861,0.8791,78.2286,182.2101,34.093
87.8,7.1821,-15.5008,0.5006,76.9143,181.9748,34.2077
87.82,7.1626,-15.4164,0.1509,75.6924,181.7042,34.2695
87.84,7.1342,-15.2692,-0.4376,73.5837,181.3097,34.3306
87.86,7.1278,-15.2013,-0.6536,72.8115,181.1241,34.3533
87.88,7.1257,-15.1434,-0.8053,72.2567,180.9898,34.368
87.9,7.1302,-15.1058,-0.888,71.9611,180.8535,34.4015
87.92,7.1384,-15.0992,-0.899,71.9092,180.7414,34.3499
87.93999,7.1695,-15.1673,-0.6943,72.6435,180.611,34.0945
87.96,7.1901,-15.2383,-0.4589,73.512,180.5422,33.908
87.98,7.2144,-15.3282,-0.1579,74.5904,180.5405,33.714
88,7.2397,-15.4325,0.211,75.8869,180.5534,33.4373
88.02,7.2622,-15.5488,0.6419,77.3751,180.7433,33.3141
88.04,7.3134,-15.7654,1.6672,80.85,181.3786,33.7105
88.06,7.3325,-15.8529,2.2427,82.7844,182.2503,34.0651
88.08,7.3407,-15.9251,2.8514,84.7863,184.4722,35.3913
88.1,7.3457,-15.9797,3.4886,86.8402,189.988,40.1155
88.12,7.3537,-16.0303,4.1363,88.7321,214.2145,64.1249
88.14,7.3731,-16.0631,5.4201,86.8191,342.2769,192.0257
88.16,7.3787,-16.0507,6.0322,84.9125,347.5064,197.1176
88.18,7.3851,-16.0117,6.6168,83.0648,350.0759,199.7346
88.2,7.4003,-15.9713,7.1458,81.413,351.4307,201.2562
88.22,7.3993,-15.9046,7.6517,79.7677,352.2373,202.2481
88.24,7.3979,-15.7796,8.4994,77.0431,352.9926,203.2857
88.25999,7.3925,-15.72,8.8435,75.9421,353.1886,203.5545
88.28,7.3802,-15.6654,9.1312,75.0307,353.146,203.5179
88.3,7.3721,-15.6176,9.3551,74.2892,353.1811,203.6322
88.32,7.3538,-15.5733,9.5243,73.7327,353.1062,203.6648
88.34,7.3285,-15.5269,9.6666,73.244,352.9456,203.6491
88.36,7.3114,-15.5282,9.6567,73.2433,352.771,203.5922
88.38,7.2938,-15.5485,9.5855,73.4607,352.4941,203.296
88.4,7.2737,-15.5881,9.4404,73.8776,352.044,202.6842
88.42,7.2585,-15.6283,9.2538,74.4509,351.6121,202.0889
88.43999,7.2397,-15.7534,8.7216,76.1268,350.3804,200.9325
88.46,7.2358,-15.8051,8.3955,77.1182,349.7686,200.502
88.48,7.2374,-15.8645,8.0257,78.2784,349.0608,199.8319
88.5,7.2367,-15.9298,7.6259,79.5321,348.0659,198.8421
88.52,7.2463,-16.0009,7.1922,80.9433,346.852,197.8016
88.54,7.2954,-16.0787,6.25,83.9281,343.8929,195.4623
88.56,7.3214,-16.1028,5.7513,85.4943,340.6543,192.5506
88.58,7.3441,-16.1187,5.2431,87.0749,334.0542,186.0859
88.6,7.3741,-16.1101,4.7286,88.5285,314.4865,166.5125
88.62,7.4094,-16.084,4.2042,88.9581,233.2584,85.3328
88.64,7.4933,-15.9789,3.1986,86.1803,185.4692,38.3772
88.66,7.533,-15.9117,2.7317,84.74,181.2554,34.3117
88.68,7.5715,-15.845,2.2897,83.3212,179.1008,32.1037
88.7,7.6049,-15.7768,1.8867,81.9814,177.8587,30.6935
88.72,7.6404,-15.7094,1.531,80.7947,176.8802,29.5958
88.74,7.7093,-15.625,0.9352,78.7081,175.6301,28.4204
88.75999,7.7364,-15.5968,0.6895,77.7997,175.2551,28.1175
88.78,7.7652,-15.5538,0.4809,77.0357,174.8073,27.88
88.8,7.7896,-15.5059,0.3057,76.3829,174.4679,27.7994
88.82,7.8124,-15.4577,0.1612,75.8402,174.0665,27.4729
88.84,7.8318,-15.4149,-0.0565,75.0069,173.6779,26.3526
88.86,7.8414,-15.4107,-0.1365,74.7024,173.5866,26.0403
88.88,7.8494,-15.4034,-0.1953,74.4964,173.5146,26.0562
88.9,7.8553,-15.3914,-0.2402,74.3479,173.4706,26.2521
88.92,7.8575,-15.375,-0.2748,74.22,173.4044,26.4315
88.93999,7.8418,-15.3651,-0.3275,74.062,173.5383,26.4867
88.96,7.8282,-15.3617,-0.3405,74.0448,173.6029,26.5369
88.98,7.8119,-15.3622,-0.3496,74.0249,173.77,26.7705
89,7.7913,-15.3631,-0.3541,74.0026,174.0268,27.1358
89.02,7.7694,-15.3565,-0.352,74.0242,174.2257,27.3362
89.04,7.713,-15.3624,-0.3259,74.1273,174.8907,27.8972
89.06,7.6801,-15.3775,-0.2952,74.2351,175.2834,28.2921
89.07999,7.6485,-15.3935,-0.25,74.3984,175.6552,28.6953
89.1,7.615,-15.4149,-0.1901,74.6093,176.0698,29.1774
89.12,7.5821,-15.4371,-0.1108,74.8982,176.4758,29.61
89.14,7.508,-15.4988,0.1183,75.7129,177.5497,30.5803
89.16,7.4709,-15.5419,0.2736,76.2471,178.2188,31.0593
89.18,7.4333,-15.5944,0.465,76.9009,178.9895,31.6989
89.2,7.401,-15.6549,0.6902,77.6572,179.8678,32.5589
89.22,7.3726,-15.711,0.9541,78.5491,180.6635,33.3712
89.24,7.3154,-15.8386,1.5787,80.609,183.1591,35.4106
89.25999,7.2921,-15.9015,1.936,81.7648,184.7633,36.7372
89.28,7.2723,-15.9647,2.3212,82.9969,187.0586,38.8561
89.3,7.259,-16.0277,2.7243,84.2732,190.0353,41.8093
89.32,7.2486,-16.0869,3.1491,85.5706,194.8216,46.7203
89.34,7.2448,-16.1793,4.0197,87.981,219.9603,72.174
89.36,7.254,-16.2105,4.4546,88.6561,260.9047,113.305
89.38,7.2675,-16.2233,4.8925,88.2742,310.398,163.3307
89.4,7.2911,-16.2378,5.3134,87.2663,331.4334,185.0814
89.42,7.324,-16.2316,5.7246,86.1209,341.4288,195.8525
89.43999,7.3941,-16.2192,6.4809,83.9288,349.9131,205.3432
89.46,7.442,-16.2208,6.8066,83.0263,352.2078,207.8049
89.48,7.492,-16.2178,7.1088,82.1344,353.7495,209.8206
89.5,7.5449,-16.2094,7.3775,81.354,355.1892,211.6088
89.52,7.5958,-16.1938,7.6163,80.6596,356.4993,213.1833
89.54,7.7115,-16.177,7.9801,79.6123,358.7739,215.9917
89.56,7.773,-16.1705,8.1019,79.2468,359.8786,217.3792
89.57999,7.8311,-16.1685,8.187,79.0077,0.896,218.7672
89.6,7.8885,-16.1749,8.2302,78.9151,1.9119,220.0619
89.62,7.9345,-16.1692,8.2474,78.8347,2.9996,221.3145
89.64,8.0147,-16.1973,8.149,79.1357,4.5233,222.8707
89.66,8.0478,-16.2087,8.0444,79.4478,5.2813,223.6068
89.68,8.0743,-16.2297,7.9039,79.8795,5.9362,224.1783
89.7,8.0932,-16.2511,7.7348,80.3994,6.6817,224.8127
89.72,8.1024,-16.2863,7.5329,81.0312,7.2074,225.1747
89.74,8.1019,-16.3372,7.0419,82.5322,8.541,226.11
89.75999,8.0903,-16.3591,6.7515,83.4418,9.2619,226.5429
89.78,8.0802,-16.3687,6.433,84.3923,10.6439,227.5369
89.8,8.0586,-16.3879,6.0854,85.4532,12.1874,228.6407
89.82,8.0336,-16.3892,5.7191,86.5418,15.3076,231.2982
89.84,7.9889,-16.3624,4.921,88.7501,43.3372,258.9886
89.86,7.9632,-16.3279,4.5056,89.0802,112.1218,327.8379
89.88,7.9347,-16.2786,4.0802,88.1487,151.8713,7.5324
89.9,7.9037,-16.2274,3.643,86.8873,163.1506,18.4894
89.92,7.8647,-16.1694,3.2058,85.5745,168.4513,23.3013
89.93999,7.7836,-16.0423,2.3302,82.8378,173.9014,27.4455
89.96,7.7481,-15.9674,1.9093,81.4915,175.232,28.3872
89.98,7.7159,-15.8872,1.5011,80.1542,176.126,28.9564
90,7.6872,-15.8076,1.1096,78.8449,176.7265,29.2263
90.02,7.6636,-15.729,0.732,77.564,177.0343,29.0698
90.04,7.6342,-15.5901,0.0168,75.0502,177.369,28.5203
90.06,7.6332,-15.511,-0.3152,73.8865,177.3498,28.2881
90.07999,7.6403,-15.4139,-0.6225,72.8084,177.2252,28.1097
90.1,7.6574,-15.3087,-0.9112,71.7861,176.9931,27.7849
90.12,7.6794,-15.2089,-1.1774,70.8175,176.7306,27.4018
90.14,7.7443,-15.0549,-1.6439,69.0933,176.122,26.3365
90.16,7.7861,-14.9981,-1.8313,68.3961,175.7886,25.9483
