time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.36,4.3265,-1.1561,-2,0,0,40
3.38,-3.6468,-1.6572,-2,0,0,327.1935
3.4,-3.413,-1.8012,-2,0,0,329.5305
3.42,-3.1424,-1.9522,-2,0,0,332.1683
3.44,-2.8351,-2.1046,-2,0,0,335.0891
3.46,-2.4918,-2.2525,-2,0,0,338.271
3.48,-2.1148,-2.3899,-2,0,0,341.6873
3.5,-1.7073,-2.5106,-2,0,0,345.3062
3.52,-1.2737,-2.6092,-2,0,0,349.0917
3.54,-0.8199,-2.6806,-2,0,0,353.003
3.56,-0.3527,-2.7215,-2,0,0,356.9959
3.58,0.1203,-2.7297,-2,0,0,1.0243
3.6,0.5914,-2.7047,-2,0,0,5.0405
3.62,1.0526,-2.6479,-2,0,0,8.9976
3.64,1.4969,-2.5622,-2,0,0,12.8502
3.66,1.9179,-2.4517,-2,0,0,16.5559
3.68,2.3105,-2.3218,-2,0,0,20.0761
3.7,2.6706,-2.1783,-2,0,0,23.377
3.72,2.9958,-2.0273,-2,0,0,26.4293
3.74,3.2846,-1.8749,-2,0,0,29.2087
3.76,3.5364,-1.7269,-2,0,0,31.6956
3.78,3.7516,-1.5883,-2,0,0,33.8745
3.8,3.9309,-1.4637,-2,0,0,35.7335
3.82,4.0754,-1.3567,-2,0,0,37.2639
3.84,4.1863,-1.2705,-2,0,0,38.4593
3.86,4.2645,-1.2074,-2,0,0,39.3154
3.88,4.3111,-1.1689,-2,0,0,39.8295
3.9,4.3265,-1.1561,-2,0,0,40
3.92,4.3108,-1.1692,-2,0,0,39.8264
3.94,4.264,-1.2078,-2,0,0,39.3093
3.96,4.1854,-1.2712,-2,0,0,38.4501
3.98,4.0743,-1.3576,-2,0,0,37.2517
4,3.9294,-1.4647,-2,0,0,35.7184
4.02,3.7498,-1.5895,-2,0,0,33.8565
4.04,3.5343,-1.7282,-2,0,0,31.6748
4.06,3.2822,-1.8763,-2,0,0,29.1852
4.08,2.9931,-2.0287,-2,0,0,26.4033
4.1,2.6676,-2.1796,-2,0,0,23.3487
4.12,2.3071,-2.323,-2,0,0,20.0458
4.14,1.9143,-2.4528,-2,0,0,16.5237
4.16,1.4931,-2.5631,-2,0,0,12.8165
4.18,1.0486,-2.6486,-2,0,0,8.9628
4.2,0.5872,-2.7051,-2,0,0,5.005
4.22,0.1161,-2.7298,-2,0,0,0.9884
4.24,-0.3569,-2.7213,-2,0,0,356.9601
4.26,-0.824,-2.6801,-2,0,0,352.9677
4.28,-1.2777,-2.6084,-2,0,0,349.0574
4.3,-1.711,-2.5097,-2,0,0,345.2733
4.32,-2.1183,-2.3887,-2,0,0,341.6559
4.34,-2.4951,-2.2512,-2,0,0,338.2416
4.36,-2.838,-2.1032,-2,0,0,335.0619
4.38,-3.145,-1.9508,-2,0,0,332.1435
4.4,-3.4153,-1.7999,-2,0,0,329.5084
4.42,-3.6487,-1.656,-2,0,0,327.174
4.44,-3.8458,-1.5239,-2,0,0,325.154
4.46,-4.0075,-1.4077,-2,0,0,323.4586
4.48,-4.135,-1.3108,-2,0,0,322.0954
4.5,-4.2295,-1.2359,-2,0,0,321.0694
4.52,-4.2918,-1.185,-2,0,0,320.3843
4.54,-4.3227,-1.1592,-2,0,0,320.0421
4.56,-4.3225,-1.1594,-2,0,0,320.0439
4.58,-4.2913,-1.1854,-2,0,0,320.3896
4.6,-4.2287,-1.2366,-2,0,0,321.0783
4.62,-4.1339,-1.3117,-2,0,0,322.1078
4.64,-4.006,-1.4088,-2,0,0,323.4745
4.66,-3.8439,-1.5252,-2,0,0,325.1733
4.68,-3.6464,-1.6574,-2,0,0,327.1967
4.7,-3.4127,-1.8015,-2,0,0,329.5342
4.72,-3.142,-1.9524,-2,0,0,332.1724
4.74,-2.8346,-2.1048,-2,0,0,335.0936
4.76,-2.4913,-2.2527,-2,0,0,338.2759
4.78,-2.1142,-2.3901,-2,0,0,341.6925
4.8,-1.7066,-2.5108,-2,0,0,345.3118
4.82,-1.2731,-2.6093,-2,0,0,349.0974
4.84,-0.8193,-2.6807,-2,0,0,353.0088
4.86,-0.352,-2.7216,-2,0,0,357.0018
4.88,0.121,-2.7297,-2,0,0,1.0303
4.9,0.5921,-2.7047,-2,0,0,5.0464
4.92,1.0533,-2.6478,-2,0,0,9.0034
4.94,1.4976,-2.562,-2,0,0,12.8558
4.96,1.9185,-2.4515,-2,0,0,16.5613
4.98,2.311,-2.3216,-2,0,0,20.0812
5,2.6711,-2.178,-2,0,0,23.3817
5.02,2.9963,-2.0271,-2,0,0,26.4336
5.04,3.285,-1.8747,-2,0,0,29.2126
5.06,3.5367,-1.7267,-2,0,0,31.6991
5.08,3.7519,-1.5881,-2,0,0,33.8775
5.1,3.9311,-1.4635,-2,0,0,35.736
5.12,4.0756,-1.3566,-2,0,0,37.2659
5.14,4.1864,-1.2704,-2,0,0,38.4608
5.16,4.2646,-1.2073,-2,0,0,39.3164
5.18,4.3111,-1.1689,-2,0,0,39.83
5.2,4.3265,-1.1561,-2,0,0,40
5.22,4.3108,-1.1692,-2,0,0,39.8259
5.24,4.2639,-1.2079,-2,0,0,39.3083
5.26,4.1853,-1.2713,-2,0,0,38.4486
5.28,4.0741,-1.3577,-2,0,0,37.2497
5.3,3.9292,-1.4649,-2,0,0,35.7159
5.32,3.7495,-1.5897,-2,0,0,33.8535
5.34,3.534,-1.7284,-2,0,0,31.6714
5.36,3.2818,-1.8765,-2,0,0,29.1813
5.38,2.9926,-2.0289,-2,0,0,26.399
5.4,2.6671,-2.1798,-2,0,0,23.344
5.42,2.3066,-2.3232,-2,0,0,20.0407
5.44,1.9137,-2.453,-2,0,0,16.5184
5.46,1.4925,-2.5632,-2,0,0,12.811
5.48,1.0479,-2.6487,-2,0,0,8.9571
5.5,0.5865,-2.7052,-2,0,0,4.9991
5.52,0.1154,-2.7298,-2,0,0,0.9824
5.54,-0.3576,-2.7213,-2,0,0,356.9542
5.56,-0.8247,-2.6801,-2,0,0,352.9619
5.58,-1.2783,-2.6083,-2,0,0,349.0517
5.6,-1.7116,-2.5095,-2,0,0,345.2679
5.62,-2.1189,-2.3885,-2,0,0,341.6508
5.64,-2.4956,-2.251,-2,0,0,338.2368
5.66,-2.8384,-2.103,-2,0,0,335.0574
5.68,-3.1454,-1.9506,-2,0,0,332.1394
5.7,-3.4156,-1.7997,-2,0,0,329.5047
5.72,-3.649,-1.6558,-2,0,0,327.1708
5.74,-3.846,-1.5237,-2,0,0,325.1513
5.76,-4.0077,-1.4075,-2,0,0,323.4564
5.78,-4.1352,-1.3107,-2,0,0,322.0936
5.8,-4.2296,-1.2358,-2,0,0,321.0681
5.82,-4.2918,-1.1849,-2,0,0,320.3835
5.84,-4.3227,-1.1592,-2,0,0,320.0419
5.86,-4.3225,-1.1594,-2,0,0,320.0442
5.88,-4.2912,-1.1854,-2,0,0,320.3904
5.9,-4.2285,-1.2367,-2,0,0,321.0796
5.92,-4.1337,-1.3118,-2,0,0,322.1096
5.94,-4.0058,-1.409,-2,0,0,323.4768
5.96,-3.8436,-1.5254,-2,0,0,325.1761
5.98,-3.6461,-1.6577,-2,0,0,327.1999
6,-3.4123,-1.8017,-2,0,0,329.5379
6.02,-3.1416,-1.9526,-2,0,0,332.1765
6.04,-2.8341,-2.105,-2,0,0,335.0981
6.06,-2.4908,-2.2529,-2,0,0,338.2807
6.08,-2.1137,-2.3903,-2,0,0,341.6977
6.1,-1.706,-2.511,-2,0,0,345.3172
6.12,-1.2724,-2.6094,-2,0,0,349.1031
6.14,-0.8186,-2.6808,-2,0,0,353.0146
6.16,-0.3513,-2.7216,-2,0,0,357.0078
6.18,0.1217,-2.7297,-2,0,0,1.0362
6.2,0.5927,-2.7046,-2,0,0,5.0523
6.22,1.054,-2.6477,-2,0,0,9.0092
6.24,1.4982,-2.5619,-2,0,0,12.8614
6.26,1.9191,-2.4514,-2,0,0,16.5666
6.28,2.3116,-2.3214,-2,0,0,20.0862
6.3,2.6716,-2.1778,-2,0,0,23.3864
6.32,2.9967,-2.0268,-2,0,0,26.4379
6.34,3.2854,-1.8745,-2,0,0,29.2164
6.36,3.5371,-1.7265,-2,0,0,31.7025
6.38,3.7521,-1.5879,-2,0,0,33.8804
6.4,3.9314,-1.4633,-2,0,0,35.7385
6.42,4.0758,-1.3564,-2,0,0,37.2679
6.44,4.1865,-1.2703,-2,0,0,38.4623
6.46,4.2647,-1.2072,-2,0,0,39.3174
6.48,4.3112,-1.1688,-2,0,0,39.8305
6.5,4.3265,-1.1561,-2,0,0,40
6.52,4.3107,-1.1692,-2,0,0,39.8254
6.54,4.2638,-1.208,-2,0,0,39.3073
6.56,4.1851,-1.2714,-2,0,0,38.4471
6.58,4.0739,-1.3579,-2,0,0,37.2477
6.6,3.929,-1.465,-2,0,0,35.7134
6.62,3.7492,-1.5899,-2,0,0,33.8506
6.64,3.5336,-1.7286,-2,0,0,31.6679
6.66,3.2814,-1.8767,-2,0,0,29.1775
6.68,2.9922,-2.0291,-2,0,0,26.3947
6.7,2.6666,-2.18,-2,0,0,23.3394
6.72,2.306,-2.3234,-2,0,0,20.0357
6.74,1.9131,-2.4532,-2,0,0,16.513
6.76,1.4918,-2.5634,-2,0,0,12.8054
6.78,1.0473,-2.6488,-2,0,0,8.9513
6.8,0.5858,-2.7052,-2,0,0,4.9933
6.82,0.1147,-2.7298,-2,0,0,0.9765
6.84,-0.3583,-2.7212,-2,0,0,356.9484
6.86,-0.8254,-2.68,-2,0,0,352.9561
6.88,-1.279,-2.6081,-2,0,0,349.046
6.9,-1.7123,-2.5093,-2,0,0,345.2624
6.92,-2.1195,-2.3884,-2,0,0,341.6455
6.94,-2.4961,-2.2508,-2,0,0,338.2319
6.96,-2.8389,-2.1028,-2,0,0,335.0529
6.98,-3.1459,-1.9504,-2,0,0,332.1354
7,-3.416,-1.7995,-2,0,0,329.5011
7.02,-3.6493,-1.6556,-2,0,0,327.1677
7.04,-3.8463,-1.5235,-2,0,0,325.1486
7.06,-4.0079,-1.4074,-2,0,0,323.4541
7.08,-4.1354,-1.3106,-2,0,0,322.0919
7.1,-4.2297,-1.2357,-2,0,0,321.0669
7.12,-4.2919,-1.1849,-2,0,0,320.3828
7.14,-4.3227,-1.1592,-2,0,0,320.0416
7.16,-4.3225,-1.1594,-2,0,0,320.0444
7.18,-4.2912,-1.1855,-2,0,0,320.3912
7.2,-4.2284,-1.2368,-2,0,0,321.0809
7.22,-4.1336,-1.312,-2,0,0,322.1113
7.24,-4.0056,-1.4091,-2,0,0,323.4791
