time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.36,0.0015,-0.0009,-0.0008,357.3806,6.8713,357.1074
3.38,-0.0008,0.0003,0.0005,357.3761,6.8617,357.1114
3.4,0.0012,-0.0001,-0.0005,357.3768,6.868,357.11
3.42,0.0023,-0.0011,-0.0011,357.379,6.873,357.1066
3.44,0.0011,-0.0008,-0.0003,357.3783,6.868,357.1074
3.46,0.0018,-0.0008,-0.0008,357.3786,6.8713,357.1065
3.48,0.0027,-0.002,-0.001,357.3861,6.8774,357.1035
3.5,0.0023,-0.0017,-0.0009,357.3839,6.8741,357.1038
3.52,0.0006,-0.0011,-0.0001,357.3813,6.8658,357.1061
3.54,0.0013,-0.0011,-0.0005,357.3809,6.869,357.1055
3.56,0.0013,-0.0005,-0.0007,357.3792,6.869,357.1079
3.58,0.0013,-0.001,-0.0006,357.3817,6.8697,357.109
3.6,0.0017,-0.0009,-0.0008,357.3803,6.8723,357.1072
3.62,0.0028,-0.0012,-0.0013,357.3815,6.8768,357.1061
3.64,0.0051,-0.0022,-0.0026,357.3848,6.889,357.1006
3.66,0.0019,-0.0015,-0.0008,357.3839,6.8729,357.106
3.68,0.0018,-0.001,-0.0008,357.3813,6.8728,357.1078
3.7,0.0019,-0.0011,-0.0009,357.3814,6.8734,357.1064
3.72,0.0023,-0.001,-0.001,357.3799,6.8745,357.1056
3.74,0.0019,-0.001,-0.001,357.3806,6.8732,357.1061
3.76,0.0017,-0.0012,-0.0008,357.3811,6.8714,357.106
3.78,0.0001,0.0006,-0.0001,357.3741,6.8641,357.1107
3.8,0.0018,-0.0003,-0.0009,357.3773,6.8719,357.1093
3.82,0.0017,-0.0009,-0.0006,357.3789,6.8697,357.1069
3.84,0.0013,-0.0008,-0.0004,357.3793,6.8687,357.1061
3.86,0.0015,-0.001,-0.0006,357.3805,6.8702,357.1058
3.88,0.0003,-0.0002,-0.0001,357.3781,6.8656,357.1095
3.9,0.0013,-0.0007,-0.0005,357.3799,6.8695,357.1088
3.92,0.0019,-0.0006,-0.001,357.3798,6.8733,357.1089
3.94,0.0024,-0.0012,-0.0011,357.381,6.8739,357.1063
3.96,0.0024,-0.0009,-0.0011,357.3798,6.8743,357.1067
3.98,0.0013,-0.001,-0.0006,357.3798,6.8687,357.1052
4,0.0014,-0.001,-0.0007,357.381,6.8694,357.1069
4.02,0,-0.0008,0.0001,357.3799,6.8633,357.1066
4.04,0.0022,-0.001,-0.0013,357.381,6.8735,357.1061
4.06,0.0021,-0.0012,-0.001,357.3824,6.8736,357.1073
4.08,0.0035,-0.0012,-0.0018,357.3816,6.8816,357.1052
4.1,0.0019,-0.0012,-0.0009,357.3821,6.8729,357.107
4.12,0.0018,-0.0017,-0.0007,357.3833,6.872,357.1052
4.14,0.0017,-0.0011,-0.0007,357.3806,6.8711,357.1068
