time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
59.26,-18.0062,0.0534,-0.7834,0.0342,351.1339,359.7031
59.28,-18.0061,0.0533,-0.7833,0.0347,351.1339,359.7031
59.3,-18.0062,0.0534,-0.7834,0.0344,351.1336,359.7026
59.32,-18.0061,0.0534,-0.7833,0.0345,351.1343,359.7022
59.34,-18.0059,0.0532,-0.7832,0.0353,351.1362,359.7029
59.36,-18.006,0.0532,-0.7833,0.035,351.1353,359.7031
59.38,-18.0062,0.0529,-0.7832,0.0371,351.1335,359.7036
59.4,-18.0059,0.0533,-0.7832,0.0344,351.1351,359.7026
59.42,-18.0057,0.0531,-0.783,0.0355,351.1366,359.7019
59.44,-18.0058,0.053,-0.783,0.0363,351.1363,359.7023
59.46,-18.0059,0.0531,-0.7832,0.0359,351.1353,359.7022
59.48,-18.0059,0.0531,-0.7832,0.0359,351.1355,359.7028
59.5,-18.006,0.0532,-0.7832,0.0353,351.1344,359.7038
59.52,-18.0057,0.0532,-0.783,0.0354,351.1368,359.7013
59.54,-18.0057,0.0531,-0.7831,0.036,351.1366,359.7022
59.56,-18.0056,0.0532,-0.783,0.0354,351.138,359.7008
59.58,-18.0056,0.0532,-0.783,0.0354,351.1383,359.7011
59.6,-18.0057,0.0533,-0.7831,0.0345,351.1373,359.7008
59.62,-18.0056,0.0533,-0.783,0.0348,351.1379,359.7008
59.64,-18.0057,0.0532,-0.7831,0.0361,351.1367,359.7018
59.66,-18.0061,0.0531,-0.7833,0.0359,351.1339,359.704
59.68,-18.0057,0.0531,-0.783,0.036,351.1373,359.7022
59.7,-18.0059,0.0531,-0.7831,0.0361,351.136,359.7027
59.72,-18.006,0.053,-0.7831,0.0361,351.1348,359.7037
59.74,-18.0058,0.0529,-0.783,0.0372,351.1369,359.7034
59.76,-18.0059,0.0528,-0.783,0.0373,351.1353,359.7034
59.78,-18.0059,0.0531,-0.7831,0.0359,351.1356,359.7029
59.8,-18.0061,0.0532,-0.7832,0.0349,351.1346,359.7029
59.82,-18.0059,0.0531,-0.7831,0.0353,351.1361,359.7026
59.84,-18.0059,0.0532,-0.7832,0.036,351.1347,359.7026
59.86,-18.0061,0.0531,-0.7833,0.0365,351.1336,359.7025
59.88,-18.0059,0.0531,-0.7831,0.0364,351.1357,359.7025
59.9,-18.0054,0.0533,-0.7829,0.0357,351.1389,359.701
59.92,-18.0052,0.0532,-0.7828,0.0356,351.1403,359.6997
59.94,-18.0057,0.0532,-0.783,0.0354,351.1375,359.7026
59.96,-18.0058,0.0532,-0.7831,0.0357,351.136,359.7026
59.98,-18.0059,0.0531,-0.7832,0.0357,351.1358,359.703
60,-18.0062,0.0529,-0.7833,0.0366,351.1332,359.7023
60.02,-18.0062,0.0532,-0.7833,0.0355,351.1332,359.7021
60.04,-18.0058,0.0531,-0.7831,0.0358,351.1363,359.7028
60.06,-18.0057,0.0531,-0.7831,0.0361,351.1367,359.7023
60.08,-18.0058,0.0533,-0.7832,0.0348,351.1365,359.7025
60.1,-18.0056,0.0533,-0.783,0.0348,351.1378,359.7018
60.12,-18.0056,0.0532,-0.783,0.0351,351.1375,359.7021
