time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.38,-0.0005,-0.0001,0.0003,1.8767,14.5,355.3261
15.4,-0.0005,-0.0001,0.0002,1.8761,14.4996,355.3257
15.42,-0.0005,-0.0001,0.0002,1.8761,14.4996,355.3257
15.44,-0.0007,-0.0002,0.0003,1.877,14.4987,355.3263
15.46,-0.0002,-0.0003,0.0001,1.8772,14.5007,355.325
15.48,-0.0001,-0.0001,0,1.8763,14.5021,355.3249
15.5,-0.0001,0,0,1.8752,14.5016,355.325
15.52,0.0003,-0.0002,-0.0002,1.8765,14.5033,355.3248
15.54,-0.0007,-0.0006,0.0003,1.8786,14.4991,355.3249
15.56,-0.0005,-0.0003,0.0002,1.877,14.5,355.325
15.58,-0.0005,-0.0001,0.0002,1.8761,14.5004,355.3256
15.6,-0.0003,-0.0002,0.0001,1.8759,14.5011,355.3244
15.62,-0.0004,-0.0003,0.0002,1.8769,14.5001,355.3249
15.64,-0.0004,0,0.0001,1.876,14.5008,355.3255
15.66,-0.0004,-0.0002,0.0001,1.8765,14.5005,355.325
15.68,-0.0001,-0.0002,0,1.8767,14.5017,355.3251
15.7,-0.0004,-0.0001,0.0001,1.8757,14.5,355.3253
15.72,-0.0006,0.0001,0.0002,1.875,14.4989,355.3261
15.74,-0.0002,0.0001,0,1.8748,14.5017,355.3258
15.76,-0.0002,-0.0003,0.0002,1.8773,14.5016,355.3248
15.78,-0.0005,0.0001,0.0002,1.875,14.5003,355.3257
15.8,-0.0005,0.0001,0.0001,1.8751,14.5007,355.3259
15.82,-0.0001,-0.0001,-0.0001,1.8758,14.5022,355.3255
15.84,-0.0005,-0.0005,0.0002,1.8779,14.5003,355.3259
15.86,-0.0006,-0.0002,0.0003,1.8762,14.4993,355.3261
15.88,-0.0002,0.0001,0,1.8752,14.5011,355.326
15.9,0.0002,0.0002,-0.0002,1.8739,14.5038,355.3246
15.92,-0.0003,0,0.0001,1.8749,14.5001,355.3248
15.94,-0.0002,-0.0004,0.0001,1.8768,14.5013,355.3255
15.96,0,-0.0002,0,1.8767,14.5027,355.3258
15.98,0.001,-0.0004,-0.0007,1.8786,14.5073,355.3239
16,-0.0004,-0.0005,0.0002,1.8782,14.4995,355.3258
16.02,-0.0003,-0.0001,0.0001,1.8761,14.5019,355.3247
16.04,-0.0007,0,0.0002,1.8755,14.499,355.3252
16.06,-0.0003,0,0,1.876,14.501,355.326
16.08,-0.0005,0,0.0001,1.876,14.5001,355.3259
16.1,-0.0004,-0.0001,0,1.8763,14.5008,355.3258
16.12,-0.0005,-0.0001,0.0002,1.8762,14.5,355.326
16.14,-0.0004,-0.0002,0.0002,1.8767,14.5001,355.3255
16.16,-0.0005,-0.0004,0.0002,1.8771,14.4994,355.3256
16.18,-0.0003,-0.0002,0.0001,1.8764,14.5004,355.3255
16.2,-0.0004,-0.0001,0.0001,1.8757,14.5004,355.3258
16.22,-0.0002,0.0001,-0.0001,1.8744,14.5008,355.3256
16.24,-0.0001,0,0,1.8759,14.5017,355.3253
16.26,-0.0006,-0.0001,0.0004,1.8763,14.4992,355.3253
16.28,-0.0003,-0.0001,0.0002,1.8765,14.5011,355.3264
16.3,-0.0005,-0.0002,0.0002,1.8766,14.4995,355.3263
16.32,0.0001,0,-0.0002,1.8756,14.5028,355.3261
16.34,-0.0001,0,-0.0001,1.8753,14.5021,355.326
16.36,-0.0004,-0.0003,0.0002,1.8767,14.4999,355.325
16.38,-0.0001,0.0002,-0.0001,1.8747,14.5021,355.3256
16.4,-0.0007,0,0.0003,1.8758,14.4984,355.3261
16.42,-0.0005,-0.0003,0.0002,1.8771,14.4997,355.326
16.44,-0.0001,-0.0001,0,1.8759,14.5019,355.3259
16.46,0,-0.0001,-0.0001,1.8767,14.5028,355.3261
16.48,-0.0001,0,0,1.8762,14.5027,355.3262
16.5,-0.0001,0.0002,0,1.8751,14.5023,355.3255
16.52,-0.0002,0.0001,0,1.8749,14.5012,355.3252
16.54,0.0001,-0.0002,-0.0003,1.8755,14.5032,355.3237
16.56,-0.0007,-0.0001,0.0003,1.8759,14.4995,355.3249
16.58,-0.0002,0,0,1.8755,14.5018,355.3249
16.6,-0.0003,0.0001,0,1.8752,14.501,355.3252
16.62,-0.0002,0,-0.0001,1.8756,14.5015,355.3252
16.64,-0.0006,0.0001,0,1.8753,14.4998,355.3255
16.66,-0.0009,0,0.0004,1.8763,14.4983,355.3263
16.68,-0.0001,0.0001,0,1.875,14.5009,355.3261
16.7,-0.0004,0,0.0001,1.8757,14.5003,355.3268
16.72,0,0,-0.0002,1.8751,14.5024,355.3256
16.74,-0.0002,0.0002,-0.0001,1.8745,14.5017,355.326
16.76,0.0002,0,-0.0003,1.8752,14.5035,355.3249
16.78,-0.0001,-0.0002,-0.0001,1.8761,14.5018,355.3256
16.8,-0.0005,0.0002,0.0001,1.8744,14.4999,355.3261
16.82,-0.0006,0.0001,0.0002,1.8741,14.4996,355.326
16.84,-0.0006,0.0001,0.0001,1.875,14.4996,355.3263
16.86,0,-0.0001,-0.0001,1.8754,14.5015,355.3247
16.88,-0.0004,0.0001,0.0002,1.8753,14.5,355.3256
16.9,-0.0005,0.0001,0.0001,1.8749,14.5002,355.326
16.92,-0.0004,0.0003,0,1.8737,14.5005,355.3261
16.94,-0.0001,0,0,1.875,14.5016,355.3249
16.96,0.0001,0.0002,-0.0003,1.8745,14.5037,355.3257
16.98,0.0001,-0.0002,-0.0002,1.8766,14.5034,355.3253
17,-0.0006,-0.0001,0.0001,1.8762,14.4994,355.3263
17.02,0.0001,-0.0003,-0.0001,1.877,14.5025,355.3255
17.04,-0.0003,-0.0002,0.0001,1.8766,14.5003,355.3248
17.06,-0.0005,-0.0002,0.0002,1.8767,14.4997,355.3259
17.08,-0.0003,0,0.0001,1.8751,14.5002,355.3251
17.1,-0.0004,0.0001,0.0001,1.875,14.4998,355.3259
17.12,-0.0009,-0.0003,0.0005,1.8767,14.4966,355.3265
17.14,-0.0001,0.0002,-0.0001,1.8749,14.5025,355.3252
17.16,-0.0007,0.0003,0.0002,1.8738,14.4991,355.3257
17.18,-0.0002,0.0001,0.0001,1.8753,14.5009,355.3257
17.2,-0.0001,0.0003,-0.0001,1.8735,14.5021,355.3258
17.22,0,-0.0001,-0.0001,1.8757,14.5026,355.3258
17.24,-0.0001,0.0002,-0.0001,1.8744,14.5023,355.3256
17.26,-0.0002,0.0004,0,1.8732,14.5015,355.3255
17.28,-0.0002,0.0001,-0.0001,1.875,14.5018,355.3262
17.3,-0.0007,0,0.0002,1.8757,14.4983,355.3266
17.32,-0.001,-0.0003,0.0004,1.8774,14.4971,355.327
17.34,-0.0007,0,0.0002,1.8756,14.4984,355.326
17.36,0.0001,0.0001,-0.0004,1.8752,14.5027,355.325
17.38,-0.0005,-0.0002,0.0001,1.8764,14.5001,355.3254
17.4,-0.0005,-0.0002,0.0001,1.8765,14.4995,355.3249
17.42,-0.0008,-0.0002,0.0004,1.8766,14.4984,355.3257
17.44,-0.0007,0.0002,0.0001,1.8744,14.4993,355.3268
17.46,-0.0007,0.0001,0.0002,1.8752,14.4987,355.3251
17.48,-0.0008,-0.0001,0.0003,1.8761,14.4983,355.3258
17.5,-0.0005,0,0.0001,1.8757,14.5002,355.326
17.52,-0.0007,-0.0001,0.0001,1.8762,14.4988,355.326
17.54,-0.0005,-0.0002,0.0001,1.8767,14.4998,355.3262
17.56,-0.0002,-0.0003,0,1.8775,14.5013,355.3248
17.58,-0.0004,-0.0001,0.0001,1.8759,14.4999,355.3256
17.6,-0.0006,-0.0001,0.0001,1.8756,14.4991,355.3256
17.62,-0.001,0.0005,0.0002,1.8732,14.4974,355.3261
17.64,-0.0009,-0.0003,0.0003,1.8766,14.4969,355.3253
17.66,-0.0008,-0.0001,0.0003,1.8755,14.4978,355.3253
17.68,-0.0009,-0.0001,0.0003,1.876,14.4975,355.3269
17.7,-0.0006,-0.0001,0.0001,1.8764,14.4994,355.3255
17.72,-0.0005,-0.0001,0.0001,1.8768,14.4992,355.3255
17.74,-0.0003,-0.0002,0.0001,1.8768,14.5001,355.3255
17.76,-0.0006,-0.0002,0.0003,1.877,14.4992,355.3254
17.78,-0.001,-0.0001,0.0003,1.8762,14.4974,355.3261
17.8,-0.0006,-0.0001,0.0002,1.8759,14.4986,355.3253
17.82,-0.0005,-0.0002,0.0002,1.8763,14.4995,355.3243
17.84,-0.0005,-0.0002,0.0001,1.8763,14.4994,355.3253
17.86,-0.0001,-0.0005,0.0001,1.8782,14.5015,355.3254
17.88,-0.0008,-0.0004,0.0002,1.8777,14.4973,355.325
17.9,-0.0009,-0.0001,0.0003,1.8765,14.4969,355.326
17.92,-0.0006,-0.0002,0.0001,1.8772,14.4988,355.3256
17.94,-0.0006,0.0001,0,1.8751,14.4992,355.3263
17.96,-0.0007,0.0001,0.0001,1.8748,14.4989,355.3263
17.98,-0.0009,0,0.0002,1.8755,14.4981,355.326
18,-0.0009,0,0.0003,1.8757,14.4975,355.3257
