time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.82,0.0007,-0.0002,-0.0004,356.3178,8.752,0.8131
5.84,0.0006,0,-0.0003,356.317,8.7509,0.8131
5.86,0.0006,0.0001,-0.0004,356.3167,8.7515,0.8138
5.88,0.0005,-0.0001,-0.0003,356.3177,8.7503,0.8134
5.9,0.0007,-0.0002,-0.0004,356.318,8.752,0.8126
5.92,0.0007,-0.0001,-0.0004,356.3173,8.7518,0.8129
5.94,0.0005,-0.0003,-0.0002,356.3185,8.7507,0.8126
5.96,0.0006,0,-0.0003,356.3166,8.7514,0.8127
5.98,0.0006,-0.0001,-0.0003,356.3173,8.7512,0.8125
6,0.0006,0.0001,-0.0003,356.3169,8.7511,0.8134
6.02,0.0008,0.0001,-0.0006,356.3152,8.7524,0.8129
6.04,0.0005,0.0002,-0.0005,356.3158,8.7511,0.8145
6.06,0.0006,0.0002,-0.0005,356.3154,8.7518,0.8138
6.08,0.0005,0.0001,-0.0005,356.3158,8.7508,0.8136
6.1,0.0006,0.0002,-0.0005,356.3157,8.7515,0.8133
6.12,0.0006,0.0002,-0.0005,356.3155,8.7514,0.8137
6.14,0.0008,0.0002,-0.0006,356.315,8.7525,0.8134
6.16,0.0007,0.0002,-0.0006,356.3152,8.7525,0.8136
6.18,0.0008,0.0004,-0.0007,356.3143,8.7534,0.814
6.2,0.0006,0.0001,-0.0005,356.3154,8.7519,0.8132
6.22,0.0006,0.0002,-0.0005,356.3156,8.7517,0.8138
6.24,0.0006,0.0003,-0.0005,356.315,8.7516,0.8139
6.26,0.0006,0.0003,-0.0006,356.3148,8.752,0.8139
6.28,0.0005,0.0001,-0.0004,356.3161,8.7508,0.8129
6.3,0.0006,0.0005,-0.0006,356.3142,8.7517,0.8142
6.32,0.0005,-0.0001,-0.0003,356.3167,8.7516,0.8133
6.34,0.0007,0.0003,-0.0006,356.315,8.7523,0.8139
6.36,0.0007,0.0002,-0.0005,356.3156,8.7521,0.8138
6.38,0.0006,0.0001,-0.0005,356.3159,8.7515,0.8135
6.4,0.0008,0.0002,-0.0006,356.3153,8.7526,0.8134
6.42,0.0006,0.0003,-0.0006,356.3147,8.7519,0.8145
6.44,0.0006,0.0002,-0.0006,356.3153,8.7519,0.8142
6.46,0.0006,0.0003,-0.0006,356.3145,8.7517,0.8142
6.48,0.0008,0.0002,-0.0006,356.3147,8.7523,0.813
6.5,0.0006,0.0003,-0.0005,356.3147,8.7511,0.8135
6.52,0.0006,0.0001,-0.0004,356.3162,8.7515,0.8136
6.54,0.0006,0.0002,-0.0005,356.3152,8.7514,0.814
6.56,0.0006,0.0003,-0.0005,356.3152,8.7512,0.8142
6.58,0.0008,0.0004,-0.0006,356.3148,8.7527,0.8138
6.6,0.0008,0.0001,-0.0006,356.3159,8.7523,0.8134
6.62,0.0006,0.0003,-0.0005,356.3149,8.7514,0.814
6.64,0.0007,0.0004,-0.0005,356.3147,8.7519,0.8139
6.66,0.0005,0.0003,-0.0005,356.3152,8.7507,0.8144
6.68,0.0005,0.0004,-0.0005,356.3148,8.7507,0.8146
6.7,0.0005,0.0003,-0.0004,356.3155,8.7513,0.815
6.72,0.0006,0.0004,-0.0005,356.3145,8.7518,0.8141
6.74,0.0003,0.0004,-0.0004,356.3143,8.7505,0.8149
6.76,0.0003,0.0005,-0.0004,356.3138,8.7498,0.8146
6.78,0.0005,0.0004,-0.0004,356.3151,8.7512,0.8143
6.8,0.0005,0.0003,-0.0004,356.3151,8.7516,0.8144
6.82,0.0005,0.0004,-0.0004,356.3149,8.7516,0.8146
6.84,0.0005,0.0004,-0.0005,356.315,8.7514,0.8149
6.86,0.0005,0.0001,-0.0004,356.316,8.7514,0.8142
6.88,0.0006,0.0004,-0.0005,356.3152,8.7514,0.815
6.9,0.0007,0.0004,-0.0005,356.3149,8.7518,0.8145
6.92,0.0005,0,-0.0003,356.3166,8.7503,0.8138
6.94,0.0008,0.0001,-0.0005,356.3161,8.7525,0.8132
6.96,0.0008,0.0003,-0.0006,356.315,8.753,0.8129
6.98,0.0007,0.0003,-0.0005,356.315,8.752,0.8137
7,0.0005,0.0002,-0.0004,356.3156,8.7513,0.8141
7.02,0.0004,0.0001,-0.0004,356.3161,8.7501,0.8136
7.04,-0.0001,0.0002,-0.0002,356.3158,8.7483,0.8152
7.06,0.0002,0.0003,-0.0004,356.3154,8.7499,0.8149
7.08,0,0.0001,-0.0002,356.3164,8.7481,0.8145
7.1,0,0,-0.0002,356.3164,8.7483,0.8144
7.12,0,-0.0001,-0.0001,356.3171,8.7478,0.8136
7.14,0,0.0001,-0.0001,356.3166,8.7479,0.8146
7.16,0.0001,0,-0.0002,356.3167,8.7489,0.8139
7.18,0.0002,0,-0.0003,356.3169,8.7497,0.8138
7.2,0.0002,0,-0.0003,356.3169,8.7498,0.8138
7.22,0.0001,0,-0.0002,356.3163,8.7484,0.8144
7.24,0.0003,-0.0002,-0.0002,356.318,8.7497,0.813
7.26,0,-0.0002,0,356.3182,8.7476,0.8145
7.28,0.0001,-0.0001,-0.0001,356.3177,8.7487,0.8139
7.3,0,0.0001,-0.0002,356.3164,8.7482,0.8146
7.32,0.0001,0,-0.0002,356.3172,8.7489,0.8139
7.34,0.0001,-0.0002,-0.0001,356.3185,8.7482,0.8142
7.36,-0.0001,0,0,356.3169,8.7476,0.8151
7.38,0,0.0001,-0.0001,356.3165,8.7481,0.8142
7.4,0,-0.0001,-0.0001,356.3176,8.7483,0.8143
7.42,0,0.0002,-0.0002,356.3164,8.7484,0.815
7.44,0,-0.0001,-0.0001,356.3178,8.7484,0.8145
7.46,0,-0.0001,-0.0001,356.3178,8.7486,0.8146
7.48,0.0002,-0.0004,0,356.3195,8.7487,0.8138
7.5,0.0003,-0.0003,-0.0001,356.3186,8.7495,0.8128
7.52,0.0001,-0.0001,-0.0001,356.3175,8.7491,0.8136
7.54,0.0003,0.0001,-0.0003,356.316,8.7496,0.8136
7.56,0,-0.0001,-0.0001,356.3175,8.7475,0.8138
7.58,0,0,-0.0002,356.3166,8.7482,0.8139
7.6,0.0002,0,-0.0002,356.3165,8.7488,0.8138
7.62,0.0002,0.0002,-0.0003,356.3166,8.7489,0.814
7.64,0.0001,0.0003,-0.0003,356.3153,8.7486,0.8148
7.66,0.0003,-0.0002,-0.0002,356.3181,8.7495,0.8133
7.68,0.0003,-0.0001,-0.0002,356.3175,8.7494,0.8134
7.7,0.0003,0,-0.0003,356.3168,8.7499,0.8139
7.72,0.0003,-0.0002,-0.0002,356.3173,8.7495,0.8135
7.74,0.0004,-0.0001,-0.0002,356.3173,8.7495,0.8131
7.76,0.0002,-0.0001,-0.0002,356.317,8.7484,0.8132
7.78,0.0002,-0.0001,-0.0002,356.3173,8.7486,0.8136
7.8,0.0002,-0.0001,-0.0001,356.3173,8.7487,0.8137
7.82,-0.0001,-0.0001,0,356.3177,8.7477,0.8143
7.84,-0.0001,0,-0.0001,356.3174,8.7479,0.8149
7.86,0.0001,0,-0.0002,356.3167,8.7486,0.814
7.88,0.0002,-0.0002,-0.0001,356.318,8.7489,0.814
7.9,0.0002,-0.0002,-0.0001,356.3184,8.7496,0.8139
7.92,0.0002,0.0001,-0.0002,356.3161,8.749,0.8138
7.94,-0.0001,0,-0.0001,356.317,8.7477,0.8144
7.96,0,0,0,356.3174,8.7474,0.8143
7.98,0.0001,-0.0001,-0.0001,356.3177,8.7479,0.8142
8,0,0.0001,-0.0001,356.317,8.7476,0.8149
8.02,0.0006,0.0001,-0.0006,356.3158,8.7521,0.8129
8.04,0.0004,-0.0001,-0.0004,356.3175,8.7505,0.8133
8.059999,0.0004,0.0001,-0.0005,356.3165,8.7509,0.8131
8.08,0.0006,-0.0001,-0.0005,356.3174,8.7519,0.8132
8.099999,0.0007,-0.0002,-0.0005,356.3179,8.7525,0.8133
8.12,0.0006,-0.0004,-0.0004,356.3185,8.7508,0.8127
8.139999,0.0004,-0.0003,-0.0003,356.3183,8.7503,0.8128
8.16,0.0007,-0.0003,-0.0004,356.318,8.7519,0.8125
8.179999,0.0005,-0.0002,-0.0003,356.3179,8.751,0.8134
8.2,0.0006,-0.0002,-0.0004,356.3175,8.7516,0.8126
8.22,0.0006,0.0001,-0.0005,356.3159,8.7514,0.8134
8.24,0.0005,0,-0.0005,356.3163,8.7514,0.8133
8.26,0.0005,-0.0001,-0.0004,356.3168,8.7513,0.8136
8.28,0.0003,-0.0001,-0.0003,356.3171,8.7505,0.8139
8.3,0.0004,-0.0001,-0.0004,356.3169,8.7506,0.8135
8.32,0.0009,-0.0003,-0.0005,356.3179,8.7529,0.8123
8.34,0.0007,-0.0003,-0.0004,356.3182,8.7521,0.8127
8.36,0.0007,-0.0002,-0.0005,356.3176,8.7524,0.8123
8.38,0.0007,0,-0.0005,356.3165,8.7524,0.8132
8.4,0.0006,-0.0001,-0.0005,356.317,8.7514,0.8129
8.42,0.0006,-0.0001,-0.0005,356.3169,8.7517,0.8131
8.44,0.0006,-0.0001,-0.0005,356.3172,8.7522,0.8126
8.46,0.0007,-0.0001,-0.0004,356.3169,8.7522,0.8125
8.48,0.0006,-0.0001,-0.0004,356.3166,8.7519,0.8125
8.5,0.0007,-0.0001,-0.0005,356.3168,8.7526,0.8126
8.52,0.0007,-0.0001,-0.0005,356.3174,8.7528,0.8132
8.54,0.0005,-0.0003,-0.0004,356.3178,8.7511,0.8127
8.559999,0.0007,-0.0004,-0.0004,356.3182,8.7523,0.813
8.58,0.0007,0.0002,-0.0006,356.3157,8.7525,0.8132
8.599999,0.0007,-0.0002,-0.0005,356.3171,8.752,0.8123
8.62,0.0006,-0.0003,-0.0003,356.3183,8.7518,0.8124
8.639999,0.0004,-0.0001,-0.0003,356.3169,8.7505,0.8136
8.66,0.0004,-0.0001,-0.0003,356.317,8.7508,0.8138
8.679999,0.0006,0,-0.0005,356.3159,8.7519,0.8134
8.7,0.0008,-0.0001,-0.0005,356.3171,8.753,0.8131
8.72,0.0007,-0.0002,-0.0004,356.3172,8.752,0.8126
8.74,0.0007,-0.0002,-0.0004,356.3176,8.7521,0.8129
8.76,0.0006,-0.0001,-0.0004,356.3174,8.7514,0.8134
8.78,0.0006,-0.0002,-0.0003,356.3185,8.7513,0.8134
