time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
94.3,4.3265,-1.1561,-2,0,0,40
94.32,2.2066,-2.3588,-2,0,0,19.138
94.34,2.594,-2.2108,-2,0,0,22.6679
94.36,2.9432,-2.0532,-2,0,0,25.93
94.38,3.2523,-1.8929,-2,0,0,28.8945
94.4,3.5206,-1.7366,-2,0,0,31.5382
94.42,3.7485,-1.5904,-2,0,0,33.8426
94.43999,3.9366,-1.4595,-2,0,0,35.7935
94.46,4.0863,-1.3484,-2,0,0,37.381
94.48,4.199,-1.2604,-2,0,0,38.5978
94.5,4.2758,-1.1982,-2,0,0,39.4391
94.52,4.3176,-1.1635,-2,0,0,39.902
94.54,4.3251,-1.1572,-2,0,0,39.9849
94.56,4.2983,-1.1796,-2,0,0,39.6876
94.57999,4.2368,-1.23,-2,0,0,39.011
94.6,4.1399,-1.307,-2,0,0,37.9574
94.62,4.0065,-1.4084,-2,0,0,36.5309
94.64,3.8353,-1.5312,-2,0,0,34.7373
94.66,3.6249,-1.6713,-2,0,0,32.5856
94.68,3.3743,-1.8238,-2,0,0,30.0879
94.7,3.0829,-1.9832,-2,0,0,27.2605
94.72,2.7511,-2.1429,-2,0,0,24.125
94.74,2.38,-2.2959,-2,0,0,20.708
94.75999,1.9726,-2.4352,-2,0,0,17.0421
94.78,1.5331,-2.5539,-2,0,0,13.1657
94.8,1.0672,-2.6456,-2,0,0,9.1234
94.82,0.5824,-2.7055,-2,0,0,4.9642
94.84,0.087,-2.7302,-2,0,0,0.7406
94.86,-0.4101,-2.7183,-2,0,0,356.507
94.88,-0.8996,-2.6704,-2,0,0,352.3191
94.9,-1.3729,-2.5893,-2,0,0,348.2302
94.92,-1.8224,-2.4794,-2,0,0,344.2904
94.93999,-2.2416,-2.3465,-2,0,0,340.5464
94.96,-2.6258,-2.1975,-2,0,0,337.0384
94.98,-2.9715,-2.0393,-2,0,0,333.8012
95,-3.2772,-1.8791,-2,0,0,330.8634
95.02,-3.542,-1.7234,-2,0,0,328.2485
95.04,-3.7663,-1.5784,-2,0,0,325.9744
95.06,-3.9511,-1.4491,-2,0,0,324.0544
95.07999,-4.0975,-1.3398,-2,0,0,322.4988
95.1,-4.207,-1.254,-2,0,0,321.3144
95.12,-4.2808,-1.1941,-2,0,0,320.5058
95.14,-4.3196,-1.1618,-2,0,0,320.0758
95.16,-4.3241,-1.158,-2,0,0,320.0258
95.18,-4.2943,-1.1829,-2,0,0,320.356
95.2,-4.2298,-1.2356,-2,0,0,321.0654
95.22,-4.1298,-1.3149,-2,0,0,322.1515
95.24,-3.9932,-1.4183,-2,0,0,323.6101
95.25999,-3.8186,-1.5427,-2,0,0,325.435
95.28,-3.6048,-1.6841,-2,0,0,327.6174
95.3,-3.3507,-1.8375,-2,0,0,330.1443
95.32,-3.0558,-1.9971,-2,0,0,332.9991
95.34,-2.7205,-2.1565,-2,0,0,336.1601
95.36,-2.3461,-2.3086,-2,0,0,339.6003
95.38,-1.9357,-2.4464,-2,0,0,343.286
95.4,-1.4937,-2.5629,-2,0,0,347.1784
95.42,-1.0259,-2.6521,-2,0,0,351.2331
95.43999,-0.5398,-2.7091,-2,0,0,355.4
95.46,-0.0439,-2.7306,-2,0,0,359.6266
95.48,0.4529,-2.7155,-2,0,0,3.8582
95.5,0.9414,-2.6646,-2,0,0,8.0399
95.52,1.4129,-2.5808,-2,0,0,12.1178
95.54,1.86,-2.4687,-2,0,0,16.0421
95.56,2.2763,-2.3342,-2,0,0,19.7672
95.57999,2.6573,-2.184,-2,0,0,23.2532
95.6,2.9996,-2.0254,-2,0,0,26.4656
95.62,3.3017,-1.8653,-2,0,0,29.376
95.64,3.563,-1.7104,-2,0,0,31.9623
95.66,3.7839,-1.5665,-2,0,0,34.2062
95.68,3.9652,-1.4388,-2,0,0,36.0948
95.7,4.1085,-1.3314,-2,0,0,37.6185
95.72,4.2148,-1.2477,-2,0,0,38.7706
95.74,4.2855,-1.1902,-2,0,0,39.5465
95.75999,4.3214,-1.1603,-2,0,0,39.9436
95.78,4.3229,-1.159,-2,0,0,39.9606
95.8,4.2901,-1.1863,-2,0,0,39.5975
95.82,4.2226,-1.2415,-2,0,0,38.8554
95.84,4.1195,-1.3229,-2,0,0,37.7369
95.86,3.9796,-1.4283,-2,0,0,36.2462
95.88,3.8017,-1.5543,-2,0,0,34.3899
95.9,3.5844,-1.697,-2,0,0,32.1773
95.92,3.3268,-1.8511,-2,0,0,29.6213
95.93999,3.0284,-2.011,-2,0,0,26.739
95.96,2.6895,-2.1701,-2,0,0,23.5522
95.98,2.3119,-2.3212,-2,0,0,20.0895
96,1.8986,-2.4574,-2,0,0,16.3843
96.02,1.4541,-2.5718,-2,0,0,12.476
96.04,0.9844,-2.6584,-2,0,0,8.4099
96.06,0.4971,-2.7124,-2,0,0,4.2357
96.07999,0.0008,-2.7308,-2,0,0,0.0064
96.1,-0.4956,-2.7125,-2,0,0,355.7771
96.12,-0.983,-2.6586,-2,0,0,351.602
96.14,-1.4527,-2.5721,-2,0,0,347.5354
96.16,-1.8974,-2.4578,-2,0,0,343.6267
96.18,-2.3108,-2.3217,-2,0,0,339.9208
96.2,-2.6885,-2.1705,-2,0,0,336.4574
96.22,-3.0274,-2.0115,-2,0,0,333.2702
96.24,-3.3259,-1.8516,-2,0,0,330.387
96.25999,-3.5837,-1.6974,-2,0,0,327.8296
96.28,-3.8011,-1.5547,-2,0,0,325.616
96.3,-3.9792,-1.4286,-2,0,0,323.7586
96.32,-4.1191,-1.3232,-2,0,0,322.2669
96.34,-4.2223,-1.2417,-2,0,0,321.1473
96.36,-4.29,-1.1865,-2,0,0,320.4042
96.38,-4.3229,-1.1591,-2,0,0,320.0399
96.4,-4.3214,-1.1603,-2,0,0,320.0558
96.42,-4.2857,-1.19,-2,0,0,320.4519
96.43999,-4.2151,-1.2475,-2,0,0,321.2267
96.46,-4.1088,-1.3311,-2,0,0,322.3776
96.48,-3.9657,-1.4384,-2,0,0,323.9002
96.5,-3.7844,-1.5661,-2,0,0,325.7877
96.52,-3.5637,-1.7099,-2,0,0,328.0306
96.54,-3.3025,-1.8649,-2,0,0,330.6161
96.56,-3.0006,-2.0249,-2,0,0,333.5257
96.57999,-2.6583,-2.1836,-2,0,0,336.7371
96.6,-2.2775,-2.3337,-2,0,0,340.2222
96.62,-1.8613,-2.4683,-2,0,0,343.9467
96.64,-1.4143,-2.5805,-2,0,0,347.8704
96.66,-0.9428,-2.6644,-2,0,0,351.9479
96.68,-0.4543,-2.7154,-2,0,0,356.1297
96.7,0.0424,-2.7306,-2,0,0,0.3612
96.72,0.5384,-2.7092,-2,0,0,4.5879
96.74,1.0245,-2.6523,-2,0,0,8.7551
