time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.3,0.0014,-0.0001,-0.0008,355.172,1.6554,356.9179
4.32,0.0008,-0.0001,-0.0004,355.1729,1.6525,356.9185
4.34,0.0012,-0.0005,-0.0006,355.1747,1.6542,356.9169
4.36,0.0005,-0.0004,-0.0003,355.1741,1.6506,356.9178
4.38,0.0008,-0.0002,-0.0005,355.172,1.6522,356.9174
4.4,0.0006,-0.0007,-0.0002,355.1747,1.6511,356.9164
4.42,0.0012,-0.0007,-0.0006,355.1746,1.6539,356.9162
4.44,0.0005,-0.0002,-0.0002,355.1724,1.6502,356.9177
4.46,0.0009,-0.0004,-0.0005,355.1724,1.6526,356.9173
4.48,0.0009,-0.0005,-0.0003,355.173,1.6525,356.9167
4.5,0.0015,0.0005,-0.0009,355.1677,1.6578,356.9187
4.52,0.001,-0.0002,-0.0005,355.173,1.6554,356.918
4.54,0.001,-0.0002,-0.0005,355.1726,1.6536,356.9181
4.56,-0.0004,-0.0003,0.0002,355.1729,1.645,356.9193
4.58,0.001,-0.0001,-0.0007,355.1711,1.6539,356.9181
4.6,0.0014,-0.0001,-0.0009,355.1718,1.6568,356.9174
4.62,0.001,-0.0003,-0.0006,355.1724,1.6539,356.9176
4.64,0.0007,-0.0001,-0.0004,355.1713,1.6516,356.9183
4.66,0.0006,-0.0005,-0.0002,355.1736,1.6518,356.9181
4.68,0.0003,-0.0004,-0.0001,355.1739,1.6498,356.9182
4.7,0.0011,0.0001,-0.0006,355.1704,1.6531,356.9179
4.72,0.0012,-0.0001,-0.0007,355.1717,1.6545,356.9181
4.74,0.0006,-0.0001,-0.0003,355.1724,1.6519,356.9185
4.76,0.0001,-0.0007,0,355.1758,1.6479,356.9181
4.78,0.0008,-0.0001,-0.0006,355.1717,1.6528,356.9185
4.8,0.001,0,-0.0007,355.1712,1.6534,356.9178
4.82,0.0011,0.0001,-0.0008,355.1711,1.6544,356.9182
4.84,0.0003,-0.0001,-0.0002,355.1715,1.651,356.9183
4.86,0.0003,-0.0004,0.0001,355.1729,1.6506,356.9172
4.88,0.0005,-0.0001,-0.0003,355.1714,1.6511,356.9182
4.9,0.001,-0.0004,-0.0006,355.1729,1.6534,356.9177
4.92,0.0007,-0.0003,-0.0004,355.1723,1.6519,356.9179
4.94,0.0009,-0.0002,-0.0005,355.1721,1.6535,356.9177
4.96,0.0012,-0.0003,-0.0007,355.1746,1.656,356.9178
4.98,0.0008,-0.0003,-0.0004,355.1726,1.6528,356.9178
5,0.0014,-0.0008,-0.0006,355.1749,1.6549,356.9157
5.02,0.0014,-0.0001,-0.0008,355.1716,1.6562,356.9169
5.04,0.0009,0.0004,-0.0006,355.1675,1.6529,356.9189
5.06,0.0007,0.0002,-0.0004,355.1691,1.6518,356.918
5.08,0.0007,0.0005,-0.0004,355.1684,1.652,356.9193
5.1,0.001,-0.0002,-0.0006,355.1724,1.6535,356.9178
5.12,0.0008,-0.0001,-0.0005,355.1723,1.6521,356.9182
5.14,0.0005,-0.0002,-0.0002,355.1728,1.6502,356.9178
5.16,-0.0004,0.0002,0.0003,355.1701,1.6471,356.9187
5.18,0.0005,0,-0.0002,355.1716,1.651,356.9185
5.2,0.0016,-0.0007,-0.0008,355.1754,1.6564,356.9157
5.22,0.0011,-0.0004,-0.0006,355.1734,1.6548,356.9162
5.24,0.0013,-0.0004,-0.0006,355.173,1.6552,356.9163
5.26,0.001,-0.0007,-0.0005,355.1748,1.6537,356.9152
5.28,0.0007,-0.0002,-0.0003,355.1725,1.6521,356.917
5.3,0.0015,-0.0006,-0.0007,355.1734,1.6549,356.9162
5.32,0.0009,0,-0.0005,355.171,1.6536,356.9172
5.34,0.0006,-0.0001,-0.0004,355.171,1.6514,356.9176
5.36,0.0007,-0.0001,-0.0004,355.1723,1.6531,356.9179
5.38,0.0008,0.0001,-0.0006,355.1705,1.6531,356.9192
5.4,0.0012,0.0005,-0.0007,355.1676,1.6555,356.9194
5.42,0.0009,0.0001,-0.0005,355.1701,1.6533,356.9187
5.44,0.0008,0,-0.0004,355.1704,1.6527,356.9185
5.46,0.0012,-0.0003,-0.0006,355.1715,1.6542,356.9178
5.48,0.0008,0,-0.0004,355.1711,1.6522,356.9185
5.5,0.0018,-0.0007,-0.001,355.1755,1.6572,356.9172
5.52,0.001,-0.0004,-0.0004,355.1732,1.653,356.9177
5.54,0.0012,-0.0006,-0.0005,355.173,1.654,356.9175
5.56,0.0007,-0.0006,-0.0002,355.1735,1.6515,356.9175
5.58,0.0006,-0.0004,-0.0003,355.1728,1.6517,356.9181
5.6,-0.0001,0,0.0003,355.1725,1.6493,356.9187
5.62,0.0006,-0.0002,-0.0003,355.1724,1.6519,356.9185
5.64,0.0005,-0.0002,-0.0002,355.1726,1.6518,356.9189
5.66,0.0011,-0.0001,-0.0006,355.1709,1.654,356.9181
5.68,0.0009,-0.0002,-0.0005,355.1718,1.6529,356.9183
5.7,0.0008,-0.0007,-0.0004,355.1752,1.6527,356.9177
5.72,0.0007,-0.0004,-0.0003,355.1737,1.6525,356.9187
5.74,0.001,-0.0003,-0.0005,355.1711,1.6534,356.9169
5.76,0,-0.0001,0.0001,355.1718,1.65,356.9185
5.78,0.0006,-0.0003,-0.0003,355.1724,1.6518,356.9182
5.8,0.0001,-0.0002,-0.0001,355.171,1.6484,356.9178
5.82,0.0007,-0.0004,-0.0003,355.1733,1.6516,356.9173
5.84,0.0012,-0.0006,-0.0007,355.1735,1.654,356.9159
5.86,0.0012,-0.0003,-0.0007,355.1718,1.6544,356.9167
5.88,0.0012,-0.0004,-0.0006,355.1718,1.6542,356.9163
5.9,0.0002,-0.0005,0,355.1725,1.6508,356.9166
5.92,0.0008,-0.0005,-0.0003,355.1729,1.6528,356.9172
5.94,0.0006,-0.0003,-0.0003,355.1723,1.6519,356.9178
5.96,0.0003,0.0003,-0.0002,355.1684,1.6503,356.9195
5.98,0.0008,-0.0003,-0.0004,355.1714,1.6535,356.9171
6,0.0007,-0.0009,-0.0003,355.1747,1.6524,356.9161
6.02,0.0009,-0.0005,-0.0005,355.1728,1.6536,356.9164
6.04,0.001,-0.0005,-0.0005,355.1722,1.6543,356.9159
6.06,0.002,-0.0008,-0.0011,355.1736,1.6578,356.9163
6.08,0.0011,-0.0005,-0.0006,355.1727,1.6544,356.9171
6.1,-0.0002,-0.0002,0.0003,355.1718,1.6493,356.9177
6.12,0.0004,-0.0003,-0.0002,355.1716,1.6508,356.9175
6.14,0.0009,-0.0005,-0.0004,355.1722,1.6533,356.9169
6.16,0.0029,-0.0017,-0.0015,355.1777,1.6626,356.9125
6.18,0.0011,-0.0008,-0.0004,355.1745,1.6543,356.9165
6.2,0.0005,-0.0003,-0.0003,355.1727,1.6521,356.9175
6.22,0.0006,-0.0004,-0.0003,355.1724,1.6521,356.9177
6.24,0.0009,-0.0001,-0.0006,355.1712,1.6532,356.9181
6.26,0.0012,-0.0003,-0.0007,355.1712,1.6543,356.9172
6.28,0.001,-0.0006,-0.0005,355.1729,1.6537,356.9168
6.3,0.0007,-0.0006,-0.0002,355.173,1.6527,356.9169
6.32,0.0009,-0.0007,-0.0004,355.1738,1.6533,356.9165
6.34,0.0003,-0.0003,-0.0001,355.1715,1.6504,356.9179
6.36,0.0008,-0.0003,-0.0004,355.1726,1.6537,356.9187
6.38,0.0007,-0.0003,-0.0004,355.172,1.6531,356.9181
6.4,0.0011,-0.0006,-0.0007,355.1723,1.6547,356.9159
6.42,0.0011,-0.0005,-0.0005,355.1727,1.654,356.9166
6.44,0.001,-0.0007,-0.0006,355.1736,1.6542,356.9172
6.46,0.0008,-0.0002,-0.0004,355.1709,1.6538,356.917
6.48,0.001,-0.0006,-0.0004,355.1722,1.6539,356.916
6.5,0.0007,-0.0005,-0.0003,355.1722,1.6519,356.9176
6.52,0.0007,-0.0004,-0.0004,355.1725,1.6522,356.9177
6.54,0.0009,-0.0004,-0.0005,355.1724,1.6535,356.9176
6.56,0.0011,-0.0002,-0.0008,355.1711,1.6543,356.9187
6.58,0.0012,-0.0003,-0.0008,355.1716,1.6555,356.9172
6.6,0.0011,-0.0005,-0.0006,355.1727,1.6541,356.9165
6.62,0.0012,-0.0003,-0.0007,355.1719,1.6546,356.9173
6.64,0.0011,-0.0003,-0.0007,355.1711,1.6547,356.9165
6.66,0.0005,-0.0004,-0.0002,355.1723,1.6514,356.9169
6.68,0.0006,-0.0005,-0.0003,355.1729,1.6514,356.9172
6.7,0.0004,-0.0009,-0.0002,355.1753,1.6501,356.9167
6.72,0.0004,-0.0006,-0.0003,355.1738,1.6509,356.9173
6.74,0.0007,-0.0005,-0.0003,355.1739,1.6526,356.9174
6.76,0.0006,-0.0006,-0.0002,355.1736,1.6512,356.9171
6.78,0.0008,-0.0006,-0.0003,355.1743,1.6526,356.9168
6.8,0.0002,-0.0006,0,355.1741,1.6496,356.9166
6.82,0.0004,-0.0005,-0.0001,355.1733,1.6504,356.9175
6.84,0.0005,-0.0006,-0.0001,355.1739,1.6515,356.9172
6.86,0.0008,-0.0006,-0.0004,355.1733,1.6526,356.9169
6.88,0.0011,-0.0007,-0.0005,355.1736,1.6544,356.9155
6.9,-0.0003,-0.0004,0.0004,355.1722,1.6482,356.9185
6.92,0.0006,-0.0007,-0.0002,355.1733,1.6522,356.9171
6.94,0.0004,-0.0001,-0.0002,355.1716,1.6513,356.9183
6.96,0.0005,-0.0003,-0.0003,355.1722,1.6514,356.9172
6.98,0.0009,-0.0003,-0.0005,355.1711,1.6539,356.9167
7,0.0017,-0.0008,-0.0009,355.1738,1.6576,356.9153
7.02,0.0009,-0.0009,-0.0004,355.1751,1.6535,356.9167
7.04,0.0006,-0.0005,-0.0003,355.1729,1.6516,356.9178
7.06,0.0008,-0.0002,-0.0005,355.1695,1.6534,356.9169
7.08,0.0009,-0.0002,-0.0006,355.1705,1.6537,356.9175
7.1,0.0013,-0.0007,-0.0007,355.1725,1.6555,356.9157
7.12,0.0014,-0.0004,-0.0007,355.1713,1.6564,356.9168
7.14,0.0008,-0.0006,-0.0003,355.1728,1.6532,356.9167
7.16,0.001,-0.0006,-0.0004,355.1727,1.6543,356.9166
7.18,0.0009,-0.0005,-0.0004,355.1725,1.6533,356.9173
7.2,0.0014,-0.0005,-0.0008,355.1722,1.6563,356.916
7.22,0.0011,-0.0002,-0.0007,355.1712,1.6553,356.9178
7.24,0.001,-0.0002,-0.0005,355.1708,1.6545,356.9172
7.26,0.0008,-0.0004,-0.0004,355.172,1.6539,356.9167
7.28,0.0008,-0.0001,-0.0005,355.1707,1.6535,356.9172
7.3,0.0006,-0.0005,-0.0003,355.1732,1.6529,356.9177
7.32,0.0009,-0.0004,-0.0005,355.172,1.6549,356.9175
7.34,0.0007,-0.0003,-0.0004,355.1716,1.6529,356.9177
7.36,0.0013,-0.0005,-0.0008,355.1712,1.6553,356.9172
7.38,0.001,-0.0002,-0.0007,355.1703,1.6547,356.9173
7.4,0.0008,-0.0003,-0.0004,355.1705,1.6535,356.9169
7.42,0.0009,-0.0003,-0.0005,355.1712,1.6544,356.9168
7.44,0.0007,-0.0005,-0.0004,355.1737,1.6535,356.9182
7.46,0.0009,-0.0006,-0.0004,355.1737,1.6545,356.9171
7.48,0.0008,-0.0009,-0.0003,355.1747,1.6533,356.9159
7.5,0.0011,-0.0004,-0.0007,355.1724,1.6551,356.9177
7.52,0.0009,-0.0003,-0.0005,355.1705,1.6539,356.9181
7.54,0.0011,-0.0003,-0.0006,355.1708,1.6549,356.9178
7.56,0.0008,-0.0004,-0.0004,355.1708,1.6526,356.9174
7.58,0.0009,-0.0003,-0.0005,355.1709,1.6532,356.9178
7.6,0.0005,-0.0005,-0.0002,355.1724,1.6511,356.9182
7.62,0.0005,-0.0005,-0.0002,355.1723,1.6514,356.9175
7.64,0.0003,-0.0003,-0.0001,355.1715,1.6499,356.9187
7.66,0.0011,-0.0004,-0.0006,355.1714,1.6544,356.9179
7.68,0.0013,-0.0002,-0.0007,355.171,1.6567,356.9182
7.7,0.0012,-0.0004,-0.0006,355.1712,1.6552,356.9168
7.72,0.0014,-0.0004,-0.0007,355.1704,1.6555,356.9163
7.74,0.0009,-0.0004,-0.0006,355.1716,1.6539,356.9175
7.76,0.0013,-0.0005,-0.0008,355.1713,1.6564,356.9168
7.78,0.0006,-0.0006,-0.0003,355.1733,1.6523,356.9174
7.8,0.0009,-0.0001,-0.0006,355.1688,1.6536,356.9181
7.82,0.0006,-0.0005,-0.0004,355.1709,1.6527,356.9174
7.84,0.0011,-0.0003,-0.0006,355.1709,1.6556,356.9173
7.86,0.001,-0.0005,-0.0004,355.1713,1.6544,356.9168
7.88,0.0014,-0.0004,-0.0008,355.1713,1.6573,356.917
7.9,0.001,-0.0007,-0.0005,355.1729,1.6547,356.9164
7.92,0.001,-0.0008,-0.0004,355.1737,1.6544,356.9167
7.94,0.001,-0.0006,-0.0005,355.173,1.6542,356.916
7.96,0.0016,-0.0012,-0.0008,355.1762,1.6567,356.9155
7.98,0.0013,-0.0004,-0.0008,355.1725,1.6557,356.9178
8,0.0011,-0.0005,-0.0006,355.1717,1.6559,356.917
8.02,0.0014,-0.0005,-0.0007,355.1724,1.6568,356.9171
8.04,0.0011,-0.0005,-0.0006,355.172,1.6554,356.9171
8.059999,0.0005,0,-0.0004,355.1692,1.6527,356.9181
8.08,0.0008,-0.0007,-0.0005,355.173,1.6535,356.916
8.099999,0.001,-0.0007,-0.0006,355.1724,1.654,356.9164
8.12,0.001,-0.0005,-0.0006,355.1717,1.6536,356.9171
8.139999,0.0015,-0.0004,-0.0009,355.1699,1.6589,356.9147
8.16,0.0012,-0.0005,-0.0007,355.1715,1.6551,356.9164
8.179999,0.0014,-0.0009,-0.0008,355.175,1.6565,356.9161
8.2,0.0009,-0.0005,-0.0005,355.1726,1.6542,356.9168
8.22,0.0009,-0.0005,-0.0004,355.1721,1.6539,356.9171
8.24,0.0011,-0.0005,-0.0006,355.1718,1.6552,356.9175
8.26,0.0009,-0.0005,-0.0005,355.1721,1.6545,356.9175
8.28,0.0009,-0.0002,-0.0005,355.1702,1.6545,356.9184
8.3,0.0006,-0.0002,-0.0005,355.1711,1.6524,356.9186
8.32,0.001,-0.0005,-0.0005,355.1715,1.6544,356.9166
8.34,0.001,-0.0007,-0.0006,355.1729,1.6547,356.9162
8.36,0.0012,-0.0006,-0.0006,355.1716,1.6551,356.9162
8.38,0.001,-0.0005,-0.0006,355.1725,1.6553,356.9177
8.4,0.0007,-0.0005,-0.0003,355.1723,1.6535,356.9171
8.42,0.0009,-0.0007,-0.0005,355.1732,1.6546,356.9169
8.44,0.0015,-0.0005,-0.0008,355.172,1.6574,356.9168
8.46,0.0014,-0.0004,-0.0009,355.1723,1.6569,356.9181
8.48,0.001,-0.0002,-0.0006,355.1696,1.6544,356.9174
8.5,0.001,-0.0003,-0.0006,355.1706,1.655,356.9172
8.52,0.0006,-0.0004,-0.0003,355.1708,1.6527,356.9176
8.54,0.0004,-0.0004,-0.0002,355.1711,1.6507,356.9178
8.559999,0.0001,-0.0005,0,355.1718,1.6496,356.9181
8.58,0.0006,-0.0005,-0.0003,355.1726,1.6531,356.9171
8.599999,0.0004,-0.0004,-0.0002,355.1715,1.6519,356.9178
8.62,0.0005,-0.0005,-0.0003,355.1728,1.6523,356.9181
8.639999,0.002,-0.0007,-0.0013,355.1725,1.6575,356.9178
8.66,0.0012,-0.0009,-0.0006,355.174,1.6557,356.9164
8.679999,0.0004,-0.0006,0,355.1723,1.652,356.9168
8.7,0.0008,-0.0006,-0.0003,355.1721,1.6534,356.9161
8.72,0.0016,-0.0007,-0.0009,355.1723,1.656,356.9163
8.74,0.0011,-0.0002,-0.0007,355.1707,1.6546,356.9173
8.76,0.001,-0.0009,-0.0005,355.1746,1.6538,356.9163
8.78,0.0008,-0.0004,-0.0005,355.1709,1.653,356.9171
8.8,0.0011,-0.0002,-0.0007,355.1705,1.6556,356.9175
8.82,0.0019,-0.0003,-0.0012,355.1703,1.6582,356.9175
8.84,0.0021,-0.0002,-0.0013,355.1695,1.6599,356.9165
8.86,0.0013,-0.0004,-0.0007,355.1717,1.6559,356.9169
8.88,0.001,-0.0005,-0.0006,355.1723,1.6548,356.9172
8.9,0.0005,-0.0006,-0.0003,355.1735,1.6513,356.9185
8.92,0.0018,-0.0002,-0.0012,355.1688,1.6578,356.9173
8.94,0.0023,-0.0004,-0.0014,355.1707,1.6603,356.9167
8.96,0.0011,-0.0002,-0.0007,355.1702,1.6553,356.9182
8.98,0.0003,-0.0004,-0.0001,355.1706,1.6509,356.9179
9,0.0013,-0.0003,-0.0008,355.1702,1.656,356.917
9.02,0.0013,-0.0005,-0.0009,355.1706,1.6559,356.9167
9.04,0.0003,0.0008,-0.0003,355.1644,1.6516,356.9204
9.059999,0.0009,0.0002,-0.0007,355.168,1.6543,356.9189
9.08,0.0013,-0.0001,-0.0009,355.1692,1.6565,356.9178
9.099999,0.0009,0,-0.0007,355.1694,1.6542,356.9186
9.12,0.0002,-0.0004,-0.0001,355.1709,1.6515,356.9179
9.139999,0.0007,0,-0.0004,355.1696,1.6534,356.9178
9.16,0.0007,0,-0.0005,355.1691,1.6535,356.9182
9.179999,0.0003,0,-0.0001,355.1695,1.651,356.9181
9.2,0.0012,-0.0002,-0.0007,355.1711,1.6562,356.9179
9.22,0.0009,-0.0001,-0.0007,355.1703,1.6542,356.9182
9.24,0.0008,-0.0002,-0.0006,355.1704,1.6544,356.9185
9.26,0.0008,-0.0002,-0.0005,355.1706,1.6536,356.9182
9.28,0.0014,-0.0001,-0.001,355.1696,1.6564,356.9181
9.3,0.0011,-0.0001,-0.0008,355.1698,1.6553,356.9186
9.32,0.0014,0.0002,-0.0009,355.1679,1.6565,356.9187
9.34,0.001,-0.0002,-0.0006,355.1703,1.6552,356.9183
9.36,0.001,-0.0001,-0.0006,355.1696,1.6551,356.9185
9.38,0.0011,0.0001,-0.0007,355.1691,1.6552,356.9187
9.4,0.0009,-0.0002,-0.0005,355.1707,1.6544,356.9185
9.42,0.0008,-0.0009,-0.0003,355.1734,1.6534,356.9162
9.44,0.0004,-0.0009,0,355.1744,1.6524,356.9164
9.46,0.0008,-0.0007,-0.0003,355.1734,1.6533,356.917
9.48,0.0006,-0.0007,-0.0002,355.1729,1.6518,356.9171
9.5,0.0006,-0.0005,-0.0002,355.1722,1.6525,356.9189
9.52,0.0005,-0.0006,-0.0003,355.1727,1.6518,356.918
9.54,0.0019,-0.0004,-0.0014,355.1708,1.6594,356.9164
9.559999,0.0011,-0.0003,-0.0006,355.1703,1.6545,356.9184
9.58,0.0001,-0.0007,0,355.1729,1.649,356.9184
9.599999,0.0005,-0.0003,-0.0003,355.1713,1.6522,356.9185
9.62,0.0006,-0.0002,-0.0002,355.1714,1.653,356.9187
9.639999,0.0015,-0.001,-0.0007,355.1767,1.6575,356.9168
9.66,0.001,-0.0005,-0.0006,355.1732,1.6549,356.9179
9.679999,0.0007,-0.0006,-0.0004,355.1731,1.6526,356.9175
9.7,0.001,-0.0004,-0.0006,355.1716,1.6546,356.9176
9.719999,0.0008,-0.0003,-0.0005,355.1713,1.6529,356.9195
9.74,0.0014,0,-0.0009,355.1695,1.6563,356.9189
9.76,0.0011,0,-0.0008,355.1693,1.655,356.9186
9.78,0.0009,-0.0005,-0.0004,355.1713,1.6539,356.9184
9.8,0.0011,-0.0006,-0.0006,355.172,1.6549,356.9172
9.82,0.0006,-0.0003,-0.0003,355.1703,1.6529,356.918
9.84,0.0007,-0.0002,-0.0004,355.1697,1.6535,356.9177
9.86,0.0009,-0.0004,-0.0005,355.1711,1.6543,356.9175
9.88,0.0008,-0.0007,-0.0003,355.173,1.6535,356.9172
9.9,0.0013,-0.0006,-0.0007,355.1715,1.6557,356.917
9.92,0.0016,-0.0006,-0.001,355.172,1.657,356.916
9.94,-0.0003,-0.0001,0.0004,355.1697,1.6495,356.918
9.96,0.0009,-0.0004,-0.0005,355.171,1.6543,356.9176
9.98,0.0007,-0.0004,-0.0004,355.1707,1.6523,356.9179
10,0.0011,-0.0007,-0.0006,355.1719,1.6554,356.9171
10.02,0.0005,-0.0003,-0.0004,355.171,1.6531,356.9187
10.04,0.0005,-0.0003,-0.0005,355.17,1.6546,356.9184
10.06,0,-0.0003,-0.0006,355.1699,1.653,356.9184
10.08,-0.0008,0.0001,-0.0004,355.1686,1.6498,356.9192
10.1,-0.0018,-0.0002,0.0004,355.1697,1.6496,356.9202
10.12,-0.0009,-0.0006,-0.0001,355.1711,1.6526,356.9191
10.14,0.0008,-0.001,-0.0002,355.1723,1.6519,356.9188
10.16,0.0036,-0.0012,-0.0009,355.1713,1.6544,356.9176
10.18,0.0028,-0.0004,-0.0005,355.1702,1.6539,356.9184
10.2,-0.0002,-0.0003,0.0007,355.1707,1.6592,356.9204
10.22,-0.0004,-0.0006,0.001,355.172,1.6586,356.92
10.24,0.0001,0.0002,0.0009,355.17,1.6547,356.9212
10.26,0.0021,-0.0006,0.0004,355.1713,1.6566,356.9201
10.28,0.0035,-0.0003,-0.0001,355.17,1.6619,356.9207
10.3,0.0029,-0.0008,0.001,355.1725,1.6607,356.9203
10.32,0.0032,-0.0006,0.0003,355.1717,1.6639,356.9199
10.34,0.0026,-0.001,0.0002,355.1744,1.6626,356.9191
10.36,0.0016,-0.0005,0.0003,355.1722,1.6606,356.9217
10.38,0.0017,-0.0006,0.0003,355.1726,1.6591,356.9222
10.4,0.0024,-0.0005,-0.0022,355.1694,1.651,356.9207
10.42,0.0015,-0.0006,-0.0024,355.1688,1.6502,356.9214
10.44,-0.0007,-0.0008,-0.0011,355.1725,1.6498,356.9215
10.46,0.0002,-0.0009,0,355.1724,1.6564,356.9204
10.48,0.0021,-0.0004,0.0008,355.1702,1.6633,356.9211
10.5,0.0017,-0.0003,-0.0002,355.1704,1.6563,356.9217
10.52,0.0016,-0.0002,-0.0019,355.1669,1.6563,356.922
10.54,0.0028,-0.0002,-0.0023,355.1655,1.6599,356.9213
10.56,0.0023,-0.0006,0.0005,355.1689,1.6577,356.9207
10.58,0.0018,-0.0002,0.0017,355.171,1.6592,356.9207
10.6,0.0008,0.0001,-0.0022,355.1637,1.6577,356.9208
10.62,0.0016,-0.0002,-0.002,355.1643,1.657,356.9203
10.64,0.0012,-0.0006,0.001,355.1687,1.649,356.918
10.66,0.0016,-0.0006,0.002,355.1712,1.6558,356.9211
10.68,0.0016,-0.0009,0.0011,355.1704,1.6614,356.9204
10.7,0.0022,-0.0002,0.0008,355.1656,1.6601,356.921
10.72,0.0026,-0.0004,0.0009,355.1679,1.6575,356.9207
10.74,0.0021,-0.0001,0.0003,355.1641,1.6544,356.9232
10.76,0.0014,0,-0.0018,355.1649,1.6528,356.9221
10.78,0.0006,-0.0003,-0.0034,355.167,1.645,356.9219
10.8,0.0018,0,-0.0044,355.1596,1.643,356.9202
10.82,-0.0023,0.0003,-0.0014,355.1638,1.6436,356.9236
10.84,-0.0049,-0.0004,0.0006,355.1701,1.6446,356.925
10.86,-0.001,-0.0002,-0.0014,355.1679,1.6538,356.9248
10.88,0.0052,-0.0003,-0.003,355.1632,1.6581,356.9222
10.9,0.0044,-0.001,-0.0002,355.1667,1.652,356.9205
10.92,-0.0008,-0.0003,-0.0003,355.1649,1.6546,356.9239
10.94,-0.0075,-0.001,0.0008,355.1664,1.6508,356.9267
10.96,-0.0038,-0.0003,-0.0012,355.1667,1.6497,356.9272
10.98,0.002,-0.0005,-0.0023,355.1667,1.6506,356.9253
11,0.0051,0,-0.002,355.1606,1.6526,356.9233
11.02,-0.0012,-0.0005,0.0002,355.1642,1.6513,356.9235
11.04,-0.0057,0.0003,0.0012,355.1655,1.6523,356.9292
11.06,0.0017,-0.0006,-0.0018,355.1643,1.6583,356.9264
11.08,0.0082,-0.0004,-0.0025,355.1562,1.653,356.9206
11.1,-0.0013,0,-0.0001,355.1589,1.6517,356.9239
11.12,-0.0049,0.0002,-0.0015,355.1574,1.6628,356.9287
11.14,-0.0021,0.0002,-0.0013,355.1552,1.661,356.9273
11.16,0.0042,-0.0001,-0.0007,355.1558,1.6516,356.9214
11.18,0.0077,-0.0002,-0.0014,355.1557,1.6497,356.9193
11.2,-0.0032,-0.0003,-0.0003,355.1554,1.6565,356.9232
11.22,-0.0058,0,0.0015,355.1585,1.6525,356.9273
11.24,-0.0007,0,-0.0004,355.158,1.6546,356.9259
11.26,0.0062,-0.0003,-0.0024,355.153,1.6578,356.9216
11.28,0.0062,-0.0002,-0.0015,355.1502,1.6568,356.9214
11.3,-0.0032,0,0.0005,355.1557,1.6561,356.9251
11.32,-0.0025,0,-0.0015,355.1544,1.6626,356.9259
11.34,0.0008,0.0005,-0.0025,355.1498,1.6579,356.9265
11.36,0.0055,-0.0001,-0.0023,355.152,1.6495,356.9229
11.38,0.0061,-0.0003,-0.0018,355.1514,1.6519,356.9242
11.4,0.0003,-0.0002,-0.0009,355.1537,1.6598,356.9277
11.42,-0.001,0.0002,-0.0002,355.1543,1.6526,356.9292
