time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
87.46,5.6525,-16.9253,10.313,85.902,152.9221,299.5446
87.48,5.7578,-16.9996,9.6734,84.0605,155.7625,302.8817
87.5,5.8793,-17.0634,8.9783,82.0655,157.0595,304.7336
87.52,6.004,-17.0965,8.2508,80.0155,157.3959,305.7932
87.54,6.1386,-17.1082,7.4794,77.8431,157.3557,306.6942
87.56,6.3987,-17.0116,5.8832,73.3702,157.1164,308.0795
87.58,6.5149,-16.9211,5.064,71.0365,157.479,308.8277
87.6,6.6362,-16.8133,4.2246,68.5929,157.8266,309.533
87.62,6.7585,-16.6639,3.3889,66.2381,157.7069,310.3409
87.64,6.8775,-16.4755,2.5573,63.8753,157.6653,311.235
87.66,7.0494,-16.0046,0.9667,59.0873,159.0973,312.1298
87.68,7.1094,-15.7491,0.2105,56.7266,160.171,312.2814
87.7,7.1806,-15.4554,-0.5099,54.5879,160.4796,312.8852
87.72,7.2489,-15.1345,-1.1924,52.5739,160.5314,313.7353
87.74,7.2995,-14.7886,-1.8245,50.5966,160.8358,314.2126
87.75999,7.3321,-14.0749,-2.9209,46.7955,161.9931,313.9719
87.78,7.3375,-13.7292,-3.397,45.0723,162.4475,313.8652
87.8,7.3436,-13.4046,-3.8347,43.4593,162.7627,314.0548
87.82,7.3452,-13.0957,-4.2193,42.0224,162.9608,314.326
87.84,7.3399,-12.815,-4.5518,40.7025,163.1511,314.5776
87.86,7.3155,-12.3599,-5.0651,38.5127,163.5567,314.9583
87.88,7.2967,-12.1986,-5.2506,37.6846,163.8105,315.0515
87.9,7.2765,-12.0847,-5.3766,37.1327,163.959,315.2012
87.92,7.2552,-12.0121,-5.4498,36.8343,164.0549,315.4465
87.93999,7.2065,-12.0077,-5.4405,36.9022,164.2989,315.7412
87.96,7.1796,-12.0725,-5.3623,37.266,164.4096,315.8226
87.98,7.1488,-12.202,-5.2161,37.9503,164.4372,316.0091
88,7.1232,-12.3699,-5.0349,38.7913,164.3845,316.2899
88.02,7.0928,-12.5773,-4.7984,39.8236,164.3117,316.4377
88.04,7.021,-13.1068,-4.1741,42.388,164.1888,316.5222
88.06,6.9788,-13.4172,-3.7842,43.9029,164.1573,316.4609
88.08,6.9301,-13.7511,-3.3413,45.5506,164.1395,316.3117
88.1,6.8802,-14.0996,-2.8505,47.327,164.0632,316.2072
88.12,6.827,-14.4566,-2.3108,49.2558,163.8922,316.2803
88.14,6.7119,-15.1687,-1.0985,53.4336,163.2568,316.6266
88.16,6.6435,-15.5228,-0.4299,55.617,162.9619,316.6656
88.18,6.5695,-15.8784,0.2659,57.803,162.7129,316.6472
88.2,6.4814,-16.2244,1.0035,60.0812,162.3647,316.5761
88.22,6.3901,-16.5554,1.762,62.3201,161.9127,316.4182
88.24,6.2893,-16.8607,2.5436,64.5663,161.3896,316.196
88.25999,6.0642,-17.3632,4.1288,68.8653,160.8673,315.2183
88.28,5.9448,-17.5411,4.9274,70.9753,160.7531,314.5891
88.3,5.8201,-17.6694,5.7261,73.085,160.5185,314.0095
88.32,5.7077,-17.7567,6.5006,75.1492,160.0194,313.3272
88.34,5.5996,-17.7992,7.2583,77.1721,159.0735,312.3131
